Nr,exercise,question,answer,german,english,french,connector,explanation_english_,explanation_french_,indication_english_,indication_french_,verb,verb_english,verb_french,indication_english,indication_french,connector_english,connector_french,explanation_english,explanation_french
579,29,,"Wir fragen, wie viel das kostet.","Wir fragen, wie viel das kostet.",We ask how much that costs.,Nous demandons combien cela coûte.,,"Rule: in an indirect open question, the subordinate clause begins with a question word in W- and ends with the conjugated verb.","Règle : dans une question ouverte indirecte, la subordonnée commence par un pronom interrogatif en W- et se termine par le verbe conjugué.",,,,,,,,,,"Rule: in an indirect open question, the subordinate clause begins with a question word in W- and ends with the conjugated verb.","Règle : dans une question ouverte indirecte, la subordonnée commence par un pronom interrogatif en W- et se termine par le verbe conjugué."
580,29,,"Er versteht nicht, warum du das gekauft hast.","Er versteht nicht, warum du das gekauft hast.",He does not understand why you bought that.,Il ne comprend pas pourquoi tu as acheté cela.,,"Rule: in an indirect open question, the subordinate clause begins with a question word in W- and ends with the conjugated verb.","Règle : dans une question ouverte indirecte, la subordonnée commence par un pronom interrogatif en W- et se termine par le verbe conjugué.",,,,,,,,,,"Rule: in an indirect open question, the subordinate clause begins with a question word in W- and ends with the conjugated verb.","Règle : dans une question ouverte indirecte, la subordonnée commence par un pronom interrogatif en W- et se termine par le verbe conjugué."
581,30,,"Ich weiß nicht, wo du arbeiten musst.","Ich weiß nicht, wo du arbeiten musst.",I do not know where you have to work.,Je ne sais pas où tu dois travailler.,,"Rule: in an indirect open question, the subordinate clause begins with a question word in W- and ends with the conjugated verb.","Règle : dans une question ouverte indirecte, la subordonnée commence par un pronom interrogatif en W- et se termine par le verbe conjugué.",,,,,,,,,,"Rule: in an indirect open question, the subordinate clause begins with a question word in W- and ends with the conjugated verb.","Règle : dans une question ouverte indirecte, la subordonnée commence par un pronom interrogatif en W- et se termine par le verbe conjugué."
582,30,,"Sie fragt, wann er nach Hause kommen kann.","Sie fragt, wann er nach Hause kommen kann.",She asks when he can come home.,Elle demande quand il peut rentrer à la maison.,,"Rule: in an indirect open question, the subordinate clause begins with a question word in W- and ends with the conjugated verb.","Règle : dans une question ouverte indirecte, la subordonnée commence par un pronom interrogatif en W- et se termine par le verbe conjugué.",,,,,,,,,,"Rule: in an indirect open question, the subordinate clause begins with a question word in W- and ends with the conjugated verb.","Règle : dans une question ouverte indirecte, la subordonnée commence par un pronom interrogatif en W- et se termine par le verbe conjugué."
583,30,,"Wir verstehen nicht, warum ihr früher gehen wollt.","Wir verstehen nicht, warum ihr früher gehen wollt.",We do not understand why you want to leave earlier.,Nous ne comprenons pas pourquoi vous voulez partir plus tôt.,,"Rule: in an indirect open question, the subordinate clause begins with a question word in W- and ends with the conjugated verb.","Règle : dans une question ouverte indirecte, la subordonnée commence par un pronom interrogatif en W- et se termine par le verbe conjugué.",,,,,,,,,,"Rule: in an indirect open question, the subordinate clause begins with a question word in W- and ends with the conjugated verb.","Règle : dans une question ouverte indirecte, la subordonnée commence par un pronom interrogatif en W- et se termine par le verbe conjugué."
584,30,,"Er weiß, wie sie das Problem lösen kann.","Er weiß, wie sie das Problem lösen kann.",He knows how she can solve the problem.,Il sait comment elle peut résoudre le problème.,,"Rule: in an indirect open question, the subordinate clause begins with a question word in W- and ends with the conjugated verb.","Règle : dans une question ouverte indirecte, la subordonnée commence par un pronom interrogatif en W- et se termine par le verbe conjugué.",,,,,,,,,,"Rule: in an indirect open question, the subordinate clause begins with a question word in W- and ends with the conjugated verb.","Règle : dans une question ouverte indirecte, la subordonnée commence par un pronom interrogatif en W- et se termine par le verbe conjugué."
585,30,,"Ich frage mich, wann du Deutsch lernen willst.","Ich frage mich, wann du Deutsch lernen willst.",I wonder when you want to learn German.,Je me demande quand tu veux apprendre l’allemand.,,"Rule: in an indirect open question, the subordinate clause begins with a question word in W- and ends with the conjugated verb.","Règle : dans une question ouverte indirecte, la subordonnée commence par un pronom interrogatif en W- et se termine par le verbe conjugué.",,,,,,,,,,"Rule: in an indirect open question, the subordinate clause begins with a question word in W- and ends with the conjugated verb.","Règle : dans une question ouverte indirecte, la subordonnée commence par un pronom interrogatif en W- et se termine par le verbe conjugué."
586,30,,"Sie erklärt, warum sie heute nicht arbeiten kann.","Sie erklärt, warum sie heute nicht arbeiten kann.",She explains why she cannot work today.,Elle explique pourquoi elle ne peut pas travailler aujourd’hui.,,"Rule: in an indirect open question, the subordinate clause begins with a question word in W- and ends with the conjugated verb.","Règle : dans une question ouverte indirecte, la subordonnée commence par un pronom interrogatif en W- et se termine par le verbe conjugué.",,,,,,,,,,"Rule: in an indirect open question, the subordinate clause begins with a question word in W- and ends with the conjugated verb.","Règle : dans une question ouverte indirecte, la subordonnée commence par un pronom interrogatif en W- et se termine par le verbe conjugué."
587,30,,"Wir wissen nicht, wo ihr euch treffen müsst.","Wir wissen nicht, wo ihr euch treffen müsst.",We do not know where you have to meet.,Nous ne savons pas où vous devez vous retrouver.,,"Rule: in an indirect open question, the subordinate clause begins with a question word in W- and ends with the conjugated verb.","Règle : dans une question ouverte indirecte, la subordonnée commence par un pronom interrogatif en W- et se termine par le verbe conjugué.",,,,,,,,,,"Rule: in an indirect open question, the subordinate clause begins with a question word in W- and ends with the conjugated verb.","Règle : dans une question ouverte indirecte, la subordonnée commence par un pronom interrogatif en W- et se termine par le verbe conjugué."
588,30,,"Er fragt, wie lange du bleiben kannst.","Er fragt, wie lange du bleiben kannst.",He asks how long you can stay.,Il demande combien de temps tu peux rester.,,"Rule: in an indirect open question, the subordinate clause begins with a question word in W- and ends with the conjugated verb.","Règle : dans une question ouverte indirecte, la subordonnée commence par un pronom interrogatif en W- et se termine par le verbe conjugué.",,,,,,,,,,"Rule: in an indirect open question, the subordinate clause begins with a question word in W- and ends with the conjugated verb.","Règle : dans une question ouverte indirecte, la subordonnée commence par un pronom interrogatif en W- et se termine par le verbe conjugué."
589,30,,"Ich verstehe nicht, warum sie fernsehen wollen.","Ich verstehe nicht, warum sie fernsehen wollen.",I do not understand why they want to watch TV.,Je ne comprends pas pourquoi ils veulent regarder la télévision.,,"Rule: in an indirect open question, the subordinate clause begins with a question word in W- and ends with the conjugated verb.","Règle : dans une question ouverte indirecte, la subordonnée commence par un pronom interrogatif en W- et se termine par le verbe conjugué.",,,,,,,,,,"Rule: in an indirect open question, the subordinate clause begins with a question word in W- and ends with the conjugated verb.","Règle : dans une question ouverte indirecte, la subordonnée commence par un pronom interrogatif en W- et se termine par le verbe conjugué."
590,30,,"Sie weiß, wer das Auto fahren darf.","Sie weiß, wer das Auto fahren darf.",She knows who is allowed to drive the car.,Elle sait qui peut conduire la voiture.,,"Rule: in an indirect open question, the subordinate clause begins with a question word in W- and ends with the conjugated verb.","Règle : dans une question ouverte indirecte, la subordonnée commence par un pronom interrogatif en W- et se termine par le verbe conjugué.",,,,,,,,,,"Rule: in an indirect open question, the subordinate clause begins with a question word in W- and ends with the conjugated verb.","Règle : dans une question ouverte indirecte, la subordonnée commence par un pronom interrogatif en W- et se termine par le verbe conjugué."
591,30,,"Ich weiß nicht, wann du angekommen bist.","Ich weiß nicht, wann du angekommen bist.",I do not know when you arrived.,Je ne sais pas quand tu es arrivé.,,"Rule: in an indirect open question, the subordinate clause begins with a question word in W- and ends with the conjugated verb.","Règle : dans une question ouverte indirecte, la subordonnée commence par un pronom interrogatif en W- et se termine par le verbe conjugué.",,,,,,,,,,"Rule: in an indirect open question, the subordinate clause begins with a question word in W- and ends with the conjugated verb.","Règle : dans une question ouverte indirecte, la subordonnée commence par un pronom interrogatif en W- et se termine par le verbe conjugué."
592,30,,"Sie fragt, warum er das Buch gekauft hat.","Sie fragt, warum er das Buch gekauft hat.",She asks why he bought the book.,Elle demande pourquoi il a acheté le livre.,,"Rule: in an indirect open question, the subordinate clause begins with a question word in W- and ends with the conjugated verb.","Règle : dans une question ouverte indirecte, la subordonnée commence par un pronom interrogatif en W- et se termine par le verbe conjugué.",,,,,,,,,,"Rule: in an indirect open question, the subordinate clause begins with a question word in W- and ends with the conjugated verb.","Règle : dans une question ouverte indirecte, la subordonnée commence par un pronom interrogatif en W- et se termine par le verbe conjugué."
593,30,,"Wir verstehen nicht, wie ihr das gemacht habt.","Wir verstehen nicht, wie ihr das gemacht habt.",We do not understand how you did that.,Nous ne comprenons pas comment vous avez fait cela.,,"Rule: in an indirect open question, the subordinate clause begins with a question word in W- and ends with the conjugated verb.","Règle : dans une question ouverte indirecte, la subordonnée commence par un pronom interrogatif en W- et se termine par le verbe conjugué.",,,,,,,,,,"Rule: in an indirect open question, the subordinate clause begins with a question word in W- and ends with the conjugated verb.","Règle : dans une question ouverte indirecte, la subordonnée commence par un pronom interrogatif en W- et se termine par le verbe conjugué."
594,30,,"Er weiß, wo sie sich getroffen haben.","Er weiß, wo sie sich getroffen haben.",He knows where they met.,Il sait où ils se sont rencontrés.,,"Rule: in an indirect open question, the subordinate clause begins with a question word in W- and ends with the conjugated verb.","Règle : dans une question ouverte indirecte, la subordonnée commence par un pronom interrogatif en W- et se termine par le verbe conjugué.",,,,,,,,,,"Rule: in an indirect open question, the subordinate clause begins with a question word in W- and ends with the conjugated verb.","Règle : dans une question ouverte indirecte, la subordonnée commence par un pronom interrogatif en W- et se termine par le verbe conjugué."
595,30,,"Ich frage mich, warum du so spät aufgestanden bist.","Ich frage mich, warum du so spät aufgestanden bist.",I wonder why you got up so late.,Je me demande pourquoi tu t’es levé si tard.,,"Rule: in an indirect open question, the subordinate clause begins with a question word in W- and ends with the conjugated verb.","Règle : dans une question ouverte indirecte, la subordonnée commence par un pronom interrogatif en W- et se termine par le verbe conjugué.",,,,,,,,,,"Rule: in an indirect open question, the subordinate clause begins with a question word in W- and ends with the conjugated verb.","Règle : dans une question ouverte indirecte, la subordonnée commence par un pronom interrogatif en W- et se termine par le verbe conjugué."
596,30,,"Sie erklärt, wie sie Deutsch gelernt hat.","Sie erklärt, wie sie Deutsch gelernt hat.",She explains how she learned German.,Elle explique comment elle a appris l’allemand.,,"Rule: in an indirect open question, the subordinate clause begins with a question word in W- and ends with the conjugated verb.","Règle : dans une question ouverte indirecte, la subordonnée commence par un pronom interrogatif en W- et se termine par le verbe conjugué.",,,,,,,,,,"Rule: in an indirect open question, the subordinate clause begins with a question word in W- and ends with the conjugated verb.","Règle : dans une question ouverte indirecte, la subordonnée commence par un pronom interrogatif en W- et se termine par le verbe conjugué."
597,30,,"Wir wissen nicht, wer den Film gesehen hat.","Wir wissen nicht, wer den Film gesehen hat.",We do not know who saw the film.,Nous ne savons pas qui a vu le film.,,"Rule: in an indirect open question, the subordinate clause begins with a question word in W- and ends with the conjugated verb.","Règle : dans une question ouverte indirecte, la subordonnée commence par un pronom interrogatif en W- et se termine par le verbe conjugué.",,,,,,,,,,"Rule: in an indirect open question, the subordinate clause begins with a question word in W- and ends with the conjugated verb.","Règle : dans une question ouverte indirecte, la subordonnée commence par un pronom interrogatif en W- et se termine par le verbe conjugué."
598,30,,"Er fragt, wann ihr nach Berlin gefahren seid.","Er fragt, wann ihr nach Berlin gefahren seid.",He asks when you went to Berlin.,Il demande quand vous êtes allés à Berlin.,,"Rule: in an indirect open question, the subordinate clause begins with a question word in W- and ends with the conjugated verb.","Règle : dans une question ouverte indirecte, la subordonnée commence par un pronom interrogatif en W- et se termine par le verbe conjugué.",,,,,,,,,,"Rule: in an indirect open question, the subordinate clause begins with a question word in W- and ends with the conjugated verb.","Règle : dans une question ouverte indirecte, la subordonnée commence par un pronom interrogatif en W- et se termine par le verbe conjugué."
599,30,,"Ich verstehe nicht, warum sie sich angemeldet haben.","Ich verstehe nicht, warum sie sich angemeldet haben.",I do not understand why they registered.,Je ne comprends pas pourquoi ils se sont inscrits.,,"Rule: in an indirect open question, the subordinate clause begins with a question word in W- and ends with the conjugated verb.","Règle : dans une question ouverte indirecte, la subordonnée commence par un pronom interrogatif en W- et se termine par le verbe conjugué.",,,,,,,,,,"Rule: in an indirect open question, the subordinate clause begins with a question word in W- and ends with the conjugated verb.","Règle : dans une question ouverte indirecte, la subordonnée commence par un pronom interrogatif en W- et se termine par le verbe conjugué."
600,30,,"Sie weiß, wie lange du gearbeitet hast.","Sie weiß, wie lange du gearbeitet hast.",She knows how long you worked.,Elle sait combien de temps tu as travaillé.,,"Rule: in an indirect open question, the subordinate clause begins with a question word in W- and ends with the conjugated verb.","Règle : dans une question ouverte indirecte, la subordonnée commence par un pronom interrogatif en W- et se termine par le verbe conjugué.",,,,,,,,,,"Rule: in an indirect open question, the subordinate clause begins with a question word in W- and ends with the conjugated verb.","Règle : dans une question ouverte indirecte, la subordonnée commence par un pronom interrogatif en W- et se termine par le verbe conjugué."
601,31,,"Ich versuche, Deutsch zu lernen.","Ich versuche, Deutsch zu lernen.",I try to learn German.,J’essaie d’apprendre l’allemand.,,"Rule: when the infinitive is used without a modal verb, it creates a subordinate clause that ends with <i>zu</i> + infinitive.","Règle : lorsque l'infinitif est utilisé sans verbe modal, il forme une subordonnée qui se termine par <i>zu</i> + infinitif.",,,,,,,,,,"Rule: when the infinitive is used without a modal verb, it creates a subordinate clause that ends with <i>zu</i> + infinitive.","Règle : lorsque l'infinitif est utilisé sans verbe modal, il forme une subordonnée qui se termine par <i>zu</i> + infinitif."
602,31,,"Du vergisst, das Fenster zu schließen.","Du vergisst, das Fenster zu schließen.",You forget to close the window.,Tu oublies de fermer la fenêtre.,,"Rule: when the infinitive is used without a modal verb, it creates a subordinate clause that ends with <i>zu</i> + infinitive.","Règle : lorsque l'infinitif est utilisé sans verbe modal, il forme une subordonnée qui se termine par <i>zu</i> + infinitif.",,,,,,,,,,"Rule: when the infinitive is used without a modal verb, it creates a subordinate clause that ends with <i>zu</i> + infinitive.","Règle : lorsque l'infinitif est utilisé sans verbe modal, il forme une subordonnée qui se termine par <i>zu</i> + infinitif."
603,31,,"Er beginnt, ein Buch zu lesen.","Er beginnt, ein Buch zu lesen.",He begins to read a book.,Il commence à lire un livre.,,"Rule: when the infinitive is used without a modal verb, it creates a subordinate clause that ends with <i>zu</i> + infinitive.","Règle : lorsque l'infinitif est utilisé sans verbe modal, il forme une subordonnée qui se termine par <i>zu</i> + infinitif.",,,,,,,,,,"Rule: when the infinitive is used without a modal verb, it creates a subordinate clause that ends with <i>zu</i> + infinitive.","Règle : lorsque l'infinitif est utilisé sans verbe modal, il forme une subordonnée qui se termine par <i>zu</i> + infinitif."
604,31,,"Sie hofft, morgen zu kommen.","Sie hofft, morgen zu kommen.",She hopes to come tomorrow.,Elle espère venir demain.,,"Rule: when the infinitive is used without a modal verb, it creates a subordinate clause that ends with <i>zu</i> + infinitive.","Règle : lorsque l'infinitif est utilisé sans verbe modal, il forme une subordonnée qui se termine par <i>zu</i> + infinitif.",,,,,,,,,,"Rule: when the infinitive is used without a modal verb, it creates a subordinate clause that ends with <i>zu</i> + infinitive.","Règle : lorsque l'infinitif est utilisé sans verbe modal, il forme une subordonnée qui se termine par <i>zu</i> + infinitif."
605,31,,"Wir planen, nach Berlin zu fahren.","Wir planen, nach Berlin zu fahren.",We plan to go to Berlin.,Nous prévoyons d’aller à Berlin.,,"Rule: when the infinitive is used without a modal verb, it creates a subordinate clause that ends with <i>zu</i> + infinitive.","Règle : lorsque l'infinitif est utilisé sans verbe modal, il forme une subordonnée qui se termine par <i>zu</i> + infinitif.",,,,,,,,,,"Rule: when the infinitive is used without a modal verb, it creates a subordinate clause that ends with <i>zu</i> + infinitive.","Règle : lorsque l'infinitif est utilisé sans verbe modal, il forme une subordonnée qui se termine par <i>zu</i> + infinitif."
606,31,,"Ihr lernt, schneller zu schreiben.","Ihr lernt, schneller zu schreiben.",You learn to write faster.,Vous apprenez à écrire plus vite.,,"Rule: when the infinitive is used without a modal verb, it creates a subordinate clause that ends with <i>zu</i> + infinitive.","Règle : lorsque l'infinitif est utilisé sans verbe modal, il forme une subordonnée qui se termine par <i>zu</i> + infinitif.",,,,,,,,,,"Rule: when the infinitive is used without a modal verb, it creates a subordinate clause that ends with <i>zu</i> + infinitive.","Règle : lorsque l'infinitif est utilisé sans verbe modal, il forme une subordonnée qui se termine par <i>zu</i> + infinitif."
607,31,,"Sie vergessen, Kaffee zu kaufen.","Sie vergessen, Kaffee zu kaufen.",They forget to buy coffee.,Ils oublient d’acheter du café.,,"Rule: when the infinitive is used without a modal verb, it creates a subordinate clause that ends with <i>zu</i> + infinitive.","Règle : lorsque l'infinitif est utilisé sans verbe modal, il forme une subordonnée qui se termine par <i>zu</i> + infinitif.",,,,,,,,,,"Rule: when the infinitive is used without a modal verb, it creates a subordinate clause that ends with <i>zu</i> + infinitive.","Règle : lorsque l'infinitif est utilisé sans verbe modal, il forme une subordonnée qui se termine par <i>zu</i> + infinitif."
608,31,,"Ich hoffe, morgen besser zu schlafen./Ich hoffe, besser morgen zu schlafen.","Ich hoffe, morgen besser zu schlafen.",I hope to sleep better tomorrow.,J’espère mieux dormir demain.,,"Rule: when the infinitive is used without a modal verb, it creates a subordinate clause that ends with <i>zu</i> + infinitive.","Règle : lorsque l'infinitif est utilisé sans verbe modal, il forme une subordonnée qui se termine par <i>zu</i> + infinitif.",,,,,,,,,,"Rule: when the infinitive is used without a modal verb, it creates a subordinate clause that ends with <i>zu</i> + infinitive.","Règle : lorsque l'infinitif est utilisé sans verbe modal, il forme une subordonnée qui se termine par <i>zu</i> + infinitif."
609,31,,"Du versuchst, weniger Kaffee zu trinken.","Du versuchst, weniger Kaffee zu trinken.",You try to drink less coffee.,Tu essaies de boire moins de café.,,"Rule: when the infinitive is used without a modal verb, it creates a subordinate clause that ends with <i>zu</i> + infinitive.","Règle : lorsque l'infinitif est utilisé sans verbe modal, il forme une subordonnée qui se termine par <i>zu</i> + infinitif.",,,,,,,,,,"Rule: when the infinitive is used without a modal verb, it creates a subordinate clause that ends with <i>zu</i> + infinitive.","Règle : lorsque l'infinitif est utilisé sans verbe modal, il forme une subordonnée qui se termine par <i>zu</i> + infinitif."
610,31,,"Er beginnt, sich besser zu fühlen.","Er beginnt, sich besser zu fühlen.",He begins to feel better.,Il commence à se sentir mieux.,,"Rule: when the infinitive is used without a modal verb, it creates a subordinate clause that ends with <i>zu</i> + infinitive.","Règle : lorsque l'infinitif est utilisé sans verbe modal, il forme une subordonnée qui se termine par <i>zu</i> + infinitif.",,,,,,,,,,"Rule: when the infinitive is used without a modal verb, it creates a subordinate clause that ends with <i>zu</i> + infinitive.","Règle : lorsque l'infinitif est utilisé sans verbe modal, il forme une subordonnée qui se termine par <i>zu</i> + infinitif."
611,31,,"Sie plant, länger in Berlin zu bleiben./Sie plant, in Berlin länger zu bleiben.","Sie plant, länger in Berlin zu bleiben.",She plans to stay longer in Berlin.,Elle prévoit de rester plus longtemps à Berlin.,,"Rule: when the infinitive is used without a modal verb, it creates a subordinate clause that ends with <i>zu</i> + infinitive.","Règle : lorsque l'infinitif est utilisé sans verbe modal, il forme une subordonnée qui se termine par <i>zu</i> + infinitif.",,,,,,,,,,"Rule: when the infinitive is used without a modal verb, it creates a subordinate clause that ends with <i>zu</i> + infinitive.","Règle : lorsque l'infinitif est utilisé sans verbe modal, il forme une subordonnée qui se termine par <i>zu</i> + infinitif."
612,31,,"Wir lernen, schwierige Texte zu verstehen.","Wir lernen, schwierige Texte zu verstehen.",We learn to understand difficult texts.,Nous apprenons à comprendre des textes difficiles.,,"Rule: when the infinitive is used without a modal verb, it creates a subordinate clause that ends with <i>zu</i> + infinitive.","Règle : lorsque l'infinitif est utilisé sans verbe modal, il forme une subordonnée qui se termine par <i>zu</i> + infinitif.",,,,,,,,,,"Rule: when the infinitive is used without a modal verb, it creates a subordinate clause that ends with <i>zu</i> + infinitive.","Règle : lorsque l'infinitif est utilisé sans verbe modal, il forme une subordonnée qui se termine par <i>zu</i> + infinitif."
613,31,,"Ihr hofft, euch schnell zu verbessern.","Ihr hofft, euch schnell zu verbessern.",You hope to improve quickly.,Vous espérez vous améliorer rapidement.,,"Rule: when the infinitive is used without a modal verb, it creates a subordinate clause that ends with <i>zu</i> + infinitive.","Règle : lorsque l'infinitif est utilisé sans verbe modal, il forme une subordonnée qui se termine par <i>zu</i> + infinitif.",,,,,,,,,,"Rule: when the infinitive is used without a modal verb, it creates a subordinate clause that ends with <i>zu</i> + infinitive.","Règle : lorsque l'infinitif est utilisé sans verbe modal, il forme une subordonnée qui se termine par <i>zu</i> + infinitif."
614,31,,"Sie versucht, mehr Wasser zu trinken.","Sie versucht, mehr Wasser zu trinken.",She tries to drink more water.,Elle essaie de boire plus d’eau.,,"Rule: when the infinitive is used without a modal verb, it creates a subordinate clause that ends with <i>zu</i> + infinitive.","Règle : lorsque l'infinitif est utilisé sans verbe modal, il forme une subordonnée qui se termine par <i>zu</i> + infinitif.",,,,,,,,,,"Rule: when the infinitive is used without a modal verb, it creates a subordinate clause that ends with <i>zu</i> + infinitive.","Règle : lorsque l'infinitif est utilisé sans verbe modal, il forme une subordonnée qui se termine par <i>zu</i> + infinitif."
615,31,,"Ich vergesse oft, mich zu entspannen.","Ich vergesse oft, mich zu entspannen.",I often forget to relax.,J’oublie souvent de me détendre.,,"Rule: when the infinitive is used without a modal verb, it creates a subordinate clause that ends with <i>zu</i> + infinitive.","Règle : lorsque l'infinitif est utilisé sans verbe modal, il forme une subordonnée qui se termine par <i>zu</i> + infinitif.",,,,,,,,,,"Rule: when the infinitive is used without a modal verb, it creates a subordinate clause that ends with <i>zu</i> + infinitive.","Règle : lorsque l'infinitif est utilisé sans verbe modal, il forme une subordonnée qui se termine par <i>zu</i> + infinitif."
616,31,,"Er hat keine Lust, heute zu arbeiten.","Er hat keine Lust, heute zu arbeiten.",He does not feel like working today.,Il n’a pas envie de travailler aujourd’hui.,,"Rule: when the infinitive is used without a modal verb, it creates a subordinate clause that ends with <i>zu</i> + infinitive.","Règle : lorsque l'infinitif est utilisé sans verbe modal, il forme une subordonnée qui se termine par <i>zu</i> + infinitif.",,,,,,,,,,"Rule: when the infinitive is used without a modal verb, it creates a subordinate clause that ends with <i>zu</i> + infinitive.","Règle : lorsque l'infinitif est utilisé sans verbe modal, il forme une subordonnée qui se termine par <i>zu</i> + infinitif."
617,31,,"Ich versuche, mich besser zu konzentrieren.","Ich versuche, mich besser zu konzentrieren.",I try to concentrate better.,J’essaie de mieux me concentrer.,,"Rule: when the infinitive is used without a modal verb, it creates a subordinate clause that ends with <i>zu</i> + infinitive.","Règle : lorsque l'infinitif est utilisé sans verbe modal, il forme une subordonnée qui se termine par <i>zu</i> + infinitif.",,,,,,,,,,"Rule: when the infinitive is used without a modal verb, it creates a subordinate clause that ends with <i>zu</i> + infinitive.","Règle : lorsque l'infinitif est utilisé sans verbe modal, il forme une subordonnée qui se termine par <i>zu</i> + infinitif."
618,31,,"Ihr versucht, das Problem zu verstehen.","Ihr versucht, das Problem zu verstehen.",You try to understand the problem.,Vous essayez de comprendre le problème.,,"Rule: when the infinitive is used without a modal verb, it creates a subordinate clause that ends with <i>zu</i> + infinitive.","Règle : lorsque l'infinitif est utilisé sans verbe modal, il forme une subordonnée qui se termine par <i>zu</i> + infinitif.",,,,,,,,,,"Rule: when the infinitive is used without a modal verb, it creates a subordinate clause that ends with <i>zu</i> + infinitive.","Règle : lorsque l'infinitif est utilisé sans verbe modal, il forme une subordonnée qui se termine par <i>zu</i> + infinitif."
619,31,,"Sie versucht, sich besser zu konzentrieren.","Sie versucht, sich besser zu konzentrieren.",She tries to concentrate better.,Elle essaie de mieux se concentrer.,,"Rule: when the infinitive is used without a modal verb, it creates a subordinate clause that ends with <i>zu</i> + infinitive.","Règle : lorsque l'infinitif est utilisé sans verbe modal, il forme une subordonnée qui se termine par <i>zu</i> + infinitif.",,,,,,,,,,"Rule: when the infinitive is used without a modal verb, it creates a subordinate clause that ends with <i>zu</i> + infinitive.","Règle : lorsque l'infinitif est utilisé sans verbe modal, il forme une subordonnée qui se termine par <i>zu</i> + infinitif."
620,31,,"Wir beginnen, die neuen Wörter zu lernen.","Wir beginnen, die neuen Wörter zu lernen.",We begin to learn the new words.,Nous commençons à apprendre les nouveaux mots.,,"Rule: when the infinitive is used without a modal verb, it creates a subordinate clause that ends with <i>zu</i> + infinitive.","Règle : lorsque l'infinitif est utilisé sans verbe modal, il forme une subordonnée qui se termine par <i>zu</i> + infinitif.",,,,,,,,,,"Rule: when the infinitive is used without a modal verb, it creates a subordinate clause that ends with <i>zu</i> + infinitive.","Règle : lorsque l'infinitif est utilisé sans verbe modal, il forme une subordonnée qui se termine par <i>zu</i> + infinitif."
621,32,,Ich kann so schnell laufen wie mein Bruder.,Ich kann so schnell laufen wie mein Bruder.,I can run as fast as my brother.,Je peux courir aussi vite que mon frère.,,"Rule: in a comparison, <i>so</i> goes before the adjective, and <i>wie</i> goes after it and before the reference. If the reference is compared to an entire clause, <i>wie</i> goes after that clause.","Règle : dans une comparaison, <i>so</i> se place avant l'adjectif, et <i>wie</i> se place après celui-ci et avant le comparant. Si le comparant est comparé à une proposition entière, <i>wie</i> se place après la proposition",,,,,,,,,,"Rule: in a comparison, <i>so</i> goes before the adjective, and <i>wie</i> goes after it and before the reference. If the reference is compared to an entire clause, <i>wie</i> goes after that clause.","Règle : dans une comparaison, <i>so</i> se place avant l'adjectif, et <i>wie</i> se place après celui-ci et avant le comparant. Si le comparant est comparé à une proposition entière, <i>wie</i> se place après la proposition"
622,32,,Sie hat so viel gearbeitet wie ihr Kollege.,Sie hat so viel gearbeitet wie ihr Kollege.,She worked as much as her colleague.,Elle a travaillé autant que son collègue.,,"Rule: in a comparison, <i>so</i> goes before the adjective, and <i>wie</i> goes after it and before the reference. If the reference is compared to an entire clause, <i>wie</i> goes after that clause.","Règle : dans une comparaison, <i>so</i> se place avant l'adjectif, et <i>wie</i> se place après celui-ci et avant le comparant. Si le comparant est comparé à une proposition entière, <i>wie</i> se place après la proposition",,,,,,,,,,"Rule: in a comparison, <i>so</i> goes before the adjective, and <i>wie</i> goes after it and before the reference. If the reference is compared to an entire clause, <i>wie</i> goes after that clause.","Règle : dans une comparaison, <i>so</i> se place avant l'adjectif, et <i>wie</i> se place après celui-ci et avant le comparant. Si le comparant est comparé à une proposition entière, <i>wie</i> se place après la proposition"
623,32,,Du stehst so früh auf wie deine Schwester.,Du stehst so früh auf wie deine Schwester.,You get up as early as your sister.,Tu te lèves aussi tôt que ta sœur.,,"Rule: in a comparison, <i>so</i> goes before the adjective, and <i>wie</i> goes after it and before the reference. If the reference is compared to an entire clause, <i>wie</i> goes after that clause.","Règle : dans une comparaison, <i>so</i> se place avant l'adjectif, et <i>wie</i> se place après celui-ci et avant le comparant. Si le comparant est comparé à une proposition entière, <i>wie</i> se place après la proposition",,,,,,,,,,"Rule: in a comparison, <i>so</i> goes before the adjective, and <i>wie</i> goes after it and before the reference. If the reference is compared to an entire clause, <i>wie</i> goes after that clause.","Règle : dans une comparaison, <i>so</i> se place avant l'adjectif, et <i>wie</i> se place après celui-ci et avant le comparant. Si le comparant est comparé à une proposition entière, <i>wie</i> se place après la proposition"
624,32,,Wir können so gut kochen wie unsere Eltern.,Wir können so gut kochen wie unsere Eltern.,We can cook as well as our parents.,Nous pouvons cuisiner aussi bien que nos parents.,,"Rule: in a comparison, <i>so</i> goes before the adjective, and <i>wie</i> goes after it and before the reference. If the reference is compared to an entire clause, <i>wie</i> goes after that clause.","Règle : dans une comparaison, <i>so</i> se place avant l'adjectif, et <i>wie</i> se place après celui-ci et avant le comparant. Si le comparant est comparé à une proposition entière, <i>wie</i> se place après la proposition",,,,,,,,,,"Rule: in a comparison, <i>so</i> goes before the adjective, and <i>wie</i> goes after it and before the reference. If the reference is compared to an entire clause, <i>wie</i> goes after that clause.","Règle : dans une comparaison, <i>so</i> se place avant l'adjectif, et <i>wie</i> se place après celui-ci et avant le comparant. Si le comparant est comparé à une proposition entière, <i>wie</i> se place après la proposition"
