Nr,exercise,level,level_routledge,level_goethe,question,answer,german,english,french,plural,explanation_plural_english,explanation_plural_french,explanation_english_,explanation_french_,explanation_english,explanation_french
927,48,B1,B1,B1,_____ Schwangerschaft,die,die Schwangerschaft,the pregnancy,la grossesse,die Schwangerschaften,<br><br>Plural: die Schwangerschaften,<br><br>Pluriel: die Schwangerschaften,Words finishing in <i>-schaft</i> are Feminine,Les noms communs se terminant par <i>-schaft</i> sont Féminins,<br><br>Plural: die Schwangerschaften<br><br>Words finishing in <i>-schaft</i> are Feminine,<br><br>Pluriel: die Schwangerschaften<br><br>Les noms communs se terminant par <i>-schaft</i> sont Féminins
928,48,B1,B1,B1,_____ Steckdose,die,die Steckdose,the socket,la prise,die Steckdosen,<br><br>Plural: die Steckdosen,<br><br>Pluriel: die Steckdosen,Most words finishing in <i>-e</i> are Feminine,La majorité des noms communs se terminant par <i>-e</i> sont Féminins,<br><br>Plural: die Steckdosen<br><br>Most words finishing in <i>-e</i> are Feminine,<br><br>Pluriel: die Steckdosen<br><br>La majorité des noms communs se terminant par <i>-e</i> sont Féminins
929,48,B1,B1,A2,_____ Tafel,die,die Tafel,the whiteboard,le tableau blanc,die Tafeln,<br><br>Plural: die Tafeln,<br><br>Pluriel: die Tafeln,,,<br><br>Plural: die Tafeln,<br><br>Pluriel: die Tafeln
930,48,B1,B1,B1,_____ Talent,das,das Talent,the talent,le talent,die Talente,<br><br>Plural: die Talente,<br><br>Pluriel: die Talente,,,<br><br>Plural: die Talente,<br><br>Pluriel: die Talente
931,48,B1,B1,B1,_____ Tempo,das,das Tempo,the pace,le rythme,die Tempi,<br><br>Plural: die Tempi,<br><br>Pluriel: die Tempi,Words of foreign origins finishing in -o are usually Neuter,Les mots d’origine étrangère se terminant par -o sont généralement Neutres,<br><br>Plural: die Tempi<br><br>Words of foreign origins finishing in -o are usually Neuter,<br><br>Pluriel: die Tempi<br><br>Les mots d’origine étrangère se terminant par -o sont généralement Neutres
932,48,B1,B1,A1,_____ Unterschrift,die,die Unterschrift,the signature,la signature,die Unterschriften,<br><br>Plural: die Unterschriften,<br><br>Pluriel: die Unterschriften,Words formed from verb stems that end in <i>-t</i> are usually Feminine,Les noms communs formés à partir de racines verbales se terminant par <i>-t</i> sont généralement Féminins,<br><br>Plural: die Unterschriften<br><br>Words formed from verb stems that end in <i>-t</i> are usually Feminine,<br><br>Pluriel: die Unterschriften<br><br>Les noms communs formés à partir de racines verbales se terminant par <i>-t</i> sont généralement Féminins
933,48,B1,B1,B1,_____ Vergnügen,das,das Vergnügen,the pleasure,le plaisir,die Vergnügen,<br><br>Plural: die Vergnügen,<br><br>Pluriel: die Vergnügen,Words formed from verb stems that end in <i>-en</i> are usually Neuter,Les noms communs formés à partir de racines verbales se terminant par <i>-en</i> sont généralement Neutres,<br><br>Plural: die Vergnügen<br><br>Words formed from verb stems that end in <i>-en</i> are usually Neuter,<br><br>Pluriel: die Vergnügen<br><br>Les noms communs formés à partir de racines verbales se terminant par <i>-en</i> sont généralement Neutres
934,48,B1,B1,A1,_____ Vermieter,der,der Vermieter,the landlord,le propriétaire,die Vermieter,<br><br>Plural: die Vermieter,<br><br>Pluriel: die Vermieter,"Words designating Men, including through professions and nationalities, are Masculine","Les noms communs désignant les hommes, notamment par leur profession ou leur nationalité, sont Masculins","<br><br>Plural: die Vermieter<br><br>Words designating Men, including through professions and nationalities, are Masculine","<br><br>Pluriel: die Vermieter<br><br>Les noms communs désignant les hommes, notamment par leur profession ou leur nationalité, sont Masculins"
935,48,B1,B1,A1,_____ Vormittag,der,der Vormittag,the morning,le matin,die Vormittage,<br><br>Plural: die Vormittage,<br><br>Pluriel: die Vormittage,Parts of the day are mostly Masculine,Les parties de la journée sont généralement Masculines,<br><br>Plural: die Vormittage<br><br>Parts of the day are mostly Masculine,<br><br>Pluriel: die Vormittage<br><br>Les parties de la journée sont généralement Masculines
936,48,B1,B1,A2,_____ Wohnzimmer,das,das Wohnzimmer,the living room,le salon,die Wohnzimmer,<br><br>Plural: die Wohnzimmer,<br><br>Pluriel: die Wohnzimmer,,,<br><br>Plural: die Wohnzimmer,<br><br>Pluriel: die Wohnzimmer
937,48,B1,B1,A1,_____ Autobahn,die,die Autobahn,the motorway,l'autoroute,die Autobahnen,<br><br>Plural: die Autobahnen,<br><br>Pluriel: die Autobahnen,,,<br><br>Plural: die Autobahnen,<br><br>Pluriel: die Autobahnen
938,48,B1,B1,B1,_____ Batterie,die,die Batterie,the battery,la batterie,die Batterien,<br><br>Plural: die Batterien,<br><br>Pluriel: die Batterien,Words finishing in <i>-ie</i> are usually Feminine,Les noms communs se terminant par <i>-ie</i> sont généralement Féminins,<br><br>Plural: die Batterien<br><br>Words finishing in <i>-ie</i> are usually Feminine,<br><br>Pluriel: die Batterien<br><br>Les noms communs se terminant par <i>-ie</i> sont généralement Féminins
939,48,B1,B1,A2,_____ Chefin,die,die Chefin,the boss,le patron,die Chefinnen,<br><br>Plural: die Chefinnen,<br><br>Pluriel: die Chefinnen,"Words designating Women, including through professions and nationalities, are Feminine","Les mots désignant les Femmes, notamment par le biais des professions et des nationalités, sont Féminins","<br><br>Plural: die Chefinnen<br><br>Words designating Women, including through professions and nationalities, are Feminine","<br><br>Pluriel: die Chefinnen<br><br>Les mots désignant les Femmes, notamment par le biais des professions et des nationalités, sont Féminins"
940,48,B1,B1,B1,_____ Durchschnitt,der,der Durchschnitt,the average,la moyenne,die Durchschnitte,<br><br>Plural: die Durchschnitte,<br><br>Pluriel: die Durchschnitte,,,<br><br>Plural: die Durchschnitte,<br><br>Pluriel: die Durchschnitte
941,48,B1,B1,B1,_____ Ehepaar,das,das Ehepaar,the couple,le couple,die Ehepaare,<br><br>Plural: die Ehepaare,<br><br>Pluriel: die Ehepaare,,,<br><br>Plural: die Ehepaare,<br><br>Pluriel: die Ehepaare
942,49,B1,B1,B1,_____ Einbruch,der,der Einbruch,the break-in,l'effraction,die Einbrüche,<br><br>Plural: die Einbrüche,<br><br>Pluriel: die Einbrüche,Words formed from verb stems that do not end in <i>-en</i> or <i>-t</i> are usually Masculine,Les noms communs formés à partir de racines verbales qui ne se terminent pas par <i>-en</i> ou <i>-t</i> sont généralement Masculins <i>-en</i> ou <i>-t</i> sont généralement masculins,<br><br>Plural: die Einbrüche<br><br>Words formed from verb stems that do not end in <i>-en</i> or <i>-t</i> are usually Masculine,<br><br>Pluriel: die Einbrüche<br><br>Les noms communs formés à partir de racines verbales qui ne se terminent pas par <i>-en</i> ou <i>-t</i> sont généralement Masculins <i>-en</i> ou <i>-t</i> sont généralement masculins
943,49,B1,B1,A1,_____ Eintritt,der,der Eintritt,the entry,l'entrée,die Eintritte,<br><br>Plural: die Eintritte,<br><br>Pluriel: die Eintritte,,,<br><br>Plural: die Eintritte,<br><br>Pluriel: die Eintritte
944,49,B1,B1,B1,_____ Erholung,die,die Erholung,the recovery,la récupération,die Erholungen,<br><br>Plural: die Erholungen,<br><br>Pluriel: die Erholungen,Words finishing in <i>-ung</i> are Feminine,Les noms communs se terminant par <i>-ung</i> sont Féminins,<br><br>Plural: die Erholungen<br><br>Words finishing in <i>-ung</i> are Feminine,<br><br>Pluriel: die Erholungen<br><br>Les noms communs se terminant par <i>-ung</i> sont Féminins
945,49,B1,B1,A1,_____ Europäer,der,der Europäer,the European,l'Européen,die Europäer,<br><br>Plural: die Europäer,<br><br>Pluriel: die Europäer,"Words designating Men, including through professions and nationalities, are Masculine","Les noms communs désignant les hommes, notamment par leur profession ou leur nationalité, sont Masculins","<br><br>Plural: die Europäer<br><br>Words designating Men, including through professions and nationalities, are Masculine","<br><br>Pluriel: die Europäer<br><br>Les noms communs désignant les hommes, notamment par leur profession ou leur nationalité, sont Masculins"
946,49,B1,B1,B1,_____ Fabrik,die,die Fabrik,the factory,l'usine,die Fabriken,<br><br>Plural: die Fabriken,<br><br>Pluriel: die Fabriken,Words finishing in <i>-ik</i> are usually Feminine,Les noms communs se terminant par <i>-ik</i> sont généralement Féminins,<br><br>Plural: die Fabriken<br><br>Words finishing in <i>-ik</i> are usually Feminine,<br><br>Pluriel: die Fabriken<br><br>Les noms communs se terminant par <i>-ik</i> sont généralement Féminins
947,49,B1,B1,B1,_____ Geduld,die,die Geduld,the patience,la patience,,​,​,,,​,​
948,49,B1,B1,A1,_____ Getränk,das,das Getränk,the drink,la boisson,die Getränke,<br><br>Plural: die Getränke,<br><br>Pluriel: die Getränke,Words beginning in <i>Ge-</i> are usually Neuter,Les noms communs commençant par <i>Ge-</i> sont généralement Neutres,<br><br>Plural: die Getränke<br><br>Words beginning in <i>Ge-</i> are usually Neuter,<br><br>Pluriel: die Getränke<br><br>Les noms communs commençant par <i>Ge-</i> sont généralement Neutres
949,49,B1,B1,B1,_____ Handwerker,der,der Handwerker,the craftsman,l'artisan,die Handwerker,<br><br>Plural: die Handwerker,<br><br>Pluriel: die Handwerker,"Words designating Men, including through professions and nationalities, are Masculine","Les noms communs désignant les hommes, notamment par leur profession ou leur nationalité, sont Masculins","<br><br>Plural: die Handwerker<br><br>Words designating Men, including through professions and nationalities, are Masculine","<br><br>Pluriel: die Handwerker<br><br>Les noms communs désignant les hommes, notamment par leur profession ou leur nationalité, sont Masculins"
950,49,B1,B1,B1,_____ Kassette,die,die Kassette,the cassette,la cassette,die Kassetten,<br><br>Plural: die Kassetten,<br><br>Pluriel: die Kassetten,Words finishing in <i>-ette</i> are Feminine,Les noms communs se terminant par <i>-ette</i> sont Féminins,<br><br>Plural: die Kassetten<br><br>Words finishing in <i>-ette</i> are Feminine,<br><br>Pluriel: die Kassetten<br><br>Les noms communs se terminant par <i>-ette</i> sont Féminins
951,49,B1,B1,B1,_____ Kasten,der,der Kasten,the box,la boîte,die Kästen,<br><br>Plural: die Kästen,<br><br>Pluriel: die Kästen,,,<br><br>Plural: die Kästen,<br><br>Pluriel: die Kästen
952,49,B1,B1,B1,_____ Magazin,das,das Magazin,the magazine,le magazine,die Magazine,<br><br>Plural: die Magazine,<br><br>Pluriel: die Magazine,Words coming from the English language are usually Neuter,Les noms communs venant de la langue anglaise sont souvent Neutres,<br><br>Plural: die Magazine<br><br>Words coming from the English language are usually Neuter,<br><br>Pluriel: die Magazine<br><br>Les noms communs venant de la langue anglaise sont souvent Neutres
953,49,B1,B1,B1,_____ Mieter,der,der Mieter,the tenant,le locataire,die Mieter,<br><br>Plural: die Mieter,<br><br>Pluriel: die Mieter,"Words designating Men, including through professions and nationalities, are Masculine","Les noms communs désignant les hommes, notamment par leur profession ou leur nationalité, sont Masculins","<br><br>Plural: die Mieter<br><br>Words designating Men, including through professions and nationalities, are Masculine","<br><br>Pluriel: die Mieter<br><br>Les noms communs désignant les hommes, notamment par leur profession ou leur nationalité, sont Masculins"
954,49,B1,B1,B1,_____ Minderheit,die,die Minderheit,the minority,la minorité,die Minderheiten,<br><br>Plural: die Minderheiten,<br><br>Pluriel: die Minderheiten,Words finishing in <i>-heit</i> are Feminine,Les noms communs se terminant par <i>-heit</i> sont Féminins,<br><br>Plural: die Minderheiten<br><br>Words finishing in <i>-heit</i> are Feminine,<br><br>Pluriel: die Minderheiten<br><br>Les noms communs se terminant par <i>-heit</i> sont Féminins
955,49,B1,B1,B1,_____ Scheidung,die,die Scheidung,the divorce,le divorce,die Scheidungen,<br><br>Plural: die Scheidungen,<br><br>Pluriel: die Scheidungen,Words finishing in <i>-ung</i> are Feminine,Les noms communs se terminant par <i>-ung</i> sont Féminins,<br><br>Plural: die Scheidungen<br><br>Words finishing in <i>-ung</i> are Feminine,<br><br>Pluriel: die Scheidungen<br><br>Les noms communs se terminant par <i>-ung</i> sont Féminins
956,49,B1,B1,B1,_____ Spezialist,der,der Spezialist,the specialist,le spécialiste,die Spezialisten,<br><br>Plural: die Spezialisten,<br><br>Pluriel: die Spezialisten,,,<br><br>Plural: die Spezialisten,<br><br>Pluriel: die Spezialisten
957,49,B1,B1,A1,_____ Ticket,das,das Ticket,the ticket,le billet,die Tickets,<br><br>Plural: die Tickets,<br><br>Pluriel: die Tickets,Words coming from the English language are usually Neuter,Les noms communs venant de la langue anglaise sont souvent Neutres,<br><br>Plural: die Tickets<br><br>Words coming from the English language are usually Neuter,<br><br>Pluriel: die Tickets<br><br>Les noms communs venant de la langue anglaise sont souvent Neutres
958,49,B1,B1,B1,_____ Uniform,die,die Uniform,the uniform,l'uniforme,die Uniformen,<br><br>Plural: die Uniformen,<br><br>Pluriel: die Uniformen,,,<br><br>Plural: die Uniformen,<br><br>Pluriel: die Uniformen
959,49,B1,B1,B1,_____ Vitamin,das,das Vitamin,the vitamin,la vitamine,die Vitamine,<br><br>Plural: die Vitamine,<br><br>Pluriel: die Vitamine,Words coming from the English language are usually Neuter,Les noms communs venant de la langue anglaise sont souvent Neutres,<br><br>Plural: die Vitamine<br><br>Words coming from the English language are usually Neuter,<br><br>Pluriel: die Vitamine<br><br>Les noms communs venant de la langue anglaise sont souvent Neutres
960,49,B1,B1,B1,_____ Weiterbildung,die,die Weiterbildung,the further education,la formation continue,die Weiterbildungen,<br><br>Plural: die Weiterbildungen,<br><br>Pluriel: die Weiterbildungen,Words finishing in <i>-ung</i> are Feminine,Les noms communs se terminant par <i>-ung</i> sont Féminins,<br><br>Plural: die Weiterbildungen<br><br>Words finishing in <i>-ung</i> are Feminine,<br><br>Pluriel: die Weiterbildungen<br><br>Les noms communs se terminant par <i>-ung</i> sont Féminins
961,49,B1,B1,A2,_____ Zucker,der,der Zucker,the sugar,le sucre,die Zucker,<br><br>Plural: die Zucker,<br><br>Pluriel: die Zucker,,,<br><br>Plural: die Zucker,<br><br>Pluriel: die Zucker
962,50,B1,B1,A1,_____ Apfel,der,der Apfel,the Apple,la pomme,die Äpfel,<br><br>Plural: die Äpfel,<br><br>Pluriel: die Äpfel,,,<br><br>Plural: die Äpfel,<br><br>Pluriel: die Äpfel
963,50,B1,B1,B1,_____ Bar,die,die Bar,the bar,le bar,die Bars,<br><br>Plural: die Bars,<br><br>Pluriel: die Bars,,,<br><br>Plural: die Bars,<br><br>Pluriel: die Bars
964,50,B1,B1,A1,_____ Datum,das,das Datum,the date,la date,die Daten,<br><br>Plural: die Daten,<br><br>Pluriel: die Daten,Words finishing in <i>-um</i> are generally Neuter,Les noms communs se terminant par <i>-um</i> sont généralement Neutres,<br><br>Plural: die Daten<br><br>Words finishing in <i>-um</i> are generally Neuter,<br><br>Pluriel: die Daten<br><br>Les noms communs se terminant par <i>-um</i> sont généralement Neutres
965,50,B1,B1,B1,_____ Fachleute,die,die Fachleute,the experts,les experts,,​,​,Most words finishing in <i>-e</i> are Feminine,La majorité des noms communs se terminant par <i>-e</i> sont Féminins,​<br><br>Most words finishing in <i>-e</i> are Feminine,​<br><br>La majorité des noms communs se terminant par <i>-e</i> sont Féminins
966,50,B1,B1,B1,_____ Forum,das,das Forum,the forum,le forum,die Foren,<br><br>Plural: die Foren,<br><br>Pluriel: die Foren,Words finishing in <i>-um</i> are generally Neuter,Les noms communs se terminant par <i>-um</i> sont généralement Neutres,<br><br>Plural: die Foren<br><br>Words finishing in <i>-um</i> are generally Neuter,<br><br>Pluriel: die Foren<br><br>Les noms communs se terminant par <i>-um</i> sont généralement Neutres
967,50,B1,B1,B1,_____ Frucht,die,die Frucht,the fruit,le fruit,die Früchte,<br><br>Plural: die Früchte,<br><br>Pluriel: die Früchte,,,<br><br>Plural: die Früchte,<br><br>Pluriel: die Früchte
968,50,B1,B1,B1,_____ Hörer,der,der Hörer,the listener,l'auditeur,die Hörer,<br><br>Plural: die Hörer,<br><br>Pluriel: die Hörer,"Words designating Men, including through professions and nationalities, are Masculine","Les noms communs désignant les hommes, notamment par leur profession ou leur nationalité, sont Masculins","<br><br>Plural: die Hörer<br><br>Words designating Men, including through professions and nationalities, are Masculine","<br><br>Pluriel: die Hörer<br><br>Les noms communs désignant les hommes, notamment par leur profession ou leur nationalité, sont Masculins"
969,50,B1,B1,A1,_____ Jacke,die,die Jacke,the jacket,la veste,die Jacken,<br><br>Plural: die Jacken,<br><br>Pluriel: die Jacken,Most words finishing in <i>-e</i> are Feminine,La majorité des noms communs se terminant par <i>-e</i> sont Féminins,<br><br>Plural: die Jacken<br><br>Most words finishing in <i>-e</i> are Feminine,<br><br>Pluriel: die Jacken<br><br>La majorité des noms communs se terminant par <i>-e</i> sont Féminins
970,50,B1,B1,A2,_____ Lampe,die,die Lampe,the lamp,la lampe,die Lampen,<br><br>Plural: die Lampen,<br><br>Pluriel: die Lampen,Most words finishing in <i>-e</i> are Feminine,La majorité des noms communs se terminant par <i>-e</i> sont Féminins,<br><br>Plural: die Lampen<br><br>Most words finishing in <i>-e</i> are Feminine,<br><br>Pluriel: die Lampen<br><br>La majorité des noms communs se terminant par <i>-e</i> sont Féminins
971,50,B1,B1,B1,_____ Metall,das,das Metall,the metal,le métal,die Metalle,<br><br>Plural: die Metalle,<br><br>Pluriel: die Metalle,,,<br><br>Plural: die Metalle,<br><br>Pluriel: die Metalle
972,50,B1,B1,B1,_____ Ordner,der,der Ordner,the folder,le dossier,die Ordner,<br><br>Plural: die Ordner,<br><br>Pluriel: die Ordner,,,<br><br>Plural: die Ordner,<br><br>Pluriel: die Ordner
973,50,B1,B1,B1,_____ Ozean,der,der Ozean,the ocean,l'océan,die Ozeane,<br><br>Plural: die Ozeane,<br><br>Pluriel: die Ozeane,,,<br><br>Plural: die Ozeane,<br><br>Pluriel: die Ozeane
974,50,B1,B1,A1,_____ Reparatur,die,die Reparatur,the repair,la réparation,die Reparaturen,<br><br>Plural: die Reparaturen,<br><br>Pluriel: die Reparaturen,Words finishing in <i>-ur</i> are usually Feminine,Les noms communs se terminant par <i>-ur</i> sont généralement Féminins,<br><br>Plural: die Reparaturen<br><br>Words finishing in <i>-ur</i> are usually Feminine,<br><br>Pluriel: die Reparaturen<br><br>Les noms communs se terminant par <i>-ur</i> sont généralement Féminins
975,50,B1,B1,B1,_____ Respekt,der,der Respekt,the respect,le respect,,​,​,,,​,​
976,50,B1,B1,A2,_____ Rose,die,die Rose,the rose,la rose,die Rosen,<br><br>Plural: die Rosen,<br><br>Pluriel: die Rosen,Most words finishing in <i>-e</i> are Feminine,La majorité des noms communs se terminant par <i>-e</i> sont Féminins,<br><br>Plural: die Rosen<br><br>Most words finishing in <i>-e</i> are Feminine,<br><br>Pluriel: die Rosen<br><br>La majorité des noms communs se terminant par <i>-e</i> sont Féminins
977,50,B1,B1,A2,_____ Rucksack,der,der Rucksack,the backpack,le sac à dos,die Rucksäcke,<br><br>Plural: die Rucksäcke,<br><br>Pluriel: die Rucksäcke,,,<br><br>Plural: die Rucksäcke,<br><br>Pluriel: die Rucksäcke
978,50,B1,B1,B1,_____ Sänger,der,der Sänger,the singer,le chanteur,die Sänger,<br><br>Plural: die Sänger,<br><br>Pluriel: die Sänger,"Words designating Men, including through professions and nationalities, are Masculine","Les noms communs désignant les hommes, notamment par leur profession ou leur nationalité, sont Masculins","<br><br>Plural: die Sänger<br><br>Words designating Men, including through professions and nationalities, are Masculine","<br><br>Pluriel: die Sänger<br><br>Les noms communs désignant les hommes, notamment par leur profession ou leur nationalité, sont Masculins"
979,50,B1,B1,A2,_____ Tablette,die,die Tablette,the tablet,la tablette,die Tabletten,<br><br>Plural: die Tabletten,<br><br>Pluriel: die Tabletten,Words finishing in <i>-ette</i> are Feminine,Les noms communs se terminant par <i>-ette</i> sont Féminins,<br><br>Plural: die Tabletten<br><br>Words finishing in <i>-ette</i> are Feminine,<br><br>Pluriel: die Tabletten<br><br>Les noms communs se terminant par <i>-ette</i> sont Féminins
980,50,B1,B1,A2,_____ Umzug,der,der Umzug,the move,le déménagement,die Umzüge,<br><br>Plural: die Umzüge,<br><br>Pluriel: die Umzüge,Words formed from verb stems that do not end in <i>-en</i> or <i>-t</i> are usually Masculine,Les noms communs formés à partir de racines verbales qui ne se terminent pas par <i>-en</i> ou <i>-t</i> sont généralement Masculins <i>-en</i> ou <i>-t</i> sont généralement masculins,<br><br>Plural: die Umzüge<br><br>Words formed from verb stems that do not end in <i>-en</i> or <i>-t</i> are usually Masculine,<br><br>Pluriel: die Umzüge<br><br>Les noms communs formés à partir de racines verbales qui ne se terminent pas par <i>-en</i> ou <i>-t</i> sont généralement Masculins <i>-en</i> ou <i>-t</i> sont généralement masculins
981,50,B1,B1,B1,_____ Abfall,der,der Abfall,the waste,les déchets,die Abfälle,<br><br>Plural: die Abfälle,<br><br>Pluriel: die Abfälle,Words formed from verb stems that do not end in <i>-en</i> or <i>-t</i> are usually Masculine,Les noms communs formés à partir de racines verbales qui ne se terminent pas par <i>-en</i> ou <i>-t</i> sont généralement Masculins <i>-en</i> ou <i>-t</i> sont généralement masculins,<br><br>Plural: die Abfälle<br><br>Words formed from verb stems that do not end in <i>-en</i> or <i>-t</i> are usually Masculine,<br><br>Pluriel: die Abfälle<br><br>Les noms communs formés à partir de racines verbales qui ne se terminent pas par <i>-en</i> ou <i>-t</i> sont généralement Masculins <i>-en</i> ou <i>-t</i> sont généralement masculins
982,51,B1,B1,A1,_____ Ausweis,der,der Ausweis,the ID card,la carte d'identité,die Ausweise,<br><br>Plural: die Ausweise,<br><br>Pluriel: die Ausweise,Words formed from verb stems that do not end in <i>-en</i> or <i>-t</i> are usually Masculine,Les noms communs formés à partir de racines verbales qui ne se terminent pas par <i>-en</i> ou <i>-t</i> sont généralement Masculins <i>-en</i> ou <i>-t</i> sont généralement masculins,<br><br>Plural: die Ausweise<br><br>Words formed from verb stems that do not end in <i>-en</i> or <i>-t</i> are usually Masculine,<br><br>Pluriel: die Ausweise<br><br>Les noms communs formés à partir de racines verbales qui ne se terminent pas par <i>-en</i> ou <i>-t</i> sont généralement Masculins <i>-en</i> ou <i>-t</i> sont généralement masculins
983,51,B1,B1,B1,_____ Diplom,das,das Diplom,the diploma,le diplôme,die Diplome,<br><br>Plural: die Diplome,<br><br>Pluriel: die Diplome,,,<br><br>Plural: die Diplome,<br><br>Pluriel: die Diplome
984,51,B1,B1,A2,_____ Feier,die,die Feier,the party,la fête,die Feiern,<br><br>Plural: die Feiern,<br><br>Pluriel: die Feiern,,,<br><br>Plural: die Feiern,<br><br>Pluriel: die Feiern
985,51,B1,B1,A1,_____ Frühling,der,der Frühling,the spring,le printemps,die Frühlinge,<br><br>Plural: die Frühlinge,<br><br>Pluriel: die Frühlinge,Seasons are Masculine,Les saisons sont Masculines,<br><br>Plural: die Frühlinge<br><br>Seasons are Masculine,<br><br>Pluriel: die Frühlinge<br><br>Les saisons sont Masculines
986,51,B1,B1,A1,_____ Gruß,der,der Gruß,the greeting,la salutation,die Grüße,<br><br>Plural: die Grüße,<br><br>Pluriel: die Grüße,,,<br><br>Plural: die Grüße,<br><br>Pluriel: die Grüße
987,51,B1,B1,B1,_____ Kerze,die,die Kerze,the candle,la bougie,die Kerzen,<br><br>Plural: die Kerzen,<br><br>Pluriel: die Kerzen,Most words finishing in <i>-e</i> are Feminine,La majorité des noms communs se terminant par <i>-e</i> sont Féminins,<br><br>Plural: die Kerzen<br><br>Most words finishing in <i>-e</i> are Feminine,<br><br>Pluriel: die Kerzen<br><br>La majorité des noms communs se terminant par <i>-e</i> sont Féminins
988,51,B1,B1,B1,_____ Koch,der,der Koch,the cook,le cuisinier,die Köche,<br><br>Plural: die Köche,<br><br>Pluriel: die Köche,"Words designating Men, including through professions and nationalities, are Masculine","Les noms communs désignant les hommes, notamment par leur profession ou leur nationalité, sont Masculins","<br><br>Plural: die Köche<br><br>Words designating Men, including through professions and nationalities, are Masculine","<br><br>Pluriel: die Köche<br><br>Les noms communs désignant les hommes, notamment par leur profession ou leur nationalité, sont Masculins"
989,51,B1,B1,A2,_____ Krankenkasse,die,die Krankenkasse,the health insurance company,la compagnie d'assurance maladie,die Krankenkassen,<br><br>Plural: die Krankenkassen,<br><br>Pluriel: die Krankenkassen,Most words finishing in <i>-e</i> are Feminine,La majorité des noms communs se terminant par <i>-e</i> sont Féminins,<br><br>Plural: die Krankenkassen<br><br>Most words finishing in <i>-e</i> are Feminine,<br><br>Pluriel: die Krankenkassen<br><br>La majorité des noms communs se terminant par <i>-e</i> sont Féminins
990,51,B1,B1,B1,_____ Kunststoff,der,der Kunststoff,the plastic,le plastique,die Kunststoffe,<br><br>Plural: die Kunststoffe,<br><br>Pluriel: die Kunststoffe,,,<br><br>Plural: die Kunststoffe,<br><br>Pluriel: die Kunststoffe
991,51,B1,B1,B1,_____ Laune,die,die Laune,the mood,l'humeur,die Launen,<br><br>Plural: die Launen,<br><br>Pluriel: die Launen,Most words finishing in <i>-e</i> are Feminine,La majorité des noms communs se terminant par <i>-e</i> sont Féminins,<br><br>Plural: die Launen<br><br>Most words finishing in <i>-e</i> are Feminine,<br><br>Pluriel: die Launen<br><br>La majorité des noms communs se terminant par <i>-e</i> sont Féminins
992,51,B1,B1,B1,_____ Nahrungsmittel,das,das Nahrungsmittel,the food,la nourriture,die Nahrungsmittel,<br><br>Plural: die Nahrungsmittel,<br><br>Pluriel: die Nahrungsmittel,Concepts and abstractions are usually Neuter,Les noms communs désignant des concepts et abstractions sont souvent Neutres,<br><br>Plural: die Nahrungsmittel<br><br>Concepts and abstractions are usually Neuter,<br><br>Pluriel: die Nahrungsmittel<br><br>Les noms communs désignant des concepts et abstractions sont souvent Neutres
993,51,B1,B1,B1,_____ Schlange,die,die Schlange,the snake,le serpent,die Schlangen,<br><br>Plural: die Schlangen,<br><br>Pluriel: die Schlangen,Most words finishing in <i>-e</i> are Feminine,La majorité des noms communs se terminant par <i>-e</i> sont Féminins,<br><br>Plural: die Schlangen<br><br>Most words finishing in <i>-e</i> are Feminine,<br><br>Pluriel: die Schlangen<br><br>La majorité des noms communs se terminant par <i>-e</i> sont Féminins
994,51,B1,B1,A2,_____ Schwein,das,das Schwein,the pig,le cochon,die Schweine,<br><br>Plural: die Schweine,<br><br>Pluriel: die Schweine,,,<br><br>Plural: die Schweine,<br><br>Pluriel: die Schweine
995,51,B1,B1,B1,_____ Zuhörer,der,der Zuhörer,the listener,l'auditeur,die Zuhörer,<br><br>Plural: die Zuhörer,<br><br>Pluriel: die Zuhörer,"Words designating Men, including through professions and nationalities, are Masculine","Les noms communs désignant les hommes, notamment par leur profession ou leur nationalité, sont Masculins","<br><br>Plural: die Zuhörer<br><br>Words designating Men, including through professions and nationalities, are Masculine","<br><br>Pluriel: die Zuhörer<br><br>Les noms communs désignant les hommes, notamment par leur profession ou leur nationalité, sont Masculins"
996,52,B2,A1,B2,_____ Deutsch,das,das Deutsch,the German language,l'Allemand,,​,​,Languages are Neuter,Les langues sont Neutres,​<br><br>Languages are Neuter,​<br><br>Les langues sont Neutres
997,52,B2,A1,B2,_____ Wort,das,das Wort,the word,le mot,die Wörter,<br><br>Plural: die Wörter,<br><br>Pluriel: die Wörter,,,<br><br>Plural: die Wörter,<br><br>Pluriel: die Wörter
998,52,B2,A1,B2,_____ Unternehmen,das,das Unternehmen,the company,l'entreprise,die Unternehmen,<br><br>Plural: die Unternehmen,<br><br>Pluriel: die Unternehmen,Words formed from verb stems that end in <i>-en</i> are usually Neuter,Les noms communs formés à partir de racines verbales se terminant par <i>-en</i> sont généralement Neutres,<br><br>Plural: die Unternehmen<br><br>Words formed from verb stems that end in <i>-en</i> are usually Neuter,<br><br>Pluriel: die Unternehmen<br><br>Les noms communs formés à partir de racines verbales se terminant par <i>-en</i> sont généralement Neutres
999,52,B2,A1,B2,_____ Monat,der,der Monat,the month,le mois,die Monate,<br><br>Plural: die Monate,<br><br>Pluriel: die Monate,,,<br><br>Plural: die Monate,<br><br>Pluriel: die Monate
