Nr,exercise,level,question,answer,german,english,french
859,43,A2,_____ Sender,der,der Sender,the broadcaster,le diffuseur
860,43,A2,_____ Tal,das,das Tal,the valley,la vallée
861,44,A2,_____ Tiefe,die,die Tiefe,the depth,la profondeur
862,44,A2,_____ TV,das,das TV,the TV,la télévision
863,44,A2,_____ Verlauf,der,der Verlauf,the course,le cours
864,44,A2,_____ Zigarette,die,die Zigarette,the cigarette,la cigarette
865,44,A2,_____ Aktionär,der,der Aktionär,the shareholder,l'actionnaire
866,44,A2,_____ Atem,der,der Atem,the breath,le souffle
867,44,A2,_____ Auffassung,die,die Auffassung,the view,la vue
868,44,A2,_____ Bewohner,der,der Bewohner,the resident,le résident
869,44,A2,_____ Charakter,der,der Charakter,the character,le personnage
870,44,A2,_____ Einkommen,das,das Einkommen,the income,le revenu
871,44,A2,_____ Erziehung,die,die Erziehung,the education,l'éducation
872,44,A2,_____ Geburt,die,die Geburt,the birth,la naissance
873,44,A2,_____ Halle,die,die Halle,the hall,le hall
874,44,A2,_____ Herausforderung,die,die Herausforderung,the challenge,le défi
875,44,A2,_____ Informationstechnologie,die,die Informationstechnologie,information technology,l'informatique
876,44,A2,_____ Mittag,der,der Mittag,midday,le midi
877,44,A2,_____ Niederlage,die,die Niederlage,the defeat,la défaite
878,44,A2,_____ Norm,die,die Norm,the norm,la norme
879,44,A2,_____ Reform,die,die Reform,the reform,la réforme
880,44,A2,_____ Restaurant,das,das Restaurant,the restaurant,le restaurant
881,45,A2,_____ Schauspieler,der,der Schauspieler,the actor,l'acteur
882,45,A2,_____ Schnee,der,der Schnee,the snow,la neige
883,45,A2,_____ Schülerin,die,die Schülerin,the student,l'étudiant
884,45,A2,_____ Service,der,der Service,the service,le service
885,45,A2,_____ Sitzung,die,die Sitzung,the session,la session
886,45,A2,_____ Sturm,der,der Sturm,the storm,la tempête
887,45,A2,_____ Träne,die,die Träne,the tear,la larme
888,45,A2,_____ Trauer,die,die Trauer,the grief,le deuil
889,45,A2,_____ Vorstand,der,der Vorstand,the board,le conseil d'administration
890,45,A2,_____ Zufall,der,der Zufall,the chance,la chance
891,45,A2,_____ Zustimmung,die,die Zustimmung,the consent,le consentement
892,45,A2,_____ Annahme,die,die Annahme,the assumption,l'hypothèse
893,45,A2,_____ Argument,das,das Argument,the argument,l'argument
894,45,A2,_____ Arzneimittel,das,das Arzneimittel,the drug,le médicament
895,45,A2,_____ Außenminister,der,der Außenminister,the foreign minister,le ministre des Affaires étrangères
896,45,A2,_____ Benutzer,der,der Benutzer,the user,l'utilisateur
897,45,A2,_____ Bescheid,der,der Bescheid,the decision,la décision
898,45,A2,_____ Blume,die,die Blume,the flower,la fleur
899,45,A2,_____ Bundeswehr,die,die Bundeswehr,the German Armed Forces,les forces armées allemandes
900,45,A2,_____ Disziplin,die,die Disziplin,the discipline,la discipline
901,46,A2,_____ Existenz,die,die Existenz,the existence,l'existence
902,46,A2,_____ Fraktion,die,die Fraktion,the parliamentary group,le groupe parlementaire
903,46,A2,_____ Grundgesetz,das,das Grundgesetz,the Basic Law,la loi fondamentale
904,46,A2,_____ Händler,der,der Händler,the dealer,le concessionnaire
905,46,A2,_____ Hinblick,der,der Hinblick,the view,la vue
906,46,A2,_____ Individuum,das,das Individuum,the individual,l'individu
907,46,A2,_____ Katastrophe,die,die Katastrophe,the catastrophe,la catastrophe
908,46,A2,_____ Motiv,das,das Motiv,the motif,le motif
909,46,A2,_____ Musiker,der,der Musiker,the musician,le musicien
910,46,A2,_____ Opposition,die,die Opposition,the opposition,l'opposition
911,46,A2,_____ Papa,der,der Papa,the dad,le père
912,46,A2,_____ Personal,das,das Personal,the staff,le personnel
913,46,A2,_____ Sand,der,der Sand,the sand,le sable
914,46,A2,_____ Station,die,die Station,the station,la station
915,46,A2,_____ Tendenz,die,die Tendenz,the tendency,la tendance
916,46,A2,_____ Training,das,das Training,the training,la formation
917,46,A2,_____ Umsetzung,die,die Umsetzung,the implementation,la mise en œuvre
918,46,A2,_____ Verkäufer,der,der Verkäufer,the seller,le vendeur
919,46,A2,_____ Versorgung,die,die Versorgung,the supply,l'approvisionnement
920,46,A2,_____ Wandel,der,der Wandel,the change,le changement
921,47,A2,_____ Wunder,das,das Wunder,the miracle,le miracle
922,47,A2,_____ Angelegenheit,die,die Angelegenheit,the matter,la question
923,47,A2,_____ Auskunft,die,die Auskunft,the information,les informations
924,47,A2,_____ Ausmaß,das,das Ausmaß,the extent,l'étendue
925,47,A2,_____ Begründung,die,die Begründung,the reason,la raison
926,47,A2,_____ Engagement,das,das Engagement,the commitment,l'engagement
927,47,A2,_____ Entfernung,die,die Entfernung,the distance,la distance
928,47,A2,_____ Fleck,der,der Fleck,the stain,la tache
929,47,A2,_____ Handlung,die,die Handlung,the plot,l'intrigue
930,47,A2,_____ Immunsystem,das,das Immunsystem,the immune system,le système immunitaire
931,47,A2,_____ Koffer,der,der Koffer,the suitcase,la valise
932,47,A2,_____ Not,die,die Not,"the need, the hardship","la nécessité, la détresse"
933,47,A2,_____ Persönlichkeit,die,die Persönlichkeit,the personality,la personnalité
934,47,A2,_____ Schlüssel,der,der Schlüssel,the key,la clé
935,47,A2,_____ Schreibtisch,der,der Schreibtisch,the desk,le bureau
936,47,A2,_____ Seele,die,die Seele,the soul,l'âme
937,47,A2,_____ Unternehmer,der,der Unternehmer,the entrepreneur,l'entrepreneur
938,47,A2,_____ Unternehmung,die,die Unternehmung,the company,l'entreprise
939,47,A2,_____ Vereinbarung,die,die Vereinbarung,the agreement,l'accord
940,47,A2,_____ Video,das,das Video,the video,la vidéo
941,48,A2,_____ Wahrnehmung,die,die Wahrnehmung,the perception,la perception
942,48,A2,_____ Äußerung,die,die Äußerung,the statement,la déclaration
943,48,A2,_____ Begegnung,die,die Begegnung,the encounter,la rencontre
944,48,A2,_____ Café,das,das Café,the café,le café
945,48,A2,_____ Datei,die,die Datei,the file,le fichier
946,48,A2,_____ Dienstleistung,die,die Dienstleistung,the service,le service
947,48,A2,_____ Erzählung,die,die Erzählung,the story,l'histoire
948,48,A2,_____ Ferne,die,die Ferne,the distance,la distance
949,48,A2,_____ Gedicht,das,das Gedicht,the poem,le poème
950,48,A2,_____ Gründung,die,die Gründung,the founding,la fondation
951,48,A2,_____ Keller,der,der Keller,the cellar,la cave
952,48,A2,_____ Konto,das,das Konto,the account,le compte
953,48,A2,_____ Operation,die,die Operation,the operation,l'opération
954,48,A2,_____ Qualifikation,die,die Qualifikation,the qualification,la qualification
955,48,A2,_____ Sammlung,die,die Sammlung,the collection,la collection
956,48,A2,_____ Tonne,die,die Tonne,the barrel,le tonneau
957,48,A2,_____ Träger,der,der Träger,the carrier,le transporteur
958,48,A2,_____ Trend,der,der Trend,the trend,la tendance
959,48,A2,_____ Variante,die,die Variante,the variant,la variante
960,48,A2,_____ Vielfalt,die,die Vielfalt,the diversity,la diversité
961,49,A2,_____ Vielzahl,die,die Vielzahl,the multitude,la multitude
962,49,A2,_____ Zahlung,die,die Zahlung,the payment,le paiement
963,49,A2,_____ Arbeiter,der,der Arbeiter,the worker,l'ouvrier
964,49,A2,_____ Aufwand,der,der Aufwand,the effort,l'effort
965,49,A2,_____ Aufwendung,die,die Aufwendung,the expense,la dépense
966,49,A2,_____ Bauch,der,der Bauch,the belly,le ventre
967,49,A2,_____ Berechnung,die,die Berechnung,the calculation,le calcul
968,49,A2,_____ Bestandteil,der,der Bestandteil,the component,le composant
969,49,A2,_____ Entwicklungsland,das,das Entwicklungsland,the developing country,le pays en développement
970,49,A2,_____ Entwurf,der,der Entwurf,the design,le design
971,49,A2,_____ Fachhochschule,die,die Fachhochschule,the university of applied sciences,l'université des sciences appliquées
972,49,A2,_____ Fernseher,der,der Fernseher,the TV,la télévision
973,49,A2,_____ Finanzierung,die,die Finanzierung,the financing,le financement
974,49,A2,_____ Hose,die,die Hose,the pants,le pantalon
975,49,A2,_____ Impuls,der,der Impuls,the impulse,l'impulsion
976,49,A2,_____ Kapital,das,das Kapital,the capital,la capitale
977,49,A2,_____ Kern,der,der Kern,the core,le noyau
978,49,A2,_____ Motor,der,der Motor,the engine,le moteur
979,49,A2,_____ Rang,der,der Rang,the rank,le rang
980,49,A2,_____ Regisseur,der,der Regisseur,the director,le directeur
981,50,A2,_____ Republik,die,die Republik,the Republic,la République
982,50,A2,_____ Salz,das,das Salz,the salt,le sel
983,50,A2,_____ Stil,der,der Stil,the style,le style
984,50,A2,_____ Vermittlung,die,die Vermittlung,the mediation,la médiation
985,50,A2,_____ Wahlkampf,der,der Wahlkampf,the election campaign,la campagne électorale
986,50,A2,_____ Wolke,die,die Wolke,the cloud,le nuage
987,50,A2,_____ Zahn,der,der Zahn,the tooth,la dent
988,50,A2,_____ Anstrengung,die,die Anstrengung,the effort,l'effort
989,50,A2,_____ Behinderung,die,die Behinderung,the disability,le handicap
990,50,A2,_____ Berücksichtigung,die,die Berücksichtigung,the consideration,la considération
991,50,A2,_____ Bord,der,der Bord,the board,le conseil d'administration
992,50,B1,_____ Dichter,der,der Dichter,the poet,le poète
993,50,B1,_____ Eingriff,der,der Eingriff,the procedure,la procédure
994,50,B1,_____ Einwohner,der,der Einwohner,the inhabitant,l'habitant
995,50,B1,_____ Fan,der,der Fan,the fan,le ventilateur
996,50,B1,_____ Hütte,die,die Hütte,the hut,la cabane
997,50,B1,_____ Kooperation,die,die Kooperation,the cooperation,la coopération
998,50,B1,_____ Stasi,die,die Stasi,the Stasi,la Stasi
999,50,B1,_____ Symbol,das,das Symbol,the symbol,le symbole
1000,50,B1,_____ Täter,der,der Täter,the perpetrator,l'auteur
1001,51,B1,_____ Tour,die,die Tour,the tour,la tournée
1002,51,B1,_____ Trennung,die,die Trennung,the separation,la séparation
1003,51,B1,_____ Übertragung,die,die Übertragung,the transfer,le transfert
1004,51,B1,_____ Verfassung,die,die Verfassung,the constitution,la constitution
1005,51,B1,_____ Zeitschrift,die,die Zeitschrift,the magazine,le magazine
1006,51,B1,_____ Absicht,die,die Absicht,the intention,l'intention
1007,51,B1,_____ Architekt,der,der Architekt,the architect,l'architecte
1008,51,B1,_____ Aufmerksamkeit,die,die Aufmerksamkeit,the attention,l'attention
1009,51,B1,_____ Beschluss,der,der Beschluss,the decision,la décision
1010,51,B1,_____ Bibel,die,die Bibel,the Bible,la Bible
1011,51,B1,_____ Bindung,die,die Bindung,the bond,le lien
1012,51,B1,_____ Börse,die,die Börse,the stock exchange,la bourse
1013,51,B1,_____ Business,das,das Business,the business,l'entreprise
1014,51,B1,_____ Ehegatte,der,der Ehegatte,the spouse,le conjoint
1015,51,B1,_____ Einschätzung,die,die Einschätzung,the assessment,l'évaluation
1016,51,B1,_____ Elektron,das,das Elektron,the electron,l'électron
1017,51,B1,_____ Entstehung,die,die Entstehung,the origin,l'origine
1018,51,B1,_____ Erweiterung,die,die Erweiterung,the expansion,l'expansion
1019,51,B1,_____ Feind,der,der Feind,the enemy,l'ennemi
1020,51,B1,_____ Flucht,die,die Flucht,the escape,l'évasion
1021,52,B1,_____ Flüchtling,der,der Flüchtling,the refugee,le réfugié
1022,52,B1,_____ Geschlecht,das,das Geschlecht,the gender,le genre
1023,52,B1,_____ Gewissen,das,das Gewissen,the conscience,la conscience
1024,52,B1,_____ Gläubiger,der,der Gläubiger,the creditor,le créancier
1025,52,B1,_____ Griff,der,der Griff,the handle,la poignée
1026,52,B1,_____ Halt,der,der Halt,the stop,l'arrêt
1027,52,B1,_____ Hemd,das,das Hemd,the shirt,la chemise
1028,52,B1,_____ Infektion,die,die Infektion,the infection,l'infection
1029,52,B1,_____ Kindergarten,der,der Kindergarten,the kindergarten,la maternelle
1030,52,B1,_____ Klima,das,das Klima,the climate,le climat
1031,52,B1,_____ Kontinent,der,der Kontinent,the continent,le continent
1032,52,B1,_____ Kündigung,die,die Kündigung,the termination,la fin
1033,52,B1,_____ Mantel,der,der Mantel,the coat,le manteau
1034,52,B1,_____ Marketing,das,das Marketing,the marketing,le marketing
1035,52,B1,_____ Mister,der,der Mister,the Mister,Monsieur
1036,52,B1,_____ Mut,der,der Mut,the courage,le courage
1037,52,B1,_____ Nebenwirkung,die,die Nebenwirkung,the side effect,l'effet secondaire
1038,52,B1,_____ Oper,die,die Oper,the opera,l'opéra
1039,52,B1,_____ Orchester,das,das Orchester,the orchestra,l'orchestre
1040,52,B1,_____ Paket,das,das Paket,the package,le paquet
1041,53,B1,_____ Ressource,die,die Ressource,the resource,la ressource
1042,53,B1,_____ Revolution,die,die Revolution,the revolution,la révolution
1043,53,B1,_____ Richtlinie,die,die Richtlinie,the guideline,la ligne directrice
1044,53,B1,_____ Rückkehr,die,die Rückkehr,the return,le retour
1045,53,B1,_____ Scheibe,die,die Scheibe,the disc,le disque
1046,53,B1,_____ Stille,die,die Stille,the silence,le silence
1047,53,B1,_____ Stress,der,der Stress,the stress,le stress
1048,53,B1,_____ These,die,die These,the thesis,la thèse
1049,53,B1,_____ Transport,der,der Transport,the transport,le transport
1050,53,B1,_____ Übergang,der,der Übergang,the transition,la transition
1051,53,B1,_____ Vorbild,das,das Vorbild,the model,le modèle
1052,53,B1,_____ Vorgehen,das,das Vorgehen,the procedure,la procédure
1053,53,B1,_____ Widerspruch,der,der Widerspruch,the contradiction,la contradiction
1054,53,B1,_____ Wüste,die,die Wüste,the desert,le désert
1055,53,B1,_____ Alkohol,der,der Alkohol,the alcohol,l'alcool
1056,53,B1,_____ Anerkennung,die,die Anerkennung,the recognition,la reconnaissance
1057,53,B1,_____ Aufenthalt,der,der Aufenthalt,the stay,le séjour
1058,53,B1,_____ Aussicht,die,die Aussicht,the view,la vue
1059,53,B1,_____ Ball,der,der Ball,the ball,la balle
1060,53,B1,_____ Bemerkung,die,die Bemerkung,the remark,la remarque
1061,54,B1,_____ Besitz,der,der Besitz,the possession,la possession
1062,54,B1,_____ Chemie,die,die Chemie,the chemistry,la chimie
1063,54,B1,_____ Distanz,die,die Distanz,the distance,la distance
1064,54,B1,_____ Ei,das,das Ei,the egg,l'œuf
1065,54,B1,_____ Frist,die,die Frist,the deadline,la date limite
1066,54,B1,_____ Geschenk,das,das Geschenk,the gift,le cadeau
1067,54,B1,_____ Gestaltung,die,die Gestaltung,the design,le design
1068,54,B1,_____ Heim,das,das Heim,the home,la maison
1069,54,B1,_____ Höhepunkt,der,der Höhepunkt,the highlight,le point culminant
1070,54,B1,_____ Horizont,der,der Horizont,the horizon,l'horizon
1071,54,B1,_____ Konferenz,die,die Konferenz,the conference,la conférence
1072,54,B1,_____ Kreuz,das,das Kreuz,the cross,la croix
1073,54,B1,_____ Notwendigkeit,die,die Notwendigkeit,the need,le besoin
1074,54,B1,_____ Organ,das,das Organ,the organ,l'organe
1075,54,B1,_____ Presse,die,die Presse,the press,la presse
1076,54,B1,_____ Rechtsprechung,die,die Rechtsprechung,the jurisprudence,la jurisprudence
1077,54,B1,_____ Regal,das,das Regal,the shelf,l'étagère
1078,54,B1,_____ Ring,der,der Ring,the ring,la bague
1079,54,B1,_____ Übung,die,die Übung,the exercise,l'exercice
1080,54,B1,_____ Vortrag,der,der Vortrag,the lecture,la conférence
1081,55,B1,_____ Zeile,die,die Zeile,the line,la ligne
1082,55,B1,_____ Ausführung,die,die Ausführung,the execution,l'exécution
1083,55,B1,_____ Besitzer,der,der Besitzer,the owner,le propriétaire
1084,55,B1,_____ Center,das,das Center,the center,le centre
1085,55,B1,_____ Eingang,der,der Eingang,the entrance,l'entrée
1086,55,B1,_____ Erscheinung,die,die Erscheinung,the appearance,l'apparence
1087,55,B1,_____ Flug,der,der Flug,the flight,le vol
1088,55,B1,_____ Fragestellung,die,die Fragestellung,the question,la question
1089,55,B1,_____ Freundschaft,die,die Freundschaft,the friendship,l'amitié
1090,55,B1,_____ Frühstück,das,das Frühstück,breakfast,petit-déjeuner
1091,55,B1,_____ Gehalt,das,das Gehalt,the salary,le salaire
1092,55,B1,_____ Gehalt,der,der Gehalt,the salary,le salaire
1093,55,B1,_____ Geheimnis,das,das Geheimnis,the secret,le secret
1094,55,B1,_____ Geräusch,das,das Geräusch,the noise,le bruit
1095,55,B1,_____ Geschmack,der,der Geschmack,the taste,le goût
1096,55,B1,_____ Gold,das,das Gold,the gold,l'or
1097,55,B1,_____ Hafen,der,der Hafen,the port,le port
1098,55,B1,_____ Hut,der,der Hut,the hat,le chapeau
1099,55,B1,_____ Hut,die,die Hut,the hat,le chapeau
1100,55,B1,_____ Interpretation,die,die Interpretation,the interpretation,l'interprétation
1101,56,B1,_____ Klage,die,die Klage,the lawsuit,le procès
1102,56,B1,_____ Klinik,die,die Klinik,the clinic,la clinique
1103,56,B1,_____ Lehrerin,die,die Lehrerin,the teacher,l'enseignant
1104,56,B1,_____ Marke,die,die Marke,the brand,la marque
1105,56,B1,_____ Medikament,das,das Medikament,the drug,le médicament
1106,56,B1,_____ Miete,die,die Miete,the rent,le loyer
1107,56,B1,_____ Öl,das,das Öl,the oil,l'huile
1108,56,B1,_____ Pass,der,der Pass,the passport,le passeport
1109,56,B1,_____ Phantasie,die,die Phantasie,the imagination,l'imagination
1110,56,B1,_____ Prognose,die,die Prognose,the forecast,la prévision
1111,56,B1,_____ Protein,das,das Protein,the protein,la protéine
1112,56,B1,_____ Protokoll,das,das Protokoll,the protocol,le protocole
1113,56,B1,_____ Schreck,der,der Schreck,the fright,la peur
1114,56,B1,_____ Serie,die,die Serie,the series,la série
1115,56,B1,_____ Tee,der,der Tee,the tea,le thé
1116,56,B1,_____ Turm,der,der Turm,the tower,la tour
1117,56,B1,_____ Überzeugung,die,die Überzeugung,the conviction,la condamnation
1118,56,B1,_____ Vorgabe,die,die Vorgabe,the requirement,l'exigence
1119,56,B1,_____ Wende,die,die Wende,the turn,le tour
1120,56,B1,_____ Abhängigkeit,die,die Abhängigkeit,the dependence,la dépendance
1121,57,B1,_____ Arbeitsmarkt,der,der Arbeitsmarkt,the labor market,le marché du travail
1122,57,B1,_____ Ärger,der,der Ärger,the trouble,le problème
1123,57,B1,_____ Austausch,der,der Austausch,the exchange,l'échange
1124,57,B1,_____ Betreuung,die,die Betreuung,the care,les soins
1125,57,B1,_____ Bombe,die,die Bombe,the bomb,la bombe
1126,57,B1,_____ Dialog,der,der Dialog,the dialogue,le dialogue
1127,57,B1,_____ Entschuldigung,die,die Entschuldigung,the apology,l'excuse
1128,57,B1,_____ Erhöhung,die,die Erhöhung,the increase,l'augmentation
1129,57,B1,_____ Gas,das,das Gas,the gas,le gaz
1130,57,B1,_____ Gen,das,das Gen,the gene,le gène
1131,57,B1,_____ Hitze,die,die Hitze,the heat,la chaleur
1132,57,B1,_____ Kindheit,die,die Kindheit,the childhood,l'enfance
1133,57,B1,_____ Klavier,das,das Klavier,the piano,le piano
1134,57,B1,_____ Konzentration,die,die Konzentration,the concentration,la concentration
1135,57,B1,_____ Leib,der,der Leib,the body,le corps
1136,57,B1,_____ Maler,der,der Maler,the painter,le peintre
1137,57,B1,_____ Menschheit,die,die Menschheit,the humanity,l'humanité
1138,57,B1,_____ Milch,die,die Milch,the milk,le lait
1139,57,B1,_____ Mord,der,der Mord,the murder,le meurtre
1140,57,B1,_____ Pilot,der,der Pilot,the pilot,le pilote
1141,58,B1,_____ Resultat,das,das Resultat,the result,le résultat
1142,58,B1,_____ Riese,der,der Riese,the giant,le géant
1143,58,B1,_____ Stock,der,der Stock,the stick,le bâton
1144,58,B1,_____ Strafe,die,die Strafe,the punishment,la punition
1145,58,B1,_____ Übersetzer,der,der Übersetzer,the translator,le traducteur
1146,58,B1,_____ Ufer,das,das Ufer,the shore,le rivage
1147,58,B1,_____ Umfrage,die,die Umfrage,the survey,l'enquête
1148,58,B1,_____ Baby,das,das Baby,the baby,le bébé
1149,58,B1,_____ City,die,die City,the city,la ville
1150,58,B1,_____ Differenz,die,die Differenz,the difference,la différence
1151,58,B1,_____ Dunkelheit,die,die Dunkelheit,the darkness,l'obscurité
1152,58,B1,_____ Dutzend,das,das Dutzend,the dozen,la douzaine
1153,58,B1,_____ Eis,das,das Eis,the ice,la glace
1154,58,B1,_____ Empfang,der,der Empfang,the reception,la réception
1155,58,B1,_____ Empfänger,der,der Empfänger,the recipient,le destinataire
1156,58,B1,_____ Ernährung,die,die Ernährung,the nutrition,la nutrition
1157,58,B1,_____ Gesichtspunkt,der,der Gesichtspunkt,the point of view,le point de vue
1158,58,B1,_____ Großmutter,die,die Großmutter,the grandmother,la grand-mère
1159,58,B1,_____ Herkunft,die,die Herkunft,the origin,l'origine
1160,58,B1,_____ Hochzeit,die,die Hochzeit,the wedding,le mariage
1161,59,B1,_____ Hunger,der,der Hunger,the hunger,la faim
1162,59,B1,_____ Konjunktur,die,die Konjunktur,the economy,l'économie
1163,59,B1,_____ Konkurrent,der,der Konkurrent,the competitor,le concurrent
1164,59,B1,_____ Last,die,die Last,the burden,le fardeau
1165,59,B1,_____ Lebensjahr,das,das Lebensjahr,the year of life,l'année de la vie
1166,59,B1,_____ Medium,das,das Medium,the medium,le médium
1167,59,B1,_____ Mischung,die,die Mischung,the mixture,le mélange
1168,59,B1,_____ Muster,das,das Muster,the pattern,le modèle
1169,59,B1,_____ Nachfolger,der,der Nachfolger,the successor,le successeur
1170,59,B1,_____ Note,die,die Note,the grade,la note
1171,59,B1,_____ Onkel,der,der Onkel,the uncle,l'oncle
1172,59,B1,_____ Potenzial,das,das Potenzial,the potential,le potentiel
1173,59,B1,_____ Protest,der,der Protest,the protest,la manifestation
1174,59,B1,_____ Reiz,der,der Reiz,the appeal,l'appel
1175,59,B1,_____ Rohstoff,der,der Rohstoff,the raw material,la matière première
1176,59,B1,_____ Sachverhalt,der,der Sachverhalt,the facts,les faits
1177,59,B1,_____ Schuss,der,der Schuss,the shot,le coup
1178,59,B1,_____ Sicherung,die,die Sicherung,the safety,la sécurité
1179,59,B1,_____ Sieger,der,der Sieger,the winner,le gagnant
1180,59,B1,_____ Statistik,die,die Statistik,the statistics,les statistiques
1181,60,B1,_____ Strahlung,die,die Strahlung,the radiation,le rayonnement
1182,60,B1,_____ Taxi,das,das Taxi,the taxi,le taxi
1183,60,B1,_____ Turnier,das,das Turnier,the tournament,le tournoi
1184,60,B1,_____ Übernahme,die,die Übernahme,the takeover,la prise de contrôle
1185,60,B1,_____ Verarbeitung,die,die Verarbeitung,the processing,le traitement
1186,60,B1,_____ Veröffentlichung,die,die Veröffentlichung,the publication,la publication
1187,60,B1,_____ Verteilung,die,die Verteilung,the distribution,la distribution
1188,60,B1,_____ Wiedervereinigung,die,die Wiedervereinigung,the reunification,la réunification
1189,60,B1,_____ Witz,der,der Witz,the joke,la blague
1190,60,B1,_____ Abschied,der,der Abschied,the farewell,les adieux
1191,60,B1,_____ Benutzung,die,die Benutzung,the use,l'utilisation
1192,60,B1,_____ Beurteilung,die,die Beurteilung,the assessment,l'évaluation
1193,60,B1,_____ Bewerber,der,der Bewerber,the applicant,le demandeur
1194,60,B1,_____ Defizit,das,das Defizit,the deficit,le déficit
1195,60,B1,_____ Einschränkung,die,die Einschränkung,the restriction,la restriction
1196,60,B1,_____ Ermittlung,die,die Ermittlung,the investigation,l'enquête
1197,60,B1,_____ Ertrag,der,der Ertrag,the yield,le rendement
1198,60,B1,_____ Flur,der,der Flur,the corridor,le couloir
1199,60,B1,_____ Format,das,das Format,the format,le format
1200,60,B1,_____ Held,der,der Held,the hero,le héros
1201,61,B1,_____ Herstellung,die,die Herstellung,the production,la production
1202,61,B1,_____ Kaiser,der,der Kaiser,the emperor,l'empereur
1203,61,B1,_____ Kammer,die,die Kammer,the chamber,la chambre
1204,61,B1,_____ Kette,die,die Kette,the chain,la chaîne
1205,61,B1,_____ Kleidung,die,die Kleidung,the clothing,les vêtements
1206,61,B1,_____ Kneipe,die,die Kneipe,the pub,le pub
1207,61,B1,_____ Kritiker,der,der Kritiker,the critic,le critique
1208,61,B1,_____ Küste,die,die Küste,the coast,la côte
1209,61,B1,_____ Messer,das,das Messer,the knife,le couteau
1210,61,B1,_____ Messung,die,die Messung,the measurement,la mesure
1211,61,B1,_____ Motto,das,das Motto,the motto,la devise
1212,61,B1,_____ Nutzer,der,der Nutzer,the user,l'utilisateur
1213,61,B1,_____ Passagier,der,der Passagier,the passenger,le passager
1214,61,B1,_____ Premiere,die,die Premiere,the premiere,la première
1215,61,B1,_____ Probe,die,die Probe,the sample,l'échantillon
1216,61,B1,_____ Quadratmeter,der,der Quadratmeter,the square meter,le mètre carré
1217,61,B1,_____ Saal,der,der Saal,the hall,le hall
1218,61,B1,_____ Schwäche,die,die Schwäche,the weakness,la faiblesse
1219,61,B1,_____ Sektor,der,der Sektor,the sector,le secteur
1220,61,B1,_____ Sprung,der,der Sprung,the jump,le saut
1221,62,B1,_____ Symptom,das,das Symptom,the symptom,le symptôme
1222,62,B1,_____ Tennis,das,das Tennis,tennis,tennis
1223,62,B1,_____ Top,das,das Top,the top,le haut
1224,62,B1,_____ Tuch,das,das Tuch,the cloth,le tissu
1225,62,B1,_____ Überraschung,die,die Überraschung,the surprise,la surprise
1226,62,B1,_____ Übersetzung,die,die Übersetzung,the translation,la traduction
1227,62,B1,_____ Verbreitung,die,die Verbreitung,the spread,l'étalement
1228,62,B1,_____ Virus,das,das Virus,the virus,le virus
1229,62,B1,_____ Vorhaben,das,das Vorhaben,the project,le projet
1230,62,B1,_____ Vorlage,die,die Vorlage,the template,le modèle
1231,62,B1,_____ Wärme,die,die Wärme,the heat,la chaleur
1232,62,B1,_____ Werbung,die,die Werbung,the advertising,la publicité
1233,62,B1,_____ Wiese,die,die Wiese,the meadow,la prairie
1234,62,B1,_____ Zelt,das,das Zelt,the tent,la tente
1235,62,B1,_____ Anhänger,der,der Anhänger,the follower,le suiveur
1236,62,B1,_____ Anzeige,die,die Anzeige,the ad,la publicité
1237,62,B1,_____ Aufklärung,die,die Aufklärung,the Enlightenment,les Lumières
1238,62,B1,_____ Auflösung,die,die Auflösung,the resolution,la résolution
1239,62,B1,_____ Bestellung,die,die Bestellung,the order,l'ordre
1240,62,B1,_____ Bude,der,der Bude,the booth,le stand
1241,63,B1,_____ Bündnis,das,das Bündnis,the alliance,l'alliance
1242,63,B1,_____ Burg,die,die Burg,the castle,le château
1243,63,B1,_____ Dialekt,der,der Dialekt,the dialect,le dialecte
1244,63,B1,_____ Durchführung,die,die Durchführung,the implementation,la mise en œuvre
1245,63,B1,_____ Einigung,die,die Einigung,the agreement,l'accord
1246,63,B1,_____ Einsicht,die,die Einsicht,the insight,l'intuition
1247,63,B1,_____ Gedächtnis,das,das Gedächtnis,the memory,le souvenir
1248,63,B1,_____ Gefängnis,das,das Gefängnis,the prison,la prison
1249,63,B1,_____ Gleichung,die,die Gleichung,the equation,l'équation
1250,63,B1,_____ Herrschaft,die,die Herrschaft,the rule,la règle
1251,63,B1,_____ Infrastruktur,die,die Infrastruktur,the infrastructure,l'infrastructure
1252,63,B1,_____ Katalog,der,der Katalog,the catalogue,le catalogue
1253,63,B1,_____ Meldung,die,die Meldung,the message,le message
1254,63,B1,_____ Mission,die,die Mission,the mission,la mission
1255,63,B1,_____ Mitteilung,die,die Mitteilung,the message,le message
1256,63,B1,_____ Nahrung,die,die Nahrung,the food,la nourriture
1257,63,B1,_____ Nebel,der,der Nebel,the fog,le brouillard
1258,63,B1,_____ Offizier,der,der Offizier,the officer,l'officier
1259,63,B1,_____ Oma,die,die Oma,the grandma,la grand-mère
1260,63,B1,_____ Philosophie,die,die Philosophie,the philosophy,la philosophie
1261,64,B1,_____ Realisierung,die,die Realisierung,the realization,la réalisation
1262,64,B1,_____ Schein,der,der Schein,the appearance,l'apparence
1263,64,B1,_____ Schnitt,der,der Schnitt,the cut,la coupe
1264,64,B1,_____ Schnittstelle,die,die Schnittstelle,the interface,l'interface
