exercise,level,level_routledge,level_goethe,question,answer,german,english,french,explanation_english_,explanation_french_,explanation_english,explanation_french
47,B1,B1,B1,der Kasten,Kästen,die Kästen,the box,la boîte,,,​,​
47,B1,B1,B1,das Magazin,Magazine,die Magazine,the magazine,le magazine,,,​,​
47,B1,B1,B1,der Mieter,Mieter,die Mieter,the tenant,le locataire,,,​,​
47,B1,B1,B1,die Minderheit,Minderheiten,die Minderheiten,the minority,la minorité,Words finishing in -heit add -en in their plural form,Les mots se terminant par -heit prennent la terminaison -en au pluriel,<br><br>Words finishing in -heit add -en in their plural form,<br><br>Les mots se terminant par -heit prennent la terminaison -en au pluriel
47,B1,B1,B1,die Scheidung,Scheidungen,die Scheidungen,the divorce,le divorce,Words finishing in -ung add -en in their plural form,Les noms communs se terminant par -ung prennent la terminaison -en au pluriel,<br><br>Words finishing in -ung add -en in their plural form,<br><br>Les noms communs se terminant par -ung prennent la terminaison -en au pluriel
47,B1,B1,B1,der Spezialist,Spezialisten,die Spezialisten,the specialist,le spécialiste,,,​,​
47,B1,B1,A1,das Ticket,Tickets,die Tickets,the ticket,le billet,Many loan words add an -s in their plural form,De nombreux noms communs d'origine étrangère prennent un -s au pluriel,<br><br>Many loan words add an -s in their plural form,<br><br>De nombreux noms communs d'origine étrangère prennent un -s au pluriel
47,B1,B1,B1,die Uniform,Uniformen,die Uniformen,the uniform,l'uniforme,,,​,​
47,B1,B1,B1,das Vitamin,Vitamine,die Vitamine,the vitamin,la vitamine,,,​,​
47,B1,B1,B1,die Weiterbildung,Weiterbildungen,die Weiterbildungen,the further education,la formation continue,Words finishing in -ung add -en in their plural form,Les noms communs se terminant par -ung prennent la terminaison -en au pluriel,<br><br>Words finishing in -ung add -en in their plural form,<br><br>Les noms communs se terminant par -ung prennent la terminaison -en au pluriel
47,B1,B1,A2,der Zucker,Zucker,die Zucker,the sugar,le sucre,,,​,​
47,B1,B1,A1,der Apfel,Äpfel,die Äpfel,the Apple,la pomme,,,​,​
47,B1,B1,B1,die Bar,Bars,die Bars,the bar,le bar,Many loan words add an -s in their plural form,De nombreux noms communs d'origine étrangère prennent un -s au pluriel,<br><br>Many loan words add an -s in their plural form,<br><br>De nombreux noms communs d'origine étrangère prennent un -s au pluriel
47,B1,B1,A1,das Datum,Daten,die Daten,the date,la date,,,​,​
47,B1,B1,B1,das Forum,Foren,die Foren,the forum,le forum,,,​,​
47,B1,B1,B1,die Frucht,Früchte,die Früchte,the fruit,le fruit,,,​,​
47,B1,B1,B1,der Hörer,Hörer,die Hörer,the listener,l'auditeur,,,​,​
47,B1,B1,A1,die Jacke,Jacken,die Jacken,the jacket,la veste,Most words finishing in -e add a -n in their plural form,La plupart des noms communs se terminant par -e prennent un -n au pluriel,<br><br>Most words finishing in -e add a -n in their plural form,<br><br>La plupart des noms communs se terminant par -e prennent un -n au pluriel
47,B1,B1,A2,die Lampe,Lampen,die Lampen,the lamp,la lampe,Most words finishing in -e add a -n in their plural form,La plupart des noms communs se terminant par -e prennent un -n au pluriel,<br><br>Most words finishing in -e add a -n in their plural form,<br><br>La plupart des noms communs se terminant par -e prennent un -n au pluriel
48,B1,B1,B1,das Metall,Metalle,die Metalle,the metal,le métal,,,​,​
48,B1,B1,B1,der Ordner,Ordner,die Ordner,the folder,le dossier,,,​,​
48,B1,B1,B1,der Ozean,Ozeane,die Ozeane,the ocean,l'océan,,,​,​
48,B1,B1,A1,die Reparatur,Reparaturen,die Reparaturen,the repair,la réparation,,,​,​
48,B1,B1,A2,die Rose,Rosen,die Rosen,the rose,la rose,Most words finishing in -e add a -n in their plural form,La plupart des noms communs se terminant par -e prennent un -n au pluriel,<br><br>Most words finishing in -e add a -n in their plural form,<br><br>La plupart des noms communs se terminant par -e prennent un -n au pluriel
48,B1,B1,A2,der Rucksack,Rucksäcke,die Rucksäcke,the backpack,le sac à dos,,,​,​
48,B1,B1,B1,der Sänger,Sänger,die Sänger,the singer,le chanteur,,,​,​
48,B1,B1,A2,die Tablette,Tabletten,die Tabletten,the tablet,la tablette,Most words finishing in -e add a -n in their plural form,La plupart des noms communs se terminant par -e prennent un -n au pluriel,<br><br>Most words finishing in -e add a -n in their plural form,<br><br>La plupart des noms communs se terminant par -e prennent un -n au pluriel
48,B1,B1,A2,der Umzug,Umzüge,die Umzüge,the move,le déménagement,,,​,​
48,B1,B1,B1,der Abfall,Abfälle,die Abfälle,the waste,les déchets,,,​,​
48,B1,B1,A1,der Ausweis,Ausweise,die Ausweise,the ID card,la carte d'identité,,,​,​
48,B1,B1,B1,das Diplom,Diplome,die Diplome,the diploma,le diplôme,,,​,​
48,B1,B1,A2,die Feier,Feiern,die Feiern,the party,la fête,,,​,​
48,B1,B1,A1,der Frühling,Frühlinge,die Frühlinge,the spring,le printemps,,,​,​
48,B1,B1,A1,der Gruß,Grüße,die Grüße,the greeting,la salutation,,,​,​
48,B1,B1,B1,die Kerze,Kerzen,die Kerzen,the candle,la bougie,Most words finishing in -e add a -n in their plural form,La plupart des noms communs se terminant par -e prennent un -n au pluriel,<br><br>Most words finishing in -e add a -n in their plural form,<br><br>La plupart des noms communs se terminant par -e prennent un -n au pluriel
48,B1,B1,B1,der Koch,Köche,die Köche,the cook,le cuisinier,,,​,​
48,B1,B1,A2,die Krankenkasse,Krankenkassen,die Krankenkassen,the health insurance company,la compagnie d'assurance maladie,Most words finishing in -e add a -n in their plural form,La plupart des noms communs se terminant par -e prennent un -n au pluriel,<br><br>Most words finishing in -e add a -n in their plural form,<br><br>La plupart des noms communs se terminant par -e prennent un -n au pluriel
48,B1,B1,B1,der Kunststoff,Kunststoffe,die Kunststoffe,the plastic,le plastique,,,​,​
48,B1,B1,B1,die Laune,Launen,die Launen,the mood,l'humeur,Most words finishing in -e add a -n in their plural form,La plupart des noms communs se terminant par -e prennent un -n au pluriel,<br><br>Most words finishing in -e add a -n in their plural form,<br><br>La plupart des noms communs se terminant par -e prennent un -n au pluriel
49,B1,B1,B1,das Nahrungsmittel,Nahrungsmittel,die Nahrungsmittel,the food,la nourriture,,,​,​
49,B1,B1,B1,die Schlange,Schlangen,die Schlangen,the snake,le serpent,Most words finishing in -e add a -n in their plural form,La plupart des noms communs se terminant par -e prennent un -n au pluriel,<br><br>Most words finishing in -e add a -n in their plural form,<br><br>La plupart des noms communs se terminant par -e prennent un -n au pluriel
49,B1,B1,A2,das Schwein,Schweine,die Schweine,the pig,le cochon,,,​,​
49,B1,B1,B1,der Zuhörer,Zuhörer,die Zuhörer,the listener,l'auditeur,,,​,​
50,B2,A1,B2,das Wort,Wörter,die Wörter,the word,le mot,,,​,​
50,B2,A1,B2,das Unternehmen,Unternehmen,die Unternehmen,the company,l'entreprise,,,​,​
50,B2,A1,B2,der Monat,Monate,die Monate,the month,le mois,,,​,​
50,B2,A1,B2,der Staat,Staaten,die Staaten,the State,l'État,,,​,​
50,B2,A1,B2,das Gesicht,Gesichter,die Gesichter,the face,le visage,,,​,​
50,B2,A1,B2,die Weise,Weisen,die Weisen,the way,le chemin,Most words finishing in -e add a -n in their plural form,La plupart des noms communs se terminant par -e prennent un -n au pluriel,<br><br>Most words finishing in -e add a -n in their plural form,<br><br>La plupart des noms communs se terminant par -e prennent un -n au pluriel
50,B2,A1,B2,die Regierung,Regierungen,die Regierungen,the government,le gouvernement,Words finishing in -ung add -en in their plural form,Les noms communs se terminant par -ung prennent la terminaison -en au pluriel,<br><br>Words finishing in -ung add -en in their plural form,<br><br>Les noms communs se terminant par -ung prennent la terminaison -en au pluriel
50,B2,A1,B2,der Begriff,Begriffe,die Begriffe,the term,le terme,,,​,​
50,B2,A1,B2,die Funktion,Funktionen,die Funktionen,the function,la fonction,,,​,​
50,B2,A1,B2,das Jahrhundert,Jahrhunderte,die Jahrhunderte,the century,le siècle,,,​,​
50,B2,A1,B2,der Rahmen,Rahmen,die Rahmen,the frame,le cadre,,,​,​
50,B2,A1,B2,der Absatz,Absätze,die Absätze,the paragraph,le paragraphe,,,​,​
50,B2,A1,B2,der Präsident,Präsidenten,die Präsidenten,the president,le président,,,​,​
50,B2,A1,B2,die Partei,Parteien,die Parteien,the party,la fête,,,​,​
50,B2,A1,B2,der Einsatz,Einsätze,die Einsätze,the deployment,le déploiement,,,​,​
50,B2,A1,B2,die Verfügung,Verfügungen,die Verfügungen,the order,l'ordre,Words finishing in -ung add -en in their plural form,Les noms communs se terminant par -ung prennent la terminaison -en au pluriel,<br><br>Words finishing in -ung add -en in their plural form,<br><br>Les noms communs se terminant par -ung prennent la terminaison -en au pluriel
50,B2,A1,B2,die Anwendung,Anwendungen,die Anwendungen,the application,l'application,Words finishing in -ung add -en in their plural form,Les noms communs se terminant par -ung prennent la terminaison -en au pluriel,<br><br>Words finishing in -ung add -en in their plural form,<br><br>Les noms communs se terminant par -ung prennent la terminaison -en au pluriel
50,B2,A1,B2,der Dollar,Dollar,die Dollar,the dollar,le dollar,,,​,​
50,B2,A1,B2,das Verfahren,Verfahren,die Verfahren,the procedure,la procédure,,,​,​
50,B2,A1,B2,die Maßnahme,Maßnahmen,die Maßnahmen,the measure,la mesure,Most words finishing in -e add a -n in their plural form,La plupart des noms communs se terminant par -e prennent un -n au pluriel,<br><br>Most words finishing in -e add a -n in their plural form,<br><br>La plupart des noms communs se terminant par -e prennent un -n au pluriel
51,B2,A1,B2,die Ebene,Ebenen,die Ebenen,the level,le niveau,Most words finishing in -e add a -n in their plural form,La plupart des noms communs se terminant par -e prennent un -n au pluriel,<br><br>Most words finishing in -e add a -n in their plural form,<br><br>La plupart des noms communs se terminant par -e prennent un -n au pluriel
51,B2,A1,B2,die Einheit,Einheiten,die Einheiten,the unit,l'unité,Words finishing in -heit add -en in their plural form,Les mots se terminant par -heit prennent la terminaison -en au pluriel,<br><br>Words finishing in -heit add -en in their plural form,<br><br>Les mots se terminant par -heit prennent la terminaison -en au pluriel
51,B2,A1,B2,das Lächeln,Lächeln,die Lächeln,the smile,le sourire,,,​,​
51,B2,A1,B2,das Prinzip,Prinzipien,die Prinzipien,the principle,le principe,,,​,​
51,B2,A1,B2,die Struktur,Strukturen,die Strukturen,the structure,la structure,,,​,​
51,B2,A1,B2,die Macht,Mächte,die Mächte,the power,le pouvoir,,,​,​
51,B2,A1,B2,die Veränderung,Veränderungen,die Veränderungen,the change,le changement,Words finishing in -ung add -en in their plural form,Les noms communs se terminant par -ung prennent la terminaison -en au pluriel,<br><br>Words finishing in -ung add -en in their plural form,<br><br>Les noms communs se terminant par -ung prennent la terminaison -en au pluriel
51,B2,A1,B2,das Konzept,Konzepte,die Konzepte,the concept,le concept,,,​,​
51,B2,A1,B2,die Zelle,Zellen,die Zellen,the cell,la cellule,Most words finishing in -e add a -n in their plural form,La plupart des noms communs se terminant par -e prennent un -n au pluriel,<br><br>Most words finishing in -e add a -n in their plural form,<br><br>La plupart des noms communs se terminant par -e prennent un -n au pluriel
51,B2,A1,B2,das Maß,Maße,die Maße,the measure,la mesure,,,​,​
51,B2,A1,B2,der Ansatz,Ansätze,die Ansätze,the approach,l'approche,,,​,​
51,B2,A1,B2,der Aspekt,Aspekte,die Aspekte,the aspect,l'aspect,,,​,​
51,B2,A1,B2,der Umstand,Umstände,die Umstände,the circumstance,la circonstance,,,​,​
51,B2,A1,B2,die Wissenschaft,Wissenschaften,die Wissenschaften,science,la science,,,​,​
51,B2,A1,B2,die Grundlage,Grundlagen,die Grundlagen,the basis,la base,Most words finishing in -e add a -n in their plural form,La plupart des noms communs se terminant par -e prennent un -n au pluriel,<br><br>Most words finishing in -e add a -n in their plural form,<br><br>La plupart des noms communs se terminant par -e prennent un -n au pluriel
51,B2,A1,B2,die Gemeinde,Gemeinden,die Gemeinden,the community,la communauté,Most words finishing in -e add a -n in their plural form,La plupart des noms communs se terminant par -e prennent un -n au pluriel,<br><br>Most words finishing in -e add a -n in their plural form,<br><br>La plupart des noms communs se terminant par -e prennent un -n au pluriel
51,B2,A1,B2,die Position,Positionen,die Positionen,the position,la position,,,​,​
51,B2,A1,B2,die Bundesrepublik,Bundesrepubliken,die Bundesrepubliken,the Federal Republic,la République fédérale,,,​,​
51,B2,A1,B2,die Sicht,Sichten,die Sichten,the view,la vue,,,​,​
51,B2,A1,B2,der Soldat,Soldaten,die Soldaten,the soldier,le soldat,,,​,​
52,B2,A1,B2,das Volk,Völker,die Völker,the people,le peuple,,,​,​
52,B2,A1,B2,der Angriff,Angriffe,die Angriffe,the attack,l'attaque,,,​,​
52,B2,A1,B2,der Anteil,Anteile,die Anteile,the proportion,la proportion,,,​,​
52,B2,B1,B2,der/die Beschäftigte,Beschäftigte,die Beschäftigte,the employee,l'employé,,,​,​
52,B2,A1,B2,der Lauf,Läufe,die Läufe,the run,la course,,,​,​
52,B2,A1,B2,der Anschlag,Anschläge,die Anschläge,the attack,l'attaque,,,​,​
52,B2,A1,B2,die Behandlung,Behandlungen,die Behandlungen,the treatment,le traitement,Words finishing in -ung add -en in their plural form,Les noms communs se terminant par -ung prennent la terminaison -en au pluriel,<br><br>Words finishing in -ung add -en in their plural form,<br><br>Les noms communs se terminant par -ung prennent la terminaison -en au pluriel
52,B2,A1,B2,die Hochschule,Hochschulen,die Hochschulen,the university,l'université,Most words finishing in -e add a -n in their plural form,La plupart des noms communs se terminant par -e prennent un -n au pluriel,<br><br>Most words finishing in -e add a -n in their plural form,<br><br>La plupart des noms communs se terminant par -e prennent un -n au pluriel
52,B2,B1,B2,der/die Vorsitzende,Vorsitzenden,die Vorsitzenden,the chairperson,le président,Most words finishing in -e add a -n in their plural form,La plupart des noms communs se terminant par -e prennent un -n au pluriel,<br><br>Most words finishing in -e add a -n in their plural form,<br><br>La plupart des noms communs se terminant par -e prennent un -n au pluriel
52,B2,A1,B2,die Analyse,Analysen,die Analysen,the analysis,l'analyse,Most words finishing in -e add a -n in their plural form,La plupart des noms communs se terminant par -e prennent un -n au pluriel,<br><br>Most words finishing in -e add a -n in their plural form,<br><br>La plupart des noms communs se terminant par -e prennent un -n au pluriel
52,B2,A1,B2,die Erkenntnis,Erkenntnisse,die Erkenntnisse,the realization,la réalisation,,,​,​
52,B2,A1,B2,das Objekt,Objekte,die Objekte,the object,l'objet,,,​,​
52,B2,A1,B2,der Sprecher,Sprecher,die Sprecher,the speaker,l'orateur,,,​,​
52,B2,A1,B2,der Gesellschafter,Gesellschafter,die Gesellschafter,the shareholder,l'actionnaire,,,​,​
52,B2,A1,B2,das Jahrzehnt,Jahrzehnte,die Jahrzehnte,the decade,la décennie,,,​,​
52,B2,A1,B2,die Regelung,Regelungen,die Regelungen,the regulation,le règlement,Words finishing in -ung add -en in their plural form,Les noms communs se terminant par -ung prennent la terminaison -en au pluriel,<br><br>Words finishing in -ung add -en in their plural form,<br><br>Les noms communs se terminant par -ung prennent la terminaison -en au pluriel
52,B2,A1,B2,der Bezug,Bezüge,die Bezüge,the reference,la référence,,,​,​
52,B2,A1,B2,die Einstellung,Einstellungen,die Einstellungen,the attitude,l'attitude,Words finishing in -ung add -en in their plural form,Les noms communs se terminant par -ung prennent la terminaison -en au pluriel,<br><br>Words finishing in -ung add -en in their plural form,<br><br>Les noms communs se terminant par -ung prennent la terminaison -en au pluriel
52,B2,A1,B2,die Union,Unionen,die Unionen,the Union,l'Union,,,​,​
52,B2,A1,B2,der Besucher,Besucher,die Besucher,the visitor,le visiteur,,,​,​
53,B2,A1,B2,der Bund,Bünde,die Bünde,the federal government,le gouvernement fédéral,,,​,​
53,B2,A1,B2,die Geographie,Geographien,die Geographien,geography,géographie,Most words finishing in -e add a -n in their plural form,La plupart des noms communs se terminant par -e prennent un -n au pluriel,<br><br>Most words finishing in -e add a -n in their plural form,<br><br>La plupart des noms communs se terminant par -e prennent un -n au pluriel
53,B2,A1,B2,der Hintergrund,Hintergründe,die Hintergründe,the background,le contexte,,,​,​
53,B2,A1,B2,der Abstand,Abstände,die Abstände,the distance,la distance,,,​,​
53,B2,A1,B2,die Bildung,Bildungen,die Bildungen,the education,l'éducation,Words finishing in -ung add -en in their plural form,Les noms communs se terminant par -ung prennent la terminaison -en au pluriel,<br><br>Words finishing in -ung add -en in their plural form,<br><br>Les noms communs se terminant par -ung prennent la terminaison -en au pluriel
53,B2,A1,B2,die Eigenschaft,Eigenschaften,die Eigenschaften,the property,la propriété,,,​,​
53,B2,A1,B2,der Geist,Geister,die Geister,the spirit,l'esprit,,,​,​
53,B2,A1,B2,der Stand,Stände,die Stände,the stand,le stand,,,​,​
53,B2,A1,B2,das Element,Elemente,die Elemente,the element,l'élément,,,​,​
53,B2,A1,B2,die Mama,Mamas,die Mamas,the mother,la mère,Many loan words add an -s in their plural form,De nombreux noms communs d'origine étrangère prennent un -s au pluriel,<br><br>Many loan words add an -s in their plural form,<br><br>De nombreux noms communs d'origine étrangère prennent un -s au pluriel
53,B2,A1,B2,die Nutzung,Nutzungen,die Nutzungen,the use,l'utilisation,Words finishing in -ung add -en in their plural form,Les noms communs se terminant par -ung prennent la terminaison -en au pluriel,<br><br>Words finishing in -ung add -en in their plural form,<br><br>Les noms communs se terminant par -ung prennent la terminaison -en au pluriel
53,B2,A1,B2,die Basis,Basen,die Basen,the base,la base,,,​,​
53,B2,A1,B2,das Kriterium,Kriterien,die Kriterien,the criterion,le critère,,,​,​
53,B2,A2,B2,die Ansicht,Ansichten,die Ansichten,the view,la vue,,,​,​
53,B2,A2,B2,die Auseinandersetzung,Auseinandersetzungen,die Auseinandersetzungen,the dispute,le différend,Words finishing in -ung add -en in their plural form,Les noms communs se terminant par -ung prennent la terminaison -en au pluriel,<br><br>Words finishing in -ung add -en in their plural form,<br><br>Les noms communs se terminant par -ung prennent la terminaison -en au pluriel
53,B2,B1,B2,die Bürgermeister,Bürgermeister,die Bürgermeister,the mayor,le maire,,,​,​
53,B2,A2,B2,die Definition,Definitionen,die Definitionen,the definition,la définition,,,​,​
53,B2,A2,B2,die Masse,Massen,die Massen,the mass,la masse,Most words finishing in -e add a -n in their plural form,La plupart des noms communs se terminant par -e prennent un -n au pluriel,<br><br>Most words finishing in -e add a -n in their plural form,<br><br>La plupart des noms communs se terminant par -e prennent un -n au pluriel
53,B2,A2,B2,die Nation,Nationen,die Nationen,the nation,la nation,,,​,​
53,B2,A2,B2,die Phase,Phasen,die Phasen,the phase,la phase,Most words finishing in -e add a -n in their plural form,La plupart des noms communs se terminant par -e prennent un -n au pluriel,<br><br>Most words finishing in -e add a -n in their plural form,<br><br>La plupart des noms communs se terminant par -e prennent un -n au pluriel
54,B2,A2,B2,der Ton,Tone,die Tone,the tone,le ton,,,​,​
54,B2,A2,B2,die Gestalt,Gestalten,die Gestalten,the shape,la forme,,,​,​
54,B2,A2,B2,die Stellung,Stellungen,die Stellungen,the position,la position,Words finishing in -ung add -en in their plural form,Les noms communs se terminant par -ung prennent la terminaison -en au pluriel,<br><br>Words finishing in -ung add -en in their plural form,<br><br>Les noms communs se terminant par -ung prennent la terminaison -en au pluriel
54,B2,A2,B2,die Branche,Branchen,die Branchen,the industry,l'industrie,Most words finishing in -e add a -n in their plural form,La plupart des noms communs se terminant par -e prennent un -n au pluriel,<br><br>Most words finishing in -e add a -n in their plural form,<br><br>La plupart des noms communs se terminant par -e prennent un -n au pluriel
54,B2,A2,B2,der Umgang,Umgänge,die Umgänge,the handling,la manutention,,,​,​
54,B2,A2,B2,der Vorgang,Vorgänge,die Vorgänge,the process,le processus,,,​,​
54,B2,A2,B2,die Institution,Institutionen,die Institutionen,the institution,l'institution,,,​,​
54,B2,A2,B2,der Konzern,Konzerne,die Konzerne,the group,le groupe,,,​,​
54,B2,A2,B2,die Spitze,Spitzen,die Spitzen,the summit,le sommet,Most words finishing in -e add a -n in their plural form,La plupart des noms communs se terminant par -e prennent un -n au pluriel,<br><br>Most words finishing in -e add a -n in their plural form,<br><br>La plupart des noms communs se terminant par -e prennent un -n au pluriel
54,B2,A2,B2,die Weltmeisterschaft,Weltmeisterschaften,die Weltmeisterschaften,the World Cup,la Coupe du monde,,,​,​
54,B2,A2,B2,das Blut,Blute,die Blute,the blood,le sang,,,​,​
54,B2,A2,B2,das Gymnasium,Gymnasien,die Gymnasien,the high school,le lycée,,,​,​
54,B2,A2,B2,die Konsequenz,Konsequenzen,die Konsequenzen,the consequence,la conséquence,,,​,​
54,B2,A2,B2,der Verband,Verbände,die Verbände,the association,l'association,,,​,​
54,B2,A2,B2,die Aktie,Aktien,die Aktien,the stock,le stock,Most words finishing in -e add a -n in their plural form,La plupart des noms communs se terminant par -e prennent un -n au pluriel,<br><br>Most words finishing in -e add a -n in their plural form,<br><br>La plupart des noms communs se terminant par -e prennent un -n au pluriel
54,B2,A2,B2,der Anlass,Anlässe,die Anlässe,the occasion,l'occasion,,,​,​
54,B2,A2,B2,das Bundesland,Bundesländer,die Bundesländer,the federal state,l'État fédéral,,,​,​
54,B2,A2,B2,das Gut,Güter,die Güter,the good,le bien,,,​,​
54,B2,A2,B2,die Software,Softwares,die Softwares,the software,le logiciel,Many loan words add an -s in their plural form,De nombreux noms communs d'origine étrangère prennent un -s au pluriel,<br><br>Many loan words add an -s in their plural form,<br><br>De nombreux noms communs d'origine étrangère prennent un -s au pluriel
54,B2,A2,B2,die Anforderung,Anforderungen,die Anforderungen,the requirement,l'exigence,Words finishing in -ung add -en in their plural form,Les noms communs se terminant par -ung prennent la terminaison -en au pluriel,<br><br>Words finishing in -ung add -en in their plural form,<br><br>Les noms communs se terminant par -ung prennent la terminaison -en au pluriel
55,B2,A2,B2,die Belastung,Belastungen,die Belastungen,the burden,le fardeau,Words finishing in -ung add -en in their plural form,Les noms communs se terminant par -ung prennent la terminaison -en au pluriel,<br><br>Words finishing in -ung add -en in their plural form,<br><br>Les noms communs se terminant par -ung prennent la terminaison -en au pluriel
55,B2,A2,B2,der Effekt,Effekte,die Effekte,the effect,l'effet,,,​,​
55,B2,A2,B2,der Umfang,Umfänge,die Umfänge,the scope,la portée,,,​,​
55,B2,A2,B2,die Kommission,Kommissionen,die Kommissionen,the Commission,la Commission,,,​,​
55,B2,A2,B2,der Terrorist,Terroristen,die Terroristen,the terrorist,le terroriste,,,​,​
55,B2,A2,B2,die Welle,Wellen,die Wellen,the wave,la vague,Most words finishing in -e add a -n in their plural form,La plupart des noms communs se terminant par -e prennent un -n au pluriel,<br><br>Most words finishing in -e add a -n in their plural form,<br><br>La plupart des noms communs se terminant par -e prennent un -n au pluriel
55,B2,A2,B2,die Auswirkung,Auswirkungen,die Auswirkungen,the effect,l'effet,Words finishing in -ung add -en in their plural form,Les noms communs se terminant par -ung prennent la terminaison -en au pluriel,<br><br>Words finishing in -ung add -en in their plural form,<br><br>Les noms communs se terminant par -ung prennent la terminaison -en au pluriel
55,B2,A2,B2,das Bedürfnis,Bedürfnisse,die Bedürfnisse,the need,le besoin,,,​,​
55,B2,A2,B2,die Haltung,Haltungen,die Haltungen,the attitude,l'attitude,Words finishing in -ung add -en in their plural form,Les noms communs se terminant par -ung prennent la terminaison -en au pluriel,<br><br>Words finishing in -ung add -en in their plural form,<br><br>Les noms communs se terminant par -ung prennent la terminaison -en au pluriel
55,B2,A2,B2,die Waffe,Waffen,die Waffen,the weapon,l'arme,Most words finishing in -e add a -n in their plural form,La plupart des noms communs se terminant par -e prennent un -n au pluriel,<br><br>Most words finishing in -e add a -n in their plural form,<br><br>La plupart des noms communs se terminant par -e prennent un -n au pluriel
55,B2,A2,B2,die Fahrt,Fahrten,die Fahrten,the ride,le trajet,,,​,​
55,B2,A2,B2,die Förderung,Förderungen,die Förderungen,the promotion,la promotion,Words finishing in -ung add -en in their plural form,Les noms communs se terminant par -ung prennent la terminaison -en au pluriel,<br><br>Words finishing in -ung add -en in their plural form,<br><br>Les noms communs se terminant par -ung prennent la terminaison -en au pluriel
55,B2,A2,B2,die Koalition,Koalitionen,die Koalitionen,the coalition,la coalition,,,​,​
55,B2,A2,B2,der Manager,Manager,die Manager,the manager,le gérant,,,​,​
55,B2,A2,B2,die Quelle,Quellen,die Quellen,the source,la source,Most words finishing in -e add a -n in their plural form,La plupart des noms communs se terminant par -e prennent un -n au pluriel,<br><br>Most words finishing in -e add a -n in their plural form,<br><br>La plupart des noms communs se terminant par -e prennent un -n au pluriel
55,B2,A2,B2,der Umsatz,Umsätze,die Umsätze,the revenue,le revenu,,,​,​
55,B2,A2,B2,die Verwendung,Verwendungen,die Verwendungen,the use,l'utilisation,Words finishing in -ung add -en in their plural form,Les noms communs se terminant par -ung prennent la terminaison -en au pluriel,<br><br>Words finishing in -ung add -en in their plural form,<br><br>Les noms communs se terminant par -ung prennent la terminaison -en au pluriel
55,B2,A2,B2,die Bundesregierung,Bundesregierungen,die Bundesregierungen,the Federal Government,le gouvernement fédéral,Words finishing in -ung add -en in their plural form,Les noms communs se terminant par -ung prennent la terminaison -en au pluriel,<br><br>Words finishing in -ung add -en in their plural form,<br><br>Les noms communs se terminant par -ung prennent la terminaison -en au pluriel
55,B2,A2,B2,das Merkmal,Merkmale,die Merkmale,the characteristic,la caractéristique,,,​,​
55,B2,A2,B2,das Parlament,Parlamente,die Parlamente,the parliament,le parlement,,,​,​
56,B2,A2,B2,die Perspektive,Perspektiven,die Perspektiven,the perspective,la perspective,Most words finishing in -e add a -n in their plural form,La plupart des noms communs se terminant par -e prennent un -n au pluriel,<br><br>Most words finishing in -e add a -n in their plural form,<br><br>La plupart des noms communs se terminant par -e prennent un -n au pluriel
56,B2,A2,B2,das Phänomen,Phänomene,die Phänomene,the phenomenon,le phénomène,,,​,​
56,B2,A2,B2,die Suche,Suchen,die Suchen,the search,la recherche,Most words finishing in -e add a -n in their plural form,La plupart des noms communs se terminant par -e prennent un -n au pluriel,<br><br>Most words finishing in -e add a -n in their plural form,<br><br>La plupart des noms communs se terminant par -e prennent un -n au pluriel
56,B2,A2,B2,der Weltkrieg,Weltkriege,die Weltkriege,the World War,la guerre mondiale,,,​,​
56,B2,A2,B2,der Arbeitgeber,Arbeitgeber,die Arbeitgeber,the employer,l'employeur,,,​,​
56,B2,A2,B2,der Aufbau,Aufbauten,die Aufbauten,the structure,la structure,,,​,​
56,B2,A2,B2,die Formel,Formeln,die Formeln,the formula,la formule,,,​,​
56,B2,A2,B2,der Wille,Willen,die Willen,the will,le testament,Most words finishing in -e add a -n in their plural form,La plupart des noms communs se terminant par -e prennent un -n au pluriel,<br><br>Most words finishing in -e add a -n in their plural form,<br><br>La plupart des noms communs se terminant par -e prennent un -n au pluriel
56,B2,A2,B2,die Debatte,Debatten,die Debatten,the debate,le débat,Most words finishing in -e add a -n in their plural form,La plupart des noms communs se terminant par -e prennent un -n au pluriel,<br><br>Most words finishing in -e add a -n in their plural form,<br><br>La plupart des noms communs se terminant par -e prennent un -n au pluriel
56,B2,A2,B2,die Hinsicht,Hinsichten,die Hinsichten,the view,la vue,,,​,​
56,B2,A2,B2,die Weile,Weilen,die Weilen,the while,pendant ce temps,Most words finishing in -e add a -n in their plural form,La plupart des noms communs se terminant par -e prennent un -n au pluriel,<br><br>Most words finishing in -e add a -n in their plural form,<br><br>La plupart des noms communs se terminant par -e prennent un -n au pluriel
56,B2,A2,B2,die Schicht,Schichten,die Schichten,the layer,la couche,,,​,​
56,B2,A2,B2,der Schwerpunkt,Schwerpunkte,die Schwerpunkte,the focus,l'accent,,,​,​
56,B2,A2,B2,die Verhandlung,Verhandlungen,die Verhandlungen,the negotiation,la négociation,Words finishing in -ung add -en in their plural form,Les noms communs se terminant par -ung prennent la terminaison -en au pluriel,<br><br>Words finishing in -ung add -en in their plural form,<br><br>Les noms communs se terminant par -ung prennent la terminaison -en au pluriel
56,B2,A2,B2,der Ablauf,Abläufe,die Abläufe,the process,le processus,,,​,​
56,B2,A2,B2,der Arbeitnehmer,Arbeitnehmer,die Arbeitnehmer,the employee,l'employé,,,​,​
