Nr,level,question,answer,german,person,case,english,answer_2,sentence_2
415,8,"_____ sagt, dass Lachen gesund ist.",Man,"Man sagt, dass Lachen gesund ist.",,,People say that laughter is healthy.,,
416,9,"Der Mann, _____ hier steht, ist mein Lehrer.",der,"Der Mann, der hier steht, ist mein Lehrer.",Masculine,Nominative,,,
417,9,"Der Hund, _____ draußen bellt, gehört Peter.",der,"Der Hund, der draußen bellt, gehört Peter.",Masculine,Nominative,,,
418,9,"Der Arzt, _____ in Berlin wohnt, ist bekannt.",der,"Der Arzt, der in Berlin wohnt, ist bekannt.",Masculine,Nominative,,,
419,9,"Der Junge, _____ Fußball spielt, ist schnell.",der,"Der Junge, der Fußball spielt, ist schnell.",Masculine,Nominative,,,
420,9,"Die Frau, _____ dort sitzt, ist meine Mutter.",die,"Die Frau, die dort sitzt, ist meine Mutter.",Feminine,Nominative,,,
421,9,"Die Katze, _____ schläft, ist grau.",die,"Die Katze, die schläft, ist grau.",Feminine,Nominative,,,
422,9,"Die Studentin, _____ ein Buch liest, ist klug.",die,"Die Studentin, die ein Buch liest, ist klug.",Feminine,Nominative,,,
423,9,"Die Blume, _____ duftet, ist schön.",die,"Die Blume, die duftet, ist schön.",Feminine,Nominative,,,
424,9,"Die Lehrerin, _____ singt, ist freundlich.",die,"Die Lehrerin, die singt, ist freundlich.",Feminine,Nominative,,,
425,9,"Das Kind, _____ lacht, ist glücklich.",das,"Das Kind, das lacht, ist glücklich.",Neutral,Nominative,,,
426,9,"Das Auto, _____ schnell fährt, ist teuer.",das,"Das Auto, das schnell fährt, ist teuer.",Neutral,Nominative,,,
427,9,"Das Buch, _____ du liest, ist spannend.",das,"Das Buch, das du liest, ist spannend.",Neutral,Nominative,,,
428,9,"Das Spielzeug, _____ kaputt ist, ist alt.",das,"Das Spielzeug, das kaputt ist, ist alt.",Neutral,Nominative,,,
429,9,"Das Haus, _____ renoviert wird, ist alt.",das,"Das Haus, das renoviert wird, ist alt.",Neutral,Nominative,,,
430,9,"Die Kinder, _____ laut lachen, sind fröhlich.",die,"Die Kinder, die laut lachen, sind fröhlich.",Feminine,Nominative,,,
431,9,"Die Hunde, _____ bellen, sind nervös.",die,"Die Hunde, die bellen, sind nervös.",Feminine,Nominative,,,
432,9,"Die Leute, _____ hier wohnen, sind freundlich.",die,"Die Leute, die hier wohnen, sind freundlich.",Feminine,Nominative,,,
433,9,"Die Bücher, _____ ich lese, sind interessant.",die,"Die Bücher, die ich lese, sind interessant.",Feminine,Nominative,,,
434,9,"Die Frauen, _____ tanzen, sind elegant.",die,"Die Frauen, die tanzen, sind elegant.",Feminine,Nominative,,,
435,10,"Der Mann, _____ ich gestern gesehen habe, kennst dich.",den,"Der Mann, den ich gestern gesehen habe, kennst dich.",Masculine,Accusative,,,
436,10,"Der Hund, _____ sie gefunden haben, ist verloren.",den,"Der Hund, den sie gefunden haben, ist verloren.",Masculine,Accusative,,,
437,10,"Der Film, _____ ich gesehen habe, war spannend.",den,"Der Film, den ich gesehen habe, war spannend.",Masculine,Accusative,,,
438,10,"Der Freund, _____ ich kenne, ist nett.",den,"Der Freund, den ich kenne, ist nett.",Masculine,Accusative,,,
439,10,"Der Lehrer, _____ du suchst, ist hier.",den,"Der Lehrer, den du suchst, ist hier.",Masculine,Accusative,,,
440,10,"Der Brief, _____ ich geschrieben habe, liegt hier.",den,"Der Brief, den ich geschrieben habe, liegt hier.",Masculine,Accusative,,,
441,10,"Die Frau, _____ ich getroffen habe, war freundlich.",die,"Die Frau, die ich getroffen habe, war freundlich.",Feminine,Accusative,,,
442,10,"Die Blume, _____ ich gepflückt habe, ist schön.",die,"Die Blume, die ich gepflückt habe, ist schön.",Feminine,Accusative,,,
443,10,"Die Katze, _____ er adoptiert hat, ist schwarz.",die,"Die Katze, die er adoptiert hat, ist schwarz.",Feminine,Accusative,,,
444,10,"Die Straße, _____ wir entlanggehen, ist lang.",die,"Die Straße, die wir entlanggehen, ist lang.",Feminine,Accusative,,,
445,10,"Die Tasche, _____ sie gekauft hat, ist teuer.",die,"Die Tasche, die sie gekauft hat, ist teuer.",Feminine,Accusative,,,
446,10,"Das Buch, _____ er liest, gehört mir.",das,"Das Buch, das er liest, gehört mir.",Neutral,Accusative,,,
447,10,"Das Haus, _____ ich besichtigt habe, ist groß.",das,"Das Haus, das ich besichtigt habe, ist groß.",Neutral,Accusative,,,
448,10,"Das Auto, _____ sie fährt, ist schnell.",das,"Das Auto, das sie fährt, ist schnell.",Neutral,Accusative,,,
449,10,"Das Bild, _____ du gemalt hast, ist schön.",das,"Das Bild, das du gemalt hast, ist schön.",Neutral,Accusative,,,
450,10,"Das Spielzeug, _____ sie gekauft haben, ist kaputt.",das,"Das Spielzeug, das sie gekauft haben, ist kaputt.",Neutral,Accusative,,,
451,10,"Die Kinder, _____ wir gesehen haben, sind laut.",die,"Die Kinder, die wir gesehen haben, sind laut.",Feminine,Accusative,,,
452,10,"Die Hunde, _____ sie füttern, sind hungrig.",die,"Die Hunde, die sie füttern, sind hungrig.",Feminine,Accusative,,,
453,10,"Die Leute, _____ wir getroffen haben, sind nett.",die,"Die Leute, die wir getroffen haben, sind nett.",Feminine,Accusative,,,
454,10,"Die Bücher, _____ ich gelesen habe, sind spannend.",die,"Die Bücher, die ich gelesen habe, sind spannend.",Feminine,Accusative,,,
455,10,"Die Frauen, _____ er eingeladen hat, kommen später.",die,"Die Frauen, die er eingeladen hat, kommen später.",Feminine,Accusative,,,
456,11,"Der Mann, _____ ich geholfen habe, ist dankbar.",dem,"Der Mann, dem ich geholfen habe, ist dankbar.",Masculine,Dative,,,
457,11,"Die Frau, _____ ich das Buch gegeben habe, lacht.",der,"Die Frau, der ich das Buch gegeben habe, lacht.",Feminine,Dative,,,
458,11,"Das Kind, _____ ich eine Geschichte erzählt habe, hört zu.",dem,"Das Kind, dem ich eine Geschichte erzählt habe, hört zu.",Neutral,Dative,,,
459,11,"Die Freunde, _____ wir geschrieben haben, kommen morgen.",denen,"Die Freunde, denen wir geschrieben haben, kommen morgen.",Feminine,Dative,,,
460,11,"Die Katze, _____ ich das Futter gekauft habe, ist alt.",der,"Die Katze, der ich das Futter gekauft habe, ist alt.",Feminine,Dative,,,
461,11,"Die Kinder, _____ ich Süßigkeiten gegeben habe, sind fröhlich.",denen,"Die Kinder, denen ich Süßigkeiten gegeben habe, sind fröhlich.",Feminine,Dative,,,
462,11,"Der Hund, _____ sie Wasser gebracht hat, ist krank.",dem,"Der Hund, dem sie Wasser gebracht hat, ist krank.",Masculine,Dative,,,
463,11,"Die Blume, _____ wir Wasser gegeben haben, ist gewachsen.",der,"Die Blume, der wir Wasser gegeben haben, ist gewachsen.",Feminine,Dative,,,
464,11,"Die Frau, _____ er alles erklärt hat, ist zufrieden.",der,"Die Frau, der er alles erklärt hat, ist zufrieden.",Feminine,Dative,,,
465,11,"Der Lehrer, _____ wir zugehört haben, ist streng.",dem,"Der Lehrer, dem wir zugehört haben, ist streng.",Masculine,Dative,,,
466,11,"Das Auto, _____ wir die Reifen gewechselt haben, ist rot.",dem,"Das Auto, dem wir die Reifen gewechselt haben, ist rot.",Neutral,Dative,,,
467,11,"Die Kinder, _____ sie geholfen hat, danken ihr.",denen,"Die Kinder, denen sie geholfen hat, danken ihr.",Feminine,Dative,,,
468,11,"Die Frau, _____ wir die Adresse geschickt haben, kommt heute.",der,"Die Frau, der wir die Adresse geschickt haben, kommt heute.",Feminine,Dative,,,
469,11,"Das Kind, _____ Sie ein Spielzeug geschenkt hat, ist glücklich.",dem,"Das Kind, dem Sie ein Spielzeug geschenkt hat, ist glücklich.",Neutral,Dative,,,
470,11,"Die Männer, _____ sie neue Anzüge gekauft haben, sehen elegant aus.",denen,"Die Männer, denen sie neue Anzüge gekauft haben, sehen elegant aus.",Feminine,Dative,,,
471,11,"Der Arzt, _____ ich meine Symptome erklärt habe, war freundlich.",dem,"Der Arzt, dem ich meine Symptome erklärt habe, war freundlich.",Masculine,Dative,,,
472,11,"Das Haus, _____ wir eine neue Tür eingesetzt haben, sieht modern aus.",dem,"Das Haus, dem wir eine neue Tür eingesetzt haben, sieht modern aus.",Neutral,Dative,,,
473,11,"Die Leute, _____ wir geholfen haben, sind dankbar.",denen,"Die Leute, denen wir geholfen haben, sind dankbar.",Feminine,Dative,,,
474,11,"Der Mann, _____ ich einen Stift geliehen habe, hat ihn zurückgegeben.",dem,"Der Mann, dem ich einen Stift geliehen habe, hat ihn zurückgegeben.",Masculine,Dative,,,
475,12,"Der Mann, _____ Haus verkauft wurde, ist traurig.",dessen,"Der Mann, dessen Haus verkauft wurde, ist traurig.",Masculine,Genitive,,,
476,12,"Die Frau, _____ Katze verschwunden ist, sucht sie.",deren,"Die Frau, deren Katze verschwunden ist, sucht sie.",Feminine,Genitive,,,
477,12,"Das Auto, _____ Besitzer ich kenne, ist alt.",dessen,"Das Auto, dessen Besitzer ich kenne, ist alt.",Neutral,Genitive,,,
478,12,"Die Kinder, _____ Spielsachen kaputt sind, weinen.",deren,"Die Kinder, deren Spielsachen kaputt sind, weinen.",Feminine,Genitive,,,
479,12,"Der Hund, _____ Besitzer verreist ist, bellt viel.",dessen,"Der Hund, dessen Besitzer verreist ist, bellt viel.",Masculine,Genitive,,,
480,12,"Die Blume, _____ Duft so angenehm ist, ist schön.",deren,"Die Blume, deren Duft so angenehm ist, ist schön.",Feminine,Genitive,,,
481,12,"Das Haus, _____ Fenster offen sind, gehört mir.",dessen,"Das Haus, dessen Fenster offen sind, gehört mir.",Neutral,Genitive,,,
482,12,"Die Frau, _____ Meinung gefragt wurde, ist klug.",deren,"Die Frau, deren Meinung gefragt wurde, ist klug.",Feminine,Genitive,,,
483,12,"Die Freunde, _____ Namen ich vergessen habe, rufen mich an.",deren,"Die Freunde, deren Namen ich vergessen habe, rufen mich an.",Feminine,Genitive,,,
484,12,"Der Lehrer, _____ Erklärung hilfreich war, wurde gelobt.",dessen,"Der Lehrer, dessen Erklärung hilfreich war, wurde gelobt.",Masculine,Genitive,,,
485,12,"Das Buch, _____ Autor berühmt ist, wird viel gelesen.",dessen,"Das Buch, dessen Autor berühmt ist, wird viel gelesen.",Neutral,Genitive,,,
486,12,"Die Männer, _____ Autos auf dem Parkplatz stehen, kommen bald.",deren,"Die Männer, deren Autos auf dem Parkplatz stehen, kommen bald.",Feminine,Genitive,,,
487,12,"Die Frau, _____ Tasche gestohlen wurde, hat die Polizei gerufen.",deren,"Die Frau, deren Tasche gestohlen wurde, hat die Polizei gerufen.",Feminine,Genitive,,,
488,12,"Der Mann, _____ Arbeit wir bewundern, ist sehr klug.",dessen,"Der Mann, dessen Arbeit wir bewundern, ist sehr klug.",Masculine,Genitive,,,
489,12,"Das Kind, _____ Spielzeug ich kaputt gemacht habe, weint jetzt.",dessen,"Das Kind, dessen Spielzeug ich kaputt gemacht habe, weint jetzt.",Neutral,Genitive,,,
490,12,"Die Familie, _____ Haus renoviert wurde, ist zufrieden.",deren,"Die Familie, deren Haus renoviert wurde, ist zufrieden.",Feminine,Genitive,,,
491,12,"Der Arzt, _____ Praxis geschlossen ist, arbeitet jetzt woanders.",dessen,"Der Arzt, dessen Praxis geschlossen ist, arbeitet jetzt woanders.",Masculine,Genitive,,,
492,12,"Die Frau, _____ Mann ein berühmter Künstler ist, ist sehr freundlich.",deren,"Die Frau, deren Mann ein berühmter Künstler ist, ist sehr freundlich.",Feminine,Genitive,,,
493,12,"Die Kinder, _____ Eltern verreist sind, bleiben bei den Großeltern.",deren,"Die Kinder, deren Eltern verreist sind, bleiben bei den Großeltern.",Feminine,Genitive,,,
494,12,"Der Junge, _____ Fahrrad gestohlen wurde, ist traurig.",dessen,"Der Junge, dessen Fahrrad gestohlen wurde, ist traurig.",Masculine,Genitive,,,
495,12,"Das Buch, _____ Titel ich mich nicht erinnere, war spannend.",an dessen,"Das Buch, an dessen Titel ich mich nicht erinnere, war spannend.",Neutral,Genitive,,,
496,13,"Der Mann, _____ hier steht, ist mein Lehrer.",der,"Der Mann, der hier steht, ist mein Lehrer.",Masculine,Nominative,,,
497,13,"Der Hund, _____ draußen bellt, gehört Peter.",der,"Der Hund, der draußen bellt, gehört Peter.",Masculine,Nominative,,,
498,13,"Der Arzt, _____ in Berlin wohnt, ist bekannt.",der,"Der Arzt, der in Berlin wohnt, ist bekannt.",Masculine,Nominative,,,
499,13,"Der Junge, _____ Fußball spielt, ist schnell.",der,"Der Junge, der Fußball spielt, ist schnell.",Masculine,Nominative,,,
500,13,"Der Freund, _____ ich kenne, ist nett.",den,"Der Freund, den ich kenne, ist nett.",Feminine,Nominative,,,
501,13,"Die Frau, _____ dort sitzt, ist meine Mutter.",die,"Die Frau, die dort sitzt, ist meine Mutter.",Feminine,Nominative,,,
502,13,"Die Katze, _____ schläft, ist grau.",die,"Die Katze, die schläft, ist grau.",Feminine,Nominative,,,
503,13,"Die Studentin, _____ ein Buch liest, ist klug.",die,"Die Studentin, die ein Buch liest, ist klug.",Feminine,Nominative,,,
504,13,"Die Blume, _____ duftet, ist schön.",die,"Die Blume, die duftet, ist schön.",Feminine,Nominative,,,
505,13,"Die Lehrerin, _____ singt, ist freundlich.",die,"Die Lehrerin, die singt, ist freundlich.",Neutral,Nominative,,,
506,13,"Das Kind, _____ lacht, ist glücklich.",das,"Das Kind, das lacht, ist glücklich.",Neutral,Nominative,,,
507,13,"Das Auto, _____ schnell fährt, ist teuer.",das,"Das Auto, das schnell fährt, ist teuer.",Neutral,Nominative,,,
508,13,"Das Buch, _____ du liest, ist spannend.",das,"Das Buch, das du liest, ist spannend.",Neutral,Nominative,,,
509,13,"Das Spielzeug, _____ kaputt ist, ist alt.",das,"Das Spielzeug, das kaputt ist, ist alt.",Neutral,Nominative,,,
510,13,"Das Haus, _____ renoviert wird, ist alt.",das,"Das Haus, das renoviert wird, ist alt.",Feminine,Nominative,,,
511,13,"Die Kinder, _____ laut lachen, sind fröhlich.",die,"Die Kinder, die laut lachen, sind fröhlich.",Feminine,Nominative,,,
512,13,"Die Hunde, _____ bellen, sind nervös.",die,"Die Hunde, die bellen, sind nervös.",Feminine,Nominative,,,
513,13,"Die Leute, _____ hier wohnen, sind freundlich.",die,"Die Leute, die hier wohnen, sind freundlich.",Feminine,Nominative,,,
514,13,"Die Bücher, _____ ich lese, sind interessant.",die,"Die Bücher, die ich lese, sind interessant.",Feminine,Nominative,,,
515,13,"Die Frauen, _____ tanzen, sind elegant.",die,"Die Frauen, die tanzen, sind elegant.",Masculine,Accusative,,,
516,13,"Der Mann, _____ ich gestern gesehen habe, kennst dich.",den,"Der Mann, den ich gestern gesehen habe, kennst dich.",Masculine,Accusative,,,
517,13,"Der Hund, _____ sie gefunden haben, ist verloren.",den,"Der Hund, den sie gefunden haben, ist verloren.",Masculine,Accusative,,,
518,13,"Der Film, _____ ich gesehen habe, war spannend.",den,"Der Film, den ich gesehen habe, war spannend.",Masculine,Accusative,,,
519,13,"Der Lehrer, _____ du suchst, ist hier.",den,"Der Lehrer, den du suchst, ist hier.",Masculine,Accusative,,,
520,13,"Der Brief, _____ ich geschrieben habe, liegt hier.",den,"Der Brief, den ich geschrieben habe, liegt hier.",Masculine,Accusative,,,
521,13,"Die Frau, _____ ich getroffen habe, war freundlich.",die,"Die Frau, die ich getroffen habe, war freundlich.",Feminine,Accusative,,,
522,13,"Die Blume, _____ ich gepflückt habe, ist schön.",die,"Die Blume, die ich gepflückt habe, ist schön.",Feminine,Accusative,,,
523,13,"Die Katze, _____ er adoptiert hat, ist schwarz.",die,"Die Katze, die er adoptiert hat, ist schwarz.",Feminine,Accusative,,,
524,13,"Die Straße, _____ wir entlanggehen, ist lang.",die,"Die Straße, die wir entlanggehen, ist lang.",Feminine,Accusative,,,
525,13,"Die Tasche, _____ sie gekauft hat, ist teuer.",die,"Die Tasche, die sie gekauft hat, ist teuer.",Feminine,Accusative,,,
526,13,"Das Buch, _____ er liest, gehört mir.",das,"Das Buch, das er liest, gehört mir.",Neutral,Accusative,,,
527,13,"Das Haus, _____ ich besichtigt habe, ist groß.",das,"Das Haus, das ich besichtigt habe, ist groß.",Neutral,Accusative,,,
528,13,"Das Auto, _____ sie fährt, ist schnell.",das,"Das Auto, das sie fährt, ist schnell.",Neutral,Accusative,,,
529,13,"Das Bild, _____ du gemalt hast, ist schön.",das,"Das Bild, das du gemalt hast, ist schön.",Neutral,Accusative,,,
530,13,"Das Spielzeug, _____ sie gekauft haben, ist kaputt.",das,"Das Spielzeug, das sie gekauft haben, ist kaputt.",Neutral,Accusative,,,
531,13,"Die Kinder, _____ wir gesehen haben, sind laut.",die,"Die Kinder, die wir gesehen haben, sind laut.",Feminine,Accusative,,,
532,13,"Die Hunde, _____ sie füttern, sind hungrig.",die,"Die Hunde, die sie füttern, sind hungrig.",Feminine,Accusative,,,
533,13,"Die Leute, _____ wir getroffen haben, sind nett.",die,"Die Leute, die wir getroffen haben, sind nett.",Feminine,Accusative,,,
534,13,"Die Bücher, _____ ich gelesen habe, sind spannend.",die,"Die Bücher, die ich gelesen habe, sind spannend.",Feminine,Accusative,,,
535,13,"Die Frauen, _____ er eingeladen hat, kommen später.",die,"Die Frauen, die er eingeladen hat, kommen später.",Feminine,Accusative,,,
536,13,"Der Mann, _____ ich geholfen habe, ist dankbar.",dem,"Der Mann, dem ich geholfen habe, ist dankbar.",Masculine,Dative,,,
537,13,"Die Frau, _____ ich das Buch gegeben habe, lacht.",der,"Die Frau, der ich das Buch gegeben habe, lacht.",Feminine,Dative,,,
538,13,"Das Kind, _____ ich eine Geschichte erzählt habe, hört zu.",dem,"Das Kind, dem ich eine Geschichte erzählt habe, hört zu.",Neutral,Dative,,,
539,13,"Die Freunde, _____ wir geschrieben haben, kommen morgen.",denen,"Die Freunde, denen wir geschrieben haben, kommen morgen.",Feminine,Dative,,,
540,13,"Die Katze, _____ ich das Futter gekauft habe, ist alt.",der,"Die Katze, der ich das Futter gekauft habe, ist alt.",Feminine,Dative,,,
541,13,"Die Kinder, _____ ich Süßigkeiten gegeben habe, sind fröhlich.",denen,"Die Kinder, denen ich Süßigkeiten gegeben habe, sind fröhlich.",Feminine,Dative,,,
542,13,"Der Hund, _____ sie Wasser gebracht hat, ist krank.",dem,"Der Hund, dem sie Wasser gebracht hat, ist krank.",Masculine,Dative,,,
543,13,"Die Blume, _____ wir Wasser gegeben haben, ist gewachsen.",der,"Die Blume, der wir Wasser gegeben haben, ist gewachsen.",Feminine,Dative,,,
544,13,"Die Frau, _____ er alles erklärt hat, ist zufrieden.",der,"Die Frau, der er alles erklärt hat, ist zufrieden.",Feminine,Dative,,,
545,13,"Der Lehrer, _____ wir zugehört haben, ist streng.",dem,"Der Lehrer, dem wir zugehört haben, ist streng.",Masculine,Dative,,,
546,13,"Das Auto, _____ wir die Reifen gewechselt haben, ist rot.",dem,"Das Auto, dem wir die Reifen gewechselt haben, ist rot.",Neutral,Dative,,,
547,13,"Die Kinder, _____ sie geholfen hat, danken ihr.",denen,"Die Kinder, denen sie geholfen hat, danken ihr.",Feminine,Dative,,,
548,13,"Die Frau, _____ wir die Adresse geschickt haben, kommt heute.",der,"Die Frau, der wir die Adresse geschickt haben, kommt heute.",Feminine,Dative,,,
549,13,"Das Kind, _____ Sie ein Spielzeug geschenkt hat, ist glücklich.",dem,"Das Kind, dem Sie ein Spielzeug geschenkt hat, ist glücklich.",Neutral,Dative,,,
550,13,"Die Männer, _____ sie neue Anzüge gekauft haben, sehen elegant aus.",denen,"Die Männer, denen sie neue Anzüge gekauft haben, sehen elegant aus.",Feminine,Dative,,,
551,13,"Der Arzt, _____ ich meine Symptome erklärt habe, war freundlich.",dem,"Der Arzt, dem ich meine Symptome erklärt habe, war freundlich.",Masculine,Dative,,,
552,13,"Das Haus, _____ wir eine neue Tür eingesetzt haben, sieht modern aus.",dem,"Das Haus, dem wir eine neue Tür eingesetzt haben, sieht modern aus.",Neutral,Dative,,,
553,13,"Die Leute, _____ wir geholfen haben, sind dankbar.",denen,"Die Leute, denen wir geholfen haben, sind dankbar.",Feminine,Dative,,,
554,13,"Der Mann, _____ ich einen Stift geliehen habe, hat ihn zurückgegeben.",dem,"Der Mann, dem ich einen Stift geliehen habe, hat ihn zurückgegeben.",Masculine,Dative,,,
555,13,"Der Mann, _____ Haus verkauft wurde, ist traurig.",dessen,"Der Mann, dessen Haus verkauft wurde, ist traurig.",Masculine,Genitive,,,
556,13,"Die Frau, _____ Katze verschwunden ist, sucht sie.",deren,"Die Frau, deren Katze verschwunden ist, sucht sie.",Feminine,Genitive,,,
557,13,"Das Auto, _____ Besitzer ich kenne, ist alt.",dessen,"Das Auto, dessen Besitzer ich kenne, ist alt.",Neutral,Genitive,,,
558,13,"Die Kinder, _____ Spielsachen kaputt sind, weinen.",deren,"Die Kinder, deren Spielsachen kaputt sind, weinen.",Feminine,Genitive,,,
559,13,"Der Hund, _____ Besitzer verreist ist, bellt viel.",dessen,"Der Hund, dessen Besitzer verreist ist, bellt viel.",Masculine,Genitive,,,
560,13,"Die Blume, _____ Duft so angenehm ist, ist schön.",deren,"Die Blume, deren Duft so angenehm ist, ist schön.",Feminine,Genitive,,,
561,13,"Das Haus, _____ Fenster offen sind, gehört mir.",dessen,"Das Haus, dessen Fenster offen sind, gehört mir.",Neutral,Genitive,,,
562,13,"Die Frau, _____ Meinung gefragt wurde, ist klug.",deren,"Die Frau, deren Meinung gefragt wurde, ist klug.",Feminine,Genitive,,,
563,13,"Die Freunde, _____ Namen ich vergessen habe, rufen mich an.",deren,"Die Freunde, deren Namen ich vergessen habe, rufen mich an.",Feminine,Genitive,,,
564,13,"Der Lehrer, _____ Erklärung hilfreich war, wurde gelobt.",dessen,"Der Lehrer, dessen Erklärung hilfreich war, wurde gelobt.",Masculine,Genitive,,,
565,13,"Das Buch, _____ Autor berühmt ist, wird viel gelesen.",dessen,"Das Buch, dessen Autor berühmt ist, wird viel gelesen.",Neutral,Genitive,,,
566,13,"Die Männer, _____ Autos auf dem Parkplatz stehen, kommen bald.",deren,"Die Männer, deren Autos auf dem Parkplatz stehen, kommen bald.",Feminine,Genitive,,,
567,13,"Die Frau, _____ Tasche gestohlen wurde, hat die Polizei gerufen.",deren,"Die Frau, deren Tasche gestohlen wurde, hat die Polizei gerufen.",Feminine,Genitive,,,
568,13,"Der Mann, _____ Arbeit wir bewundern, ist sehr klug.",dessen,"Der Mann, dessen Arbeit wir bewundern, ist sehr klug.",Masculine,Genitive,,,
569,13,"Das Kind, _____ Spielzeug ich kaputt gemacht habe, weint jetzt.",dessen,"Das Kind, dessen Spielzeug ich kaputt gemacht habe, weint jetzt.",Neutral,Genitive,,,
570,13,"Die Familie, _____ Haus renoviert wurde, ist zufrieden.",deren,"Die Familie, deren Haus renoviert wurde, ist zufrieden.",Feminine,Genitive,,,
571,13,"Der Arzt, _____ Praxis geschlossen ist, arbeitet jetzt woanders.",dessen,"Der Arzt, dessen Praxis geschlossen ist, arbeitet jetzt woanders.",Masculine,Genitive,,,
572,13,"Die Frau, _____ Mann ein berühmter Künstler ist, ist sehr freundlich.",deren,"Die Frau, deren Mann ein berühmter Künstler ist, ist sehr freundlich.",Feminine,Genitive,,,
573,13,"Die Kinder, _____ Eltern verreist sind, bleiben bei den Großeltern.",deren,"Die Kinder, deren Eltern verreist sind, bleiben bei den Großeltern.",Feminine,Genitive,,,
574,13,"Der Junge, _____ Fahrrad gestohlen wurde, ist traurig.",dessen,"Der Junge, dessen Fahrrad gestohlen wurde, ist traurig.",Masculine,Genitive,,,
575,13,"Das Buch, _____ Titel ich mich nicht erinnere, war spannend.",an dessen,"Das Buch, an dessen Titel ich mich nicht erinnere, war spannend.",Neutral,Genitive,,,
576,14,"Das ist das Fahrrad, _____ schnell fährt.",das,"Das ist das Fahrrad, das schnell fährt.",Neutral,Nominative,,,
577,14,"Die Reise, _____ wir geplant haben, ist teuer.",die,"Die Reise, die wir geplant haben, ist teuer.",Feminine,Accusative,,,
578,14,"Der Film, _____ im Kino läuft, ist interessant.",der,"Der Film, der im Kino läuft, ist interessant.",Masculine,Nominative,,,
579,14,"Die Wohnung, _____ wir gemietet haben, ist klein.",die,"Die Wohnung, die wir gemietet haben, ist klein.",Feminine,Accusative,,,
580,14,"Das Problem, _____ wir lösen müssen, ist schwierig.",das,"Das Problem, das wir lösen müssen, ist schwierig.",Neutral,Accusative,,,
581,14,"Die Aufgabe, _____ er bekommen hat, ist einfach.",die,"Die Aufgabe, die er bekommen hat, ist einfach.",Feminine,Accusative,,,
582,14,"Der Computer, _____ neu ist, funktioniert gut.",der,"Der Computer, der neu ist, funktioniert gut.",Masculine,Nominative,,,
583,14,"Die Musik, _____ ich höre, ist entspannend.",die,"Die Musik, die ich höre, ist entspannend.",Feminine,Accusative,,,
584,14,"Das Essen, _____ gut schmeckt, ist teuer.",das,"Das Essen, das gut schmeckt, ist teuer.",Neutral,Nominative,,,
585,14,"Die Leute, _____ hier wohnen, sind nett.",die,"Die Leute, die hier wohnen, sind nett.",Feminine,Nominative,,,
586,14,"Der Zug, _____ Verspätung hat, kommt bald an.",der,"Der Zug, der Verspätung hat, kommt bald an.",Masculine,Nominative,,,
587,14,"Das Hotel, _____ wir gebucht haben, ist modern.",das,"Das Hotel, das wir gebucht haben, ist modern.",Neutral,Accusative,,,
588,14,"Die Sprache, _____ ich lerne, ist schwer.",die,"Die Sprache, die ich lerne, ist schwer.",Feminine,Accusative,,,
589,14,"Der Sport, _____ ich mache, ist gesund.",den,"Der Sport, den ich mache, ist gesund.",Masculine,Accusative,,,
590,14,"Die Arbeit, _____ er sucht, ist interessant.",die,"Die Arbeit, die er sucht, ist interessant.",Feminine,Accusative,,,
591,14,"Das Wetter, _____ heute ist, ist schön.",das,"Das Wetter, das heute ist, ist schön.",Neutral,Nominative,,,
592,14,"Die Ferien, _____ wir hatten, waren toll.",die,"Die Ferien, die wir hatten, waren toll.",Feminine,Accusative,,,
593,14,"Der Urlaub, _____ sie macht, ist lang.",den,"Der Urlaub, den sie macht, ist lang.",Masculine,Accusative,,,
594,14,"Das Geschenk, _____ ich bekommen habe, ist schön.",das,"Das Geschenk, das ich bekommen habe, ist schön.",Neutral,Accusative,,,
595,14,"Die Party, _____ wir gefeiert haben, war lustig.",die,"Die Party, die wir gefeiert haben, war lustig.",Feminine,Accusative,,,
596,14,"Das ist das Buch, _____ ich gelesen habe.",das,"Das ist das Buch, das ich gelesen habe.",Neutral,Accusative,,,
597,14,"Die Reise, _____ wir gebucht haben, war schön.",die,"Die Reise, die wir gebucht haben, war schön.",Feminine,Accusative,,,
598,14,"Der Film, _____ wir gesehen haben, war spannend.",den,"Der Film, den wir gesehen haben, war spannend.",Masculine,Accusative,,,
599,14,"Die Wohnung, _____ wir suchen, ist groß.",die,"Die Wohnung, die wir suchen, ist groß.",Feminine,Accusative,,,
600,14,"Das Problem, _____ wir besprochen haben, ist gelöst.",das,"Das Problem, das wir besprochen haben, ist gelöst.",Neutral,Accusative,,,
601,14,"Die Aufgabe, _____ er erledigt hat, war schwierig.",die,"Die Aufgabe, die er erledigt hat, war schwierig.",Feminine,Accusative,,,
602,14,"Der Computer, _____ ich gekauft habe, ist schnell.",den,"Der Computer, den ich gekauft habe, ist schnell.",Masculine,Accusative,,,
603,14,"Die Musik, _____ du hörst, gefällt mir.",die,"Die Musik, die du hörst, gefällt mir.",Feminine,Accusative,,,
604,14,"Das Essen, _____ wir bestellt haben, ist lecker.",das,"Das Essen, das wir bestellt haben, ist lecker.",Neutral,Accusative,,,
605,14,"Die Leute, _____ ich getroffen habe, waren freundlich.",die,"Die Leute, die ich getroffen habe, waren freundlich.",Feminine,Accusative,,,
606,14,"Der Zug, _____ wir verpasst haben, fährt später.",den,"Der Zug, den wir verpasst haben, fährt später.",Masculine,Accusative,,,
