Nr,exercise,question,answer,german,english,french,person,case_english,case_french,gender_english,gender_french,verb_german,verb_english,verb_french,explanation_english_article,explanation_french_article,valency_english,valency_french,explanation_english_valency,explanation_french_valency,explanation_english_verb,explanation_french_verb,explanation_english,explanation_french
118,4,Ich wünsche dir _____ schönen Abend.,einen,Ich wünsche dir einen schönen Abend.,I wish you a nice evening.,Je te souhaite une bonne soirée.,ein,Accusative,Accusatif,Masculine,Masculin,wünschen,to wish,souhaiter,"ein, Masculine, Accusative → einen","ein, Masculin, Accusatif → einen",Accusative + Dative (Ditransitive),Accusatif + Datif (Ditransitif),wünschen → Accusative + Dative (Ditransitive),wünschen → Accusatif + Datif (Ditransitif),Verbs that describe an explicit transmission usually take one Dative and one Accusative,Les verbes qui expriment une transmission explicite s'accompagnent généralement d'un Datif et d'un Accusatif,"ein, Masculine, Accusative → einen<br><br>wünschen → Accusative + Dative (Ditransitive)<br><br>Verbs that describe an explicit transmission usually take one Dative and one Accusative<br><br>wünschen = to wish","ein, Masculin, Accusatif → einen<br><br>wünschen → Accusatif + Datif (Ditransitif)<br><br>Les verbes qui expriment une transmission explicite s'accompagnent généralement d'un Datif et d'un Accusatif<br><br>wünschen = souhaiter"
119,5,Die Eltern erlauben dem Kind _____ Film.,einen,Die Eltern erlauben dem Kind einen Film.,The parents allow the child a movie.,Les parents permettent à l’enfant de regarder un film.,ein,Accusative,Accusatif,Masculine,Masculin,erlauben,"to allow, to permit","permettre, donner l'autorisation","ein, Masculine, Accusative → einen","ein, Masculin, Accusatif → einen",Accusative + Dative (Ditransitive),Accusatif + Datif (Ditransitif),erlauben → Accusative + Dative (Ditransitive),erlauben → Accusatif + Datif (Ditransitif),Verbs that describe an explicit transmission usually take one Dative and one Accusative,Les verbes qui expriment une transmission explicite s'accompagnent généralement d'un Datif et d'un Accusatif,"ein, Masculine, Accusative → einen<br><br>erlauben → Accusative + Dative (Ditransitive)<br><br>Verbs that describe an explicit transmission usually take one Dative and one Accusative<br><br>erlauben = to allow, to permit","ein, Masculin, Accusatif → einen<br><br>erlauben → Accusatif + Datif (Ditransitif)<br><br>Les verbes qui expriment une transmission explicite s'accompagnent généralement d'un Datif et d'un Accusatif<br><br>erlauben = permettre, donner l'autorisation"
120,6,Ich teile dir _____ Ergebnisse morgen mit.,die,Ich teile dir die Ergebnisse morgen mit.,I will inform you of the results tomorrow.,Je te communiquerai les résultats demain.,der/die/das,Accusative,Accusatif,Plural,Pluriel,mitteilen,"to inform, to notify, to communicate","informer, notifier, communiquer","der/die/das, Plural, Accusative → die","der/die/das, Pluriel, Accusatif → die",Accusative + Dative (Ditransitive),Accusatif + Datif (Ditransitif),mitteilen → Accusative + Dative (Ditransitive),mitteilen → Accusatif + Datif (Ditransitif),Verbs that describe an explicit transmission usually take one Dative and one Accusative,Les verbes qui expriment une transmission explicite s'accompagnent généralement d'un Datif et d'un Accusatif,"der/die/das, Plural, Accusative → die<br><br>mitteilen → Accusative + Dative (Ditransitive)<br><br>Verbs that describe an explicit transmission usually take one Dative and one Accusative<br><br>mitteilen = to inform, to notify, to communicate","der/die/das, Pluriel, Accusatif → die<br><br>mitteilen → Accusatif + Datif (Ditransitif)<br><br>Les verbes qui expriment une transmission explicite s'accompagnent généralement d'un Datif et d'un Accusatif<br><br>mitteilen = informer, notifier, communiquer"
121,4,Sie sendet dem Kunden _____ Rechnung per E-Mail.,die,Sie sendet dem Kunden die Rechnung per E-Mail.,She sends the invoice to the customer by email.,Elle envoie la facture au client par e-mail.,der/die/das,Accusative,Accusatif,Feminine,Féminin,senden,"to send, to broadcast","envoyer, diffuser","der/die/das, Feminine, Accusative → die","der/die/das, Féminin, Accusatif → die",Accusative + Dative (Ditransitive),Accusatif + Datif (Ditransitif),senden → Accusative + Dative (Ditransitive),senden → Accusatif + Datif (Ditransitif),Verbs that describe an explicit transmission usually take one Dative and one Accusative,Les verbes qui expriment une transmission explicite s'accompagnent généralement d'un Datif et d'un Accusatif,"der/die/das, Feminine, Accusative → die<br><br>senden → Accusative + Dative (Ditransitive)<br><br>Verbs that describe an explicit transmission usually take one Dative and one Accusative<br><br>senden = to send, to broadcast","der/die/das, Féminin, Accusatif → die<br><br>senden → Accusatif + Datif (Ditransitif)<br><br>Les verbes qui expriment une transmission explicite s'accompagnent généralement d'un Datif et d'un Accusatif<br><br>senden = envoyer, diffuser"
122,5,Der Lehrer verbietet den Schülern _____ Handys im Unterricht.,die,Der Lehrer verbietet den Schülern die Handys im Unterricht.,The teacher forbids the students the phones in class.,Le professeur interdit aux élèves les téléphones en cours.,der/die/das,Accusative,Accusatif,Plural,Pluriel,verbieten,"to forbid, to prohibit","interdire, prohiber","der/die/das, Plural, Accusative → die","der/die/das, Pluriel, Accusatif → die",Accusative + Dative (Ditransitive),Accusatif + Datif (Ditransitif),verbieten → Accusative + Dative (Ditransitive),verbieten → Accusatif + Datif (Ditransitif),Verbs that describe an explicit transmission usually take one Dative and one Accusative,Les verbes qui expriment une transmission explicite s'accompagnent généralement d'un Datif et d'un Accusatif,"der/die/das, Plural, Accusative → die<br><br>verbieten → Accusative + Dative (Ditransitive)<br><br>Verbs that describe an explicit transmission usually take one Dative and one Accusative<br><br>verbieten = to forbid, to prohibit","der/die/das, Pluriel, Accusatif → die<br><br>verbieten → Accusatif + Datif (Ditransitif)<br><br>Les verbes qui expriment une transmission explicite s'accompagnent généralement d'un Datif et d'un Accusatif<br><br>verbieten = interdire, prohiber"
123,6,Ich biete dir _____ Kaffee an.,einen,Ich biete dir einen Kaffee an.,I offer you a coffee.,Je t’offre un café.,ein,Accusative,Accusatif,Masculine,Masculin,anbieten,"to offer, to provide, to propose","offrir, fournir, proposer","ein, Masculine, Accusative → einen","ein, Masculin, Accusatif → einen",Accusative + Dative (Ditransitive),Accusatif + Datif (Ditransitif),anbieten → Accusative + Dative (Ditransitive),anbieten → Accusatif + Datif (Ditransitif),Verbs that describe an explicit transmission usually take one Dative and one Accusative,Les verbes qui expriment une transmission explicite s'accompagnent généralement d'un Datif et d'un Accusatif,"ein, Masculine, Accusative → einen<br><br>anbieten → Accusative + Dative (Ditransitive)<br><br>Verbs that describe an explicit transmission usually take one Dative and one Accusative<br><br>anbieten = to offer, to provide, to propose","ein, Masculin, Accusatif → einen<br><br>anbieten → Accusatif + Datif (Ditransitif)<br><br>Les verbes qui expriment une transmission explicite s'accompagnent généralement d'un Datif et d'un Accusatif<br><br>anbieten = offrir, fournir, proposer"
124,4,Sie verspricht ihrem Freund _____ schnelle Antwort.,eine,Sie verspricht ihrem Freund eine schnelle Antwort.,She promises her friend a quick answer.,Elle promet à son ami une réponse rapide.,ein,Accusative,Accusatif,Feminine,Féminin,versprechen,"to promise, to hope for, to misspeak","promettre, espérer","ein, Feminine, Accusative → eine","ein, Féminin, Accusatif → eine",Accusative + Dative (Ditransitive),Accusatif + Datif (Ditransitif),versprechen → Accusative + Dative (Ditransitive),versprechen → Accusatif + Datif (Ditransitif),Verbs that describe an explicit transmission usually take one Dative and one Accusative,Les verbes qui expriment une transmission explicite s'accompagnent généralement d'un Datif et d'un Accusatif,"ein, Feminine, Accusative → eine<br><br>versprechen → Accusative + Dative (Ditransitive)<br><br>Verbs that describe an explicit transmission usually take one Dative and one Accusative<br><br>versprechen = to promise, to hope for, to misspeak","ein, Féminin, Accusatif → eine<br><br>versprechen → Accusatif + Datif (Ditransitif)<br><br>Les verbes qui expriment une transmission explicite s'accompagnent généralement d'un Datif et d'un Accusatif<br><br>versprechen = promettre, espérer"
125,5,Wir schlagen dem Chef _____ neuen Plan vor.,einen,Wir schlagen dem Chef einen neuen Plan vor.,We suggest a new plan to the boss.,Nous proposons un nouveau plan au chef.,ein,Accusative,Accusatif,Masculine,Masculin,vorschlagen,"to suggest, to propose","suggérer, proposer","ein, Masculine, Accusative → einen","ein, Masculin, Accusatif → einen",Accusative + Dative (Ditransitive),Accusatif + Datif (Ditransitif),vorschlagen → Accusative + Dative (Ditransitive),vorschlagen → Accusatif + Datif (Ditransitif),Verbs that describe an explicit transmission usually take one Dative and one Accusative,Les verbes qui expriment une transmission explicite s'accompagnent généralement d'un Datif et d'un Accusatif,"ein, Masculine, Accusative → einen<br><br>vorschlagen → Accusative + Dative (Ditransitive)<br><br>Verbs that describe an explicit transmission usually take one Dative and one Accusative<br><br>vorschlagen = to suggest, to propose","ein, Masculin, Accusatif → einen<br><br>vorschlagen → Accusatif + Datif (Ditransitif)<br><br>Les verbes qui expriment une transmission explicite s'accompagnent généralement d'un Datif et d'un Accusatif<br><br>vorschlagen = suggérer, proposer"
126,6,Ich bringe dir morgen _____ Buch mit.,das,Ich bringe dir morgen das Buch mit.,I bring you the book tomorrow.,Je t’apporte le livre demain.,der/die/das,Accusative,Accusatif,Neuter,Neutre,mitbringen,"to bring along, to bring with",apporter,"der/die/das, Neuter, Accusative → das","der/die/das, Neutre, Accusatif → das",Accusative + Dative (Ditransitive),Accusatif + Datif (Ditransitif),mitbringen → Accusative + Dative (Ditransitive),mitbringen → Accusatif + Datif (Ditransitif),Verbs that describe an explicit transmission usually take one Dative and one Accusative,Les verbes qui expriment une transmission explicite s'accompagnent généralement d'un Datif et d'un Accusatif,"der/die/das, Neuter, Accusative → das<br><br>mitbringen → Accusative + Dative (Ditransitive)<br><br>Verbs that describe an explicit transmission usually take one Dative and one Accusative<br><br>mitbringen = to bring along, to bring with","der/die/das, Neutre, Accusatif → das<br><br>mitbringen → Accusatif + Datif (Ditransitif)<br><br>Les verbes qui expriment une transmission explicite s'accompagnent généralement d'un Datif et d'un Accusatif<br><br>mitbringen = apporter"
127,4,Die Firma liefert dem Kunden _____ Ware am Montag.,die,Die Firma liefert dem Kunden die Ware am Montag.,The company delivers the goods to the customer on Monday.,L’entreprise livre la marchandise au client lundi.,der/die/das,Accusative,Accusatif,Plural,Pluriel,liefern,"to deliver, to supply","livrer, approvisionner","der/die/das, Plural, Accusative → die","der/die/das, Pluriel, Accusatif → die",Accusative + Dative (Ditransitive),Accusatif + Datif (Ditransitif),liefern → Accusative + Dative (Ditransitive),liefern → Accusatif + Datif (Ditransitif),Verbs that describe an explicit transmission usually take one Dative and one Accusative,Les verbes qui expriment une transmission explicite s'accompagnent généralement d'un Datif et d'un Accusatif,"der/die/das, Plural, Accusative → die<br><br>liefern → Accusative + Dative (Ditransitive)<br><br>Verbs that describe an explicit transmission usually take one Dative and one Accusative<br><br>liefern = to deliver, to supply","der/die/das, Pluriel, Accusatif → die<br><br>liefern → Accusatif + Datif (Ditransitif)<br><br>Les verbes qui expriment une transmission explicite s'accompagnent généralement d'un Datif et d'un Accusatif<br><br>liefern = livrer, approvisionner"
128,5,Der Arzt überträgt dem Kollegen _____ Verantwortung.,die,Der Arzt überträgt dem Kollegen die Verantwortung.,The doctor transfers the responsibility to the colleague.,Le médecin transfère la responsabilité au collègue.,der/die/das,Accusative,Accusatif,Feminine,Féminin,übertragen,"to transfer, to transmit, to broadcast","transférer, transmettre, diffuser","der/die/das, Feminine, Accusative → die","der/die/das, Féminin, Accusatif → die",Accusative + Dative (Ditransitive),Accusatif + Datif (Ditransitif),übertragen → Accusative + Dative (Ditransitive),übertragen → Accusatif + Datif (Ditransitif),Verbs that describe an explicit transmission usually take one Dative and one Accusative,Les verbes qui expriment une transmission explicite s'accompagnent généralement d'un Datif et d'un Accusatif,"der/die/das, Feminine, Accusative → die<br><br>übertragen → Accusative + Dative (Ditransitive)<br><br>Verbs that describe an explicit transmission usually take one Dative and one Accusative<br><br>übertragen = to transfer, to transmit, to broadcast","der/die/das, Féminin, Accusatif → die<br><br>übertragen → Accusatif + Datif (Ditransitif)<br><br>Les verbes qui expriment une transmission explicite s'accompagnent généralement d'un Datif et d'un Accusatif<br><br>übertragen = transférer, transmettre, diffuser"
129,6,Ich gebe dem Lehrer _____ Hausaufgaben ab.,die,Ich gebe dem Lehrer die Hausaufgaben ab.,I hand in the homework to the teacher.,Je rends les devoirs au professeur.,der/die/das,Accusative,Accusatif,Plural,Pluriel,abgeben,"to submit, to hand in, to deliver","soumettre, remettre, livrer","der/die/das, Plural, Accusative → die","der/die/das, Pluriel, Accusatif → die",Accusative + Dative (Ditransitive),Accusatif + Datif (Ditransitif),abgeben → Accusative + Dative (Ditransitive),abgeben → Accusatif + Datif (Ditransitif),Verbs that describe an explicit transmission usually take one Dative and one Accusative,Les verbes qui expriment une transmission explicite s'accompagnent généralement d'un Datif et d'un Accusatif,"der/die/das, Plural, Accusative → die<br><br>abgeben → Accusative + Dative (Ditransitive)<br><br>Verbs that describe an explicit transmission usually take one Dative and one Accusative<br><br>abgeben = to submit, to hand in, to deliver","der/die/das, Pluriel, Accusatif → die<br><br>abgeben → Accusatif + Datif (Ditransitif)<br><br>Les verbes qui expriment une transmission explicite s'accompagnent généralement d'un Datif et d'un Accusatif<br><br>abgeben = soumettre, remettre, livrer"
130,4,Die Firma ermöglicht uns _____ Zugang zu den Daten.,den,Die Firma ermöglicht uns den Zugang zu den Daten.,The company enables us access to the data.,L’entreprise nous permet l’accès aux données.,der/die/das,Accusative,Accusatif,Masculine,Masculin,ermöglichen,"to enable, to make possible","permettre, rendre possible","der/die/das, Masculine, Accusative → den","der/die/das, Masculin, Accusatif → den",Accusative + Dative (Ditransitive),Accusatif + Datif (Ditransitif),ermöglichen → Accusative + Dative (Ditransitive),ermöglichen → Accusatif + Datif (Ditransitif),Verbs that describe an explicit transmission usually take one Dative and one Accusative,Les verbes qui expriment une transmission explicite s'accompagnent généralement d'un Datif et d'un Accusatif,"der/die/das, Masculine, Accusative → den<br><br>ermöglichen → Accusative + Dative (Ditransitive)<br><br>Verbs that describe an explicit transmission usually take one Dative and one Accusative<br><br>ermöglichen = to enable, to make possible","der/die/das, Masculin, Accusatif → den<br><br>ermöglichen → Accusatif + Datif (Ditransitif)<br><br>Les verbes qui expriment une transmission explicite s'accompagnent généralement d'un Datif et d'un Accusatif<br><br>ermöglichen = permettre, rendre possible"
131,5,_____ ist heute nach einem ruhigen Abend.,Mir,Mir ist heute nach einem ruhigen Abend.,I feel like having a quiet evening today.,J’ai envie d’une soirée tranquille aujourd’hui.,ich,Dative,Datif,,,sein,to be,être,"ich, Dative → Mir","ich, Datif → Mir",Nominative or Dative,Nominatif ou Datif,sein → Nominative or Dative,sein → Nominatif ou Datif,Verbs that describe an implicit transmission usually take the Dative,Les verbes qui désignent un transfert implicite s'accompagnent généralement du Datif,"ich, Dative → Mir<br><br>sein → Nominative or Dative<br><br>Verbs that describe an implicit transmission usually take the Dative<br><br>sein = to be","ich, Datif → Mir<br><br>sein → Nominatif ou Datif<br><br>Les verbes qui désignent un transfert implicite s'accompagnent généralement du Datif<br><br>sein = être"
132,6,_____ ist bei dem Gedanken unwohl geworden.,Ihm,Ihm ist bei dem Gedanken unwohl geworden.,He felt uneasy at the thought.,Il s’est senti mal à cette idée.,er,Dative,Datif,,,sein,to be,être,"er, Dative → Ihm","er, Datif → Ihm",Nominative or Dative,Nominatif ou Datif,sein → Nominative or Dative,sein → Nominatif ou Datif,Verbs that describe an implicit transmission usually take the Dative,Les verbes qui désignent un transfert implicite s'accompagnent généralement du Datif,"er, Dative → Ihm<br><br>sein → Nominative or Dative<br><br>Verbs that describe an implicit transmission usually take the Dative<br><br>sein = to be","er, Datif → Ihm<br><br>sein → Nominatif ou Datif<br><br>Les verbes qui désignent un transfert implicite s'accompagnent généralement du Datif<br><br>sein = être"
133,4,"_____ ist es wichtig, pünktlich zu sein.",Uns,"Uns ist es wichtig, pünktlich zu sein.",It is important to us to be on time.,Il est important pour nous d’être à l’heure.,wir,Dative,Datif,,,sein,to be,être,"wir, Dative → Uns","wir, Datif → Uns",Nominative or Dative,Nominatif ou Datif,sein → Nominative or Dative,sein → Nominatif ou Datif,Verbs that describe an implicit transmission usually take the Dative,Les verbes qui désignent un transfert implicite s'accompagnent généralement du Datif,"wir, Dative → Uns<br><br>sein → Nominative or Dative<br><br>Verbs that describe an implicit transmission usually take the Dative<br><br>sein = to be","wir, Datif → Uns<br><br>sein → Nominatif ou Datif<br><br>Les verbes qui désignent un transfert implicite s'accompagnent généralement du Datif<br><br>sein = être"
134,5,_____ wird nach dem langen Tag schnell müde.,Mir,Mir wird nach dem langen Tag schnell müde.,I quickly get tired after the long day.,Je deviens vite fatigué après la longue journée.,ich,Dative,Datif,,,werden,"to become, will, to be done (passive voice)",devenir,"ich, Dative → Mir","ich, Datif → Mir",Nominative or Dative,Nominatif ou Datif,werden → Nominative or Dative,werden → Nominatif ou Datif,Verbs that describe an implicit transmission usually take the Dative,Les verbes qui désignent un transfert implicite s'accompagnent généralement du Datif,"ich, Dative → Mir<br><br>werden → Nominative or Dative<br><br>Verbs that describe an implicit transmission usually take the Dative<br><br>werden = to become, will, to be done (passive voice)","ich, Datif → Mir<br><br>werden → Nominatif ou Datif<br><br>Les verbes qui désignent un transfert implicite s'accompagnent généralement du Datif<br><br>werden = devenir"
135,6,_____ wird bei dem Lärm schwindelig.,Ihr,Ihr wird bei dem Lärm schwindelig.,She gets dizzy because of the noise.,Elle a des vertiges à cause du bruit.,sie,Dative,Datif,,,werden,"to become, will, to be done (passive voice)",devenir,"sie, Dative → Ihr","sie, Datif → Ihr",Nominative or Dative,Nominatif ou Datif,werden → Nominative or Dative,werden → Nominatif ou Datif,Verbs that describe an implicit transmission usually take the Dative,Les verbes qui désignent un transfert implicite s'accompagnent généralement du Datif,"sie, Dative → Ihr<br><br>werden → Nominative or Dative<br><br>Verbs that describe an implicit transmission usually take the Dative<br><br>werden = to become, will, to be done (passive voice)","sie, Datif → Ihr<br><br>werden → Nominatif ou Datif<br><br>Les verbes qui désignent un transfert implicite s'accompagnent généralement du Datif<br><br>werden = devenir"
136,4,_____ wird es im Winter oft zu kalt.,Uns,Uns wird es im Winter oft zu kalt.,It often becomes too cold for us in winter.,Il fait souvent trop froid pour nous en hiver.,wir,Dative,Datif,,,werden,"to become, will, to be done (passive voice)",devenir,"wir, Dative → Uns","wir, Datif → Uns",Nominative or Dative,Nominatif ou Datif,werden → Nominative or Dative,werden → Nominatif ou Datif,Verbs that describe an implicit transmission usually take the Dative,Les verbes qui désignent un transfert implicite s'accompagnent généralement du Datif,"wir, Dative → Uns<br><br>werden → Nominative or Dative<br><br>Verbs that describe an implicit transmission usually take the Dative<br><br>werden = to become, will, to be done (passive voice)","wir, Datif → Uns<br><br>werden → Nominatif ou Datif<br><br>Les verbes qui désignent un transfert implicite s'accompagnent généralement du Datif<br><br>werden = devenir"
137,5,Ich glaube _____ Geschichte nicht.,die,Ich glaube die Geschichte nicht.,I do not believe the story.,Je ne crois pas l’histoire.,der/die/das,Accusative,Accusatif,Feminine,Féminin,glauben,to believe,croire,"der/die/das, Feminine, Accusative → die","der/die/das, Féminin, Accusatif → die",Accusative,Accusatif,glauben → Accusative,glauben → Accusatif,,,"der/die/das, Feminine, Accusative → die<br><br>glauben → Accusative<br><br>glauben = to believe","der/die/das, Féminin, Accusatif → die<br><br>glauben → Accusatif<br><br>glauben = croire"
138,6,Sie wiederholt _____ Satz noch einmal.,den,Sie wiederholt den Satz noch einmal.,She repeats the sentence once more.,Elle répète la phrase encore une fois.,der/die/das,Accusative,Accusatif,Masculine,Masculin,wiederholen,to repeat,répéter,"der/die/das, Masculine, Accusative → den","der/die/das, Masculin, Accusatif → den",Accusative,Accusatif,wiederholen → Accusative,wiederholen → Accusatif,,,"der/die/das, Masculine, Accusative → den<br><br>wiederholen → Accusative<br><br>wiederholen = to repeat","der/die/das, Masculin, Accusatif → den<br><br>wiederholen → Accusatif<br><br>wiederholen = répéter"
139,4,Wir übersetzen _____ Text ins Deutsche.,den,Wir übersetzen den Text ins Deutsche.,We translate the text into German.,Nous traduisons le texte en allemand.,der/die/das,Accusative,Accusatif,Masculine,Masculin,übersetzen,to translate,traduire,"der/die/das, Masculine, Accusative → den","der/die/das, Masculin, Accusatif → den",Accusative,Accusatif,übersetzen → Accusative,übersetzen → Accusatif,,,"der/die/das, Masculine, Accusative → den<br><br>übersetzen → Accusative<br><br>übersetzen = to translate","der/die/das, Masculin, Accusatif → den<br><br>übersetzen → Accusatif<br><br>übersetzen = traduire"
140,5,Ich buchstabiere _____ schwierige Wort langsam.,das,Ich buchstabiere das schwierige Wort langsam.,I spell the difficult word slowly.,J’épelle le mot difficile lentement.,der/die/das,Accusative,Accusatif,Neuter,Neutre,buchstabieren,to spell,épeler,"der/die/das, Neuter, Accusative → das","der/die/das, Neutre, Accusatif → das",Accusative,Accusatif,buchstabieren → Accusative,buchstabieren → Accusatif,,,"der/die/das, Neuter, Accusative → das<br><br>buchstabieren → Accusative<br><br>buchstabieren = to spell","der/die/das, Neutre, Accusatif → das<br><br>buchstabieren → Accusatif<br><br>buchstabieren = épeler"
141,6,Ich beende _____ Gespräch nach zehn Minuten.,das,Ich beende das Gespräch nach zehn Minuten.,I end the conversation after ten minutes.,Je termine la conversation après dix minutes.,der/die/das,Accusative,Accusatif,Neuter,Neutre,beenden,"to finish, to end, to complete","finir, terminer, achever","der/die/das, Neuter, Accusative → das","der/die/das, Neutre, Accusatif → das",Accusative,Accusatif,beenden → Accusative,beenden → Accusatif,,,"der/die/das, Neuter, Accusative → das<br><br>beenden → Accusative<br><br>beenden = to finish, to end, to complete","der/die/das, Neutre, Accusatif → das<br><br>beenden → Accusatif<br><br>beenden = finir, terminer, achever"
142,4,Ich fühle _____ kalten Wind auf meinem Gesicht.,den,Ich fühle den kalten Wind auf meinem Gesicht.,I feel the cold wind on my face.,Je sens le vent froid sur mon visage.,der/die/das,Accusative,Accusatif,Masculine,Masculin,fühlen,"to feel, to feel something (refl.)","sentir, ressentir quelque chose (réfl.)","der/die/das, Masculine, Accusative → den","der/die/das, Masculin, Accusatif → den",Accusative,Accusatif,fühlen → Accusative,fühlen → Accusatif,,,"der/die/das, Masculine, Accusative → den<br><br>fühlen → Accusative<br><br>fühlen = to feel, to feel something (refl.)","der/die/das, Masculin, Accusatif → den<br><br>fühlen → Accusatif<br><br>fühlen = sentir, ressentir quelque chose (réfl.)"
143,5,Er führt _____ Team durch das Projekt.,das,Er führt das Team durch das Projekt.,He leads the team through the project.,Il dirige l’équipe à travers le projet.,der/die/das,Accusative,Accusatif,Neuter,Neutre,führen,"to lead, to guide","guider, conduire","der/die/das, Neuter, Accusative → das","der/die/das, Neutre, Accusatif → das",Accusative,Accusatif,führen → Accusative,führen → Accusatif,,,"der/die/das, Neuter, Accusative → das<br><br>führen → Accusative<br><br>führen = to lead, to guide","der/die/das, Neutre, Accusatif → das<br><br>führen → Accusatif<br><br>führen = guider, conduire"
144,6,Sie verliert _____ Schlüssel auf dem Weg nach Hause.,den,Sie verliert den Schlüssel auf dem Weg nach Hause.,She loses the key on the way home.,Elle perd la clé en rentrant chez elle.,der/die/das,Accusative,Accusatif,Masculine,Masculin,verlieren,to lose,perdre,"der/die/das, Masculine, Accusative → den","der/die/das, Masculin, Accusatif → den",Accusative,Accusatif,verlieren → Accusative,verlieren → Accusatif,,,"der/die/das, Masculine, Accusative → den<br><br>verlieren → Accusative<br><br>verlieren = to lose","der/die/das, Masculin, Accusatif → den<br><br>verlieren → Accusatif<br><br>verlieren = perdre"
145,4,Wir fangen _____ Kurs nächste Woche an.,den,Wir fangen den Kurs nächste Woche an.,We start the course next week.,Nous commençons le cours la semaine prochaine.,der/die/das,Accusative,Accusatif,Masculine,Masculin,anfangen,to begin something new,commencer quelque chose de nouveau,"der/die/das, Masculine, Accusative → den","der/die/das, Masculin, Accusatif → den",Accusative,Accusatif,anfangen → Accusative,anfangen → Accusatif,,,"der/die/das, Masculine, Accusative → den<br><br>anfangen → Accusative<br><br>anfangen = to begin something new","der/die/das, Masculin, Accusatif → den<br><br>anfangen → Accusatif<br><br>anfangen = commencer quelque chose de nouveau"
146,5,Er gewinnt _____ Wettbewerb nach viel Training.,den,Er gewinnt den Wettbewerb nach viel Training.,He wins the competition after a lot of training.,Il gagne la compétition après beaucoup d’entraînement.,der/die/das,Accusative,Accusatif,Masculine,Masculin,gewinnen,to win,gagner,"der/die/das, Masculine, Accusative → den","der/die/das, Masculin, Accusatif → den",Accusative,Accusatif,gewinnen → Accusative,gewinnen → Accusatif,,,"der/die/das, Masculine, Accusative → den<br><br>gewinnen → Accusative<br><br>gewinnen = to win","der/die/das, Masculin, Accusatif → den<br><br>gewinnen → Accusatif<br><br>gewinnen = gagner"
147,6,Sie beginnt _____ Kurs im Herbst.,den,Sie beginnt den Kurs im Herbst.,She begins the course in autumn.,Elle commence le cours en automne.,der/die/das,Accusative,Accusatif,Masculine,Masculin,beginnen,to begin (on a certain date or time),commencer (à une certaine date ou heure),"der/die/das, Masculine, Accusative → den","der/die/das, Masculin, Accusatif → den",Accusative,Accusatif,beginnen → Accusative,beginnen → Accusatif,,,"der/die/das, Masculine, Accusative → den<br><br>beginnen → Accusative<br><br>beginnen = to begin (on a certain date or time)","der/die/das, Masculin, Accusatif → den<br><br>beginnen → Accusatif<br><br>beginnen = commencer (à une certaine date ou heure)"
148,4,Wir benutzen _____ neue Programm jeden Tag.,das,Wir benutzen das neue Programm jeden Tag.,We use the new program every day.,Nous utilisons le nouveau programme chaque jour.,der/die/das,Accusative,Accusatif,Neuter,Neutre,benutzen,to use (transitive),utiliser (transitif),"der/die/das, Neuter, Accusative → das","der/die/das, Neutre, Accusatif → das",Accusative,Accusatif,benutzen → Accusative,benutzen → Accusatif,,,"der/die/das, Neuter, Accusative → das<br><br>benutzen → Accusative<br><br>benutzen = to use (transitive)","der/die/das, Neutre, Accusatif → das<br><br>benutzen → Accusatif<br><br>benutzen = utiliser (transitif)"
149,5,Der Lehrer bestimmt _____ Termin für die Prüfung.,den,Der Lehrer bestimmt den Termin für die Prüfung.,The teacher sets the date for the exam.,Le professeur fixe la date de l’examen.,der/die/das,Accusative,Accusatif,Masculine,Masculin,bestimmen,to determine,déterminer,"der/die/das, Masculine, Accusative → den","der/die/das, Masculin, Accusatif → den",Accusative,Accusatif,bestimmen → Accusative,bestimmen → Accusatif,,,"der/die/das, Masculine, Accusative → den<br><br>bestimmen → Accusative<br><br>bestimmen = to determine","der/die/das, Masculin, Accusatif → den<br><br>bestimmen → Accusatif<br><br>bestimmen = déterminer"
150,6,Sie stellt _____ Frage im Meeting.,die,Sie stellt die Frage im Meeting.,She asks the question in the meeting.,Elle pose la question pendant la réunion.,der/die/das,Accusative,Accusatif,Feminine,Féminin,stellen,"to position, to put, to catch","positionner, mettre","der/die/das, Feminine, Accusative → die","der/die/das, Féminin, Accusatif → die",Accusative,Accusatif,stellen → Accusative,stellen → Accusatif,,,"der/die/das, Feminine, Accusative → die<br><br>stellen → Accusative<br><br>stellen = to position, to put, to catch","der/die/das, Féminin, Accusatif → die<br><br>stellen → Accusatif<br><br>stellen = positionner, mettre"
151,4,Er setzt _____ Stuhl neben den Tisch.,den,Er setzt den Stuhl neben den Tisch.,He puts the chair next to the table.,Il met la chaise à côté de la table.,der/die/das,Accusative,Accusatif,Masculine,Masculin,setzen,"to set, to sit down (refl.)",s'asseoir (réfl.),"der/die/das, Masculine, Accusative → den","der/die/das, Masculin, Accusatif → den",Accusative,Accusatif,setzen → Accusative,setzen → Accusatif,,,"der/die/das, Masculine, Accusative → den<br><br>setzen → Accusative<br><br>setzen = to set, to sit down (refl.)","der/die/das, Masculin, Accusatif → den<br><br>setzen → Accusatif<br><br>setzen = s'asseoir (réfl.)"
