Nr,exercise,original_exercise,question,answer,german,english,french,person,preposition,article,combination,case_english_,case_french_,gender_english,gender_french,explanation_english,explanation_french,case_english,case_french
697,24,13,Die Ergebnisse wirken _____ Erwartungen überraschend gut.,gegen unsere,Die Ergebnisse wirken gegen unsere Erwartungen überraschend gut.,The results seem surprisingly good compared to our expectations.,Les résultats semblent étonnamment bons par rapport à nos attentes.,unser,gegen,unsere,,Accusative,Accusatif,Plural,Pluriel,translation of <i>compared to</i> → gegen + Acc.,traduction de <i>comparé à</i> → gegen + Acc.,", Accusative",", Accusatif"
698,25,13,_____ frühere Arbeit ist das ein großer Fortschritt.,Gegen seine,Gegen seine frühere Arbeit ist das ein großer Fortschritt.,"Compared to his earlier work, this is a major improvement.","Par rapport à ses travaux précédents, il s’agit d’une amélioration majeure.",sein,gegen,seine,,Accusative,Accusatif,Feminine,Féminin,translation of <i>compared to</i> → gegen + Acc.,traduction de <i>comparé à</i> → gegen + Acc.,", Accusative",", Accusatif"
699,23,13,_____ erfolgreichen Abschluss des Projekts müssen alle Teammitglieder zusammenarbeiten.,Für den,Für den erfolgreichen Abschluss des Projekts müssen alle Teammitglieder zusammenarbeiten.,All team members must work together to successfully complete the project.,Tous les membres de l’équipe doivent travailler ensemble pour mener à bien le projet.,der/die/das,für,den,,Accusative,Accusatif,Masculine,Masculin,to indicate a concrete goal or benefit → für + Acc.,pour indiquer un objectif ou un avantage concret → für + Acc.,", Accusative",", Accusatif"
700,24,13,_____ Schutz der Umwelt sollten wir weniger Plastik verwenden.,Für den,Für den Schutz der Umwelt sollten wir weniger Plastik verwenden.,"To protect the environment, we should use less plastic.","Pour protéger l’environnement, nous devrions utiliser moins de plastique.",der/die/das,für,den,,Accusative,Accusatif,Masculine,Masculin,to indicate a concrete goal or benefit → für + Acc.,pour indiquer un objectif ou un avantage concret → für + Acc.,", Accusative",", Accusatif"
701,25,13,_____ Ausbau der Infrastruktur stellt die Regierung mehr Mittel bereit.,Für den,Für den Ausbau der Infrastruktur stellt die Regierung mehr Mittel bereit.,The government is providing more funding for infrastructure expansion.,Le gouvernement alloue davantage de fonds à l’expansion des infrastructures.,der/die/das,für,den,,Accusative,Accusatif,Masculine,Masculin,to indicate a concrete goal or benefit → für + Acc.,pour indiquer un objectif ou un avantage concret → für + Acc.,", Accusative",", Accusatif"
702,23,13,_____ Schutz der Daten wurden neue Sicherheitsvorkehrungen eingeführt.,Für den,Für den Schutz der Daten wurden neue Sicherheitsvorkehrungen eingeführt.,New security measures have been introduced to protect data.,De nouvelles mesures de sécurité ont été introduites pour protéger les données.,der/die/das,für,den,,Accusative,Accusatif,Masculine,Masculin,to indicate a concrete goal or benefit → für + Acc.,pour indiquer un objectif ou un avantage concret → für + Acc.,", Accusative",", Accusatif"
703,24,13,_____ Eröffnung der Ausstellung wurden zahlreiche Gäste eingeladen.,Für die,Für die Eröffnung der Ausstellung wurden zahlreiche Gäste eingeladen.,Numerous guests were invited to the exhibition opening.,De nombreux invités ont été conviés au vernissage de l'exposition.,der/die/das,für,die,,Accusative,Accusatif,Feminine,Féminin,to indicate a concrete goal or benefit → für + Acc.,pour indiquer un objectif ou un avantage concret → für + Acc.,", Accusative",", Accusatif"
704,25,13,_____ Verbesserung der Kundenbetreuung wurden neue Mitarbeiter eingestellt.,Zur,Zur Verbesserung der Kundenbetreuung wurden neue Mitarbeiter eingestellt.,New employees were hired to improve customer service.,De nouveaux employés ont été embauchés pour améliorer le service client.,der/die/das,zu,der,,Dative,Datif,Feminine,Féminin,to indicate a general aim or purpose with a nominalized verb → zu + Dat.,pour indiquer un but ou un objectif général avec un verbe nominalisé → zu + Dat.,", Dative",", Datif"
705,23,13,_____ Lösung des Problems haben wir eine Expertenrunde einberufen.,Zur,Zur Lösung des Problems haben wir eine Expertenrunde einberufen.,We convened a panel of experts to address the problem.,Nous avons réuni un groupe d’experts pour traiter le problème.,der/die/das,zu,der,,Dative,Datif,Feminine,Féminin,to indicate a general aim or purpose with a nominalized verb → zu + Dat.,pour indiquer un but ou un objectif général avec un verbe nominalisé → zu + Dat.,", Dative",", Datif"
706,24,13,_____ Förderung der Kreativität wurden spezielle Workshops organisiert.,Zur,Zur Förderung der Kreativität wurden spezielle Workshops organisiert.,Special workshops were organized to encourage creativity.,Des ateliers spéciaux ont été organisés pour encourager la créativité.,der/die/das,zu,der,,Dative,Datif,Feminine,Féminin,to indicate a general aim or purpose with a nominalized verb → zu + Dat.,pour indiquer un but ou un objectif général avec un verbe nominalisé → zu + Dat.,", Dative",", Datif"
707,25,13,_____ Erhöhung der Sicherheit wurden neue Kameras installiert.,Zur,Zur Erhöhung der Sicherheit wurden neue Kameras installiert.,New cameras were installed to increase security.,De nouvelles caméras ont été installées pour renforcer la sécurité.,der/die/das,zu,der,,Dative,Datif,Feminine,Féminin,to indicate a general aim or purpose with a nominalized verb → zu + Dat.,pour indiquer un but ou un objectif général avec un verbe nominalisé → zu + Dat.,", Dative",", Datif"
708,23,13,_____ Verbesserung der Zusammenarbeit wurden regelmäßige Meetings eingeführt.,Zur,Zur Verbesserung der Zusammenarbeit wurden regelmäßige Meetings eingeführt.,Regular meetings were introduced to improve collaboration.,Des réunions régulières ont été introduites pour améliorer la collaboration.,der/die/das,zu,der,,Dative,Datif,Feminine,Féminin,to indicate a general aim or purpose with a nominalized verb → zu + Dat.,pour indiquer un but ou un objectif général avec un verbe nominalisé → zu + Dat.,", Dative",", Datif"
709,24,13,_____ Strafe musste er eine Woche lang zusätzliche Aufgaben erledigen.,Zur,Zur Strafe musste er eine Woche lang zusätzliche Aufgaben erledigen.,"As punishment, he had to do extra tasks for a week.","En guise de punition, il a dû faire des tâches supplémentaires pendant une semaine.",der/die/das,zu,der,,Dative,Datif,Feminine,Féminin,to indicate a general aim or purpose with an abstract noun → zu + Dat.,pour indiquer un but ou un objectif général avec un nom commun abstrait → zu + Dat.,", Dative",", Datif"
710,25,13,"_____ Beispiel zeigt dieses Projekt sehr gut, wie flexibel das System sein kann.",Zum,"Zum Beispiel zeigt dieses Projekt sehr gut, wie flexibel das System sein kann.","For example, this project shows very well how flexible the system can be.","Par exemple, ce projet montre très bien à quel point le système peut être flexible.",der/die/das,zu,dem,,Dative,Datif,Neuter,Neutre,to indicate a general aim or purpose with an abstract noun → zu + Dat.,pour indiquer un but ou un objectif général avec un nom commun abstrait → zu + Dat.,", Dative",", Datif"
711,23,13,_____ Abwechslung wollten sie diesmal eine ruhigere Reise machen.,Zur,Zur Abwechslung wollten sie diesmal eine ruhigere Reise machen.,"For a change, they wanted to take a quieter trip this time.","Pour changer, ils voulaient faire cette fois un voyage plus calme.",der/die/das,zu,der,,Dative,Datif,Feminine,Féminin,to indicate a general aim or purpose with an abstract noun → zu + Dat.,pour indiquer un but ou un objectif général avec un nom commun abstrait → zu + Dat.,", Dative",", Datif"
712,24,13,"Er sagte es _____ Scherz, aber einige nahmen seine Worte ernst.",zum,"Er sagte es zum Scherz, aber einige nahmen seine Worte ernst.","He said it as a joke, but some people took his words seriously.","Il l’a dit pour plaisanter, mais certains ont pris ses paroles au sérieux.",der/die/das,zu,dem,,Dative,Datif,Masculine,Masculin,to indicate a general aim or purpose with an abstract noun → zu + Dat.,pour indiquer un but ou un objectif général avec un nom commun abstrait → zu + Dat.,", Dative",", Datif"
713,25,13,Viele engagieren sich _____ Wohl der Gemeinschaft.,zum,Viele engagieren sich zum Wohl der Gemeinschaft.,Many people get involved for the good of the community.,Beaucoup s’engagent pour le bien de la communauté.,der/die/das,zu,dem,,Dative,Datif,Neuter,Neutre,to indicate a general aim or purpose with an abstract noun → zu + Dat.,pour indiquer un but ou un objectif général avec un nom commun abstrait → zu + Dat.,", Dative",", Datif"
714,23,13,_____ gemeinsamen Bekannten kam der Kontakt zwischen den beiden Forschern zustande.,Durch einen,Durch einen gemeinsamen Bekannten kam der Kontakt zwischen den beiden Forschern zustande.,"Through a mutual acquaintance, contact between the two researchers was established.",C’est par l’intermédiaire d’une connaissance commune que le contact entre les deux chercheurs s’est établi.,ein,durch,einen,,Accusative,Accusatif,Masculine,Masculin,to indicate an intermediary or a middleman → durch + Acc.,"pour désigner un intermédiaire – <i>par l'intermédiaire de, via</i> → durch + Acc.",", Accusative",", Accusatif"
715,24,13,Die Dokumente wurden _____ Anwalt an die Gegenseite weitergeleitet.,durch einen,Die Dokumente wurden durch einen Anwalt an die Gegenseite weitergeleitet.,The documents were forwarded to the opposing party through a lawyer.,Les documents ont été transmis à la partie adverse par l’intermédiaire d’un avocat.,ein,durch,einen,,Accusative,Accusatif,Masculine,Masculin,to indicate an intermediary or a middleman → durch + Acc.,"pour désigner un intermédiaire – <i>par l'intermédiaire de, via</i> → durch + Acc.",", Accusative",", Accusatif"
716,25,13,_____ Vermittler konnte schließlich eine Einigung zwischen den beiden Unternehmen erzielt werden.,Durch einen,Durch einen Vermittler konnte schließlich eine Einigung zwischen den beiden Unternehmen erzielt werden.,"Through a mediator, an agreement between the two companies was finally reached.","Grâce à un médiateur, un accord a finalement été trouvé entre les deux entreprises.",ein,durch,einen,,Accusative,Accusatif,Masculine,Masculin,to indicate an intermediary or a middleman → durch + Acc.,"pour désigner un intermédiaire – <i>par l'intermédiaire de, via</i> → durch + Acc.",", Accusative",", Accusatif"
717,23,13,"Die Nachricht erreichte ihn _____ Kollegen, der zufällig davon erfahren hatte.",durch einen,"Die Nachricht erreichte ihn durch einen Kollegen, der zufällig davon erfahren hatte.",The news reached him through a colleague who had learned about it by chance.,La nouvelle lui est parvenue par l’intermédiaire d’un collègue qui l’avait apprise par hasard.,ein,durch,einen,,Accusative,Accusatif,Masculine,Masculin,to indicate an intermediary or a middleman → durch + Acc.,"pour désigner un intermédiaire – <i>par l'intermédiaire de, via</i> → durch + Acc.",", Accusative",", Accusatif"
718,24,14,Die Firma konnte ihren Umsatz _____ Drittel steigern.,um ein,Die Firma konnte ihren Umsatz um ein Drittel steigern.,The company was able to increase its revenue by a third.,L’entreprise a pu augmenter son chiffre d’affaires d’un tiers.,ein,um,ein,,Accusative,Accusatif,Neuter,Neutre,"to indicate a difference, a change → um + Acc.","pour indiquer une différence, un changement → um + Acc.",", Accusative",", Accusatif"
719,25,14,_____ Zeit verblassen die Erinnerungen.,Mit der,Mit der Zeit verblassen die Erinnerungen.,"As time passes, memories fade.","Au fil du temps, les souvenirs s’estompent.",der/die/das,mit,der,,Dative,Datif,Feminine,Féminin,to describe an accompaniment or co-occurrence → mit + Dat.,pour décrire un accompagnement ou une cooccurrence → mit + Dat.,", Dative",", Datif"
720,23,14,_____ Jahren ändern sich die Prioritäten.,Mit den,Mit den Jahren ändern sich die Prioritäten.,"As the years go by, priorities change.","Au fil des années, les priorités changent.",der/die/das,mit,den,,Dative,Datif,Plural,Pluriel,to describe an accompaniment or co-occurrence → mit + Dat.,pour décrire un accompagnement ou une cooccurrence → mit + Dat.,", Dative",", Datif"
721,24,14,_____ Fortschritt der Technologie wird unser Leben bequemer.,Mit dem,Mit dem Fortschritt der Technologie wird unser Leben bequemer.,"As technology advances, our lives become more convenient.","À mesure que la technologie progresse, nos vies deviennent plus pratiques.",der/die/das,mit,dem,,Dative,Datif,Masculine,Masculin,to describe an accompaniment or co-occurrence → mit + Dat.,pour décrire un accompagnement ou une cooccurrence → mit + Dat.,", Dative",", Datif"
722,25,14,_____ Arbeit höre ich oft klassische Musik.,Bei der,Bei der Arbeit höre ich oft klassische Musik.,I often listen to classical music while working.,J'écoute souvent de la musique classique pendant que je travaille.,der/die/das,bei,der,,Dative,Datif,Feminine,Féminin,"to describe the context, setting, or condition → bei + Dat.","pour décrire le contexte, le cadre ou la condition → bei + Dat.",", Dative",", Datif"
723,23,14,_____ Geräusch kriege ich jedes Mal eine Gänsehaut.,Bei diesem,Bei diesem Geräusch kriege ich jedes Mal eine Gänsehaut.,That sound gives me goosebumps every time.,Ce son me donne la chair de poule à chaque fois.,diese,bei,diesem,,Dative,Datif,Neuter,Neutre,"to describe the context, setting, or condition → bei + Dat.","pour décrire le contexte, le cadre ou la condition → bei + Dat.",", Dative",", Datif"
724,24,14,_____ Studium arbeitet er in einem Café.,Neben seinem,Neben seinem Studium arbeitet er in einem Café.,"In addition to his studies, he works in a café.","En plus de ses études, il travaille dans un café.",sein,neben,seinem,,Dative,Datif,Neuter,Neutre,"translation of <i>in addition to</i>, <i>besides</i> → neben + Dat.","traduction de <i>en plus de</i>, <i>outre</i> → neben + Dat.",", Dative",", Datif"
725,25,14,_____ Sprache interessiert sie sich auch für die Kultur.,Neben der,Neben der Sprache interessiert sie sich auch für die Kultur.,"In addition to the language, she’s also interested in the culture.","En plus de la langue, elle s’intéresse également à la culture.",der/die/das,neben,der,,Dative,Datif,Feminine,Féminin,"translation of <i>in addition to</i>, <i>besides</i> → neben + Dat.","traduction de <i>en plus de</i>, <i>outre</i> → neben + Dat.",", Dative",", Datif"
726,23,14,_____ finanziellen Aspekten spielen auch emotionale Gründe eine Rolle.,Neben den,Neben den finanziellen Aspekten spielen auch emotionale Gründe eine Rolle.,"In addition to financial aspects, emotional reasons also play a role.","Outre les aspects financiers, des raisons émotionnelles jouent également un rôle.",der/die/das,neben,den,,Dative,Datif,Plural,Pluriel,"translation of <i>in addition to</i>, <i>besides</i> → neben + Dat.","traduction de <i>en plus de</i>, <i>outre</i> → neben + Dat.",", Dative",", Datif"
727,24,14,_____ Tätigkeit als Lehrerin schreibt sie Kinderbücher.,Neben ihrer,Neben ihrer Tätigkeit als Lehrerin schreibt sie Kinderbücher.,"In addition to her work as a teacher, she writes children’s books.","En plus de son travail d’enseignante, elle écrit des livres pour enfants.",ihr,neben,ihrer,,Dative,Datif,Feminine,Féminin,"translation of <i>in addition to</i>, <i>besides</i> → neben + Dat.","traduction de <i>en plus de</i>, <i>outre</i> → neben + Dat.",", Dative",", Datif"
728,25,14,_____ Hauptsitz gibt es noch drei weitere Niederlassungen.,Neben dem,Neben dem Hauptsitz gibt es noch drei weitere Niederlassungen.,"In addition to the headquarters, there are three other branches.","Outre le siège social, il existe trois autres succursales.",der/die/das,neben,dem,,Dative,Datif,Masculine,Masculin,"translation of <i>in addition to</i>, <i>besides</i> → neben + Dat.","traduction de <i>en plus de</i>, <i>outre</i> → neben + Dat.",", Dative",", Datif"
729,23,14,Das Problem wurde _____ neue Methode gelöst.,durch eine,Das Problem wurde durch eine neue Methode gelöst.,The problem was solved through a new method.,Le problème a été résolu grâce à une nouvelle méthode.,ein,durch,eine,,Accusative,Accusatif,Feminine,Féminin,to indicate the inanimate agent in a passive sentence → durch + Acc.,pour indiquer l'agent inanimé dans une phrase passive → durch + Acc.,", Accusative",", Accusatif"
730,24,14,Die Stadt wurde _____ Erdbeben zerstört.,durch ein,Die Stadt wurde durch ein Erdbeben zerstört.,The city was destroyed by an earthquake.,La ville a été détruite par un tremblement de terre.,ein,durch,ein,,Accusative,Accusatif,Neuter,Neutre,to indicate the inanimate agent in a passive sentence → durch + Acc.,pour indiquer l'agent inanimé dans une phrase passive → durch + Acc.,", Accusative",", Accusatif"
731,25,14,Die Tür wurde _____ starken Windstoß geöffnet.,durch einen,Die Tür wurde durch einen starken Windstoß geöffnet.,The door was opened by a strong gust of wind.,La porte a été ouverte par une forte rafale de vent.,ein,durch,einen,,Accusative,Accusatif,Masculine,Masculin,to indicate the inanimate agent in a passive sentence → durch + Acc.,pour indiquer l'agent inanimé dans une phrase passive → durch + Acc.,", Accusative",", Accusatif"
732,23,14,Das Unternehmen wurde _____ Fusion gerettet.,durch eine,Das Unternehmen wurde durch eine Fusion gerettet.,The company was saved through a merger.,L'entreprise a été sauvée grâce à une fusion.,ein,durch,eine,,Accusative,Accusatif,Feminine,Féminin,to indicate the inanimate agent in a passive sentence → durch + Acc.,pour indiquer l'agent inanimé dans une phrase passive → durch + Acc.,", Accusative",", Accusatif"
733,24,14,Die Daten wurden _____ Software analysiert.,durch eine,Die Daten wurden durch eine Software analysiert.,The data was analyzed by a software program.,Les données ont été analysées par un logiciel.,ein,durch,eine,,Accusative,Accusatif,Feminine,Féminin,to indicate the inanimate agent in a passive sentence → durch + Acc.,pour indiquer l'agent inanimé dans une phrase passive → durch + Acc.,", Accusative",", Accusatif"
734,25,14,Das Buch wurde _____ berühmten Autor geschrieben.,von einem,Das Buch wurde von einem berühmten Autor geschrieben.,The book was written by a famous author.,Le livre a été écrit par un auteur célèbre.,ein,von,einem,,Dative,Datif,Masculine,Masculin,to indicate the animate agent in a passive sentence → von + Dat.,pour indiquer l'agent animé dans une phrase passive → von + Dat.,", Dative",", Datif"
735,23,14,Der Dieb wurde _____ Polizei festgenommen.,von der,Der Dieb wurde von der Polizei festgenommen.,The thief was arrested by the police.,Le voleur a été arrêté par la police.,der/die/das,von,der,,Dative,Datif,Feminine,Féminin,to indicate the animate agent in a passive sentence → von + Dat.,pour indiquer l'agent animé dans une phrase passive → von + Dat.,", Dative",", Datif"
736,24,14,Der Fehler wurde _____ Mitarbeiter entdeckt.,von einem,Der Fehler wurde von einem Mitarbeiter entdeckt.,The mistake was discovered by an employee.,L'erreur a été découverte par un employé.,ein,von,einem,,Dative,Datif,Masculine,Masculin,to indicate the animate agent in a passive sentence → von + Dat.,pour indiquer l'agent animé dans une phrase passive → von + Dat.,", Dative",", Datif"
737,25,14,Die Entscheidung wurde _____ Geschäftsleitung getroffen.,von der,Die Entscheidung wurde von der Geschäftsleitung getroffen.,The decision was made by the management.,La décision a été prise par la direction.,der/die/das,von,der,,Dative,Datif,Feminine,Féminin,to indicate the animate agent in a passive sentence → von + Dat.,pour indiquer l'agent animé dans une phrase passive → von + Dat.,", Dative",", Datif"
738,23,14,_____ Bildschirm erschien plötzlich eine Warnmeldung des Systems.,Auf dem,Auf dem Bildschirm erschien plötzlich eine Warnmeldung des Systems.,A system warning suddenly appeared on the screen.,Un message d’alerte du système est soudain apparu à l’écran.,der/die/das,auf,dem,,Dative,Datif,Masculine,Masculin,to indicate the physical location of an information on a surface such as on a page → auf + Dat.,pour indiquer l'emplacement physique d'une information sur une surface telle qu'une page → auf + Dat.,", Dative",", Datif"
739,24,14,_____ Karte sind die wichtigsten Handelsrouten des 18. Jahrhunderts verzeichnet.,Auf der,Auf der Karte sind die wichtigsten Handelsrouten des 18. Jahrhunderts verzeichnet.,The most important trade routes of the 18th century are marked on the map.,"Sur la carte, les principales routes commerciales du XVIIIᵉ siècle sont indiquées.",der/die/das,auf,der,,Dative,Datif,Feminine,Féminin,to indicate the physical location of an information on a surface such as on a page → auf + Dat.,pour indiquer l'emplacement physique d'une information sur une surface telle qu'une page → auf + Dat.,", Dative",", Datif"
740,25,14,_____ Fernsehen laufen heute mehrere Dokumentationen über nachhaltige Energie.,Auf dem,Auf dem Fernsehen laufen heute mehrere Dokumentationen über nachhaltige Energie.,"On television today, several documentaries about sustainable energy are being broadcast.","À la télévision, plusieurs documentaires sur l’énergie durable passent aujourd’hui.",der/die/das,auf,dem,,Dative,Datif,Masculine,Masculin,to indicate the physical location of an information on a surface such as on a page → auf + Dat.,pour indiquer l'emplacement physique d'une information sur une surface telle qu'une page → auf + Dat.,", Dative",", Datif"
741,23,14,_____ Blatt stehen genaue Anweisungen für das Experiment.,Auf dem,Auf dem Blatt stehen genaue Anweisungen für das Experiment.,"On the sheet, there are precise instructions for the experiment.","Sur la feuille, il y a des instructions précises pour l’expérience.",der/die/das,auf,dem,,Dative,Datif,Neuter,Neutre,to indicate the physical location of an information on a surface such as on a page → auf + Dat.,pour indiquer l'emplacement physique d'une information sur une surface telle qu'une page → auf + Dat.,", Dative",", Datif"
742,24,14,"_____ Buch wird erklärt, wie sich politische Systeme historisch entwickelt haben.",In diesem,"In diesem Buch wird erklärt, wie sich politische Systeme historisch entwickelt haben.",This book explains how political systems have developed historically.,"Dans ce livre, on explique comment les systèmes politiques se sont développés historiquement.",diese,in,diesem,,Dative,Datif,Neuter,Neutre,to indicate the physical location of an information inside an object → in + Dat.,pour indiquer l'emplacement physique d'une information à l'intérieur d'un objet → in + Dat.,", Dative",", Datif"
743,25,14,_____ Zeitungen wird derzeit über die steigenden Lebensmittelpreise berichtet.,In vielen,In vielen Zeitungen wird derzeit über die steigenden Lebensmittelpreise berichtet.,Many newspapers are currently reporting on rising food prices.,"Dans de nombreux journaux, on rapporte actuellement la hausse des prix alimentaires.",viel,in,vielen,,Dative,Datif,Plural,Pluriel,to indicate the physical location of an information inside an object → in + Dat.,pour indiquer l'emplacement physique d'une information à l'intérieur d'un objet → in + Dat.,", Dative",", Datif"
744,23,14,_____ Zeitschrift fand ich einen ausführlichen Vergleich verschiedener Versicherungen.,In der,In der Zeitschrift fand ich einen ausführlichen Vergleich verschiedener Versicherungen.,"In the magazine, I found a detailed comparison of different insurance providers.","Dans la revue, j’ai trouvé une comparaison détaillée de différents assureurs.",der/die/das,in,der,,Dative,Datif,Feminine,Féminin,to indicate the physical location of an information inside an object → in + Dat.,pour indiquer l'emplacement physique d'une information à l'intérieur d'un objet → in + Dat.,", Dative",", Datif"
745,24,14,_____ Kapitel werden die theoretischen Grundlagen zusammengefasst.,In diesem,In diesem Kapitel werden die theoretischen Grundlagen zusammengefasst.,"In this chapter, the theoretical foundations are summarized.","Dans ce chapitre, les bases théoriques sont résumées.",diese,in,diesem,,Dative,Datif,Neuter,Neutre,to indicate the physical location of an information inside an object → in + Dat.,pour indiquer l'emplacement physique d'une information à l'intérieur d'un objet → in + Dat.,", Dative",", Datif"
746,25,14,_____ Fußnote wird auf eine frühere Studie verwiesen.,In der,In der Fußnote wird auf eine frühere Studie verwiesen.,"In the footnote, a previous study is referenced.","Dans la note de bas de page, on renvoie à une étude antérieure.",der/die/das,in,der,,Dative,Datif,Feminine,Féminin,to indicate the physical location of an information inside an object → in + Dat.,pour indiquer l'emplacement physique d'une information à l'intérieur d'un objet → in + Dat.,", Dative",", Datif"
747,23,14,"Wir planen, _____ 15. September mit dem Projekt zu beginnen.",um den,"Wir planen, um den 15. September mit dem Projekt zu beginnen.",We are planning to start the project around September 15th.,Nous prévoyons de commencer le projet vers le 15 septembre.,der/die/das,um,den,,Accusative,Accusatif,Masculine,Masculin,"to indicate a non-precise date – <i>around</i>, <i>towards</i> → um + Acc.","pour indiquer une heure non précise de la journée – <i>autour de</i>, <i>vers</i> → um + Acc.",", Accusative",", Accusatif"
748,24,14,Viele Firmen stellen _____ Jahreswechsel neue Strategien auf.,um den,Viele Firmen stellen um den Jahreswechsel neue Strategien auf.,"Around the turn of the year, many companies develop new strategies.","Autour du changement d’année, beaucoup d’entreprises élaborent de nouvelles stratégies.",der/die/das,um,den,,Accusative,Accusatif,Masculine,Masculin,"to indicate a non-precise date – <i>around</i>, <i>towards</i> → um + Acc.","pour indiquer une heure non précise de la journée – <i>autour de</i>, <i>vers</i> → um + Acc.",", Accusative",", Accusatif"
749,25,14,"Die Temperaturen sinken _____ Winter deutlich, sodass Reisen sorgfältig geplant werden müssen.",um den,"Die Temperaturen sinken um den Winter deutlich, sodass Reisen sorgfältig geplant werden müssen.","Around winter, temperatures drop significantly, so travel needs to be planned carefully.","Autour de l’hiver, les températures baissent nettement, ce qui oblige à bien planifier les voyages.",der/die/das,um,den,,Accusative,Accusatif,Masculine,Masculin,"to indicate a non-precise date – <i>around</i>, <i>towards</i> → um + Acc.","pour indiquer une heure non précise de la journée – <i>autour de</i>, <i>vers</i> → um + Acc.",", Accusative",", Accusatif"
750,23,14,"_____ Situation ist es wichtig, ruhig zu bleiben und die Fakten sorgfältig zu prüfen.",In dieser,"In dieser Situation ist es wichtig, ruhig zu bleiben und die Fakten sorgfältig zu prüfen.",In this situation it is important to remain calm and examine the facts carefully.,"Dans cette situation, il est important de rester calme et d’examiner attentivement les faits.",diese,in,dieser,,Dative,Datif,Feminine,Féminin,"to indicate a situation, a condition that one is in → in + Acc./Dat.","pour indiquer une situation, un état dans lequel quelqu'un se trouve → in + Acc./Dat.",", Dative",", Datif"
751,24,14,"Viele Menschen wissen nicht, wie sie sich _____ solchen Lage verhalten sollen.",in einer,"Viele Menschen wissen nicht, wie sie sich in einer solchen Lage verhalten sollen.",Many people do not know how they should behave in such a situation.,Beaucoup de gens ne savent pas comment ils doivent se comporter dans une telle situation.,ein,in,einer,,Dative,Datif,Feminine,Féminin,"to indicate a situation, a condition that one is in → in + Acc./Dat.","pour indiquer une situation, un état dans lequel quelqu'un se trouve → in + Acc./Dat.",", Dative",", Datif"
752,25,14,"_____ Fall wäre es sinnvoller, eine andere Strategie zu verfolgen.",In diesem,"In diesem Fall wäre es sinnvoller, eine andere Strategie zu verfolgen.",In this case it would be wiser to pursue another strategy.,"Dans ce cas, il serait plus judicieux de suivre une autre stratégie.",diese,in,diesem,,Dative,Datif,Neuter,Neutre,"to indicate a situation, a condition that one is in → in + Acc./Dat.","pour indiquer une situation, un état dans lequel quelqu'un se trouve → in + Acc./Dat.",", Dative",", Datif"
753,23,14,Das Unternehmen befindet sich derzeit _____ schwierigen finanziellen Situation.,in einer,Das Unternehmen befindet sich derzeit in einer schwierigen finanziellen Situation.,The company is currently in a difficult financial situation.,L’entreprise se trouve actuellement dans une situation financière difficile.,ein,in,einer,,Dative,Datif,Feminine,Féminin,"to indicate a situation, a condition that one is in → in + Acc./Dat.","pour indiquer une situation, un état dans lequel quelqu'un se trouve → in + Acc./Dat.",", Dative",", Datif"
754,24,14,"_____ solchen Krise zeigt sich oft, wie zuverlässig ein Team wirklich ist.",In einer,"In einer solchen Krise zeigt sich oft, wie zuverlässig ein Team wirklich ist.",In such a crisis it often becomes clear how reliable a team really is.,"Dans une telle crise, on voit souvent à quel point une équipe est vraiment fiable.",ein,in,einer,,Dative,Datif,Feminine,Féminin,"to indicate a situation, a condition that one is in → in + Acc./Dat.","pour indiquer une situation, un état dans lequel quelqu'un se trouve → in + Acc./Dat.",", Dative",", Datif"
755,25,16,_____ Wörterbuchs kann man neue Vokabeln schneller lernen.,Mithilfe eines,Mithilfe eines Wörterbuchs kann man neue Vokabeln schneller lernen.,"With the help of a dictionary, one can learn new vocabulary faster.","Avec l’aide d’un dictionnaire, on peut apprendre du nouveau vocabulaire plus rapidement.",ein,mithilfe,eines,,Genitive,Génitif,Neuter,Neutre,with the help of = mithilfe + Genitive,avec l'aide de = mithilfe + Génitif,", Genitive",", Génitif"
756,23,16,Er hat das Problem _____ Experten gelöst.,mithilfe eines,Er hat das Problem mithilfe eines Experten gelöst.,He solved the problem with the help of an expert.,Il a résolu le problème avec l'aide d'un expert.,ein,mithilfe,eines,,Genitive,Génitif,Masculine,Masculin,with the help of = mithilfe + Genitive,avec l'aide de = mithilfe + Génitif,", Genitive",", Génitif"
757,24,16,_____ Freunde konnte sie die schwere Zeit überstehen.,Mithilfe ihrer,Mithilfe ihrer Freunde konnte sie die schwere Zeit überstehen.,"With the help of her friends, she was able to get through the difficult time.","Grâce à l’aide de ses amis, elle a réussi à traverser cette période difficile.",ihr,mithilfe,ihrer,,Genitive,Génitif,Feminine,Féminin,with the help of = mithilfe + Genitive,avec l'aide de = mithilfe + Génitif,", Genitive",", Génitif"
758,25,16,_____ steigenden Kosten muss das Budget überarbeitet werden.,Angesichts der,Angesichts der steigenden Kosten muss das Budget überarbeitet werden.,"In view of the rising costs, the budget must be revised.","Compte tenu de l’augmentation des coûts, le budget doit être révisé.",der/die/das,angesichts,der,,Genitive,Génitif,Plural,Pluriel,"in view of, considering, in light of = angesichts + Genitive","en vue de, considérant, à la lumière de = angesichts + Génitif",", Genitive",", Génitif"
