Nr,level,question,answer,german,english,case,complement,,
446,10,Seine Aufforderung _____ Rücksicht wurde ignoriert.,zu,Seine Aufforderung zu Rücksicht wurde ignoriert.,His request for consideration was ignored.,,Aufforderung,,
447,10,Der Entschluss _____ einem Neuanfang fiel schwer.,zu,Der Entschluss zu einem Neuanfang fiel schwer.,The decision to make a fresh start was hard.,,Entschluss,,
448,10,Ihr Entschluss _____ dieser Reise war spontan.,zu,Ihr Entschluss zu dieser Reise war spontan.,Her decision to take this trip was spontaneous.,,Entschluss,,
449,10,Die Überredung _____ dem Kauf war geschickt.,zu,Die Überredung zu dem Kauf war geschickt.,The persuasion to make the purchase was clever.,,Überredung,,
450,10,Seine Überredung _____ dieser Handlung war erfolgreich.,zu,Seine Überredung zu dieser Handlung war erfolgreich.,His persuasion to this action was successful.,,Überredung,,
451,10,Der Zwang _____ Leistung belastet ihn.,zu,Der Zwang zu Leistung belastet ihn.,The pressure to perform burdens him.,,Zwang,,
452,10,Der Zwang _____ Ehrlichkeit war unangemessen.,zu,Der Zwang zu Ehrlichkeit war unangemessen.,The compulsion for honesty was inappropriate.,,Zwang,,
453,10,Die Beförderung _____ Manager war verdient.,zum,Die Beförderung zum Manager war verdient.,The promotion to manager was deserved.,,Beförderung,,
454,10,Seine Beförderung _____ Direktor wurde gefeiert.,zum,Seine Beförderung zum Direktor wurde gefeiert.,His promotion to director was celebrated.,,Beförderung,,
455,100,the best about,an,das Beste,,,X,,
456,100,an increase in,an,die Zunahme,,,X,,
457,100,a decrease in,an,die Abnahme,,,X,,
,,the need in,an,Bedarf,,,,,
,,the shortage of,an,Mangel,,,,,
,,the trust in (someone's ability),in,Vertrauen,,,,,
,,,um,Verdienst,,,,,
,,,um,das Wissen,,,,,
,,,um,die Geschichte,,,,,
,,,um,die Spekulation,,,,,
