Nr,level,question,answer,english,german
506,12,_____ früheren Jahren hat sich das Klima stark verändert.,Im Gegensatz zu,"In contrast to previous years, the climate has changed significantly.",Im Gegensatz zu früheren Jahren hat sich das Klima stark verändert.
507,12,_____ ihren Erwartungen war die Prüfung ziemlich schwer.,Im Gegensatz zu,"Contrary to her expectations, the exam was quite difficult.",Im Gegensatz zu ihren Erwartungen war die Prüfung ziemlich schwer.
508,12,_____ vielen anderen Unternehmen setzt diese Firma auf Nachhaltigkeit.,Im Gegensatz zu,"Unlike many other companies, this firm focuses on sustainability.",Im Gegensatz zu vielen anderen Unternehmen setzt diese Firma auf Nachhaltigkeit.
509,12,_____ meinem Bruder interessiere ich mich nicht für Sport.,Im Gegensatz zu,"Unlike my brother, I am not interested in sports.",Im Gegensatz zu meinem Bruder interessiere ich mich nicht für Sport.
510,12,_____ der Statistik lässt sich der Trend klar erkennen.,Anhand,The trend can be clearly seen based on the statistics.,Anhand der Statistik lässt sich der Trend klar erkennen.
511,12,_____ seiner Aussagen kann man die Situation besser verstehen.,Anhand,"Based on his statements, one can better understand the situation.",Anhand seiner Aussagen kann man die Situation besser verstehen.
512,12,Die Qualität wird _____ verschiedener Kriterien bewertet.,anhand,The quality is assessed based on various criteria.,Die Qualität wird anhand verschiedener Kriterien bewertet.
513,12,_____ dieser Beispiele wird das Problem deutlich.,Anhand,This problem becomes clear through these examples.,Anhand dieser Beispiele wird das Problem deutlich.
514,12,Die Echtheit des Dokuments wurde _____ von Experten geprüft.,anhand,The authenticity of the document was verified by experts.,Die Echtheit des Dokuments wurde anhand von Experten geprüft.
515,12,_____ ihm hat niemand die Prüfung bestanden.,Ausser,"Except for him, no one passed the exam.",Ausser ihm hat niemand die Prüfung bestanden.
516,12,_____ finanziellen Problemen gibt es noch andere Herausforderungen.,Ausser,"Besides financial problems, there are other challenges.",Ausser finanziellen Problemen gibt es noch andere Herausforderungen.
517,12,_____ in Deutschland wird dieses Produkt auch in Österreich verkauft.,Ausser,"Apart from Germany, this product is also sold in Austria.",Ausser in Deutschland wird dieses Produkt auch in Österreich verkauft.
518,12,_____ bei starkem Regen gehen wir jeden Tag joggen.,Ausser,"Except in heavy rain, we go jogging every day.",Ausser bei starkem Regen gehen wir jeden Tag joggen.
519,12,_____ seiner Familie hat er niemandem davon erzählt.,Ausser,"Apart from his family, he hasn’t told anyone about it.",Ausser seiner Familie hat er niemandem davon erzählt.
520,12,_____ des starken Regens gab es Überschwemmungen in der Region.,Infolge,"As a result of the heavy rain, there were floods in the region.",Infolge des starken Regens gab es Überschwemmungen in der Region.
521,12,_____ der Wirtschaftskrise mussten viele Unternehmen schließen.,Infolge,"Due to the economic crisis, many businesses had to close.",Infolge der Wirtschaftskrise mussten viele Unternehmen schließen.
522,12,_____ eines technischen Fehlers wurde der Flug gestrichen.,Infolge,"Due to a technical error, the flight was canceled.",Infolge eines technischen Fehlers wurde der Flug gestrichen.
523,12,_____ der neuen Gesetzesänderung gelten strengere Regeln für Unternehmen.,Infolge,"As a result of the new law change, stricter regulations apply to companies.",Infolge der neuen Gesetzesänderung gelten strengere Regeln für Unternehmen.
524,12,_____ der schlechten Wetterbedingungen wurde das Event verschoben.,Infolge,"Due to bad weather conditions, the event was postponed.",Infolge der schlechten Wetterbedingungen wurde das Event verschoben.
525,12,_____ der steigenden Kosten muss das Budget überarbeitet werden.,Angesichts,"In view of the rising costs, the budget must be revised.",Angesichts der steigenden Kosten muss das Budget überarbeitet werden.
526,12,_____ der aktuellen Situation sollten wir vorsichtig sein.,Angesichts,"Given the current situation, we should be cautious.",Angesichts der aktuellen Situation sollten wir vorsichtig sein.
527,12,_____ der wirtschaftlichen Lage werden viele Unternehmen vorsichtiger investieren.,Angesichts,"Considering the economic situation, many companies are investing more cautiously.",Angesichts der wirtschaftlichen Lage werden viele Unternehmen vorsichtiger investieren.
528,12,_____ der Beweise konnte der Richter eine klare Entscheidung treffen.,Angesichts,"In light of the evidence, the judge was able to make a clear decision.",Angesichts der Beweise konnte der Richter eine klare Entscheidung treffen.
529,12,_____ des Klimawandels müssen wir nachhaltiger leben.,Angesichts,"In view of climate change, we need to live more sustainably.",Angesichts des Klimawandels müssen wir nachhaltiger leben.
530,12,Der Preis beträgt 100 Euro _____ Steuern.,inklusive,"The price is 100 euros, including taxes.",Der Preis beträgt 100 Euro inklusive Steuern.
531,12,Das Hotel bietet ein Frühstücksbuffet _____ Getränke.,inklusive,"The hotel offers a breakfast buffet, including drinks.",Das Hotel bietet ein Frühstücksbuffet inklusive Getränke.
532,12,Alle Teilnehmer erhalten ein Paket _____ Arbeitsmaterialien.,inklusive,"All participants receive a package, including work materials.",Alle Teilnehmer erhalten ein Paket inklusive Arbeitsmaterialien.
533,12,Die Miete beträgt 900 Euro _____ Nebenkosten.,inklusive,"The rent is 900 euros, including utilities.",Die Miete beträgt 900 Euro inklusive Nebenkosten.
534,12,Der Flugpreis ist _____ Gepäck und Sitzplatzreservierung.,inklusive,The flight price includes luggage and seat reservation.,Der Flugpreis ist inklusive Gepäck und Sitzplatzreservierung.
535,12,_____ seinem Gehalt erhält er monatliche Boni.,Zusätzlich zu,"In addition to his salary, he receives monthly bonuses.",Zusätzlich zu seinem Gehalt erhält er monatliche Boni.
536,12,_____ den Hausaufgaben müssen die Schüler ein Projekt vorbereiten.,Zusätzlich zu,"In addition to the homework, the students have to prepare a project.",Zusätzlich zu den Hausaufgaben müssen die Schüler ein Projekt vorbereiten.
537,12,Sie hat _____ ihrem Studium einen Nebenjob.,zusätzlich zu,She has a part-time job in addition to her studies.,Sie hat zusätzlich zu ihrem Studium einen Nebenjob.
538,12,_____ den üblichen Gebühren fallen noch Servicekosten an.,Zusätzlich zu,"In addition to the usual fees, there are also service costs.",Zusätzlich zu den üblichen Gebühren fallen noch Servicekosten an.
539,12,Er trainiert _____ seinem normalen Sportprogramm dreimal pro Woche im Fitnessstudio.,zusätzlich zu,"In addition to his regular sports routine, he trains at the gym three times a week.",Er trainiert zusätzlich zu seinem normalen Sportprogramm dreimal pro Woche im Fitnessstudio.
