Nr,exercise,question,answer,german,english,french,explanation_english,explanation_french,level,type
733,38,,unterhalten,unterhalten,"to entertain, to maintain, to support, to convert","divertir, entretenir, soutenir, convertir","unterhalten, unterhielt, unterhalten","unterhalten, unterhielt, unterhalten",B2,all
734,38,,geritten,reiten,to ride (a horse),monter à cheval,"reiten, ritt, geritten","reiten, ritt, geritten",B2,all
735,38,,geschwiegen,schweigen,"to be silent, to say nothing","se taire, ne rien dire","schweigen, schwieg, geschwiegen","schweigen, schwieg, geschwiegen",B2,all
736,38,,verabschiedet,verabschieden,"to say goodbye, to bid farewell, to adopt (a law formally)","dire au revoir, faire ses adieux","verabschieden, verabschiedete, verabschiedet","verabschieden, verabschiedete, verabschiedet",B2,all
737,38,,angeschlossen,anschließen,"to join, to attach, to affiliate, to connect","rejoindre, attacher, s'affilier, se connecter","anschließen, schloss an, angeschlossen","anschließen, schloss an, angeschlossen",B2,all
738,38,,ausgefüllt,ausfüllen,"to complete, to fill in, to fill out","compléter, remplir","ausfüllen, füllte aus, ausgefüllt","ausfüllen, füllte aus, ausgefüllt",B2,all
739,38,,ausgegeben,ausgeben,"to spend, to expend, to issue","dépenser, émettre","ausgeben, gab aus, ausgegeben","ausgeben, gab aus, ausgegeben",B2,all
740,38,,verlangt,verlangen,"to demand, to request","exiger, requérir","verlangen, verlangte, verlangt","verlangen, verlangte, verlangt",B2,all
741,38,,behauptet,behaupten,"to claim, to assert, to maintain","revendiquer, affirmer, maintenir","behaupten, behauptete, behauptet","behaupten, behauptete, behauptet",B2,all
742,38,,gestoppt,stoppen,to stop a movement (vehicle or person),arrêter un mouvement (véhicule ou personne),"stoppen, stoppte, gestoppt","stoppen, stoppte, gestoppt",B2,all
743,38,,zugehört,zuhören,to listen to someone (with dative),écouter quelqu'un,"zuhören, hörte zu, zugehört","zuhören, hörte zu, zugehört",B2,all
744,38,,ausgerichtet,ausrichten,"to align, to arrange, to organize","aligner, arranger, organiser","ausrichten, richtete aus, ausgerichtet","ausrichten, richtete aus, ausgerichtet",B2,all
745,38,,gewogen,wiegen,"to weight, to balance",peser,"wiegen, wog, gewogen","wiegen, wog, gewogen",B2,all
746,38,,ausgetauscht,austauschen,"to exchange, to replace, to swap","échanger, remplacer, permuter","austauschen, tauschte aus, ausgetauscht","austauschen, tauschte aus, ausgetauscht",B2,all
747,38,,eingezogen,einziehen,"to move in, to penetrate, to infiltrate","s'introduire, pénétrer, s'infiltrer","einziehen, zog ein, eingezogen","einziehen, zog ein, eingezogen",B2,all
748,38,,zusammengefasst,zusammenfassen,"to summarize, to condense, to abstract","résumer, condenser, abstraire","zusammenfassen, fasste zusammen, zusammengefasst","zusammenfassen, fasste zusammen, zusammengefasst",B2,all
749,38,,erschrocken/erschreckt,erschrecken,"to be frightened, to frighten","avoir peur, effrayer","erschrecken, erschrak, erschrocken","erschrecken, erschrak, erschrocken",B2,all
750,38,,markiert,markieren,"to mark, to highlight","marquer, mettre en valeur","markieren, markierte, markiert","markieren, markierte, markiert",B2,all
751,38,,begegnet,begegnen,"to encounter (with dative), to meet","rencontrer, se rencontrer","begegnen, begegnete, begegnet","begegnen, begegnete, begegnet",B2,all
752,39,,gewagt,wagen,"to venture, to dare, to risk, to jeopardise","s'aventurer, oser, risquer, mettre en péril","wagen, wagte, gewagt","wagen, wagte, gewagt",B2,all
753,39,,geschadet,schaden,"to damage, to harm (someone)","endommager, nuire (à quelqu'un)","schaden, schadete, geschadet","schaden, schadete, geschadet",B2,all
754,39,,verhandelt,verhandeln,to negotiate,négocier,"verhandeln, verhandelte, verhandelt","verhandeln, verhandelte, verhandelt",B2,all
755,39,,sich verhalten,sich verhalten,"to behave (refl.), to act (refl.), to press (coll.)","se comporter (réfl.), agir (réfl.), faire pression (familier)","sich verhalten, verhielt sich, sich verhalten","sich verhalten, verhielt sich, sich verhalten",B2,all
756,39,,gestürzt,stürzen,"to fall, to rush, to throw, to overturn, to overthrow something","tomber, se précipiter, jeter, renverser, renverser quelque chose","stürzen, stürzte, gestürzt","stürzen, stürzte, gestürzt",B2,all
757,39,,eingefügt,einfügen,"to insert, to infix, to conform","insérer, infixer, se conformer","einfügen, fügte ein, eingefügt","einfügen, fügte ein, eingefügt",B2,all
758,39,,fortgesetzt,fortsetzen,"to continue, to carry on, to extend, to proceed","continuer, poursuivre, étendre, procéder","fortsetzen, setzte fort, fortgesetzt","fortsetzen, setzte fort, fortgesetzt",B2,all
759,39,,ermittelt,ermitteln,"to determine, to ascertain","déterminer, s'assurer","ermitteln, ermittelte, ermittelt","ermitteln, ermittelte, ermittelt",B2,all
760,39,,gepackt,packen,"to pack, to grab, to manage","emballer, saisir, gérer","packen, packte, gepackt","packen, packte, gepackt",B2,all
761,39,,geklagt,klagen,"to complain, to lament, to sue","se plaindre, se lamenter, poursuivre en justice","klagen, klagte, geklagt","klagen, klagte, geklagt",B2,all
762,39,,importiert,importieren,to import,importer,"importieren, importierte, importiert","importieren, importierte, importiert",B2,all
763,39,,geglichen,gleichen,"to equal, to match, to resemble","égaler, ressembler","gleichen, glich, geglichen","gleichen, glich, geglichen",B2,all
764,39,,gefällt,fällen,"to fall, to fell",tomber,"fällen, fällte, gefällt","fällen, fällte, gefällt",B2,all
765,39,,gewürzt,würzen,"to season, to flavor","assaisonner, aromatiser","würzen, würzte, gewürzt","würzen, würzte, gewürzt",B2,all
766,39,,geheilt,heilen,to heal,guérir,"heilen, heilte, geheilt","heilen, heilte, geheilt",B2,all
767,39,,eingegangen,eingehen,"to shrink (textile), to wither, to die (plants, animals), to assume something","rétrécir (textile), se faner, mourir (plantes, animaux), prendre quelque chose","eingehen, ging ein, eingegangen","eingehen, ging ein, eingegangen",B2,all
768,39,,betroffen,betreffen,"to concern, to affect","concerner, affecter","betreffen, betraf, betroffen","betreffen, betraf, betroffen",B2,all
769,39,,gebogen,biegen,"to turn, to bend","tourner, se pencher","biegen, bog, gebogen","biegen, bog, gebogen",B2,all
770,39,,vorgekommen,vorkommen,"to occur, to happen, to advance","se produire, arriver, progresser","vorkommen, kam vor, vorgekommen","vorkommen, kam vor, vorgekommen",B2,all
771,39,,identifiziert,identifizieren,to identify,identifier,"identifizieren, identifizierte, identifiziert","identifizieren, identifizierte, identifiziert",B2,all
772,40,,operiert,operieren,to operate,opérer,"operieren, operierte, operiert","operieren, operierte, operiert",B2,all
773,40,,gepriesen,preisen,"to praise, to commend","louer, féliciter","preisen, pries, gepriesen","preisen, pries, gepriesen",B2,all
774,40,,geklopft,klopfen,"to knock, to tap (food)","frapper, tapoter (nourriture)","klopfen, klopfte, geklopft","klopfen, klopfte, geklopft",B2,all
775,40,,ergriffen,ergreifen,"to seize, to grasp, to take hold of","saisir, s'emparer de","ergreifen, ergriff, ergriffen","ergreifen, ergriff, ergriffen",B2,all
776,40,,kopiert,kopieren,"to copy, to duplicate","copier, dupliquer","kopieren, kopierte, kopiert","kopieren, kopierte, kopiert",B2,all
777,40,,versehen,versehen,"to provide, to equip, to supply","fournir, équiper, approvisionner","versehen, versah, versehen","versehen, versah, versehen",B2,all
778,40,,gewinkt/gewunken,winken,"to wave, to beckon",faire signe,"winken, winkte, gewinkt","winken, winkte, gewinkt",B2,all
779,40,,angelegt,anlegen,"to create, to invest","créer, investir","anlegen, legte an, angelegt","anlegen, legte an, angelegt",B2,all
780,40,,umfasst,umfassen,"to include, to comprise","inclure, comprendre","umfassen, umfasste, umfasst","umfassen, umfasste, umfasst",B2,all
781,40,,vorgenommen,vornehmen,"to undertake, to carry out","entreprendre, réaliser","vornehmen, nahm vor, vorgenommen","vornehmen, nahm vor, vorgenommen",B2,all
782,40,,verziehen,verzeihen,"to forgive, to pardon, to excuse","pardonner, excuser","verzeihen, verzieh, verziehen","verzeihen, verzieh, verziehen",B2,all
783,40,,gestrichen,streichen,"to stroke, to cancel, to spread, to rub, to paint","caresser, annuler, étaler, frotter, peindre","streichen, strich, gestrichen","streichen, strich, gestrichen",B2,all
784,40,,geklebt,kleben,"to stick, to adhere, to bond, to glue","coller, adhérer, lier","kleben, klebte, geklebt","kleben, klebte, geklebt",B2,all
785,40,,geschmolzen/geschmelzt,schmelzen,to melt,faire fondre,"schmelzen, schmolz, geschmolzen","schmelzen, schmolz, geschmolzen",B2,all
786,40,,vorgegangen,vorgehen,"to proceed, to advance, to go ahead","procéder, avancer, aller de l'avant","vorgehen, ging vor, vorgegangen","vorgehen, ging vor, vorgegangen",B2,all
787,40,,gemieden,meiden,"to avoid, to shun","éviter, fuir","meiden, mied, gemieden","meiden, mied, gemieden",B2,all
788,40,,sich gelohnt,sich lohnen,"to be worthwhile, to pay off","être utile, être rentable","sich lohnen, lohnte sich, sich gelohnt","sich lohnen, lohnte sich, sich gelohnt",B2,all
789,40,,abgefahren,abfahren,"to depart, to leave","partir, quitter","abfahren, fuhr ab, abgefahren","abfahren, fuhr ab, abgefahren",B2,all
790,40,,gepflegt,pflegen,"to nurse, to care for, to maintain","soigner, prendre soin de, entretenir","pflegen, pflegte, gepflegt","pflegen, pflegte, gepflegt",B2,all
791,40,,finanziert,finanzieren,"to finance, to fund","financer, financer","finanzieren, finanzierte, finanziert","finanzieren, finanzierte, finanziert",B2,all
792,41,,erleichtert,erleichtern,"to facilitate, to ease, to relieve","faciliter, alléger, soulager","erleichtern, erleichterte, erleichtert","erleichtern, erleichterte, erleichtert",B2,all
793,41,,zusammengearbeitet,zusammenarbeiten,"to cooperate, to collaborate","coopérer, collaborer","zusammenarbeiten, arbeitete zusammen, zusammengearbeitet","zusammenarbeiten, arbeitete zusammen, zusammengearbeitet",B2,all
794,41,,erhoben,erheben,"to raise, to collect, to levy","lever, collecter, prélever","erheben, erhob, erhoben","erheben, erhob, erhoben",B2,all
795,41,,betragen,betragen,"to amount to, to come to","s'élever à, arriver à","betragen, betrug, betragen","betragen, betrug, betragen",B2,all
796,41,,vermittelt,vermitteln,"to convey, to mediate, to arrange","transmettre, servir de médiateur, arranger","vermitteln, vermittelte, vermittelt","vermitteln, vermittelte, vermittelt",B2,all
797,41,,ausgereicht,ausreichen,"to suffice, to be sufficient, to be adequate","suffire, être suffisant, être adéquat","ausreichen, reichte aus, ausgereicht","ausreichen, reichte aus, ausgereicht",B2,all
798,41,,bewirkt,bewirken,"to bring about, to cause, to effect","provoquer, causer, effectuer","bewirken, bewirkte, bewirkt","bewirken, bewirkte, bewirkt",B2,all
799,41,,erfordert,erfordern,"to require, to demand, to necessitate","exiger, nécessiter","erfordern, erforderte, erfordert","erfordern, erforderte, erfordert",B2,all
800,41,,ausgemacht,ausmachen,"to arrange, to constitute, to represent, to settle","organiser, constituer, représenter, régler","ausmachen, machte aus, ausgemacht","ausmachen, machte aus, ausgemacht",B2,all
801,41,,aufgeregt/sich aufgeregt,aufregen,"to upset, to agitate, to annoy","déranger, agiter, ennuyer","aufregen, regte auf, aufgeregt","aufregen, regte auf, aufgeregt",B2,all
802,41,,vergrößert,vergrößern,to enlarge,pour agrandir,"vergrößern, vergrößerte, vergrößert","vergrößern, vergrößerte, vergrößert",B2,all
803,41,,getrocknet,trocknen,"to dry, to dehumidify","sécher, déshumidifier","trocknen, trocknete, getrocknet","trocknen, trocknete, getrocknet",B2,all
804,41,,eingenommen,einnehmen,"to capture, to earn, to ingest","capturer, gagner, ingérer","einnehmen, nahm ein, eingenommen","einnehmen, nahm ein, eingenommen",B2,all
805,41,,zugeordnet,zuordnen,"to assign, to allocate","attribuer, allouer","zuordnen, ordnete zu, zugeordnet","zuordnen, ordnete zu, zugeordnet",B2,all
806,41,,betrachtet,betrachten,"to view, to observe","voir, observer","betrachten, betrachtete, betrachtet","betrachten, betrachtete, betrachtet",B2,all
807,41,,bezogen,beziehen,"to refer, to relate, to obtain, to cover, to move into","se référer, obtenir","beziehen, bezog, bezogen","beziehen, bezog, bezogen",B2,all
808,41,,gestochen,stechen,"to sting, to prick, to puncture, to pierce","piquer, percer","stechen, stach, gestochen","stechen, stach, gestochen",B2,all
809,41,,gebadet,baden,"to bathe, to swim, to take a bath","se baigner, nager, prendre un bain","baden, badete, gebadet","baden, badete, gebadet",B2,all
810,41,,geklickt,klicken,to click,cliquer,"klicken, klickte, geklickt","klicken, klickte, geklickt",B2,all
811,41,,gesenkt,senken,"to lower, to sink, to drop, to reduce","abaisser, couler, laisser tomber, réduire","senken, senkte, gesenkt","senken, senkte, gesenkt",B2,all
812,42,,geirrt/sich geirrt,irren,"to err, to wander",se tromper,"irren, irrte, geirrt","irren, irrte, geirrt",B2,all
813,42,,gegrillt,grillen,"to grill, to barbecue","griller, faire un barbecue","grillen, grillte, gegrillt","grillen, grillte, gegrillt",B2,all
814,42,,widersprochen,widersprechen,"to contradict, to disagree","contredire, être en désaccord","widersprechen, widersprach, widersprochen","widersprechen, widersprach, widersprochen",B2,all
815,42,,ernährt,ernähren,"to feed, to nourish, to sustain","nourrir, entretenir, soutenir","ernähren, ernährte, ernährt","ernähren, ernährte, ernährt",B2,all
816,42,,angekündigt,ankündigen,"to announce, to declare","annoncer, déclarer","ankündigen, kündigte an, angekündigt","ankündigen, kündigte an, angekündigt",B2,all
817,42,,verarbeitet,verarbeiten,"to process, to handle, to work through","traiter, manipuler, travailler","verarbeiten, verarbeitete, verarbeitet","verarbeiten, verarbeitete, verarbeitet",B2,all
818,42,,gefroren,frieren,"to freeze, to feel cold","geler, avoir froid","frieren, fror, gefroren","frieren, fror, gefroren",B2,all
819,42,,bedankt/sich bedankt,bedanken,to thank,remercier,"bedanken, bedankte, bedankt","bedanken, bedankte, bedankt",B2,all
820,42,,getankt,tanken,"to refuel, to fill up","faire le plein, faire le plein","tanken, tankte, getankt","tanken, tankte, getankt",B2,all
821,42,,beruhigt,beruhigen,"to calm, to reassure, to soothe","calmer, rassurer, apaiser","beruhigen, beruhigte, beruhigt","beruhigen, beruhigte, beruhigt",B2,all
822,42,,gezögert,zögern,to hesitate,hésiter,"zögern, zögerte, gezögert","zögern, zögerte, gezögert",B2,all
823,42,,geblüht,blühen,"to bloom, to flourish","fleurir, s'épanouir","blühen, blühte, geblüht","blühen, blühte, geblüht",B2,all
824,42,,geklappt,klappen,"to work out, to go smoothly, to fold","travailler, se dérouler sans problème, plier","klappen, klappte, geklappt","klappen, klappte, geklappt",B2,all
825,42,,verlaufen,verlaufen,"to proceed, to pass, to go (in a certain way)","procéder, passer, aller (d'une certaine manière)","verlaufen, verlief, verlaufen","verlaufen, verlief, verlaufen",B2,all
826,42,,ausgefallen,ausfallen,"to fail, to be canceled, to malfunction","échouer, être annulé, dysfonctionner","ausfallen, fiel aus, ausgefallen","ausfallen, fiel aus, ausgefallen",B2,all
827,42,,angesprochen,ansprechen,"to address, to speak to, to appeal to","s'adresser à, parler à, faire appel à","ansprechen, sprach an, angesprochen","ansprechen, sprach an, angesprochen",B2,all
828,42,,aufgebaut,aufbauen,"to build, to establish, to develop","construire, établir, développer","aufbauen, baute auf, aufgebaut","aufbauen, baute auf, aufgebaut",B2,all
829,42,,gesperrt,sperren,"to block, to lock, to close off","bloquer, verrouiller, fermer","sperren, sperrte, gesperrt","sperren, sperrte, gesperrt",B2,all
830,42,,protestiert,protestieren,"to protest, to object","protester, s'opposer","protestieren, protestierte, protestiert","protestieren, protestierte, protestiert",B2,all
831,42,,eingeschaltet,einschalten,"to switch on, to intervene, to turn on","allumer, intervenir","einschalten, schaltete ein, eingeschaltet","einschalten, schaltete ein, eingeschaltet",B2,all
832,43,,realisiert,realisieren,"to realize, to implement, to actualize","réaliser, mettre en œuvre, actualiser","realisieren, realisierte, realisiert","realisieren, realisierte, realisiert",B2,all
833,43,,aufgefallen,auffallen,"to stand out, to catch someone's eye (with dative)","se démarquer, attirer l'attention (avec le datif)","auffallen, fiel auf, aufgefallen","auffallen, fiel auf, aufgefallen",B2,all
834,43,,aufgegeben,aufgeben,"to give up on, to give up (refl.), to abandon","renoncer à, abandonner (réfl.),","aufgeben, gab auf, aufgegeben","aufgeben, gab auf, aufgegeben",B2,all
835,43,,gemischt,mischen,"to mix, to blend",mélanger,"mischen, mischte, gemischt","mischen, mischte, gemischt",B2,all
836,43,,ergänzt,ergänzen,"to complement, to add, to supplement","compléter, ajouter, suppléer","ergänzen, ergänzte, ergänzt","ergänzen, ergänzte, ergänzt",B2,all
837,43,,überwacht,überwachen,"to keep under surveillance, to monitor, to observe, to oversee","surveiller, observer, superviser","überwachen, überwachte, überwacht","überwachen, überwachte, überwacht",B2,all
838,43,,verteidigt,verteidigen,to defend,défendre,"verteidigen, verteidigte, verteidigt","verteidigen, verteidigte, verteidigt",B2,all
839,43,,renoviert,renovieren,"to refurbish, to renovate","remettre à neuf, rénover","renovieren, renovierte, renoviert","renovieren, renovierte, renoviert",B2,all
840,43,,bestraft,bestrafen,to punish,punir,"bestrafen, bestrafte, bestraft","bestrafen, bestrafte, bestraft",B2,all
841,43,,vorgelesen,vorlesen,"to read aloud, to read out",lire à haute voix,"vorlesen, las vor, vorgelesen","vorlesen, las vor, vorgelesen",B2,all
842,43,,verschrieben,verschreiben,"to prescribe, to commit oneself to, to misspell by accident","prescrire, s'engager à, faire une faute d'orthographe par accident","verschreiben, verschrieb, verschrieben","verschreiben, verschrieb, verschrieben",B2,all
843,43,,zubereitet,zubereiten,"to prepare (food), to cook","préparer (de la nourriture), cuisiner","zubereiten, bereitete zu, zubereitet","zubereiten, bereitete zu, zubereitet",B2,all
844,43,,zugegeben,zugeben,"to admit, to confess, to add","admettre, confesser, ajouter","zugeben, gab zu, zugegeben","zugeben, gab zu, zugegeben",B2,all
845,43,,nachgefragt,nachfragen,"to ask, to inquire, to demand","demander, s'enquérir, exiger","nachfragen, fragte nach, nachgefragt","nachfragen, fragte nach, nachgefragt",B2,all
846,43,,hinzugefügt,hinzufügen,to add,ajouter,"hinzufügen, fügte hinzu, hinzugefügt","hinzufügen, fügte hinzu, hinzugefügt",B2,all
847,43,,gestunken,stinken,to stink,puer,"stinken, stank, gestunken","stinken, stank, gestunken",B2,all
848,43,,geklettert,klettern,"to climb, to scale","grimper, escalader","klettern, kletterte, geklettert","klettern, kletterte, geklettert",B2,all
849,43,,eingegeben,eingeben,"to enter, to input, to give, to supply","entrer, saisir, donner, fournir","eingeben, gab ein, eingegeben","eingeben, gab ein, eingegeben",B2,all
850,43,,geklingelt,klingeln,"to ring, to chime","sonner, faire sonner","klingeln, klingelte, geklingelt","klingeln, klingelte, geklingelt",B2,all
851,43,,engagiert,engagieren,"to hire, to engage, to get involved","embaucher, engager, s'impliquer","engagieren, engagierte, engagiert","engagieren, engagierte, engagiert",B2,all
852,44,,hingegangen,hingehen,"to go (there), (of time) to pass","aller (là-bas), passer (le temps)","hingehen, ging hin, hingegangen","hingehen, ging hin, hingegangen",B2,all
853,44,,umgetauscht,umtauschen,"to convert, to exchange (currency)","convertir, échanger (monnaie)","umtauschen, tauschte um, umgetauscht","umtauschen, tauschte um, umgetauscht",B2,all
854,44,,überwiesen,überweisen,"to transfer (money), to refer (a patient)","transférer (de l'argent), référer (un patient)","überweisen, überwies, überwiesen","überweisen, überwies, überwiesen",B2,all
855,44,,weggegangen,weggehen,"to go away, to leave","s'en aller, quitter","weggehen, ging weg, weggegangen","weggehen, ging weg, weggegangen",B2,all
856,44,,gebastelt,basteln,"to craft, to tinker","bricoler, fabriquer","basteln, bastelte, gebastelt","basteln, bastelte, gebastelt",B2,all
857,44,,gefressen,fressen,"to devour, to eat (animals), to gobble","dévorer, manger (des animaux), engloutir","fressen, fraß, gefressen","fressen, fraß, gefressen",B2,all
858,44,,unterstrichen,unterstreichen,"to underline, to emphasize, to highlight","souligner, mettre en valeur, mettre en valeur","unterstreichen, unterstrich, unterstrichen","unterstreichen, unterstrich, unterstrichen",B2,all
859,44,,notiert,notieren,"to note, to quote","à noter, à citer","notieren, notierte, notiert","notieren, notierte, notiert",B2,all
860,44,,geräumt,räumen,"to clear, to remove, to vacate","déblayer, débrancher, dégager","räumen, räumte, geräumt","räumen, räumte, geräumt",B2,all
861,44,,ausgesucht,aussuchen,"to select, to choose, to pick","sélectionner, choisir, cueillir","aussuchen, suchte aus, ausgesucht","aussuchen, suchte aus, ausgesucht",B2,all
862,44,,versorgt,versorgen,"to supply, to provide for, to take care of","fournir, pourvoir à, prendre soin de","versorgen, versorgte, versorgt","versorgen, versorgte, versorgt",B2,all
863,44,,abgehoben,abheben,"to withdraw (money), to take off (aircraft)","retirer (de l'argent), décoller (un avion)","abheben, hob ab, abgehoben","abheben, hob ab, abgehoben",B2,all
864,44,,beantragt,beantragen,"to apply for, to request","demander, requérir","beantragen, beantragte, beantragt","beantragen, beantragte, beantragt",B2,all
865,44,,ausgestellt,ausstellen,"to exhibit, to display","exposer, montrer","ausstellen, stellte aus, ausgestellt","ausstellen, stellte aus, ausgestellt",B2,all
866,44,,gratuliert,gratulieren,"to congratulate, to compliment on","féliciter, complimenter","gratulieren, gratulierte, gratuliert","gratulieren, gratulierte, gratuliert",B2,all
867,44,,ausgedruckt,ausdrucken,"to print, to print out, to print off",imprimer,"ausdrucken, druckte aus, ausgedruckt","ausdrucken, druckte aus, ausgedruckt",B2,all
868,44,,gezaubert,zaubern,"to perform magic, to conjure, to magic","conjurer, ensorceler, conjurer, évoquer","zaubern, zauberte, gezaubert","zaubern, zauberte, gezaubert",B2,all
869,44,,getauscht,tauschen,"to swap, to trade, to exchange","échanger, troquer, échanger","tauschen, tauschte, getauscht","tauschen, tauschte, getauscht",B2,all
870,44,,serviert,servieren,to serve,servir,"servieren, servierte, serviert","servieren, servierte, serviert",B2,all
871,44,,beurteilt,beurteilen,"to judge, to assess","juger, évaluer","beurteilen, beurteilte, beurteilt","beurteilen, beurteilte, beurteilt",B2,all
872,45,,weitergegeben,weitergeben,"to pass on, to impart, to relay","transmettre, relayer","weitergeben, gab weiter, weitergegeben","weitergeben, gab weiter, weitergegeben",C1,irregular
873,45,,eingehalten,einhalten,"to observe, to adhere, to comply","observer, adhérer, se conformer","einhalten, hielt ein, eingehalten","einhalten, hielt ein, eingehalten",C1,irregular
874,45,,eingeschlafen,einschlafen,to fall asleep,s'endormir,"einschlafen, schlief ein, eingeschlafen","einschlafen, schlief ein, eingeschlafen",C1,irregular
875,45,,aufgerufen,aufrufen,"to call up, to call, to call for, to invite","appeler, solliciter, inviter","aufrufen, rief auf, aufgerufen","aufrufen, rief auf, aufgerufen",C1,irregular
876,45,,aufgehoben,aufheben,"to abolish, to lift, to pick up, to keep","abolir, lever, ramasser, garder","aufheben, hob auf, aufgehoben","aufheben, hob auf, aufgehoben",C1,irregular
877,45,,hinterlassen,hinterlassen,"to leave behind, to bequeath","laisser derrière soi, léguer","hinterlassen, hinterließ, hinterlassen","hinterlassen, hinterließ, hinterlassen",C1,irregular
878,45,,abgebrochen,abbrechen,"to cancel, to break off, to interrupt","annuler, interrompre, rompre","abbrechen, brach ab, abgebrochen","abbrechen, brach ab, abgebrochen",C1,irregular
879,45,,gegraben,graben,"to dig, to excavate, to delve","creuser, fouiller, excaver","graben, grub, gegraben","graben, grub, gegraben",C1,irregular
880,45,,zerschlagen,zerschlagen,"to break, to crush, to defeat, to shatter","briser, écraser, vaincre, anéantir","zerschlagen, zerschlug, zerschlagen","zerschlagen, zerschlug, zerschlagen",C1,irregular
881,45,,überwunden,überwinden,"to overcome, to conquer, to surmount",surmonter,"überwinden, überwand, überwunden","überwinden, überwand, überwunden",C1,irregular
882,45,,ausgesprochen,aussprechen,"to pronounce, to express, to speak out","prononcer, exprimer, s'exprimer","aussprechen, sprach aus, ausgesprochen","aussprechen, sprach aus, ausgesprochen",C1,irregular
883,45,,entworfen,entwerfen,"to design, to draft, to sketch","concevoir, ébaucher, esquisser","entwerfen, entwarf, entworfen","entwerfen, entwarf, entworfen",C1,irregular
884,45,,eingetragen,eintragen,"to register, to enter, to record, to enrol","inscrire, entrer, enregistrer, inscrire","eintragen, trug ein, eingetragen","eintragen, trug ein, eingetragen",C1,irregular
885,45,,eingefallen,einfallen,"to collapse, to come to mind","s'effondrer, venir à l'esprit","einfallen, fiel ein, eingefallen","einfallen, fiel ein, eingefallen",C1,irregular
886,45,,vorgelegen,vorliegen,"to exist, to be available","exister, être disponible","vorliegen, lag vor, vorgelegen","vorliegen, lag vor, vorgelegen",C1,irregular
887,45,,unterlegen,unterliegen,"to be subject to, to undergo","être soumis à, subir","unterliegen, unterlag, unterlegen","unterliegen, unterlag, unterlegen",C1,irregular
888,45,,erworben,erwerben,"to acquire, to purchase, to gain","acquérir, acheter, gagner","erwerben, erwarb, erworben","erwerben, erwarb, erworben",C1,irregular
889,45,,ausgeschlossen,ausschließen,"to exclude, to eliminate","exclure, éliminer","ausschließen, schloss aus, ausgeschlossen","ausschließen, schloss aus, ausgeschlossen",C1,irregular
890,45,,geborgen,bergen,"to recover, to rescue, to save, to salvage","récupérer, secourir, sauver, sauver","bergen, barg, geborgen","bergen, barg, geborgen",C1,irregular
891,45,,gespalten,spalten,"to split, to divide","diviser, diviser","spalten, spaltete, gespalten","spalten, spaltete, gespalten",C1,irregular
892,46,,nachgewiesen,nachweisen,"to prove, to account for, to demonstrate","prouver, rendre compte de, démontrer","nachweisen, wies nach, nachgewiesen","nachweisen, wies nach, nachgewiesen",C1,irregular
893,46,,aufgewiesen,aufweisen,"to exhibit, to feature, to show, to boast","exposer, mettre en valeur, montrer, se vanter","aufweisen, wies auf, aufgewiesen","aufweisen, wies auf, aufgewiesen",C1,irregular
894,46,,geschworen,schwören,"to swear, to take an oath","jurer, prêter serment","schwören, schwor, geschworen","schwören, schwor, geschworen",C1,irregular
895,46,,angegriffen,angreifen,to attack,attaquer,"angreifen, griff an, angegriffen","angreifen, griff an, angegriffen",C1,irregular
896,46,,befohlen,befehlen,"to command, to order, to bid","ordonner, commander, enjoindre","befehlen, befahl, befohlen","befehlen, befahl, befohlen",C1,irregular
897,46,,verdorben,verderben,"to decay, to spoil, to addle, to degenerate","gâcher, gâter, perdre, périr","verderben, verdarb, verdorben","verderben, verdarb, verdorben",C1,irregular
898,46,,verbrannt,verbrennen,"to burn, to consume by fire, to incinerate","brûler, consumer par le feu, incinérer","verbrennen, verbrannte, verbrannt","verbrennen, verbrannte, verbrannt",C1,irregular
899,46,,aufgehalten,aufhalten,"to stop, to stay, to delay","arrêter, rester, retarder","aufhalten, hielt auf, aufgehalten","aufhalten, hielt auf, aufgehalten",C1,irregular
900,46,,bedacht,bedenken,"to consider, to reflect, to give, to allow for","considérer, réfléchir, donner, permettre","bedenken, bedachte, bedacht","bedenken, bedachte, bedacht",C1,irregular
901,46,,betrogen,betrügen,"to cheat, to swindle, to defraud","tricher, escroquer, frauder","betrügen, betrog, betrogen","betrügen, betrog, betrogen",C1,irregular
902,46,,hochgeladen,hochladen,to upload,"uploader, télécharger","hochladen, lud hoch, hochgeladen","hochladen, lud hoch, hochgeladen",C1,irregular
903,46,,losgegangen,losgehen,"to leave, to go off, to advance","partir, s'en aller, avancer","losgehen, ging los, losgegangen","losgehen, ging los, losgegangen",C1,irregular
904,46,,ausgehalten,aushalten,"to bear, to endure, to withstand, to tolerate","supporter, endurer, résister, tolérer","aushalten, hielt aus, ausgehalten","aushalten, hielt aus, ausgehalten",C1,irregular
905,46,,entnommen,entnehmen,"to extract, to gather from, to remove","retirer, tirer, déduire","entnehmen, entnahm, entnommen","entnehmen, entnahm, entnommen",C1,irregular
906,46,,vorbeigekommen,vorbeikommen,"to come by, to come over, to drop by","passer, venir voir, faire un saut","vorbeikommen, kam vorbei, vorbeigekommen","vorbeikommen, kam vorbei, vorbeigekommen",C1,irregular
907,46,,weitergegangen,weitergehen,"to continue, to proceed, to keep moving","continuer, avancer, continuer à avancer","weitergehen, ging weiter, weitergegangen","weitergehen, ging weiter, weitergegangen",C1,irregular
