exercise,level_verb,Nr_verb,answer,question,german,english,french,type,prefix,level_root,root_german,root_english,root_french,explanation_prefix_english,explanation_prefix_french,explanation_english_beta,explanation_french_beta
38,B1,257,bestellen,,,"to order, to reserve","commander, réserver",4. something,be,A2,stellen,"to position, to put, to catch","positionner, mettre",,,,
39,B1,267,aufnehmen,,,"to record, to take in, to absorb, to include","enregistrer, assimiler, absorber, inclure",4. something,auf,A1,nehmen,"to take, to cause oneself to be (in some state)","prendre, se mettre (dans un état)",to add the meaning of <i>up</i> → auf,,,
52,B1,279,abschließen,,,"to complete, to conclude, to lock","compléter, conclure, verrouiller",4. something,ab,A1,schließen,"to shut, to close, to lock, to conclude","fermer, clore, verrouiller, conclure","to add the meaning of <i>off</i>, <i>away</i> → ab",,,
43,B1,285,zurückkommen,,,"to come back, to return","revenir, retourner",4. something,zurück,A1,kommen,"to come, to make it (e.g. over something), to go to, to occur","venir, aller à, se produire",to add the meaning of <i>back</i> → zurück,,,
38,B2,326,herstellen,,,"to produce, to make, to establish","produire, fabriquer, établir",4. something,her,A2,stellen,"to position, to put, to catch","positionner, mettre",,,,
40,B2,333,unterhalten,,,"to entertain, to maintain, to support, to convert","divertir, entretenir, soutenir, convertir",4. something,unter,A1,halten,"to hold, to stop (a movement), to support, to keep","tenir, arrêter (un mouvement), soutenir, garder",,,,
38,B2,334,einstellen,,,"to hire, to adjust, to stop","embaucher, ajuster, arrêter",4. something,ein,A2,stellen,"to position, to put, to catch","positionner, mettre","to add the meaning of <i>in</i>, <i>into</i> → ein",,,
51,B2,339,überlegen,,,"to consider, to think about, to reflect, to lay over","considérer, penser à, réfléchir, recouvrir, poser par-dessus",4. something,über,A2,legen,"to lay, to lean, to lie down","poser, se pencher, s'allonger",,,,
39,B2,340,unternehmen,,,"to undertake, to attempt, to take action","entreprendre, tenter, agir",4. something,unter,A1,nehmen,"to take, to cause oneself to be (in some state)","prendre, se mettre (dans un état)","to add the meaning of <i>under</i>, to translate the prefix <i>sub-</i> → unter",,,
46,B2,345,durchführen,,,"to carry out, to conduct, to implement","réaliser, mener, mettre en œuvre",4. something,durch,A2,führen,"to lead, to guide","guider, conduire",to add the meaning of <i>through</i> → durch,,,
37,B2,350,abgeben,,,"to submit, to hand in, to deliver","soumettre, remettre, livrer",4. something,ab,A1,geben,to give,donner,"to add the meaning of <i>off</i>, <i>away</i> → ab",,,
45,B2,357,einsetzen,,,"to use, to apply, to deploy, to insert","utiliser, appliquer, déployer, insérer",4. something,ein,A2,setzen,"to set, to sit down (refl.)",s'asseoir (réfl.),"to add the meaning of <i>in</i>, <i>into</i> → ein",,,
49,B2,373,ansehen,,,"to look at something, to watch something","regarder quelque chose, observer quelque chose",4. something,an,A1,sehen,"to see, to realise","voir, se rendre compte",to add intensity to a reference point → an,,,
38,B2,375,erstellen,,,"to create, to prepare, to compile","créer, préparer, compiler",4. something,er,A2,stellen,"to position, to put, to catch","positionner, mettre",,,,
39,B2,387,zunehmen,,,"to increase, to gain (weight), to rise","augmenter, prendre (du poids), s'élever",4. something,zu,A1,nehmen,"to take, to cause oneself to be (in some state)","prendre, se mettre (dans un état)",,,,
42,B2,417,einziehen,,,"to move in, to penetrate, to infiltrate","s'introduire, pénétrer, s'infiltrer",4. something,ein,A1,ziehen,"to pull, to drag, to move","tirer, traîner, déplacer","to add the meaning of <i>in</i>, <i>into</i> → ein",,,
41,B2,420,eingehen,,,"to shrink (textile), to wither, to die (plants, animals), to assume something","rétrécir (textile), se faner, mourir (plantes, animaux), prendre quelque chose",4. something,ein,A1,gehen,"to go, to leave, to work, to function (coll.), to be going (Dat.), to be all right (Dat.)","aller, partir, fonctionner (familier)",,,,
39,B2,451,abnehmen,,,"to decrease, to lose weight, to remove","diminuer, perdre du poids, éliminer",4. something,ab,A1,nehmen,"to take, to cause oneself to be (in some state)","prendre, se mettre (dans un état)","to add the meaning of <i>off</i>, <i>away</i> → ab",,,
44,B2,452,beweisen,,,"to prove, to demonstrate","prouver, démontrer",4. something,be,B2,weisen,"to point, to direct, to indicate","pointer, diriger, indiquer",,,,
52,B2,457,beschließen,,,"to decide, to resolve","décider, résoudre",4. something,be,A1,schließen,"to shut, to close, to lock, to conclude","fermer, clore, verrouiller, conclure",to discuss or mention an object → be,,,
44,B2,459,hinweisen,,,"to indicate, to point out, to refer","indiquer, faire remarquer, se référer",4. something,hin,B2,weisen,"to point, to direct, to indicate","pointer, diriger, indiquer",,,,
47,B2,462,zulassen,,,"to allow, to permit, to license","permettre, autoriser, autoriser",4. something,zu,A2,lassen,"to let, to leave, to allow","laisser, quitter, permettre",,,,
51,B2,465,belegen,,,"to prove, to occupy, to substantiate","prouver, occuper, étayer",4. something,be,A2,legen,"to lay, to lean, to lie down","poser, se pencher, s'allonger",,,,
37,B2,467,angeben,,,"to state, to declare, to show off, to brag","déclarer, affirmer, se vanter",4. something,an,A1,geben,to give,donner,,,,
41,B2,489,umgehen,,,"to handle, to deal with, to avoid","gérer, faire face à, éviter",4. something,um,A1,gehen,"to go, to leave, to work, to function (coll.), to be going (Dat.), to be all right (Dat.)","aller, partir, fonctionner (familier)",to add the meaning of <i>around</i> → um,,,
52,B2,493,anschließen,,,"to join, to attach, to affiliate, to connect","rejoindre, attacher, s'affilier, se connecter",4. something,an,A1,schließen,"to shut, to close, to lock, to conclude","fermer, clore, verrouiller, conclure","to add the meaning of <i>on</i>, of a contact → an",,,
43,B2,496,vorkommen,,,"to occur, to happen, to advance","se produire, arriver, progresser",4. something,vor,A1,kommen,"to come, to make it (e.g. over something), to go to, to occur","venir, aller à, se produire",to add the meaning of <i>forward</i> → vor,,,
37,B2,505,eingeben,,,"to enter, to input, to give, to supply","entrer, saisir, donner, fournir",4. something,ein,A1,geben,to give,donner,"to add the meaning of <i>in</i>, <i>into</i> → ein",,,
48,B2,525,zusammenfassen,,,"to summarize, to condense, to abstract","résumer, condenser, abstraire",4. something,zusammen,B2,fassen,"to grasp, to seize, to capture, to comprehend","saisir, capturer, comprendre","to add the meaning of <i>co</i>, <i>together</i> → zusammen",,,
40,B2,538,sich verhalten,,,"to behave (refl.), to act (refl.), to press (coll.)","se comporter (réfl.), agir (réfl.), faire pression (familier)",4. something,ver,A1,halten,"to hold, to stop (a movement), to support, to keep","tenir, arrêter (un mouvement), soutenir, garder",,,,
44,B2,539,überweisen,,,"to transfer (money), to refer (a patient)","transférer (de l'argent), référer (un patient)",4. something,über,B2,weisen,"to point, to direct, to indicate","pointer, diriger, indiquer",to translate the prefix <i>trans-</i> → über,,,
41,B2,543,zurückgehen,,,"to go back, to decrease, to decline","revenir en arrière, diminuer, décliner",4. something,zurück,A1,gehen,"to go, to leave, to work, to function (coll.), to be going (Dat.), to be all right (Dat.)","aller, partir, fonctionner (familier)",to add the meaning of <i>back</i> → zurück,,,
50,B2,559,verschreiben,,,"to prescribe, to commit oneself to, to misspell by accident","prescrire, s'engager à, faire une faute d'orthographe par accident",4. something,ver,A1,schreiben,to write,écrire,,,,
41,B2,560,hingehen,,,"to go (there), (of time) to pass","aller (là-bas), passer (le temps)",4. something,hin,A1,gehen,"to go, to leave, to work, to function (coll.), to be going (Dat.), to be all right (Dat.)","aller, partir, fonctionner (familier)",,,,
47,B2,566,entlassen,,,"to dismiss, to fire, to release","congédier, licencier, libérer",4. something,ent,A2,lassen,"to let, to leave, to allow","laisser, quitter, permettre",,,,
37,B2,587,vergeben,,,"to forgive, to award, to assign","pardonner, récompenser, attribuer",4. something,ver,A1,geben,to give,donner,,,,
37,B2,599,aufgeben,,,"to give up on, to give up (refl.), to abandon","renoncer à, abandonner (réfl.),",4. something,auf,A1,geben,to give,donner,to add the meaning of <i>up</i> → auf,,,
37,B2,604,zugeben,,,"to admit, to confess, to add","admettre, confesser, ajouter",4. something,zu,A1,geben,to give,donner,,,,
39,B2,635,entnehmen,,,"to extract, to gather from, to remove","retirer, tirer, déduire",4. something,ent,A1,nehmen,"to take, to cause oneself to be (in some state)","prendre, se mettre (dans un état)",,,,
41,C1,644,vorgehen,,,"to proceed, to advance, to go ahead","procéder, avancer, aller de l'avant",4. something,vor,A1,gehen,"to go, to leave, to work, to function (coll.), to be going (Dat.), to be all right (Dat.)","aller, partir, fonctionner (familier)",to add the meaning of <i>forward</i> → vor,,,
37,C1,648,ergeben,,,"to result in, to yield, to surrender","aboutir à, céder, se rendre",4. something,er,A1,geben,to give,donner,,,,
45,C1,650,umsetzen,,,"to implement, to apply, to put into practice","mettre en œuvre, appliquer, mettre en pratique",4. something,um,A2,setzen,"to set, to sit down (refl.)",s'asseoir (réfl.),,,,
39,C1,651,vornehmen,,,"to undertake, to carry out","entreprendre, réaliser",4. something,vor,A1,nehmen,"to take, to cause oneself to be (in some state)","prendre, se mettre (dans un état)",to add the meaning of <i>forward</i> → vor,,,
46,C1,659,einführen,,,"to introduce, to implement, to import","introduire, mettre en œuvre, importer",4. something,ein,A2,führen,"to lead, to guide","guider, conduire","to add the meaning of <i>in</i>, <i>into</i> → ein",,,
49,C1,663,versehen,,,"to provide, to equip, to supply","fournir, équiper, approvisionner",4. something,ver,A1,sehen,"to see, to realise","voir, se rendre compte",,,,
51,C1,664,anlegen,,,"to create, to invest","créer, investir",4. something,an,A2,legen,"to lay, to lean, to lie down","poser, se pencher, s'allonger","to indicate the action is partial, beginning → an",,,
48,C1,667,umfassen,,,"to include, to comprise","inclure, comprendre",4. something,um,B2,fassen,"to grasp, to seize, to capture, to comprehend","saisir, capturer, comprendre",,,,
42,C1,668,beziehen,,,"to refer, to relate, to obtain, to cover, to move into","se référer, obtenir",4. something,be,A1,ziehen,"to pull, to drag, to move","tirer, traîner, déplacer",,,,
39,C1,673,einnehmen,,,"to capture, to earn, to ingest","capturer, gagner, ingérer",4. something,ein,A1,nehmen,"to take, to cause oneself to be (in some state)","prendre, se mettre (dans un état)","to add the meaning of <i>in</i>, <i>into</i> → ein",,,
40,C1,682,einhalten,,,"to observe, to adhere, to comply","observer, adhérer, se conformer",4. something,ein,A1,halten,"to hold, to stop (a movement), to support, to keep","tenir, arrêter (un mouvement), soutenir, garder",,,,
37,C1,684,weitergeben,,,"to pass on, to impart, to relay","transmettre, relayer",4. something,weiter,A1,geben,to give,donner,,,,
47,C1,693,hinterlassen,,,"to leave behind, to bequeath","laisser derrière soi, léguer",4. something,hinter,A2,lassen,"to let, to leave, to allow","laisser, quitter, permettre",to add the meaning of <i>behind</i> → hinter,,,
38,C1,694,aufstellen,,,"to set up, to establish","mettre en place, établir",4. something,auf,A2,stellen,"to position, to put, to catch","positionner, mettre",to add the meaning of <i>up</i> → auf,,,
38,C1,721,bereitstellen,,,"to make available, to provide, to supply","mettre à disposition, fournir, approvisionner",4. something,bereit,A2,stellen,"to position, to put, to catch","positionner, mettre",,,,
51,C1,744,vorlegen,,,"to present, to submit, to bring forward","présenter, soumettre, avancer",4. something,vor,A2,legen,"to lay, to lean, to lie down","poser, se pencher, s'allonger","to indicate that something is <i>in front</i>, a performance → vor",,,
45,C1,749,durchsetzen,,,"to enforce, to assert","faire respecter, affirmer",4. something,durch,A2,setzen,"to set, to sit down (refl.)",s'asseoir (réfl.),to add the meaning of <i>through</i> → durch,,,
44,C1,750,nachweisen,,,"to prove, to account for, to demonstrate","prouver, rendre compte de, démontrer",4. something,nach,B2,weisen,"to point, to direct, to indicate","pointer, diriger, indiquer",to indicate a purposeful action → nach,,,
44,C1,751,aufweisen,,,"to exhibit, to feature, to show, to boast","exposer, mettre en valeur, montrer, se vanter",4. something,auf,B2,weisen,"to point, to direct, to indicate","pointer, diriger, indiquer",,,,
40,C1,761,aufhalten,,,"to stop, to stay, to delay","arrêter, rester, retarder",4. something,auf,A1,halten,"to hold, to stop (a movement), to support, to keep","tenir, arrêter (un mouvement), soutenir, garder",,,,
43,C1,777,vorbeikommen,,,"to come by, to come over, to drop by","passer, venir voir, faire un saut",4. something,vorbei,A1,kommen,"to come, to make it (e.g. over something), to go to, to occur","venir, aller à, se produire",,,,
50,C1,784,aufschreiben,,,"to write down, to note down, to record","écrire, noter, enregistrer",4. something,auf,A1,schreiben,to write,écrire,,,,
45,C1,789,besetzen,,,"to occupy, to border, to cast","occuper, border, jeter",4. something,be,A2,setzen,"to set, to sit down (refl.)",s'asseoir (réfl.),to work on or change the state of an object → be,,,
46,C1,790,aufführen,,,"to perform, to present","exécuter, présenter",4. something,auf,A2,führen,"to lead, to guide","guider, conduire",,,,
47,C1,793,überlassen,,,"to leave to, to entrust, to surrender","laisser à, confier, abandonner",4. something,über,A2,lassen,"to let, to leave, to allow","laisser, quitter, permettre","to add the meaning of <i>over</i>, to translate the prefix <i>sur</i> → über",,,
48,C1,795,verfassen,,,"to write, to compose, to draft","écrire, composer, rédiger",4. something,ver,B2,fassen,"to grasp, to seize, to capture, to comprehend","saisir, capturer, comprendre",,,,
46,C1,802,anführen,,,"to cite, to lead, to quote, to instruct","citer, diriger, instruire",4. something,an,A2,führen,"to lead, to guide","guider, conduire",to add intensity to a reference point → an,,,
48,C1,805,erfassen,,,"to record, to capture, to collect","enregistrer, capturer, collecter",4. something,er,B2,fassen,"to grasp, to seize, to capture, to comprehend","saisir, capturer, comprendre",,,,
37,C1,806,übergeben,,,"to hand over, to vomit (refl.)","remettre, vomir (réfl.)",4. something,über,A1,geben,to give,donner,"to add the meaning of <i>over</i>, to translate the prefix <i>sur</i> → über",,,
48,C1,808,befassen,,,"to address, to deal with, to attend to","s'adresser à, traiter, s'occuper de",4. something,be,B2,fassen,"to grasp, to seize, to capture, to comprehend","saisir, capturer, comprendre",to discuss or mention an object → be,,,
38,C1,821,zusammenstellen,,,"to compile, to assemble","compiler, assembler",4. something,zusammen,A2,stellen,"to position, to put, to catch","positionner, mettre","to add the meaning of <i>co</i>, <i>together</i> → zusammen",,,
38,C1,824,anstellen,,,"to queue (refl.), to employ someone, to hire, to get into mischief","faire la queue (réfl.), employer quelqu'un, faire des bêtises",4. something,an,A2,stellen,"to position, to put, to catch","positionner, mettre",,,,
44,C1,831,verweisen,,,"to refer, to direct","se référer, diriger",4. something,ver,B2,weisen,"to point, to direct, to indicate","pointer, diriger, indiquer",,,,
42,C1,835,abziehen,,,"to remove, to deduct, to withdraw","supprimer, déduire, retirer",4. something,ab,A1,ziehen,"to pull, to drag, to move","tirer, traîner, déplacer","to add the meaning of <i>off</i>, <i>away</i> → ab",,,
42,C1,850,zurückziehen,,,"to withdraw, to pull back, to retreat","se retirer, se replier",4. something,zurück,A1,ziehen,"to pull, to drag, to move","tirer, traîner, déplacer",to add the meaning of <i>back</i> → zurück,,,
47,C1,852,erlassen,,,"to enact, to issue, to forgive, to let off, to release from","promulguer, pardonner, renoncer à, libérer de",4. something,er,A2,lassen,"to let, to leave, to allow","laisser, quitter, permettre",,,,
41,C1,858,angehen,,,"to concern, to tackle (a problem), to turn on (a machine)","s'inquiéter, s'attaquer (à un problème), mettre en marche (une machine)",4. something,an,A1,gehen,"to go, to leave, to work, to function (coll.), to be going (Dat.), to be all right (Dat.)","aller, partir, fonctionner (familier)","to add the meaning of <i>on</i>, of a contact → an",,,
41,C1,862,vergehen,,,"to die, to pass, to elapse, to perish","mourir, passer, s'écouler, périr",4. something,ver,A1,gehen,"to go, to leave, to work, to function (coll.), to be going (Dat.), to be all right (Dat.)","aller, partir, fonctionner (familier)",,,,
38,C1,872,umstellen,,,"to relocate, to adapt, to change","déménager, s'adapter, changer",4. something,um,A2,stellen,"to position, to put, to catch","positionner, mettre",,,,
52,C1,879,einschließen,,,"to include, to enclose, to lock up, to surround","inclure, enfermer, entourer",4. something,ein,A1,schließen,"to shut, to close, to lock, to conclude","fermer, clore, verrouiller, conclure","to add the meaning of <i>in</i>, <i>into</i> → ein",,,
42,C1,888,entziehen,,,"to withdraw, to remove, to deprive","retirer, enlever, priver",4. something,ent,A1,ziehen,"to pull, to drag, to move","tirer, traîner, déplacer",,,,
40,C1,946,anhalten,,,"to stop (cease moving), to continue, to compel","arrêter (cesser de bouger), continuer, contraindre",4. something,an,A1,halten,"to hold, to stop (a movement), to support, to keep","tenir, arrêter (un mouvement), soutenir, garder",,,,
37,C1,949,umgeben,,,"to surround, to enclose, to encompass","entourer, enfermer, englober",4. something,um,A1,geben,to give,donner,to add the meaning of <i>around</i> → um,,,
49,C1,954,zusehen,,,"to watch, to see, to make sure (that something happens)","regarder, voir, s'assurer (que quelque chose se passe)",4. something,zu,A1,sehen,"to see, to realise","voir, se rendre compte",,,,
49,C1,963,vorsehen,,,"to plan, to provide for","planifier, prévoir",4. something,vor,A1,sehen,"to see, to realise","voir, se rendre compte","to add the meaning of <i>pre-</i>, that something is <i>before</i>, <i>in advance</i> → vor",,,
43,C1,965,entkommen,,,to escape,s'échapper,4. something,ent,A1,kommen,"to come, to make it (e.g. over something), to go to, to occur","venir, aller à, se produire",,,,
48,C1,967,anfassen,,,"to touch, to handle","toucher, manipuler",4. something,an,B2,fassen,"to grasp, to seize, to capture, to comprehend","saisir, capturer, comprendre","to add the meaning of <i>on</i>, of a contact → an",,,
37,C1,968,vorgeben,,,"to claim, to pretend, to set (a pace)","revendiquer, prétendre, donner (un rythme)",4. something,vor,A1,geben,to give,donner,"to add the meaning of <i>pre-</i>, that something is <i>before</i>, <i>in advance</i> → vor",,,
44,C1,975,erweisen,,,"to prove (passively), to turn out to be, to show","prouver (passivement), s'avérer être, montrer",4. something,er,B2,weisen,"to point, to direct, to indicate","pointer, diriger, indiquer",,,,
46,C1,985,entführen,,,"to abduct, to kidnap","enlever, kidnapper",4. something,ent,A2,führen,"to lead, to guide","guider, conduire",,,,
41,C1,991,zugehen,,,"to approach, to close, to happen","s'approcher, se fermer, se produire",4. something,zu,A1,gehen,"to go, to leave, to work, to function (coll.), to be going (Dat.), to be all right (Dat.)","aller, partir, fonctionner (familier)",,,,
52,C1,999,sich entschließen,,,to decide (to do something) (refl.),décider (de faire quelque chose) (réfl.),4. something,ent,A1,schließen,"to shut, to close, to lock, to conclude","fermer, clore, verrouiller, conclure",,,,
41,C1,1067,begehen,,,"to commit, perpetrate (a crime, an offence)","commettre, perpétrer (un crime, un délit)",4. something,be,A1,gehen,"to go, to leave, to work, to function (coll.), to be going (Dat.), to be all right (Dat.)","aller, partir, fonctionner (familier)",,,,
40,C1,1070,zurückhalten,,,"to restrain, to hold back, to withhold","restreindre, retenir",4. something,zurück,A1,halten,"to hold, to stop (a movement), to support, to keep","tenir, arrêter (un mouvement), soutenir, garder",to add the meaning of <i>back</i> → zurück,,,
49,C1,1081,absehen,,,"to foresee, to overlook, to disregard","prévoir, négliger",4. something,ab,A1,sehen,"to see, to realise","voir, se rendre compte",,,,
46,C1,1086,verführen,,,"to seduce, to entice, to tempt, to debauch",séduire,4. something,ver,A2,führen,"to lead, to guide","guider, conduire",,,,
45,C1,1090,voraussetzen,,,"to presume, to require, to assume","présumer, exiger, supposer",4. something,voraus,A2,setzen,"to set, to sit down (refl.)",s'asseoir (réfl.),,,,
50,C1,1134,einschreiben,,,"to sign up, to enroll",s'inscrire,4. something,ein,A1,schreiben,to write,écrire,"to add the meaning of <i>in</i>, <i>into</i> → ein",,,
43,C1,1137,entgegenkommen,,,"to accommodate, to approach, to come towards","s'adapter, s'approcher, venir vers",4. something,entgegen,A1,kommen,"to come, to make it (e.g. over something), to go to, to occur","venir, aller à, se produire",,,,
42,C1,1138,erziehen,,,"to educate, to raise, to nurture, to teach, to train","éduquer, élever, nourrir, enseigner, former",4. something,er,A1,ziehen,"to pull, to drag, to move","tirer, traîner, déplacer",,,,
44,C1,1174,zuweisen,,,"to assign, to allocate, to allot","attribuer, assigner, affecter",4. something,zu,B2,weisen,"to point, to direct, to indicate","pointer, diriger, indiquer",,,,
51,C1,1222,zulegen,,,"to add, to gain, to increase, to put on weight, to draw","ajouter, gagner, augmenter, prendre du poids, tirer",4. something,zu,A2,legen,"to lay, to lean, to lie down","poser, se pencher, s'allonger",,,,
1000,C1,707,überwinden,,,"to overcome, to conquer, to surmount",surmonter,"5, new",über,C2,winden,,,,,,
1000,C1,995,umarmen,,,"to hug, to embrace, to caress, to embosom","étreindre, embrasser, caresser, enserrer",5. new,um,,armen,,,,,,
1000,C1,707,überwinden,,,"to overcome, to conquer, to surmount",surmonter,5. new,über,C2,winden,,,,,,
1000,C1,958,rechtfertigen,,,"to justify, to warrant, to back up, to exculpate","justifier, garantir, appuyer, disculper",5. new,recht,C2,fertigen,,,,,,
1000,C1,995,umarmen,,,"to hug, to embrace, to caress, to embosom","étreindre, embrasser, caresser, enserrer",5. new,um,,armen,,,,,,
1000,C1,1064,erwägen,,,"to consider, to contemplate, to ponder","envisager, considérer",5. new,er,,wägen,,,,,,
1000,C1,995,umarmen,,,"to hug, to embrace, to caress, to embosom","étreindre, embrasser, caresser, enserrer",5. new,um,,armen,,,,,,
1000,A2,86,bedeuten,,,"to mean, to signify","vouloir dire, signifier",5. new,be,C1,deuten,"to indicate, to interpret, to point","interpréter, indiquer",,,,
1000,A2,100,gehören,,,to belong to,appartenir à,5. new,ge,A1,hören,"to hear, to listen to","entendre, écouter",,,,
1000,A2,112,gefallen,,,"to please, to appeal to",plaire,5. new,ge,B1,fallen,"to fall, to fall in battle, to collapse","tomber, tomber au combat, s'effondrer",,,,
1000,A2,140,vermissen,,,to miss something or someone,se manquer quelque chose ou quelqu'un,5. new,ver,C2,missen,,,,,,
1000,A2,157,vergleichen,,,to compare,comparer,5. new,ver,B2,gleichen,"to equal, to match, to resemble","égaler, ressembler",,,,
1000,B1,170,verschwinden,,,"to disappear, to get lost","disparaître, se perdre",5. new,ver,C1,schwinden,"to diminish, to fade, to shrink","disparaître, diminuer, s'évanouir",,,,
1000,B1,188,unterstützen,,,"to support, to provide help","soutenir, apporter de l'aide",5. new,unter,C1,stützen,"to support, to back, to hold something up, to bolster","soutenir, appuyer, soutenir quelque chose, étayer","to add the meaning of <i>under</i>, to translate the prefix <i>sub-</i> → unter",,,
1000,B1,188,unterstützen,,,"to support, to provide help","soutenir, apporter de l'aide",5. new,unter,C1,stützen,"to support, to back, to hold something up, to bolster","soutenir, appuyer, soutenir quelque chose, étayer","to add the meaning of <i>under</i>, to translate the prefix <i>sub-</i> → unter",,,
1000,B1,188,unterstützen,,,"to support, to provide help","soutenir, apporter de l'aide",5. new,unter,C1,stützen,"to support, to back, to hold something up, to bolster","soutenir, appuyer, soutenir quelque chose, étayer","to add the meaning of <i>under</i>, to translate the prefix <i>sub-</i> → unter",,,
1000,B1,226,verletzen,,,"to injure, to hurt, to violate","blesser, faire du mal, être violent",5. new,ver,D1,letzen,,,,,,
1000,B1,230,entfernen,,,"to remove, to eliminate","supprimer, éliminer",5. new,ent,,fernen,,,,,,
1000,B1,230,entfernen,,,"to remove, to eliminate","supprimer, éliminer",5. new,ent,,fernen,,,,,,
1000,B1,230,entfernen,,,"to remove, to eliminate","supprimer, éliminer",5. new,ent,,fernen,,,,,,
1000,B1,241,entspannen,,,"to relax, to unwind","se détendre, se relaxer",5. new,ent,C2,spannen,,,,,,
1000,B1,259,vertrauen,,,to trust,faire confiance,5. new,ver,C1,trauen,"to trust, to marry, to dare (refl.)","faire confiance, se marier, oser (réfl.)",,,,
1000,B1,268,verbessern,,,"to improve, to enhance, to correct","améliorer, renforcer, corriger",5. new,ver,C2,bessern,,,,,,
1000,B1,306,begrüßen,,,"to greet, to welcome","saluer, accueillir",5. new,be,C1,grüßen,"to greet, to salute","saluer, faire un salut",,,,
1000,B1,308,enttäuschen,,,"to disappoint, to let down","décevoir, laisser tomber",5. new,ent,C1,täuschen,"to deceive, to delude, to mislead","tromper, duper, induire en erreur",,,,
1000,B2,366,überzeugen,,,"to convince, to persuade","convaincre, persuader",5. new,über,C2,zeugen,,,,,,
1000,B2,369,benötigen,,,"to need, to require (formal)","avoir besoin, exiger",5. new,be,D1,nötigen,,,,,,
1000,B2,386,geraten,,,"to get into, to fall into, to turn out","entrer dans, tomber dans, se révéler",5. new,ge,B1,raten,"to advise, to recommend, to guess","conseiller, recommander, deviner",,,,
1000,B2,395,verhindern,,,"to prevent, to hinder, to stop","empêcher, entraver, arrêter",5. new,ver,C1,hindern,to prevent somebody from doing something,empêcher quelqu'un de faire quelque chose,,,,
1000,B2,401,beschränken,,,"to limit, to restrict","limiter, restreindre",5. new,be,C2,schränken,,,,,,
1000,B2,408,begleiten,,,"to accompany, to escort","accompagner, escorter",5. new,be,C1,gleiten,"to glide, to slide","glisser, glisser",,,,
1000,B2,415,verlangen,,,"to demand, to request, to desire","exiger, requérir, désirer",5. new,ver,C2,langen,,,,,,
1000,B2,427,erwähnen,,,"to mention, to refer to","mentionner, faire référence à",5. new,er,D1,wähnen,,,,,,
1000,B2,429,vermuten,,,"to suspect, to assume, to suppose","soupçonner, supposer, présumer",5. new,ver,D1,muten,,,,,,
1000,B2,433,verwalten,,,"to manage, to administer","gérer, administrer",5. new,ver,D1,walten,,,,,,
1000,B2,448,aufregen,,,"to upset, to agitate, to annoy","déranger, agiter, ennuyer",5. new,auf,D1,regen,,,,,,
1000,B2,481,verfügen,,,"to have at one’s disposal (formal), to possess, to control","avoir à sa disposition (formel), posséder, contrôler",5. new,ver,C1,fügen,"to acquiesce, to comply, to fit together","acquiescer, se conformer, s'adapter",,,,
1000,B2,512,erweitern,,,"to expand, to broaden, to widen, to extend","étendre, élargir, étendre",5. new,er,C2,weitern,,,,,,
1000,B2,519,gelangen,,,"to reach, to arrive, to attain","atteindre, arriver",5. new,ge,C2,langen,,,,,,
1000,B2,526,erschrecken,,,"to be frightened, to frighten","avoir peur, effrayer",5. new,er,C1,schrecken,"to frighten, to scare, to startle","effrayer, faire peur, surprendre",,,,
1000,B2,529,verzeihen,,,"to forgive, to pardon, to excuse","pardonner, excuser",5. new,ver,D1,zeihen,,,,,,
1000,B2,553,ernähren,,,"to feed, to nourish, to sustain","nourrir, entretenir, soutenir",5. new,er,C2,nähren,"nourish, feed, aliment",,,,,
23,B2,561,weggehen,,,"to go away, to leave","s'en aller, quitter",5. new,weg,A1,gehen,"to go, to leave, to work, to function (coll.), to be going (Dat.), to be all right (Dat.)","aller, partir, fonctionner (familier)",,,,
1000,B2,584,bewerten,,,"to evaluate, to assess, to rate","évaluer, estimer, noter",5. new,be,C1,werten,"to assess, to consider, to value",évaluer,,,,
1000,B2,585,sich bemühen,,,"to make an effort, to strive","faire un effort, s'efforcer",5. new,be,D1,mühen,,,,,,
1000,B2,600,überwachen,,,"to keep under surveillance, to monitor, to observe, to oversee","surveiller, observer, superviser",5. new,über,C1,wachen,"to wake, to guard, to be awake","veiller, réveiller, surveiller",,,,
1000,B2,602,bestrafen,,,to punish,punir,5. new,be,C2,strafen,,,,,,
1000,B2,606,beurteilen,,,"to judge, to assess","juger, évaluer",5. new,be,C2,urteilen,,,,,,
24,B2,608,ausschließen,,,"to exclude, to eliminate","exclure, éliminer",5. new,aus,A1,schließen,"to shut, to close, to lock, to conclude","fermer, clore, verrouiller, conclure",,,,
1000,B2,620,beschädigen,,,"to damage, to harm","endommager, nuire",5. new,be,C2,schädigen,,,,,,
1000,B2,628,begeistern,,,"to enthuse, to be enthusiastic (refl.)","enthousiasmer, être enthousiaste (réfl.)",5. new,be,D1,geistern,,,,,,
1000,C1,649,erzeugen,,,"to generate, to produce, to create","générer, produire, créer",5. new,er,C2,zeugen,,,,,,
1000,C1,652,vermitteln,,,"to convey, to mediate, to arrange","transmettre, servir de médiateur, arranger",5. new,ver,D1,mitteln,,,,,,
1000,C1,653,beantragen,,,"to apply for, to request","demander, requérir",5. new,be,D1,antragen,,,,,,
1000,C1,655,ermitteln,,,"to investigate, to determine, to ascertain","investiguer, déterminer, s'assurer",5. new,er,D1,mitteln,,,,,,
