exercise,question,answer,german,english,french,transitivity_english,transitivity_french
61,,,bereiten,"to prepare, to cause","préparer, provoquer",Sometimes Reflexive,Parfois Réfléchi
61,,,spinnen,"to spin, to act strangely, to act up","tisser, filer",Sometimes Reflexive,Parfois Réfléchi
61,,,verreisen,"to go away, to travel, to go on a trip","partir, voyager, faire un voyage",,
61,,,buchstabieren,to spell,épeler,,
62,,,jobben,"to do casual jobs, to work part-time",travailler à temps partiel,,
62,,,nicken,to nod,hocher la tête,,
62,,,zitieren,"to cite, to quote",citer,,
62,,,vorlegen,"to present, to submit, to bring forward","présenter, soumettre, avancer",,
62,,,bergen,"to recover, to rescue, to save, to salvage","récupérer, secourir, sauver, sauver",,
62,,,definieren,to define,définir,,
62,,,basieren,to base,à la base,,
62,,,einleiten,"to introduce, to initiate, to commence","introduire, initier, commencer",,
62,,,durchsetzen,"to enforce, to assert","faire respecter, affirmer",Sometimes Reflexive,Parfois Réfléchi
62,,,nachweisen,"to prove, to account for, to demonstrate","prouver, rendre compte de, démontrer",,
62,,,aufweisen,"to exhibit, to feature, to show, to boast","exposer, mettre en valeur, montrer, se vanter",,
62,,,schwören,"to swear, to take an oath","jurer, prêter serment",,
62,,,befehlen,"to command, to order, to bid","ordonner, commander, enjoindre",,
62,,,leuchten,"to shine, to glow, to be illuminated","briller, allumer, éclairer",,
62,,,zielen,"to aim, to target, to focus on","viser, cibler, se concentrer sur",,
62,,,sondern,"to separate, to split","séparer, diviser",,
62,,,verderben,"to decay, to spoil, to addle, to degenerate","gâcher, gâter, perdre, périr",Sometimes Reflexive,Parfois Réfléchi
62,,,verweigern,"to refuse, to deny, to decline, to reject",refuser,Sometimes Reflexive,Parfois Réfléchi
62,,,bewältigen,"to manage, to cope with, to overcome, to get over","gérer, faire face à, surmonter",,
62,,,verbrennen,"to burn, to consume by fire, to incinerate","brûler, consumer par le feu, incinérer",Sometimes Reflexive,Parfois Réfléchi
63,,,aufhalten,"to stop, to stay, to delay","arrêter, rester, retarder",Sometimes Reflexive,Parfois Réfléchi
63,,,erarbeiten,"to develop, to elaborate, to work out, to acquire","développer, élaborer, acquérir",Sometimes Reflexive,Parfois Réfléchi
63,,,bedrohen,"to threaten, to menace",menacer,,
63,,,ausüben,"to exercise, to perform, to practice","exercer, exécuter, pratiquer",,
63,,,verstärken,"to amplify, to intensify, to strengthen","amplifier, intensifier, renforcer",Sometimes Reflexive,Parfois Réfléchi
63,,,bedenken,"to consider, to reflect, to give, to allow for","considérer, réfléchir, donner, permettre",,
63,,,impfen,"to vaccinate, to immunize, to inject","vacciner, immuniser, injecter",Sometimes Reflexive,Parfois Réfléchi
63,,,betrügen,"to cheat, to swindle, to defraud","tricher, escroquer, frauder",,
63,,,verklagen,"to sue, to bring a suit against, to bring an action against","poursuivre en justice, intenter un procès",,
63,,,isolieren,"to isolate, to insulate",isoler,Sometimes Reflexive,Parfois Réfléchi
63,,,beherrschen,"to dominate, to master, to control, to rule","dominer, maîtriser, contrôler, régner",,
63,,,blitzen,to flash,"clignoter, étinceler, flasher, scintiller",,
63,,,reizen,"to stimulate, to irritate, to tease","irriter, émouvoir, exciter",Sometimes Reflexive,Parfois Réfléchi
63,,,auseinandersetzen,"to discuss, to engage, to altercate, to argue with","discuter, s'engager, se disputer, argumenter avec",Mostly Reflexive,Principalement Réfléchi
63,,,aushalten,"to bear, to endure, to withstand, to tolerate","supporter, endurer, résister, tolérer",,
63,,,proben,"to rehearse, to practice",répéter,,
63,,,vorbeikommen,"to come by, to come over, to drop by","passer, venir voir, faire un saut",,
63,,,weitergehen,"to continue, to proceed, to keep moving","continuer, avancer, continuer à avancer",,
63,,,betreten,"to enter, to access, to apprehend, to catch","entrer, accéder, appréhender, attraper",,
63,,,entsorgen,"to clean up, to depollute, to dispose, to dispose of","nettoyer, dépolluer, éliminer, se débarrasser de",,
64,,,erwischen,"to catch, to seize, to nab, to surprise, to capture","attraper, saisir, capturer, surprendre, prendre",,
64,,,sortieren,"to sort, to arrange, to merge, to assort","trier, arranger, fusionner, associer",,
64,,,verlegen,"to install, to lay, to misplace, to publish","installer, poser, égarer, publier",,
64,,,aufschreiben,"to write down, to note down, to record","écrire, noter, enregistrer",,
64,,,segeln,"to sail, to glide","naviguer, glisser",,
64,,,einlegen,"to insert, to pickle, to assert","insérer, mettre en conserve, affirmer",,
64,,,wahrnehmen,"to perceive, to notice, to observe, to sense","percevoir, remarquer, observer, pressentir",,
64,,,sicherstellen,"to seize, to assure, to confiscate, to guarantee","saisir, assurer, confisquer, garantir",,
64,,,besetzen,"to occupy, to border, to cast","occuper, border, jeter",Sometimes Reflexive,Parfois Réfléchi
64,,,aufführen,"to perform, to present","exécuter, présenter",Sometimes Reflexive,Parfois Réfléchi
64,,,verhaften,"to detain, to take into custody","détenir, mettre en détention",,
64,,,kommentieren,to comment,commenter,,
64,,,überlassen,"to leave to, to entrust, to surrender","laisser à, confier, abandonner",,
64,,,befürchten,"to fear, to apprehend, to be afraid","craindre, appréhender, avoir peur",,
64,,,verfassen,"to write, to compose, to draft","écrire, composer, rédiger",,
64,,,kehren,"to sweep, to return","retourner, balayer",Sometimes Reflexive,Parfois Réfléchi
64,,,einigen,"to unite, to reconcile, to agree","s'unir, se réconcilier, s'accorder",Mostly Reflexive,Principalement Réfléchi
64,,,reißen,"to rip, to tear, to break","déchirer, arracher, se casser, rompre",Sometimes Reflexive,Parfois Réfléchi
64,,,saufen,"to drink (animals), to booze","boire (des animaux), s'enivrer",,
64,,,abonnieren,to subscribe,s'abonner,Sometimes Reflexive,Parfois Réfléchi
65,,,ablaufen,"to expire, to run out, to discharge","expirer, s'épuiser, se décharger",,
65,,,anführen,"to cite, to lead, to quote, to instruct","citer, diriger, instruire",,
65,,,vertreiben,"to expel, to dislodge, to displace, to put on the market, to sell","expulser, déloger, déplacer",Sometimes Reflexive,Parfois Réfléchi
65,,,erteilen,"to grant, to issue, to give","accorder, délivrer, donner",,
65,,,erfassen,"to record, to capture, to collect","enregistrer, capturer, collecter",,
65,,,übergeben,"to hand over, to vomit (refl.)","remettre, vomir (réfl.)",Sometimes Reflexive,Parfois Réfléchi
65,,,stützen,"to support, to back, to hold something up, to bolster","soutenir, appuyer, soutenir quelque chose, étayer",Sometimes Reflexive,Parfois Réfléchi
65,,,befassen,"to address, to deal with, to attend to","s'adresser à, traiter, s'occuper de",Mostly Reflexive,Principalement Réfléchi
65,,,beruhen,"to base on, to depend on, to consist","se baser sur, dépendre de, se composer de",,
65,,,vorwerfen,"to reproach, to accuse of, to allege","reprocher, accuser de, alléguer",,
65,,,verwirklichen,"to realize, to actualize, to fulfill, to implement","réaliser, concrétiser, accomplir, mettre en œuvre",Sometimes Reflexive,Parfois Réfléchi
65,,,siegen,"to win, to prevail, to triumph","gagner, triompher, prévaloir",,
65,,,vereinigen,"to coalesce, to unify, to merge","unir, réunir, unifier, combiner",Sometimes Reflexive,Parfois Réfléchi
65,,,zittern,"to shiver, to tremble, to fear","trembler, frissonner, grelotter",,
65,,,locken,"to entice, to lure, to rock, to tempt","attirer, allécher",,
65,,,strahlen,"to radiate, to beam","rayonner, briller, illuminer",,
65,,,sich auswirken,"to affect, to have an impact","affecter, avoir un impact",Always Reflexive,Toujours Réfléchi
65,,,abbauen,"to dismantle, to reduce, to break down","démanteler, réduire, décomposer",Sometimes Reflexive,Parfois Réfléchi
65,,,besorgen,"to get, to obtain, to take care of","obtenir, prendre soin de",Sometimes Reflexive,Parfois Réfléchi
65,,,anwenden,"to apply, to make use of","appliquer, faire usage de",Sometimes Reflexive,Parfois Réfléchi
66,,,zusammenstellen,"to compile, to assemble","compiler, assembler",,
66,,,verbrauchen,"to consume, to use","consommer, utiliser",,
66,,,berühren,to touch,toucher,Sometimes Reflexive,Parfois Réfléchi
66,,,anstellen,"to queue (refl.), to employ someone, to hire, to get into mischief","faire la queue (réfl.), employer quelqu'un, faire des bêtises",Sometimes Reflexive,Parfois Réfléchi
66,,,festhalten,"to hold, to retain something, to record something, to detain","détenir, conserver quelque chose, enregistrer quelque chose, détenir",Sometimes Reflexive,Parfois Réfléchi
66,,,auflösen,"to dissolve, to resolve, to annul, to liquidate","dissoudre, résoudre, annuler, liquider",Sometimes Reflexive,Parfois Réfléchi
66,,,auslösen,"to ransom, to trigger, to initiate, to set up","rançonner, déclencher, initier, mettre en place",,
66,,,eintreten,"to enter, to join, to occur, to step in","entrer, se joindre, se produire",,
66,,,belasten,"to burden, to charge, to strain","charger, accabler, mettre à rude épreuve",Sometimes Reflexive,Parfois Réfléchi
66,,,transportieren,"to transport, to transfer","transporter, transférer",,
66,,,verweisen,"to refer, to direct","se référer, diriger",Sometimes Reflexive,Parfois Réfléchi
66,,,regieren,"to govern, to reign, to rule, to command","gouverner, régner, diriger, commander",,
66,,,opfern,to sacrifice,sacrifier,Sometimes Reflexive,Parfois Réfléchi
66,,,überqueren,to cross,traverser,,
66,,,abziehen,"to remove, to deduct, to withdraw","supprimer, déduire, retirer",Sometimes Reflexive,Parfois Réfléchi
66,,,lenken,"to steer, to direct, to guide","diriger, orienter, guider",,
66,,,reifen,"to ripen, to mature",mûrir,,
66,,,ausschalten,"to disable, to turn off","désactiver, éteindre",,
66,,,tauchen,"to dive, to dip","plonger, tremper",Sometimes Reflexive,Parfois Réfléchi
66,,,registrieren,"to register, to enroll","s'inscrire, s'inscrire",Sometimes Reflexive,Parfois Réfléchi
67,,,langweilen,"to bore, to be bored, to be boring","s'ennuyer, être ennuyé, être ennuyeux",Mostly Reflexive,Principalement Réfléchi
67,,,übereinstimmen,"to agree, to concur, to correspond","concorder, correspondre, coïncider",,
67,,,kennzeichnen,"to mark, to label, to characterize, to flag","marquer, étiqueter, caractériser, signaler",,
67,,,füttern,to feed (an animal),nourrir (un animal),,
67,,,nähen,"to sew, to stitch, to seam","coudre, piquer, assembler",,
67,,,aktivieren,"to activate, to enable","activer, permettre",,
67,,,demonstrieren,"to demonstrate, to show","démontrer, montrer",,
67,,,schmerzen,"to hurt, to ache","faire mal, souffrir",,
67,,,saugen,"to suck, to vacuum, to suckle","sucer, aspirer, téter",,
67,,,zurückziehen,"to withdraw, to pull back, to retreat","se retirer, se replier",Sometimes Reflexive,Parfois Réfléchi
67,,,bekämpfen,to fight against something,lutter contre quelque chose,,
67,,,erlassen,"to enact, to issue, to forgive, to let off, to release from","promulguer, pardonner, renoncer à, libérer de",,
67,,,hetzen,"to rush, to hurry","se précipiter, se dépêcher",Sometimes Reflexive,Parfois Réfléchi
67,,,managen,"to manage, to oversee, to organize, to supervise","gérer, contrôler",,
67,,,genügen,"to suffice, to satisfy","suffire, satisfaire",,
67,,,verringern,"to decrease, to diminish, to ease, to lower","diminuer, soulager, abaisser",Sometimes Reflexive,Parfois Réfléchi
67,,,ruhen,"to rest, to be at rest, to repose",reposer,,
67,,,angehen,"to concern, to tackle (a problem), to turn on (a machine)","s'inquiéter, s'attaquer (à un problème), mettre en marche (une machine)",Sometimes Reflexive,Parfois Réfléchi
67,,,wegwerfen,"to throw away, to discard","jeter, se débarrasser de",,
67,,,sich erkundigen,"to ask, to enquire, to enquire after, to inquire","demander, s'enquérir, se renseigner sur, interroger",,
68,,,ablegen,"to lay down, to put down, to remove","déposer, poser, enlever",,
68,,,vergehen,"to die, to pass, to elapse, to perish","mourir, passer, s'écouler, périr",,
68,,,streben,"to strive, to tend to, to aspire","aspirer, s'efforcer, viser",,
68,,,wundern,"to surprise, to amaze","surprendre, étonner",Mostly Reflexive,Principalement Réfléchi
68,,,befragen,"to question, to ask, to interrogate, to consult","questionner, demander, interroger, consulter",,
68,,,weichen,to soften,adoucir,,
68,,,beißen,to bite,mordre,Sometimes Reflexive,Parfois Réfléchi
68,,,kühlen,"to chill, to cool, to refrigerate","refroidir, réfrigérer",,
68,,,quellen,"to soak, to swell, to well, to spring","tremper, gonfler",,
68,,,erstrecken,"to extend, to span, to bestride","étendre, enjamber",Mostly Reflexive,Principalement Réfléchi
68,,,gleiten,"to glide, to slide","glisser, glisser",,
68,,,umstellen,"to relocate, to adapt, to change","déménager, s'adapter, changer",Sometimes Reflexive,Parfois Réfléchi
68,,,hindern,to prevent somebody from doing something,empêcher quelqu'un de faire quelque chose,Sometimes Reflexive,Parfois Réfléchi
68,,,blasen,"to blow, to play, to puff, to breathe on, to emit",souffler,Sometimes Reflexive,Parfois Réfléchi
68,,,ringen,"to struggle, to wrestle, to agonise",lutter,,
68,,,gebären,to give birth to,donner naissance à,,
68,,,überschreiten,"to exceed, to overstep, to surpass","dépasser, outrepasser, surpasser",,
68,,,abrufen,"to retrieve, to access, to call away","récupérer, accéder, appeler",,
68,,,einschließen,"to include, to enclose, to lock up, to surround","inclure, enfermer, entourer",Sometimes Reflexive,Parfois Réfléchi
68,,,gewähren,"to grant, to afford, to allow, to accord","accorder, permettre",,
69,,,formen,"to form, to shape, to model, to mold, to fashion","former, modeler, façonner",Sometimes Reflexive,Parfois Réfléchi
69,,,weiterleiten,"to forward, to pass on","transmettre, faire passer",,
69,,,züchten,"to breed, to grow","se reproduire, grandir",,
69,,,strecken,"to stretch, to dilute, to extend","étirer, allonger",Sometimes Reflexive,Parfois Réfléchi
69,,,versagen,"to fail, to refuse, to deny","échouer, refuser, nier",Sometimes Reflexive,Parfois Réfléchi
69,,,zelten,"to camp, to camp out, to tent",camper,,
69,,,hervorheben,"to emphasize, to highlight, to stress","souligner, mettre en valeur, insister",Sometimes Reflexive,Parfois Réfléchi
69,,,entziehen,"to withdraw, to remove, to deprive","retirer, enlever, priver",Sometimes Reflexive,Parfois Réfléchi
69,,,auswerten,"to evaluate, to analyze, to assess","évaluer, analyser, estimer",,
69,,,bevorzugen,"to prefer, to favor","préférer, favoriser",,
69,,,vertiefen,"to deepen, to intensify","approfondir, intensifier",Sometimes Reflexive,Parfois Réfléchi
69,,,verwandeln,"to transform, to convert, to turn into, to metamorphose","transformer, convertir, se métamorphoser",Sometimes Reflexive,Parfois Réfléchi
69,,,auffordern,"to request, to invite, to ask","demander, inviter",,
69,,,ableiten,"to derive, to deduce","dériver, déduire",Sometimes Reflexive,Parfois Réfléchi
69,,,einschränken,"to limit, to restrict, to stint, to circumscribe","limiter, restreindre, circonscrire",Sometimes Reflexive,Parfois Réfléchi
69,,,interpretieren,"to interpret, to take as","interpréter, prendre comme",,
69,,,benennen,"to name, to designate, to appoint","nommer, désigner",,
69,,,sich spezialisieren,"to specialize, to specialise, to differentiate, to focus","se spécialiser, se différencier, se concentrer",Always Reflexive,Toujours Réfléchi
69,,,sich erkälten,"to catch a cold, to get cold","attraper un rhume, prendre froid",Always Reflexive,Toujours Réfléchi
69,,,irren,"to err, to wander",se tromper,Mostly Reflexive,Principalement Réfléchi
70,,,umbringen,"to kill, to murder, to be very angry at someone","tuer, assassiner, être très en colère contre quelqu'un",Sometimes Reflexive,Parfois Réfléchi
70,,,scheren,"to shear, to care, to clip, to cut","tondre, entretenir, tailler, couper",Sometimes Reflexive,Parfois Réfléchi
70,,,erläutern,"to explain, to clarify","expliquer, clarifier",,
70,,,publizieren,"to publish, to publicize, to announce","publier, faire connaître, annoncer",,
70,,,schleichen,"to sneak, to creep","se faufiler, ramper",Sometimes Reflexive,Parfois Réfléchi
70,,,plagen,"to bother, to annoy, to plague, to rack","tourmenter, affliger",Sometimes Reflexive,Parfois Réfléchi
70,,,verfahren,"to proceed, to act, to deal",procéder,Sometimes Reflexive,Parfois Réfléchi
70,,,auskommen,"to get along, to get on, to manage",s'entendre,,
70,,,spritzen,"to inject, to spray, to splash","injecter, pulvériser, gicler, éclabousser",Sometimes Reflexive,Parfois Réfléchi
70,,,bügeln,to iron,repasser (des vêtements),Sometimes Reflexive,Parfois Réfléchi
70,,,amüsieren,"to amuse, to entertain, to enjoy oneself","amuser, divertir, se faire plaisir",Mostly Reflexive,Principalement Réfléchi
70,,,erkunden,"to explore, to investigate","explorer, enquêter",,
70,,,ablenken,"to distract, to divert, to steer away","distraire, détourner, éloigner",Sometimes Reflexive,Parfois Réfléchi
70,,,aufladen,"to charge, to load, to burden, to impose","charger, accabler, imposer",Sometimes Reflexive,Parfois Réfléchi
70,,,übertreiben,"to exaggerate, to overdo","exagérer, exagérer",,
70,,,dokumentieren,"to record, to document, to demonstrate, to evidence","enregistrer, documenter, démontrer, prouver",,
70,,,ausbauen,"to expand, to develop","étendre, développer",Sometimes Reflexive,Parfois Réfléchi
70,,,scannen,"to scan, to court, to digitize","scanner, porter devant les tribunaux, numériser",,
70,,,abbiegen,"to turn, to turn off, to bend","tourner, éteindre, plier",Sometimes Reflexive,Parfois Réfléchi
70,,,aussagen,"to testify, to state","témoigner, déclarer",,
71,,,faszinieren,"to fascinate, to captivate","fasciner, captiver",,
71,,,schimpfen,"to scold, to rant","gronder, pester",,
71,,,motivieren,"to motivate, to give reasons, to inspire","motiver, donner des raisons, inspirer",,
71,,,ausleihen,"to borrow, to lend, to lend out","emprunter, prêter",,
71,,,gefährden,to endanger,mettre en danger,,
71,,,aufkommen,"to arise, to come down, to emerge, to land","se lever, descendre, émerger, atterrir",,
71,,,interviewen,to interview,interviewer,,
71,,,anfordern,"to request, to solicit, to ask for, to circularize","demander, solliciter, diffuser",,
71,,,belohnen,"to reward, to award, to compensate","récompenser, attribuer, indemniser",,
71,,,verschlafen,"to oversleep, to sleep in","dormir trop longtemps, faire la grasse matinée",,
71,,,erstatten,"to reimburse, to refund, to report","rembourser, déduire, signaler",,
71,,,zuschauen,"to watch, to look on, to observe","regarder, observer, surveiller",,
71,,,einzahlen,"to deposit, to make a deposit","déposer, verser",,
71,,,betätigen,"to operate, to activate, to engage","actionner, activer, engager",,
71,,,sich wohlfühlen,"to feel good, to be comfortable","se sentir bien, être à l'aise",,
71,,,färben,"to color, to dye","colorer, teindre",,
71,,,ablesen,"to read off, to read out, to deduce","lire à haute voix, déduire",,
71,,,losfahren,"to set off, to drive off, to leave","partir, démarrer, prendre la route",,
71,,,schälen,to peel,peler,,
71,,,recherchieren,"to investigate, to research, to do research","enquêter, faire des recherches, mener des recherches",,
72,,,verkleiden,"to to dress up, to to disguise oneself (refl.)",se déguiser,,
72,,,verschicken,"to dispatch, to despatch, to mail, to send","expédier, envoyer par la poste, envoyer",,
72,,,anmachen,"to turn on, to light, to switch on","allumer, mettre en marche, allumer",,
72,,,aktualisieren,to update,mettre à jour,Sometimes Reflexive,Parfois Réfléchi
72,,,wetten,"to bet, to wager","parier, miser",Sometimes Reflexive,Parfois Réfléchi
72,,,anhalten,"to stop (cease moving), to continue, to compel","arrêter (cesser de bouger), continuer, contraindre",Sometimes Reflexive,Parfois Réfléchi
72,,,beschleunigen,"to accelerate, to speed up",accélérer,Sometimes Reflexive,Parfois Réfléchi
72,,,fügen,"to acquiesce, to comply, to fit together","acquiescer, se conformer, s'adapter",Sometimes Reflexive,Parfois Réfléchi
72,,,umgeben,"to surround, to enclose, to encompass","entourer, enfermer, englober",Sometimes Reflexive,Parfois Réfléchi
72,,,dringen,"to insist, the seep, to penetrate","insister, s'infiltrer, pénétrer",Sometimes Reflexive,Parfois Réfléchi
72,,,wiederherstellen,"to restore, to recover, to rehabilitate","restaurer, récupérer, réhabiliter",,
72,,,schleifen,"to drag, to drill, to pull","poncer, affûter, aiguiser, tailler",Sometimes Reflexive,Parfois Réfléchi
72,,,aufsteigen,"to rise, to ascend, to advance, to climb","s'élever, monter, avancer, grimper",,
72,,,zusehen,"to watch, to see, to make sure (that something happens)","regarder, voir, s'assurer (que quelque chose se passe)",,
72,,,auftauchen,"to arise, to surface, to turn up","surgir, faire surface, apparaître",,
72,,,beklagen,"to complain, to lament, to air grievances","se plaindre, se lamenter, exprimer des griefs",Sometimes Reflexive,Parfois Réfléchi
72,,,drängen,"to urge, to push, to cajole, to shove","exhorter, pousser, cajoler, bousculer",Sometimes Reflexive,Parfois Réfléchi
72,,,rechtfertigen,"to justify, to warrant, to back up, to exculpate","justifier, garantir, appuyer, disculper",Sometimes Reflexive,Parfois Réfléchi
72,,,beinhalten,"to include, to contain, to entail, to comprise","inclure, contenir, impliquer, comprendre",,
72,,,beauftragen,"to assign, to commission, to instruct","assigner, commissionner, instruire",,
73,,,sprühen,"to spray, to atomize, to disperse","pulvériser, atomiser, disperser",,
73,,,gestatten,"to allow, to permit, to license","autoriser, permettre, concéder une licence",,
73,,,vorsehen,"to plan, to provide for","planifier, prévoir",,
73,,,anfallen,"to accrue, to accumulate, to arise, to incur","s'accumuler, survenir, encourir",,
73,,,entkommen,to escape,s'échapper,,
73,,,lauten,"to read, to sound, to go (as in “it goes like…”)","lire, sonner",,
73,,,anfassen,"to touch, to handle","toucher, manipuler",Sometimes Reflexive,Parfois Réfléchi
73,,,vorgeben,"to claim, to pretend, to set (a pace)","revendiquer, prétendre, donner (un rythme)",,
73,,,ertragen,"to bear, to stand","supporter, se tenir debout",,
73,,,aufbrechen,"to leave, to set off, to start, to break, to burst","partir, se mettre en route, démarrer, rompre, éclater",Sometimes Reflexive,Parfois Réfléchi
73,,,anregen,"to encourage, to stimulate, to excite, to inspire","encourager, stimuler, exciter, inspirer",Sometimes Reflexive,Parfois Réfléchi
73,,,abweichen,"to depart (from), to soak off","partir (de), s'imprégner",,
73,,,abbilden,"to depict, to map, to illustrate","représenter, cartographier, illustrer",Sometimes Reflexive,Parfois Réfléchi
73,,,erregen,"to arouse, to stimulate, to agitate","éveiller, stimuler, agiter",Sometimes Reflexive,Parfois Réfléchi
73,,,erweisen,"to prove (passively), to turn out to be, to show","prouver (passivement), s'avérer être, montrer",Sometimes Reflexive,Parfois Réfléchi
73,,,agieren,"to act, to operate, to perform, to act out","agir, opérer, exécuter",,
73,,,einreichen,"to submit, to present, to bring, to bring in, to deposit","soumettre, présenter, apporter, déposer",,
73,,,erforschen,"to research, to investigate, to explore, to ascertain","faire des recherches, enquêter, explorer, vérifier",,
73,,,befestigen,"to attach, to fasten, to secure",fixer,Sometimes Reflexive,Parfois Réfléchi
73,,,optimieren,"to optimize, to improve, to steamline",optimiser,Sometimes Reflexive,Parfois Réfléchi
74,,,schwinden,"to diminish, to fade, to shrink","disparaître, diminuer, s'évanouir",,
74,,,bestreiten,"to dispute, to contest","contester, disputer",,
74,,,ticken,"to tick, to tap, to act","faire tic, taper",,
74,,,zugreifen,"to access, to grab, to help oneself",accéder,,
74,,,entführen,"to abduct, to kidnap","enlever, kidnapper",,
74,,,knüpfen,"to knot, to tie, to weave",nouer,Sometimes Reflexive,Parfois Réfléchi
74,,,verweilen,"to linger, to stay, to tarry, to abide","rester, s'attarder, séjourner, demeurer",,
74,,,bewundern,to admire,admirer,,
74,,,anschaffen,"to purchase, to acquire, to procure","acheter, acquérir, se procurer",,
74,,,konsumieren,to consume,consommer,,
74,,,zugehen,"to approach, to close, to happen","s'approcher, se fermer, se produire",,
74,,,festsetzen,"to fix, to appoint, to detain, to determine, to establish","fixer, nommer, détenir, déterminer, établir",,
74,,,auszeichnen,"to honor, to distinguish","honorer, distinguer",,
74,,,festnehmen,"to arrest, to apprehend, to detain, to seize","arrêter, appréhender, détenir, saisir",,
74,,,umarmen,"to hug, to embrace, to caress, to embosom","étreindre, embrasser, caresser, enserrer",,
74,,,antreten,"to begin, to compete","commencer, concourir",,
74,,,einschlagen,"to strike, to hit, to drive in, to engrave, to heel in","frapper, toucher, enfoncer, graver",,
74,,,anstrengen,"to exert, to strain, to make an effort, to apply","exercer, se démener, faire un effort, appliquer",,
74,,,sich entschließen,to decide (to do something) (refl.),décider (de faire quelque chose) (réfl.),Always Reflexive,Toujours Réfléchi
74,,,staunen,"to be astonished, to be amazed","être étonné, être émerveillé",,
75,,,abdecken,"to cover, to remove, to uncover","couvrir, enlever, découvrir",,
75,,,absetzen,"to set down, to put down, to deduct, to dismiss","Déposer, mettre de côté, déduire, rejeter",,
75,,,benehmen,to behave (refl.),se comporter (réfl.),,
75,,,sich wehren,"to defend, to resist","défendre, résister",Always Reflexive,Toujours Réfléchi
75,,,ausgleichen,"to balance, to offset, to compensate, to equalize","équilibrer, compenser, égaliser",,
75,,,einbringen,"to bring in, to contribute, to introduce, to harvest","apporter, contribuer, introduire, récolter",,
75,,,genehmigen,"to allow, to permit, to authorize, to approve","permettre, autoriser, approuver",,
75,,,pressen,"to press, to squeeze, to push, to bear down","presser, serrer, pousser, exercer une pression",,
75,,,vorschreiben,"to dictate, to prescribe, to instruct, to stipulate","dicter, prescrire, instruire, stipuler",,
75,,,behindern,"to obstruct, to hamper","gêner, entraver",,
75,,,anhören,to listen to someone,écouter quelqu'un,,
75,,,spenden,"to donate, to contribute, to dispense, to give","faire un don, contribuer, distribuer, donner",,
75,,,schwingen,"to swing, to oscillate","se balancer, osciller",,
75,,,abschalten,"to switch off, to disconnect, to turn off","éteindre, déconnecter, couper",,
75,,,duzen,to address informally,s'adresser de manière informelle,,
75,,,hämmern,"to hammer, to pound, to bang, to beat","marteler, pilonner, cogner, battre",,
75,,,verzögern,"to delay, to postpone, to stall","retarder, reporter, bloquer",,
75,,,hageln,"to hail, to volley","saluer, faire une volée",,
75,,,verschwenden,"to squander, to waste",gaspiller,,
75,,,vertragen,"to tolerate, to get along, to bear","tolérer, s'entendre, supporter",,
76,,,einbrechen,"to break in, to collapse, to break down","s'introduire par effraction, s'effondrer, tomber en panne",,
76,,,besiegen,to defeat (in battle or contest),vaincre (au combat ou dans un concours),,
76,,,aufteilen,"to distribute, to divide, to partition","distribuer, diviser, partitionner",,
76,,,zumachen,"to close, to shut, to close down","fermer, cesser ses activités",,
76,,,hinfahren,"to drive there, to go, to travel","aller en voiture, y aller, voyager",,
76,,,austragen,"to deliver, to distribute, to carry out","livrer, distribuer, exécuter",,
76,,,überreichen,"to hand over, to present, to submit","remettre, présenter, soumettre",,
76,,,trösten,"to console, to comfort, to bring comfort to","consoler, réconforter, apporter du réconfort à",,
76,,,vortragen,"to perform, to recite, to present, to carry over","interpréter, réciter, présenter, transmettre",,
76,,,fegen,"to sweep, to move quickly, to tear","balayer, se déplacer rapidement, déchirer",,
76,,,wiedersehen,"to see again, to meet again","revoir, se revoir",,
76,,,ausweisen,"to expel, to identify, to deport","expulser, identifier, déporter",,
76,,,aufbewahren,"to preserve, to keep, to store","préserver, conserver, stocker",,
76,,,bedauern,"to regret, to deplore, to lament, to pity","regretter, déplorer, se lamenter, avoir pitié",,
76,,,loslassen,"to release, to let go, to let loose, to disengage","libérer, lâcher prise, se délier, se désengager",,
76,,,spiegeln,"to mirror, to reflect, to assign, to dazzle","refléter, renvoyer, attribuer, éblouir",,
76,,,wegnehmen,"to take away, to remove, to abstract, to cancel","enlever, supprimer, abstraire, annuler",,
76,,,bellen,to bark,aboyer,,
76,,,einatmen,"to inhale, to breath in","inspirer, respirer",,
76,,,mitfahren,"to go with, to ride along","accompagner, faire un tour avec",,
77,,,abrechnen,"to settle, to account for, to bill","régler, rendre compte, facturer",,
77,,,dekorieren,"to decorate, to adorn","décorer, orner",,
77,,,einsammeln,"to collect, to gather","collecter, rassembler",,
77,,,twittern,to tweet,tweeter,,
77,,,filmen,"to film, to shoot","filmer, tourner",,
77,,,variieren,"to vary, to alter, to change partially","varier, modifier, changer partiellement",,
77,,,verschmutzen,to pollute,"polluer, salir",,
77,,,zurückfahren,"to back, to drive back, to flinch","reculer, faire marche arrière, tressaillir",,
77,,,genesen,"to recover, to convalesce, to get well",se rétablir,,
77,,,nähern,"to approach, to get closer, to advance","s'approcher, se rapprocher, avancer",Mostly Reflexive,Principalement Réfléchi
77,,,vereinfachen,"to simplify, to demystify, to deskill, to dumb down","simplifier, démystifier, déqualifier, abêtir",Sometimes Reflexive,Parfois Réfléchi
77,,,beeinträchtigen,"to affect, to impair, to alloy, to compromise","affecter, altérer, allier, compromettre",,
