Nr,exercise,level_verben,Nr_verben,level_noun,level_goethe,level_routledge,question,answer,german,root_english,english,root_french,french,german_verb,english_verb,french_verb,german_noun,english_noun,french_noun,gender_english,gender_french
1112,60,C1,624,B2,,,sperren,die Sperrung,,"to block, to lock, to close off","the blocking, the closing off","bloquer, verrouiller, fermer","le blocage, la fermeture",sperren,"to block, to lock, to close off","bloquer, verrouiller, fermer",die Sperrung,"the blocking, the closing off","le blocage, la fermeture",Feminine,Féminin
1113,60,C1,625,B1,,,protestieren,der Protest,,"to protest, to object",the protest,"protester, s'opposer",la manifestation,protestieren,"to protest, to object","protester, s'opposer",der Protest,the protest,la manifestation,Masculine,Masculin
1114,60,C1,628,B2,,,zurückziehen,der Rückzug,,"to withdraw, to pull back, to retreat",the withdrawal,"se retirer, se replier",le retrait,zurückziehen,"to withdraw, to pull back, to retreat","se retirer, se replier",der Rückzug,the withdrawal,le retrait,Masculine,Masculin
1115,60,C1,629,C2,,,auffallen,die Auffälligkeit,,"to stand out, to catch someone's eye (with dative)",the remarkability,"se démarquer, attirer l'attention (avec le datif)",la remarquable,auffallen,"to stand out, to catch someone's eye (with dative)","se démarquer, attirer l'attention (avec le datif)",die Auffälligkeit,the remarkability,la remarquable,Feminine,Féminin
1116,60,C1,630,A1,A1,A1,aufgeben,die Aufgabe,,"to give up on, to give up (refl.), to abandon",the task,"renoncer à, abandonner (réfl.),",la tâche,aufgeben,"to give up on, to give up (refl.), to abandon","renoncer à, abandonner (réfl.),",die Aufgabe,the task,la tâche,Feminine,Féminin
1117,60,C1,631,B2,,B1,bekämpfen,die Bekämpfung,,to fight against something,the fight,lutter contre quelque chose,le combat,bekämpfen,to fight against something,lutter contre quelque chose,die Bekämpfung,the fight,le combat,Feminine,Féminin
1118,60,C1,633,B1,,B1,mischen,die Mischung,,"to mix, to blend",the mixture,mélanger,le mélange,mischen,"to mix, to blend",mélanger,die Mischung,the mixture,le mélange,Feminine,Féminin
1119,60,C1,634,C1,,,ergänzen,die Ergänzung,,"to complement, to add, to supplement","the supplement, the complement","compléter, ajouter, suppléer","le supplément, le complément",ergänzen,"to complement, to add, to supplement","compléter, ajouter, suppléer",die Ergänzung,"the supplement, the complement","le supplément, le complément",Feminine,Féminin
1120,60,C1,635,C1,,,überwachen,die Überwachung,,"to keep under surveillance, to monitor, to observe, to oversee","the surveillance, the monitoring","surveiller, observer, superviser","la surveillance, le suivi",überwachen,"to keep under surveillance, to monitor, to observe, to oversee","surveiller, observer, superviser",die Überwachung,"the surveillance, the monitoring","la surveillance, le suivi",Feminine,Féminin
1121,60,C1,636,B1,,,verteidigen,die Verteidigung,,to defend,the defense,défendre,la défense,verteidigen,to defend,défendre,die Verteidigung,the defense,la défense,Feminine,Féminin
1122,60,C1,637,C1,,,erfassen,die Erfassung,,"to record, to capture, to collect","the capture, the collection","enregistrer, capturer, collecter","la capture, la collection",erfassen,"to record, to capture, to collect","enregistrer, capturer, collecter",die Erfassung,"the capture, the collection","la capture, la collection",Feminine,Féminin
1123,60,C1,639,C1,,,renovieren,die Renovierung,,"to refurbish, to renovate",the renovation,"remettre à neuf, rénover",la rénovation,renovieren,"to refurbish, to renovate","remettre à neuf, rénover",die Renovierung,the renovation,la rénovation,Feminine,Féminin
1124,60,C1,640,B2,,,bestrafen,die Bestrafung,,to punish,the punishment,punir,la punition,bestrafen,to punish,punir,die Bestrafung,the punishment,la punition,Feminine,Féminin
1125,60,C1,641,C2,,,stinken,der Gestank,,to stink,the stench,puer,la puanteur,stinken,to stink,puer,der Gestank,the stench,la puanteur,Masculine,Masculin
1126,60,C1,642,B1,,,abstimmen,die Abstimmung,,"to coordinate, to vote, to adjust","the vote, the agreement","coordonner, voter, ajuster","le vote, l'accord",abstimmen,"to coordinate, to vote, to adjust","coordonner, voter, ajuster",die Abstimmung,"the vote, the agreement","le vote, l'accord",Feminine,Féminin
1127,60,C1,643,C1,,,einleiten,die Einleitung,,"to introduce, to initiate, to commence",the introduction,"introduire, initier, commencer",l'introduction,einleiten,"to introduce, to initiate, to commence","introduire, initier, commencer",die Einleitung,the introduction,l'introduction,Feminine,Féminin
1128,60,C1,645,B1,,,nachweisen,der Nachweis,,"to prove, to account for, to demonstrate","the proof, the verification","prouver, rendre compte de, démontrer","la preuve, la vérification",nachweisen,"to prove, to account for, to demonstrate","prouver, rendre compte de, démontrer",der Nachweis,"the proof, the verification","la preuve, la vérification",Masculine,Masculin
1129,60,C1,647,C2,,,sondern,der Sonderling,,"to separate, to split","the eccentric, the nerd","séparer, diviser","l'excentrique, le nerd",sondern,"to separate, to split","séparer, diviser",der Sonderling,"the eccentric, the nerd","l'excentrique, le nerd",Masculine,Masculin
1130,60,C1,650,C2,,,eingeben,die Eingebung,,"to enter, to input, to give, to supply","the inspiration, the impulse, the intuition","entrer, saisir, donner, fournir","l'inspiration, l'impulsion, l'intuition",eingeben,"to enter, to input, to give, to supply","entrer, saisir, donner, fournir",die Eingebung,"the inspiration, the impulse, the intuition","l'inspiration, l'impulsion, l'intuition",Feminine,Féminin
1131,61,C1,650,C1,,,die Eingabe,eingeben,,"the input, the entry, the submission","to enter, to input, to give, to supply","l'entrée, la saisie, la soumission","entrer, saisir, donner, fournir",eingeben,"to enter, to input, to give, to supply","entrer, saisir, donner, fournir",die Eingabe,"the input, the entry, the submission","l'entrée, la saisie, la soumission",,
1132,61,C1,652,C1,,,die Aktualisierung,aktualisieren,,the update,to update,la mise à jour,mettre à jour,aktualisieren,to update,mettre à jour,die Aktualisierung,the update,la mise à jour,,
1133,61,C1,653,A1,,,die Ausstellung,ausstellen,,the exhibition,"to exhibit, to display",l'exposition,"exposer, montrer",ausstellen,"to exhibit, to display","exposer, montrer",die Ausstellung,the exhibition,l'exposition,,
1134,61,C1,655,B2,,,die Umstellung,umstellen,,"the conversion, the migration, the reorganization","to relocate, to adapt, to change","la conversion, la migration, la réorganisation","déménager, s'adapter, changer",umstellen,"to relocate, to adapt, to change","déménager, s'adapter, changer",die Umstellung,"the conversion, the migration, the reorganization","la conversion, la migration, la réorganisation",,
1135,61,C1,657,C2,,,die Zerschlagung,zerschlagen,,the destruction,"to break, to crush, to defeat, to shatter",la destruction,"briser, écraser, vaincre, anéantir",zerschlagen,"to break, to crush, to defeat, to shatter","briser, écraser, vaincre, anéantir",die Zerschlagung,the destruction,la destruction,,
1136,61,C1,659,B1,,,der Schweiß,schwitzen,,the sweat,"to sweat, to be in a sweat",la sueur,"transpirer, être en sueur",schwitzen,"to sweat, to be in a sweat","transpirer, être en sueur",der Schweiß,the sweat,la sueur,,
1137,61,C1,661,A2,,,der Gruß,grüßen,,"the greeting, the compliment","to greet, to salute","la salutation, le compliment","saluer, faire un salut",grüßen,"to greet, to salute","saluer, faire un salut",der Gruß,"the greeting, the compliment","la salutation, le compliment",,
1138,61,C1,662,C1,,,das Hindernis,hindern,,the hindrance,to prevent somebody from doing something,l'obstacle,empêcher quelqu'un de faire quelque chose,hindern,to prevent somebody from doing something,empêcher quelqu'un de faire quelque chose,das Hindernis,the hindrance,l'obstacle,,
1139,61,C1,663,B2,,,die Befreiung,befreien,,the liberation,to free (make free),la libération,libérer (rendre libre),befreien,to free (make free),libérer (rendre libre),die Befreiung,the liberation,la libération,,
1140,61,C1,664,C2,,,der Schwur,schwören,,the oath,"to swear, to take an oath",le serment,"jurer, prêter serment",schwören,"to swear, to take an oath","jurer, prêter serment",der Schwur,the oath,le serment,,
1141,61,C1,665,A2,,A1,der Angriff,angreifen,,the attack,to attack,l'attaque,attaquer,angreifen,to attack,attaquer,der Angriff,the attack,l'attaque,,
1142,61,C1,666,C1,,,die Trauung,trauen,,the wedding vows,"to trust, to marry, to dare (refl.)",les vœux de mariage,"faire confiance, se marier, oser (réfl.)",trauen,"to trust, to marry, to dare (refl.)","faire confiance, se marier, oser (réfl.)",die Trauung,the wedding vows,les vœux de mariage,,
1143,61,C1,667,C1,,,die Hetze,hetzen,,the haste,"to rush, to hurry",la hâte,"se précipiter, se dépêcher",hetzen,"to rush, to hurry","se précipiter, se dépêcher",die Hetze,the haste,la hâte,,
1144,61,C1,667,C2,,,die Hatz,hetzen,,"the hunt, the chase","to rush, to hurry","la chasse, la poursuite","se précipiter, se dépêcher",hetzen,"to rush, to hurry","se précipiter, se dépêcher",die Hatz,"the hunt, the chase","la chasse, la poursuite",,
1145,61,C1,670,B1,,,der Befehl,befehlen,,"the command, the order","to command, to order, to bid","le commandement, l'ordre","ordonner, commander, enjoindre",befehlen,"to command, to order, to bid","ordonner, commander, enjoindre",der Befehl,"the command, the order","le commandement, l'ordre",,
1146,61,C1,672,C2,,,die Deutung,deuten,,"the interpretation, the analysis","to indicate, to interpret, to point","l'interprétation, l'analyse","interpréter, indiquer",deuten,"to indicate, to interpret, to point","interpréter, indiquer",die Deutung,"the interpretation, the analysis","l'interprétation, l'analyse",,
1147,61,C1,676,C2,,,der Ringer,ringen,,the wrestler,"to struggle, to wrestle, to agonise",le lutteur,lutter,ringen,"to struggle, to wrestle, to agonise",lutter,der Ringer,the wrestler,le lutteur,,
1148,61,C1,678,C1,,,die Überwindung,überwinden,,"the overcoming, the surmounting, the conquest","to overcome, to conquer, to surmount","le dépassement, la victoire, la conquête",surmonter,überwinden,"to overcome, to conquer, to surmount",surmonter,die Überwindung,"the overcoming, the surmounting, the conquest","le dépassement, la victoire, la conquête",,
1149,61,C1,680,C2,,,die Verweigerung,verweigern,,"the refusal, the denial","to refuse, to deny, to decline, to reject","le refus, le déni",refuser,verweigern,"to refuse, to deny, to decline, to reject",refuser,die Verweigerung,"the refusal, the denial","le refus, le déni",,
1150,61,C1,681,B1,,A2,der Gebrauch,gebrauchen,,the usage,"to use, to make use of",l'usage,"utiliser, faire usage de",gebrauchen,"to use, to make use of","utiliser, faire usage de",der Gebrauch,the usage,l'usage,,
1151,62,C1,650,C1,,,eingeben,die Eingabe,,"to enter, to input, to give, to supply","the input, the entry, the submission","entrer, saisir, donner, fournir","l'entrée, la saisie, la soumission",eingeben,"to enter, to input, to give, to supply","entrer, saisir, donner, fournir",die Eingabe,"the input, the entry, the submission","l'entrée, la saisie, la soumission",Feminine,Féminin
1152,62,C1,652,C1,,,aktualisieren,die Aktualisierung,,to update,the update,mettre à jour,la mise à jour,aktualisieren,to update,mettre à jour,die Aktualisierung,the update,la mise à jour,Feminine,Féminin
1153,62,C1,653,A1,,,ausstellen,die Ausstellung,,"to exhibit, to display",the exhibition,"exposer, montrer",l'exposition,ausstellen,"to exhibit, to display","exposer, montrer",die Ausstellung,the exhibition,l'exposition,Feminine,Féminin
1154,62,C1,655,B2,,,umstellen,die Umstellung,,"to relocate, to adapt, to change","the conversion, the migration, the reorganization","déménager, s'adapter, changer","la conversion, la migration, la réorganisation",umstellen,"to relocate, to adapt, to change","déménager, s'adapter, changer",die Umstellung,"the conversion, the migration, the reorganization","la conversion, la migration, la réorganisation",Feminine,Féminin
1155,62,C1,657,C2,,,zerschlagen,die Zerschlagung,,"to break, to crush, to defeat, to shatter",the destruction,"briser, écraser, vaincre, anéantir",la destruction,zerschlagen,"to break, to crush, to defeat, to shatter","briser, écraser, vaincre, anéantir",die Zerschlagung,the destruction,la destruction,Feminine,Féminin
1156,62,C1,659,B1,,,schwitzen,der Schweiß,,"to sweat, to be in a sweat",the sweat,"transpirer, être en sueur",la sueur,schwitzen,"to sweat, to be in a sweat","transpirer, être en sueur",der Schweiß,the sweat,la sueur,Masculine,Masculin
1157,62,C1,661,A2,,,grüßen,der Gruß,,"to greet, to salute","the greeting, the compliment","saluer, faire un salut","la salutation, le compliment",grüßen,"to greet, to salute","saluer, faire un salut",der Gruß,"the greeting, the compliment","la salutation, le compliment",Masculine,Masculin
1158,62,C1,662,C1,,,hindern,das Hindernis,,to prevent somebody from doing something,the hindrance,empêcher quelqu'un de faire quelque chose,l'obstacle,hindern,to prevent somebody from doing something,empêcher quelqu'un de faire quelque chose,das Hindernis,the hindrance,l'obstacle,Neuter,Neutre
1159,62,C1,663,B2,,,befreien,die Befreiung,,to free (make free),the liberation,libérer (rendre libre),la libération,befreien,to free (make free),libérer (rendre libre),die Befreiung,the liberation,la libération,Feminine,Féminin
1160,62,C1,664,C2,,,schwören,der Schwur,,"to swear, to take an oath",the oath,"jurer, prêter serment",le serment,schwören,"to swear, to take an oath","jurer, prêter serment",der Schwur,the oath,le serment,Masculine,Masculin
1161,62,C1,665,A2,,A1,angreifen,der Angriff,,to attack,the attack,attaquer,l'attaque,angreifen,to attack,attaquer,der Angriff,the attack,l'attaque,Masculine,Masculin
1162,62,C1,666,C1,,,trauen,die Trauung,,"to trust, to marry, to dare (refl.)",the wedding vows,"faire confiance, se marier, oser (réfl.)",les vœux de mariage,trauen,"to trust, to marry, to dare (refl.)","faire confiance, se marier, oser (réfl.)",die Trauung,the wedding vows,les vœux de mariage,Feminine,Féminin
1163,62,C1,667,C1,,,hetzen,die Hetze,,"to rush, to hurry",the haste,"se précipiter, se dépêcher",la hâte,hetzen,"to rush, to hurry","se précipiter, se dépêcher",die Hetze,the haste,la hâte,Feminine,Féminin
1164,62,C1,667,C2,,,hetzen,die Hatz,,"to rush, to hurry","the hunt, the chase","se précipiter, se dépêcher","la chasse, la poursuite",hetzen,"to rush, to hurry","se précipiter, se dépêcher",die Hatz,"the hunt, the chase","la chasse, la poursuite",Feminine,Féminin
1165,62,C1,670,B1,,,befehlen,der Befehl,,"to command, to order, to bid","the command, the order","ordonner, commander, enjoindre","le commandement, l'ordre",befehlen,"to command, to order, to bid","ordonner, commander, enjoindre",der Befehl,"the command, the order","le commandement, l'ordre",Masculine,Masculin
1166,62,C1,672,C2,,,deuten,die Deutung,,"to indicate, to interpret, to point","the interpretation, the analysis","interpréter, indiquer","l'interprétation, l'analyse",deuten,"to indicate, to interpret, to point","interpréter, indiquer",die Deutung,"the interpretation, the analysis","l'interprétation, l'analyse",Feminine,Féminin
1167,62,C1,676,C2,,,ringen,der Ringer,,"to struggle, to wrestle, to agonise",the wrestler,lutter,le lutteur,ringen,"to struggle, to wrestle, to agonise",lutter,der Ringer,the wrestler,le lutteur,Masculine,Masculin
1168,62,C1,678,C1,,,überwinden,die Überwindung,,"to overcome, to conquer, to surmount","the overcoming, the surmounting, the conquest",surmonter,"le dépassement, la victoire, la conquête",überwinden,"to overcome, to conquer, to surmount",surmonter,die Überwindung,"the overcoming, the surmounting, the conquest","le dépassement, la victoire, la conquête",Feminine,Féminin
1169,62,C1,680,C2,,,verweigern,die Verweigerung,,"to refuse, to deny, to decline, to reject","the refusal, the denial",refuser,"le refus, le déni",verweigern,"to refuse, to deny, to decline, to reject",refuser,die Verweigerung,"the refusal, the denial","le refus, le déni",Feminine,Féminin
1170,62,C1,681,B1,,A2,gebrauchen,der Gebrauch,,"to use, to make use of",the usage,"utiliser, faire usage de",l'usage,gebrauchen,"to use, to make use of","utiliser, faire usage de",der Gebrauch,the usage,l'usage,Masculine,Masculin
1171,63,C1,682,C1,,,die Vernichtung,vernichten,,the destruction,"to destroy, to ruin, to annihilate, to eradicate",la destruction,"détruire, ruiner, anéantir, éradiquer",vernichten,"to destroy, to ruin, to annihilate, to eradicate","détruire, ruiner, anéantir, éradiquer",die Vernichtung,the destruction,la destruction,,
1172,63,C1,684,C1,,,die Angel,angeln,,the fishing rod,"to angle, to fish, to hook up",la canne à pêche,"pêcher, aller à la pêcher",angeln,"to angle, to fish, to hook up","pêcher, aller à la pêcher",die Angel,the fishing rod,la canne à pêche,,
1173,63,C1,685,C1,,,die Zusage,zusagen,,the commitment,"to promise, to accept, to agree",l'engagement,"promettre, accepter, convenir",zusagen,"to promise, to accept, to agree","promettre, accepter, convenir",die Zusage,the commitment,l'engagement,,
1174,63,C1,686,C1,,,die Bewältigung,bewältigen,,"the coping, the handling, the mastering","to manage, to cope with, to overcome, to get over","la gestion, la maîtrise, le contrôle","gérer, faire face à, surmonter",bewältigen,"to manage, to cope with, to overcome, to get over","gérer, faire face à, surmonter",die Bewältigung,"the coping, the handling, the mastering","la gestion, la maîtrise, le contrôle",,
1175,63,C1,687,C1,,,die Begrüßung,begrüßen,,"the greeting, the salutation","to greet, to welcome","la salutation, le salut","saluer, accueillir",begrüßen,"to greet, to welcome","saluer, accueillir",die Begrüßung,"the greeting, the salutation","la salutation, le salut",,
1176,63,C1,688,B2,B1,,die Aussprache,aussprechen,,the pronunciation,"to pronounce, to express, to speak out",la prononciation,"prononcer, exprimer, s'exprimer",aussprechen,"to pronounce, to express, to speak out","prononcer, exprimer, s'exprimer",die Aussprache,the pronunciation,la prononciation,,
1177,63,C1,689,B1,,A2,der Entwurf,entwerfen,,"the design, the draft","to design, to draft, to sketch","le dessin, l'ébauche","concevoir, ébaucher, esquisser",entwerfen,"to design, to draft, to sketch","concevoir, ébaucher, esquisser",der Entwurf,"the design, the draft","le dessin, l'ébauche",,
1178,63,C1,690,A2,,A2,die Versorgung,versorgen,,the supply,"to supply, to provide for, to take care of",l'approvisionnement,"fournir, pourvoir à, prendre soin de",versorgen,"to supply, to provide for, to take care of","fournir, pourvoir à, prendre soin de",die Versorgung,the supply,l'approvisionnement,,
1179,63,C1,691,C2,,,die Abhebung,abheben,,the withdrawal,"to withdraw (money), to take off (aircraft)",le retrait,"retirer (de l'argent), décoller (un avion)",abheben,"to withdraw (money), to take off (aircraft)","retirer (de l'argent), décoller (un avion)",die Abhebung,the withdrawal,le retrait,,
1180,63,C1,692,B2,,B1,die Verbreitung,verbreiten,,"the spreading, the dissemination","to spread, to disseminate","la diffusion, la propagation","diffuser, propager",verbreiten,"to spread, to disseminate","diffuser, propager",die Verbreitung,"the spreading, the dissemination","la diffusion, la propagation",,
1181,63,C1,693,C2,,,die Hinterlassenschaft,hinterlassen,,"the estate, the heritage","to leave behind, to bequeath","le domaine, le patrimoine","laisser derrière soi, léguer",hinterlassen,"to leave behind, to bequeath","laisser derrière soi, léguer",die Hinterlassenschaft,"the estate, the heritage","le domaine, le patrimoine",,
1182,63,C1,695,B1,,A2,die Verpflichtung,verpflichten,,the obligation,"to oblige, to commit, to bind",l'obligation,"obliger, engager, lier",verpflichten,"to oblige, to commit, to bind","obliger, engager, lier",die Verpflichtung,the obligation,l'obligation,,
1183,63,C1,696,C2,,,der Klingelton,klingeln,,the ring tone,"to ring, to chime",la sonnerie,"sonner, faire sonner",klingeln,"to ring, to chime","sonner, faire sonner",der Klingelton,the ring tone,la sonnerie,,
1184,63,C1,697,C1,,,die Verbrennung,verbrennen,,the combustion,"to burn, to consume by fire, to incinerate",la combustion,"brûler, consumer par le feu, incinérer",verbrennen,"to burn, to consume by fire, to incinerate","brûler, consumer par le feu, incinérer",die Verbrennung,the combustion,la combustion,,
1185,63,C1,698,A2,B1,A2,die Geburt,gebären,,the birth,to give birth to,la naissance,donner naissance à,gebären,to give birth to,donner naissance à,die Geburt,the birth,la naissance,,
1186,63,C1,699,B2,,B1,die Beurteilung,beurteilen,,the judgment,"to judge, to assess",le jugement,"juger, évaluer",beurteilen,"to judge, to assess","juger, évaluer",die Beurteilung,the judgment,le jugement,,
1187,63,C1,700,B2,,,die Wette,wetten,,the bet,"to bet, to wager",le pari,"parier, miser",wetten,"to bet, to wager","parier, miser",die Wette,the bet,le pari,,
1188,63,C1,702,A2,,A2,das Engagement,engagieren,,the commitment,"to hire, to engage, to get involved",l'engagement,"embaucher, engager, s'impliquer",engagieren,"to hire, to engage, to get involved","embaucher, engager, s'impliquer",das Engagement,the commitment,l'engagement,,
1189,63,C1,703,C1,,,das Überleben,überleben,,the survival,to survive,la survie,survivre,überleben,to survive,survivre,das Überleben,the survival,la survie,,
1190,63,C1,705,D1+,,,der Unterstrich,unterstreichen,,the underscore,"to underline, to emphasize, to highlight",le soulignement,"souligner, mettre en valeur, mettre en valeur",unterstreichen,"to underline, to emphasize, to highlight","souligner, mettre en valeur, mettre en valeur",der Unterstrich,the underscore,le soulignement,,
1191,64,C1,682,C1,,,vernichten,die Vernichtung,,"to destroy, to ruin, to annihilate, to eradicate",the destruction,"détruire, ruiner, anéantir, éradiquer",la destruction,vernichten,"to destroy, to ruin, to annihilate, to eradicate","détruire, ruiner, anéantir, éradiquer",die Vernichtung,the destruction,la destruction,Feminine,Féminin
1192,64,C1,684,C1,,,angeln,die Angel,,"to angle, to fish, to hook up",the fishing rod,"pêcher, aller à la pêcher",la canne à pêche,angeln,"to angle, to fish, to hook up","pêcher, aller à la pêcher",die Angel,the fishing rod,la canne à pêche,Feminine,Féminin
1193,64,C1,685,C1,,,zusagen,die Zusage,,"to promise, to accept, to agree",the commitment,"promettre, accepter, convenir",l'engagement,zusagen,"to promise, to accept, to agree","promettre, accepter, convenir",die Zusage,the commitment,l'engagement,Feminine,Féminin
1194,64,C1,686,C1,,,bewältigen,die Bewältigung,,"to manage, to cope with, to overcome, to get over","the coping, the handling, the mastering","gérer, faire face à, surmonter","la gestion, la maîtrise, le contrôle",bewältigen,"to manage, to cope with, to overcome, to get over","gérer, faire face à, surmonter",die Bewältigung,"the coping, the handling, the mastering","la gestion, la maîtrise, le contrôle",Feminine,Féminin
1195,64,C1,687,C1,,,begrüßen,die Begrüßung,,"to greet, to welcome","the greeting, the salutation","saluer, accueillir","la salutation, le salut",begrüßen,"to greet, to welcome","saluer, accueillir",die Begrüßung,"the greeting, the salutation","la salutation, le salut",Feminine,Féminin
1196,64,C1,688,B2,B1,,aussprechen,die Aussprache,,"to pronounce, to express, to speak out",the pronunciation,"prononcer, exprimer, s'exprimer",la prononciation,aussprechen,"to pronounce, to express, to speak out","prononcer, exprimer, s'exprimer",die Aussprache,the pronunciation,la prononciation,Feminine,Féminin
1197,64,C1,689,B1,,A2,entwerfen,der Entwurf,,"to design, to draft, to sketch","the design, the draft","concevoir, ébaucher, esquisser","le dessin, l'ébauche",entwerfen,"to design, to draft, to sketch","concevoir, ébaucher, esquisser",der Entwurf,"the design, the draft","le dessin, l'ébauche",Masculine,Masculin
1198,64,C1,690,A2,,A2,versorgen,die Versorgung,,"to supply, to provide for, to take care of",the supply,"fournir, pourvoir à, prendre soin de",l'approvisionnement,versorgen,"to supply, to provide for, to take care of","fournir, pourvoir à, prendre soin de",die Versorgung,the supply,l'approvisionnement,Feminine,Féminin
1199,64,C1,691,C2,,,abheben,die Abhebung,,"to withdraw (money), to take off (aircraft)",the withdrawal,"retirer (de l'argent), décoller (un avion)",le retrait,abheben,"to withdraw (money), to take off (aircraft)","retirer (de l'argent), décoller (un avion)",die Abhebung,the withdrawal,le retrait,Feminine,Féminin
1200,64,C1,692,B2,,B1,verbreiten,die Verbreitung,,"to spread, to disseminate","the spreading, the dissemination","diffuser, propager","la diffusion, la propagation",verbreiten,"to spread, to disseminate","diffuser, propager",die Verbreitung,"the spreading, the dissemination","la diffusion, la propagation",Feminine,Féminin
1201,64,C1,693,C2,,,hinterlassen,die Hinterlassenschaft,,"to leave behind, to bequeath","the estate, the heritage","laisser derrière soi, léguer","le domaine, le patrimoine",hinterlassen,"to leave behind, to bequeath","laisser derrière soi, léguer",die Hinterlassenschaft,"the estate, the heritage","le domaine, le patrimoine",Feminine,Féminin
1202,64,C1,695,B1,,A2,verpflichten,die Verpflichtung,,"to oblige, to commit, to bind",the obligation,"obliger, engager, lier",l'obligation,verpflichten,"to oblige, to commit, to bind","obliger, engager, lier",die Verpflichtung,the obligation,l'obligation,Feminine,Féminin
1203,64,C1,696,C2,,,klingeln,der Klingelton,,"to ring, to chime",the ring tone,"sonner, faire sonner",la sonnerie,klingeln,"to ring, to chime","sonner, faire sonner",der Klingelton,the ring tone,la sonnerie,Masculine,Masculin
1204,64,C1,697,C1,,,verbrennen,die Verbrennung,,"to burn, to consume by fire, to incinerate",the combustion,"brûler, consumer par le feu, incinérer",la combustion,verbrennen,"to burn, to consume by fire, to incinerate","brûler, consumer par le feu, incinérer",die Verbrennung,the combustion,la combustion,Feminine,Féminin
1205,64,C1,698,A2,B1,A2,gebären,die Geburt,,to give birth to,the birth,donner naissance à,la naissance,gebären,to give birth to,donner naissance à,die Geburt,the birth,la naissance,Feminine,Féminin
1206,64,C1,699,B2,,B1,beurteilen,die Beurteilung,,"to judge, to assess",the judgment,"juger, évaluer",le jugement,beurteilen,"to judge, to assess","juger, évaluer",die Beurteilung,the judgment,le jugement,Feminine,Féminin
1207,64,C1,700,B2,,,wetten,die Wette,,"to bet, to wager",the bet,"parier, miser",le pari,wetten,"to bet, to wager","parier, miser",die Wette,the bet,le pari,Feminine,Féminin
1208,64,C1,702,A2,,A2,engagieren,das Engagement,,"to hire, to engage, to get involved",the commitment,"embaucher, engager, s'impliquer",l'engagement,engagieren,"to hire, to engage, to get involved","embaucher, engager, s'impliquer",das Engagement,the commitment,l'engagement,Neuter,Neutre
1209,64,C1,703,C1,,,überleben,das Überleben,,to survive,the survival,survivre,la survie,überleben,to survive,survivre,das Überleben,the survival,la survie,Neuter,Neutre
1210,64,C1,705,D1+,,,unterstreichen,der Unterstrich,,"to underline, to emphasize, to highlight",the underscore,"souligner, mettre en valeur, mettre en valeur",le soulignement,unterstreichen,"to underline, to emphasize, to highlight","souligner, mettre en valeur, mettre en valeur",der Unterstrich,the underscore,le soulignement,Masculine,Masculin
1211,65,C1,707,B1,,,die Aufführung,aufführen,,the performance,"to perform, to present",la performance,"exécuter, présenter",aufführen,"to perform, to present","exécuter, présenter",die Aufführung,the performance,la performance,,
1212,65,C1,710,C2,,,die Genüge,genügen,,"the sufficiency, the satisfaction","to suffice, to satisfy","la suffisance, la satisfaction","suffire, satisfaire",genügen,"to suffice, to satisfy","suffire, satisfaire",die Genüge,"the sufficiency, the satisfaction","la suffisance, la satisfaction",,
1213,65,C1,713,A1,,,der Ausdruck,ausdrucken,,"the expression, the printout","to print, to print out, to print off","l'expression, l'impression",imprimer,ausdrucken,"to print, to print out, to print off",imprimer,der Ausdruck,"the expression, the printout","l'expression, l'impression",,
1214,65,C1,714,B2,,,die Eintragung,eintragen,,"the enrollment, the registration","to register, to enter, to record, to enrol","l'inscription, l'enregistrement","inscrire, entrer, enregistrer, inscrire",eintragen,"to register, to enter, to record, to enrol","inscrire, entrer, enregistrer, inscrire",die Eintragung,"the enrollment, the registration","l'inscription, l'enregistrement",,
1215,65,C1,714,B1,,,der Eintrag,eintragen,,the entry (in a dictionary),"to register, to enter, to record, to enrol",l'entrée (dans un dictionnaire),"inscrire, entrer, enregistrer, inscrire",eintragen,"to register, to enter, to record, to enrol","inscrire, entrer, enregistrer, inscrire",der Eintrag,the entry (in a dictionary),l'entrée (dans un dictionnaire),,
1216,65,C1,717,B1,,,der Streik,streiken,,the strike,"to strike, to be on strike",la grève,"faire grève, être en grève",streiken,"to strike, to be on strike","faire grève, être en grève",der Streik,the strike,la grève,,
1217,65,C1,718,C2,,,die Verschreibung,verschreiben,,the prescription (medicine),"to prescribe, to commit oneself to, to misspell by accident",l'ordonnance (médecine),"prescrire, s'engager à, faire une faute d'orthographe par accident",verschreiben,"to prescribe, to commit oneself to, to misspell by accident","prescrire, s'engager à, faire une faute d'orthographe par accident",die Verschreibung,the prescription (medicine),l'ordonnance (médecine),,
1218,65,C1,719,C1,,,die Vertreibung,vertreiben,,"the expulsion, the eviction","to expel, to dislodge, to displace, to put on the market, to sell","l'expulsion, l'éviction","expulser, déloger, déplacer",vertreiben,"to expel, to dislodge, to displace, to put on the market, to sell","expulser, déloger, déplacer",die Vertreibung,"the expulsion, the eviction","l'expulsion, l'éviction",,
1219,65,C1,719,C1,,,der Vertrieb,vertreiben,,"the sale, the marketing","to expel, to dislodge, to displace, to put on the market, to sell","la vente, le marketing","expulser, déloger, déplacer",vertreiben,"to expel, to dislodge, to displace, to put on the market, to sell","expulser, déloger, déplacer",der Vertrieb,"the sale, the marketing","la vente, le marketing",,
