Nr,exercise,level,level_adjektive,level_verb,question,answer,german,english,root_english,french,root_french,adjective_german,adjective_english,adjective_french,verb_german,verb_english,verb_french
269,16,C1,C1,A2,fehlerhaft,fehlen,,"to lack, to be absent or missing",faulty,"manquer, être absent ou manquant",défectueux,fehlerhaft,faulty,défectueux,fehlen,"to lack, to be absent or missing","manquer, être absent ou manquant"
270,16,C1,C1,B1,leidenschaftlich,leiden,,"to suffer, to endure, to bear",passionate,"souffrir, endurer, supporter",passionné,leidenschaftlich,passionate,passionné,leiden,"to suffer, to endure, to bear","souffrir, endurer, supporter"
271,16,C1,C1,B1,lieferbar,liefern,,"to deliver, to supply",deliverable,"livrer, approvisionner",livrable,lieferbar,deliverable,livrable,liefern,"to deliver, to supply","livrer, approvisionner"
272,16,C1,C1,A2,traumhaft,träumen,,to dream,dreamy,rêver,rêveur,traumhaft,dreamy,rêveur,träumen,to dream,rêver
273,16,C1,C1,B2,erleichtert,erleichtern,,"to facilitate, to ease, to relieve",relieved,"faciliter, alléger, soulager",soulagé,erleichtert,relieved,soulagé,erleichtern,"to facilitate, to ease, to relieve","faciliter, alléger, soulager"
274,16,C1,C1,C1,lockig,locken,,"to entice, to lure, to rock, to tempt",curly,"attirer, allécher",bouclé,lockig,curly,bouclé,locken,"to entice, to lure, to rock, to tempt","attirer, allécher"
275,16,C1,C1,C1,erträglich,ertragen,,"to bear, to stand",bearable,"supporter, se tenir debout",supportable,erträglich,bearable,supportable,ertragen,"to bear, to stand","supporter, se tenir debout"
276,16,C1,C1,A2,hilflos,helfen,,to help,helpless,aider,sans défense,hilflos,helpless,sans défense,helfen,to help,aider
277,16,C1,C1,B1,überlegen,überlegen,,"to consider, to think about, to reflect, to lay over",superior,"considérer, penser à, réfléchir, recouvrir, poser par-dessus",supérieur,überlegen,superior,supérieur,überlegen,"to consider, to think about, to reflect, to lay over","considérer, penser à, réfléchir, recouvrir, poser par-dessus"
278,16,C1,C1,A2,erkennbar,erkennen,,"to recognize, to realise",recognizable,"reconnaître, réaliser",reconnaissable,erkennbar,recognizable,reconnaissable,erkennen,"to recognize, to realise","reconnaître, réaliser"
279,16,C1,C1,A1,scheinbar,scheinen,,"to shine, to seem (formal)",apparent,"briller, paraître (formel)",apparent,scheinbar,apparent,apparent,scheinen,"to shine, to seem (formal)","briller, paraître (formel)"
280,16,C1,C1,B1,unendlich,enden,,"to end, to finish, to conclude",infinite,"terminer, achever, conclure",infini,unendlich,infinite,infini,enden,"to end, to finish, to conclude","terminer, achever, conclure"
281,17,C1,C1,A1,denken,denkbar,,conceivable,"to think, to consider",concevable,"penser, considérer",denkbar,conceivable,concevable,denken,"to think, to consider","penser, considérer"
282,17,C1,C1,A1,denken,undenkbar,,unconceivable,"to think, to consider",impensable,"penser, considérer",undenkbar,unconceivable,impensable,denken,"to think, to consider","penser, considérer"
283,17,C1,C1,B2,betreiben,betrieblich,,operational,"to operate, to run, to conduct",opérationnel,"opérer, diriger, conduire",betrieblich,operational,opérationnel,betreiben,"to operate, to run, to conduct","opérer, diriger, conduire"
284,17,C1,C1,B1,bemühen,mühsam,,tedious,"to make an effort, to strive",fastidieux,"faire un effort, s'efforcer",mühsam,tedious,fastidieux,bemühen,"to make an effort, to strive","faire un effort, s'efforcer"
285,17,C1,C1,B2,zulassen,zulässig,,permissible,"to allow, to permit, to license",permis,"permettre, autoriser, autoriser",zulässig,permissible,permis,zulassen,"to allow, to permit, to license","permettre, autoriser, autoriser"
286,17,C1,C1,B2,zulassen,unzulässig,,inadmissible,"to allow, to permit, to license",inadmissible,"permettre, autoriser, autoriser",unzulässig,inadmissible,inadmissible,zulassen,"to allow, to permit, to license","permettre, autoriser, autoriser"
287,17,C1,C1,B1,erreichen,erreichbar,,reachable,"to reach, to achieve, to attain",accessible,"atteindre, réaliser, parvenir",erreichbar,reachable,accessible,erreichen,"to reach, to achieve, to attain","atteindre, réaliser, parvenir"
288,17,C1,C1,B1,verbinden,verbindlich,,binding,"to connect, to link, to join, to bandage",obligatoire,"connecter, lier, joindre, bander",verbindlich,binding,obligatoire,verbinden,"to connect, to link, to join, to bandage","connecter, lier, joindre, bander"
289,17,C1,C1,C1,auffallen,auffällig,,noticeable,"to stand out, to catch someone's eye (with dative)",perceptible,"se démarquer, attirer l'attention (avec le datif)",auffällig,noticeable,perceptible,auffallen,"to stand out, to catch someone's eye (with dative)","se démarquer, attirer l'attention (avec le datif)"
290,17,C1,C1,B1,spüren,spürbar,,noticeable,"to feel, to sense, to perceive",visible,"sentir, pressentir, percevoir",spürbar,noticeable,visible,spüren,"to feel, to sense, to perceive","sentir, pressentir, percevoir"
291,17,C1,C1,A2,verändern,unverändert,,unchanged,"to alter, to change something",inchangé,"modifier, changer quelque chose",unverändert,unchanged,inchangé,verändern,"to alter, to change something","modifier, changer quelque chose"
292,17,C1,C1,A2,verändern,verändert,,changed,"to alter, to change something",modifié,"modifier, changer quelque chose",verändert,changed,modifié,verändern,"to alter, to change something","modifier, changer quelque chose"
293,17,C1,C1,B2,fließen,flüssig,,fluid,"to flow, to run",fluide,"couler, courir",flüssig,fluid,fluide,fließen,"to flow, to run","couler, courir"
294,17,C1,C1,A2,erwarten,unerwartet,,unexpected,"to expect, to await",inattendu,s'attendre à,unerwartet,unexpected,inattendu,erwarten,"to expect, to await",s'attendre à
295,17,C1,C1,A1,suchen,süchtig,,addictive,"to seek, to search","accro, addict","chercher, rechercher",süchtig,addictive,"accro, addict",suchen,"to seek, to search","chercher, rechercher"
296,17,C1,C1,B1,vertrauen,vertraut,,trusted,to trust,"de confiance, familier",faire confiance,vertraut,trusted,"de confiance, familier",vertrauen,to trust,faire confiance
297,17,C1,C1,B2,eignen,geeignet,,suitable,"to be suitable, to be appropriate",approprié,"être convenable, être approprié",geeignet,suitable,approprié,eignen,"to be suitable, to be appropriate","être convenable, être approprié"
298,17,C1,C1,B2,eignen,ungeeignet,,unsuitable,"to be suitable, to be appropriate",inapproprié,"être convenable, être approprié",ungeeignet,unsuitable,inapproprié,eignen,"to be suitable, to be appropriate","être convenable, être approprié"
299,17,C1,C1,C1,belasten,belastbar,,durable,"to burden, to charge, to strain",durable,"charger, accabler, mettre à rude épreuve",belastbar,durable,durable,belasten,"to burden, to charge, to strain","charger, accabler, mettre à rude épreuve"
300,17,C1,C1,B1,entspannen,entspannt,,relaxed,"to relax, to unwind",détendu,"se détendre, se relaxer",entspannt,relaxed,détendu,entspannen,"to relax, to unwind","se détendre, se relaxer"
301,18,C1,C1,A1,denkbar,denken,,"to think, to consider",conceivable,"penser, considérer",concevable,denkbar,conceivable,concevable,denken,"to think, to consider","penser, considérer"
302,18,C1,C1,A1,undenkbar,denken,,"to think, to consider",unconceivable,"penser, considérer",impensable,undenkbar,unconceivable,impensable,denken,"to think, to consider","penser, considérer"
303,18,C1,C1,B2,betrieblich,betreiben,,"to operate, to run, to conduct",operational,"opérer, diriger, conduire",opérationnel,betrieblich,operational,opérationnel,betreiben,"to operate, to run, to conduct","opérer, diriger, conduire"
304,18,C1,C1,B1,mühsam,bemühen,,"to make an effort, to strive",tedious,"faire un effort, s'efforcer",fastidieux,mühsam,tedious,fastidieux,bemühen,"to make an effort, to strive","faire un effort, s'efforcer"
305,18,C1,C1,B2,zulässig,zulassen,,"to allow, to permit, to license",permissible,"permettre, autoriser, autoriser",permis,zulässig,permissible,permis,zulassen,"to allow, to permit, to license","permettre, autoriser, autoriser"
306,18,C1,C1,B2,unzulässig,zulassen,,"to allow, to permit, to license",inadmissible,"permettre, autoriser, autoriser",inadmissible,unzulässig,inadmissible,inadmissible,zulassen,"to allow, to permit, to license","permettre, autoriser, autoriser"
307,18,C1,C1,B1,erreichbar,erreichen,,"to reach, to achieve, to attain",reachable,"atteindre, réaliser, parvenir",accessible,erreichbar,reachable,accessible,erreichen,"to reach, to achieve, to attain","atteindre, réaliser, parvenir"
308,18,C1,C1,B1,verbindlich,verbinden,,"to connect, to link, to join, to bandage",binding,"connecter, lier, joindre, bander",obligatoire,verbindlich,binding,obligatoire,verbinden,"to connect, to link, to join, to bandage","connecter, lier, joindre, bander"
309,18,C1,C1,C1,auffällig,auffallen,,"to stand out, to catch someone's eye (with dative)",noticeable,"se démarquer, attirer l'attention (avec le datif)",perceptible,auffällig,noticeable,perceptible,auffallen,"to stand out, to catch someone's eye (with dative)","se démarquer, attirer l'attention (avec le datif)"
310,18,C1,C1,B1,spürbar,spüren,,"to feel, to sense, to perceive",noticeable,"sentir, pressentir, percevoir",visible,spürbar,noticeable,visible,spüren,"to feel, to sense, to perceive","sentir, pressentir, percevoir"
311,18,C1,C1,A2,unverändert,verändern,,"to alter, to change something",unchanged,"modifier, changer quelque chose",inchangé,unverändert,unchanged,inchangé,verändern,"to alter, to change something","modifier, changer quelque chose"
312,18,C1,C1,A2,verändert,verändern,,"to alter, to change something",changed,"modifier, changer quelque chose",modifié,verändert,changed,modifié,verändern,"to alter, to change something","modifier, changer quelque chose"
313,18,C1,C1,B2,flüssig,fließen,,"to flow, to run",fluid,"couler, courir",fluide,flüssig,fluid,fluide,fließen,"to flow, to run","couler, courir"
314,18,C1,C1,A2,unerwartet,erwarten,,"to expect, to await",unexpected,s'attendre à,inattendu,unerwartet,unexpected,inattendu,erwarten,"to expect, to await",s'attendre à
315,18,C1,C1,A1,süchtig,suchen,,"to seek, to search",addictive,"chercher, rechercher","accro, addict",süchtig,addictive,"accro, addict",suchen,"to seek, to search","chercher, rechercher"
316,18,C1,C1,B1,vertraut,vertrauen,,to trust,trusted,faire confiance,"de confiance, familier",vertraut,trusted,"de confiance, familier",vertrauen,to trust,faire confiance
317,18,C1,C1,B2,geeignet,eignen,,"to be suitable, to be appropriate",suitable,"être convenable, être approprié",approprié,geeignet,suitable,approprié,eignen,"to be suitable, to be appropriate","être convenable, être approprié"
318,18,C1,C1,B2,ungeeignet,eignen,,"to be suitable, to be appropriate",unsuitable,"être convenable, être approprié",inapproprié,ungeeignet,unsuitable,inapproprié,eignen,"to be suitable, to be appropriate","être convenable, être approprié"
319,18,C1,C1,C1,belastbar,belasten,,"to burden, to charge, to strain",durable,"charger, accabler, mettre à rude épreuve",durable,belastbar,durable,durable,belasten,"to burden, to charge, to strain","charger, accabler, mettre à rude épreuve"
320,18,C1,C1,B1,entspannt,entspannen,,"to relax, to unwind",relaxed,"se détendre, se relaxer",détendu,entspannt,relaxed,détendu,entspannen,"to relax, to unwind","se détendre, se relaxer"
321,19,C1,C1,C1,langweilen,gelangweilt,,bored,"to bore, to be bored, to be boring",ennuyé,"s'ennuyer, être ennuyé, être ennuyeux",gelangweilt,bored,ennuyé,langweilen,"to bore, to be bored, to be boring","s'ennuyer, être ennuyé, être ennuyeux"
322,19,C1,C1,A1,verlieren,verloren,,lost,to lose,perdu,perdre,verloren,lost,perdu,verlieren,to lose,perdre
323,19,C1,C1,A1,regnen,regnerisch,,rainy,to rain,pluvieux,pleuvoir,regnerisch,rainy,pluvieux,regnen,to rain,pleuvoir
324,19,C1,C1,A2,erlauben,erlaubt,,allowed,"to allow, to permit",autorisé,"permettre, donner l'autorisation",erlaubt,allowed,autorisé,erlauben,"to allow, to permit","permettre, donner l'autorisation"
325,19,C1,C1,B1,berücksichtigen,rücksichtslos,,reckless,"to consider, to take into account",téméraire,"considérer, prendre en compte",rücksichtslos,reckless,téméraire,berücksichtigen,"to consider, to take into account","considérer, prendre en compte"
326,19,C1,C1,B1,berücksichtigen,rücksichtsvoll,,considerate,"to consider, to take into account",prévenant,"considérer, prendre en compte",rücksichtsvoll,considerate,prévenant,berücksichtigen,"to consider, to take into account","considérer, prendre en compte"
327,19,C1,C1,C1,anstellen,angestellt,,employed,"to queue (refl.), to employ someone, to hire, to get into mischief",employé,"faire la queue (réfl.), employer quelqu'un, faire des bêtises",angestellt,employed,employé,anstellen,"to queue (refl.), to employ someone, to hire, to get into mischief","faire la queue (réfl.), employer quelqu'un, faire des bêtises"
328,19,C1,C1,A1,tragen,tragfähig,,viable,"to wear (clothing), to carry, to hold",viable,"porter (des vêtements), transporter, tenir",tragfähig,viable,viable,tragen,"to wear (clothing), to carry, to hold","porter (des vêtements), transporter, tenir"
329,19,C1,C1,B1,vertrauen,vertraulich,,confidential,to trust,confidentiel,faire confiance,vertraulich,confidential,confidentiel,vertrauen,to trust,faire confiance
330,19,C1,C1,C1,widersprechen,widersprüchlich,,contradictory,"to contradict, to disagree",contradictoire,"contredire, être en désaccord",widersprüchlich,contradictory,contradictoire,widersprechen,"to contradict, to disagree","contredire, être en désaccord"
331,19,C1,C1,C1,anschauen,anschaulich,,vivid,"to look at, to behold, to take a look at, to watch (Bayern and Austria)",vif,"regarder, contempler, jeter un coup d'œil à, observer (Bayern et Autriche)",anschaulich,vivid,vif,anschauen,"to look at, to behold, to take a look at, to watch (Bayern and Austria)","regarder, contempler, jeter un coup d'œil à, observer (Bayern et Autriche)"
332,19,C1,C1,C1,ansprechen,anspruchsvoll,,demanding,"to address, to speak to, to appeal to",exigeant,"s'adresser à, parler à, faire appel à",anspruchsvoll,demanding,exigeant,ansprechen,"to address, to speak to, to appeal to","s'adresser à, parler à, faire appel à"
333,19,C1,C1,C1,anwenden,anwendbar,,applicable,"to apply, to make use of",en vigueur,"appliquer, faire usage de",anwendbar,applicable,en vigueur,anwenden,"to apply, to make use of","appliquer, faire usage de"
334,20,C1,C1,C1,gelangweilt,langweilen,,"to bore, to be bored, to be boring",bored,"s'ennuyer, être ennuyé, être ennuyeux",ennuyé,gelangweilt,bored,ennuyé,langweilen,"to bore, to be bored, to be boring","s'ennuyer, être ennuyé, être ennuyeux"
335,20,C1,C1,A1,verloren,verlieren,,to lose,lost,perdre,perdu,verloren,lost,perdu,verlieren,to lose,perdre
336,20,C1,C1,A1,regnerisch,regnen,,to rain,rainy,pleuvoir,pluvieux,regnerisch,rainy,pluvieux,regnen,to rain,pleuvoir
337,20,C1,C1,A2,erlaubt,erlauben,,"to allow, to permit",allowed,"permettre, donner l'autorisation",autorisé,erlaubt,allowed,autorisé,erlauben,"to allow, to permit","permettre, donner l'autorisation"
338,20,C1,C1,B1,rücksichtslos,berücksichtigen,,"to consider, to take into account",reckless,"considérer, prendre en compte",téméraire,rücksichtslos,reckless,téméraire,berücksichtigen,"to consider, to take into account","considérer, prendre en compte"
339,20,C1,C1,B1,rücksichtsvoll,berücksichtigen,,"to consider, to take into account",considerate,"considérer, prendre en compte",prévenant,rücksichtsvoll,considerate,prévenant,berücksichtigen,"to consider, to take into account","considérer, prendre en compte"
340,20,C1,C1,C1,angestellt,anstellen,,"to queue (refl.), to employ someone, to hire, to get into mischief",employed,"faire la queue (réfl.), employer quelqu'un, faire des bêtises",employé,angestellt,employed,employé,anstellen,"to queue (refl.), to employ someone, to hire, to get into mischief","faire la queue (réfl.), employer quelqu'un, faire des bêtises"
341,20,C1,C1,A1,tragfähig,tragen,,"to wear (clothing), to carry, to hold",viable,"porter (des vêtements), transporter, tenir",viable,tragfähig,viable,viable,tragen,"to wear (clothing), to carry, to hold","porter (des vêtements), transporter, tenir"
342,20,C1,C1,B1,vertraulich,vertrauen,,to trust,confidential,faire confiance,confidentiel,vertraulich,confidential,confidentiel,vertrauen,to trust,faire confiance
343,20,C1,C1,C1,widersprüchlich,widersprechen,,"to contradict, to disagree",contradictory,"contredire, être en désaccord",contradictoire,widersprüchlich,contradictory,contradictoire,widersprechen,"to contradict, to disagree","contredire, être en désaccord"
344,20,C1,C1,C1,anschaulich,anschauen,,"to look at, to behold, to take a look at, to watch (Bayern and Austria)",vivid,"regarder, contempler, jeter un coup d'œil à, observer (Bayern et Autriche)",vif,anschaulich,vivid,vif,anschauen,"to look at, to behold, to take a look at, to watch (Bayern and Austria)","regarder, contempler, jeter un coup d'œil à, observer (Bayern et Autriche)"
345,20,C1,C1,C1,anspruchsvoll,ansprechen,,"to address, to speak to, to appeal to",demanding,"s'adresser à, parler à, faire appel à",exigeant,anspruchsvoll,demanding,exigeant,ansprechen,"to address, to speak to, to appeal to","s'adresser à, parler à, faire appel à"
346,20,C1,C1,C1,anwendbar,anwenden,,"to apply, to make use of",applicable,"appliquer, faire usage de",en vigueur,anwendbar,applicable,en vigueur,anwenden,"to apply, to make use of","appliquer, faire usage de"
347,121,C2,A1,C2,,,,,,,,frei,free,libre,freien,,
348,121,C2,A1,C2,,,,,,,,schmutzig,dirty,sale,verschmutzen,to pollute,"polluer, salir"
349,121,C2,A2,C2,,,,,,,,schwer,heavy,lourd,beschweren,"to complain, to weigh down","se plaindre, alourdir"
350,121,C2,A2,C2,,,,,,,,breit,wide,large,breiten,,
351,121,C2,A2,C2,,,,,,,,ähnlich,similar,similaire,ähneln,,
352,121,C2,A2,C2,,,,,,,,kühl,cool,"frais, froid",kühlen,,
353,121,C2,B1,C2,,,,,,,,gefährlich,dangerous,dangereux,gefährden,to endanger,mettre en danger
354,121,C2,B1,C2,,,,,,,,beruflich,professional,professionnel,berufen,,
355,121,C2,B1,C2,,,,,,,,kaputt,broken,cassé,kaputtgehen,,
356,121,C2,B1,C2,,,,,,,,verschieden,"different, various","divers, différent",verscheiden,"to decease, to die, to pass away",
357,121,C2,B1,C2,,,,,,,,zuständig,responsible,responsable,zustehen,"to be entitled to, to to be due","avoir droit à, être dû"
358,121,C2,B2,C2,,,,,,,,zukünftig,future,futur,zukommen,,
359,121,C2,B2,C2,,,,,,,,dicht,dense,dense,dichten,,
360,121,C2,B2,C2,,,,,,,,giftig,toxic,toxique,vergiften,to poison,empoisonner
361,121,C2,B2,C2,,,,,,,,durstig,thirsty,assoiffé,dürsten,,
362,121,C2,B2,C2,,,,,,,,eilig,hurry,"pressé, urgent",eilen,"to hurry, to rush, to be urgent, to haste","se dépêcher, se hâter, être urgent"
363,121,C2,B2,C2,,,,,,,,kompliziert,complicated,compliqué,komplizieren,,
364,121,C2,B2,C2,,,,,,,,anstrengend,exhausting,épuisant,anstrengen,"to exert, to strain, to make an effort, to apply","exercer, se démener, faire un effort, appliquer"
365,121,C2,B2,C2,,,,,,,,ausgezeichnet,"excellent, distinguished","excellent, distingué",auszeichnen,"to honor, to distinguish","honorer, distinguer"
366,121,C2,B2,C2,,,,,,,,stabil,stable,stable,stabilisieren,,
367,121,C2,B2,C2,,,,,,,,reif,"mature, ripe",mûr,reifen,,
368,121,C2,C1,C2,,,,,,,,einheitlich,uniform,uniforme,einen,,
369,121,C2,C1,C2,,,,,,,,zugänglich,accessible,accessible,zugehen,"to approach, to close, to happen","s'approcher, se fermer, se produire"
370,121,C2,C1,C2,,,,,,,,verständlich,understandable,compréhensible,verständigen,,
371,121,C2,C1,C2,,,,,,,,knackig,crisp,croustillant,knacken,,
372,121,C2,C1,C2,,,,,,,,vereinbar,compatible,compatible,vereinen,,
373,121,C2,C1,C2,,,,,,,,absichtlich,deliberate,intentionnel,absehen,"to foresee, to overlook, to disregard","prévoir, négliger"
374,121,C2,C1,C2,,,,,,,,motiviert,motivated,motivé,motivieren,"to motivate, to give reasons, to inspire","motiver, donner des raisons, inspirer"
375,121,C2,C1,C2,,,,,,,,zweifellos,doubtless,indubitable,zweifeln,"to doubt, to question","douter, remettre en question"
376,121,C2,C1,C2,,,,,,,,zweifelhaft,doubtful,douteux,zweifeln,"to doubt, to question","douter, remettre en question"
377,121,C2,C1,C2,,,,,,,,experimentell,experimental,expérimental,experimentieren,to experiment,expérimenter
378,121,C2,C1,C2,,,,,,,,hervorragend,terrific,formidable,hervorragen,,
379,121,C2,C1,C2,,,,,,,,verlegen,embarrassed,gêné,verlegen,,
380,121,C2,C1,C2,,,,,,,,ahnungslos,unsuspecting,sans méfiance,ahnen,,
381,121,C2,C1,C2,,,,,,,,ersichtlich,evident,évident,ersehen,,
382,151,D1,B1,D1,offenbar,offenbaren,,,"obvious, evident",,évident,offenbar,"obvious, evident",évident,offenbaren,,
383,151,D1,A1,D1,,,,,,,,alt,old,vieux,altern,to age,vieillir
384,151,D1,A1,D1,,,,,,,,neu,new,nouveau,erneuern,,
385,151,D1,A1,D1,,,,,,,,schwierig,difficult,difficile,erschweren,to burden,accabler
386,151,D1,A1,D1,,,,,,,,klein,small,petit,verkleinern,to reduce,réduire
387,151,D1,A1,D1,,,,,,,,schlecht,bad,mauvais,verschlechtern,to worsen,s'aggraver
388,151,D1,A1,D1,,,,,,,,kurz,short,court,verkürzen,to shorten,raccourcir
389,151,D1,A1,D1,,,,,,,,heiß,hot,chaud,erhitzen,,
390,151,D1,A1,D1,,,,,,,,reich,rich,riche,bereichern,,
391,151,D1,A1,D1,,,,,,,,sauber,clean,propre,säubern,to clean,nettoyer
392,151,D1,A2,D1,,,,,,,,krank,sick,malade,erkranken,,
393,151,D1,A2,D1,,,,,,,,fertig,finished,fini,fertigen,,
394,151,D1,A2,D1,,,,,,,,leer,empty,vide,leeren,to empty,vider
395,151,D1,A2,D1,,,,,,,,eng,"tight, narrow","étroit, serré",engen,,
396,151,D1,A2,D1,,,,,,,,zufrieden,satisfied,satisfait,befriedigen,,
397,151,D1,A2,D1,,,,,,,,hart,"hard, tough",dur,härten,to harden,durcir
398,151,D1,A2,D1,,,,,,,,schrecklich,terrible,terrible,schrecken,,
399,151,D1,A2,D1,,,,,,,,warm,warm,"chaud, doux",wärmen,,
400,151,D1,A2,D1,,,,,,,,warm,warm,"chaud, doux",erwärmen,to warm,réchauffer
401,151,D1,A2,D1,,,,,,,,kühl,cool,"frais, froid",abkühlen,to cool down,pour se rafraîchir
402,151,D1,A2,D1,,,,,,,,freundlich,friendly,amical,befreunden,to befriend (refl.),se lier d'amitié (réfl.)
403,151,D1,A2,D1,,,,,,,,scharf,spicy,épicé,schärfen,,
404,151,D1,B1,D1,,,,,,,,offenbar,"obvious, evident",évident,offenbaren,,
405,151,D1,B1,D1,,,,,,,,nervös,nervous,nerveux,nerven,"to annoy someone, to get on someone's nerves","ennuyer quelqu'un, taper sur les nerfs de quelqu'un"
406,151,D1,B1,D1,,,,,,,,kaputt,broken,cassé,kaputtmachen,,
407,151,D1,B1,D1,,,,,,,,mutig,courageous,courageux,ermutigen,,
408,151,D1,B1,D1,,,,,,,,verheiratet,married,marié,verheiraten,"to marry (to perform the marriage), to get married (refl.)","se marier (célébrer le mariage), se marier (réfl.)"
409,151,D1,B1,D1,,,,,,,,günstig,cheap,bon marché,begünstigen,,
410,151,D1,B2,D1,,,,,,,,sinnvoll,sensible,sensible,besinnen,,
411,151,D1,B2,D1,,,,,,,,unsicher,unsure,incertain,verunsichern,,
412,151,D1,B2,D1,,,,,,,,wirtschaftlich,economic,économique,erwirtschaften,,
413,151,D1,B2,D1,,,,,,,,unbedingt,"absolute, unconditional","inconditionnel, absolu",bedingen,,
414,151,D1,B2,D1,,,,,,,,harmlos,harmless,inoffensif,verharmlosen,,
415,151,D1,B2,D1,,,,,,,,glatt,"smooth, slippery",lisse,glätten,,
416,151,D1,B2,D1,,,,,,,,beliebt,popular,populaire,belieben,,
417,151,D1,B2,D1,,,,,,,,bescheiden,modest,modeste,bescheiden,,
418,151,D1,B2,D1,,,,,,,,fein,"fine, refined","fin, raffiné",verfeinern,,
419,151,D1,B2,D1,,,,,,,,schlank,thin,mince,schlingen,,
420,151,D1,B2,D1,,,,,,,,vollständig,"whole, entire, complete","entier, complet",vervollständigen,,
421,151,D1,C1,D1,,,,,,,,gespannt,tense,tendu,spannen,,
422,151,D1,C1,D1,,,,,,,,verdächtig,suspicious,suspect,verdächtigen,,
423,151,D1,C1,D1,,,,,,,,blind,blind,aveugle,blenden,,
424,151,D1,C1,D1,,,,,,,,gar,"cooked, done, refined","bien cuit, à point",garen,,
425,151,D1,C1,D1,,,,,,,,schief,crooked,"oblique, de travers",schiefgehen,to go wrong,aller mal
426,151,D1,C1,D1,,,,,,,,spezifisch,specific,spécifique,spezifizieren,,
427,151,D1,C1,D1,,,,,,,,erstaunlich,astonishing,étonnant,erstaunen,,
428,151,D1,C1,D1,,,,,,,,mangelhaft,deficient,inadéquat,mangeln,,
429,151,D1,C1,D1,,,,,,,,mangelhaft,deficient,inadéquat,bemängeln,,
430,151,D1,C1,D1,,,,,,,,strafbar,punishable,punissable,strafen,,
431,151,D1,C1,D1,,,,,,,,gestresst,stressed,stressé,stressen,,
432,151,D1,C1,D1,,,,,,,,erneuerbar,renewable,renouvelable,erneuern,,
433,151,D1,C1,D1,,,,,,,,locker,relaxed,lâche,lockern,,
434,151,D1,C1,D1,,,,,,,,beliebig,"any, whichever","n'importe quel, quelconque",belieben,,
435,151,D1,C1,D1,,,,,,,,aufwendig,elaborate,élaborer,aufwenden,,
436,151,D1,C1,D1,,,,,,,,flüchtig,volatile,volatil,flüchten,,
437,151,D1,C1,D1,,,,,,,,spannend,exciting,passionnant,spannen,,
438,151,D1,C1,D1,,,,,,,,reibungslos,Smoothly,Doucement,reiben,,
439,151,D1,C1,D1,,,,,,,,ansteckend,contagious,contagieux,anstecken,,
440,151,D1,C1,D1,,,,,,,,hemmungslos,uninhibited,sans inhibition,hemmen,,
441,151,D1,C1,D1,,,,,,,,nachlässig,negligent,négligent,vernachlässigen,,
442,171,D2,A1,D2,,,,,,,,jung,young,jeune,verjüngen,,
443,171,D2,A1,D2,,,,,,,,falsch,"false, wrong",faux,fälschen,,
444,171,D2,A1,D2,,,,,,,,niedrig,low,bas,erniedrigen,,
445,171,D2,A1,D2,,,,,,,,wahr,true,vrai,wahrhaben,,
446,171,D2,A1,D2,,,,,,,,wahr,true,vrai,wahrsagen,,
447,171,D2,A1,D2,,,,,,,,kalt,cold,froid,erkalten,,
448,171,D2,A1,D2,,,,,,,,sauber,clean,propre,saubermachen,,
449,171,D2,A1,D2,,,,,,,,müde,tired,fatigué,ermüden,,
450,171,D2,A1,D2,,,,,,,,dumm,stupid,stupide,verdummen,,
451,171,D2,A1,D2,,,,,,,,schwach,weak,faible,schwächeln,,
452,171,D2,A2,D2,,,,,,,,dunkel,dark,sombre,dunkeln,,
453,171,D2,A2,D2,,,,,,,,weich,soft,doux,erweichen,,
454,171,D2,A2,D2,,,,,,,,dünn,thin,mince,verdünnen,,
455,171,D2,A2,D2,,,,,,,,faul,lazy,paresseux,faulen,,
456,171,D2,A2,D2,,,,,,,,bewölkt,cloudy,nuageux,bewölken,,
457,171,D2,A2,D2,,,,,,,,bitter,bitter,amer,verbittern,,
458,171,D2,A2,D2,,,,,,,,süß,sweet,sucré,süßen,,
459,171,D2,A2,D2,,,,,,,,sauer,sour,aigre,säuern,,
460,171,D2,B1,D2,,,,,,,,notwendig,necessary,nécessaire,notwenden,,
461,171,D2,B1,D2,,,,,,,,zusätzlich,additional,supplémentaire,zusetzen,,
462,171,D2,B1,D2,,,,,,,,willkommen,welcome,accueilli,bewillkommnen,,
463,171,D2,B1,D2,,,,,,,,fremd,foreign,étranger,verfremden,,
464,171,D2,B1,D2,,,,,,,,fremd,foreign,étranger,befremden,,
465,171,D2,B1,D2,,,,,,,,fremd,foreign,étranger,entfremden,,
466,171,D2,B1,D2,,,,,,,,aufmerksam,attentive,attentif,aufmerken,to pay attention,faire attention
467,171,D2,B1,D2,,,,,,,,schwanger,pregnant,enceinte,schwängern,,
468,171,D2,B1,D2,,,,,,,,fett,fat,gras,fetten,,
469,171,D2,B1,D2,,,,,,,,fett,fat,gras,einfetten,,
470,171,D2,B1,D2,,,,,,,,günstig,cheap,bon marché,vergünstigen,,
471,171,D2,B1,D2,,,,,,,,schlimm,bad,mauvais,verschlimmern,,
472,171,D2,B1,D2,,,,,,,,schlimm,bad,mauvais,verschlimmbessern,,
473,171,D2,B1,D2,,,,,,,,schmal,"tight, narrow","étroit, serré",schmälern,,
474,171,D2,B1,D2,,,,,,,,blöd,stupid,stupide,blödeln,,
475,171,D2,B2,D2,,,,,,,,perfekt,perfect,parfait,perfektionieren,,
