Nr,exercise,level,level_adjektive,level_noun,question,answer,german,english,root_english,french,root_french,adjective_german,adjective_english,adjective_french,noun_german,noun_english,noun_french,gender_english,gender_french
336,101,C1,A2,C1,die Fertigung,fertig,,finished,the manufacturing,fini,la fabrication,fertig,finished,fini,die Fertigung,the manufacturing,la fabrication,,
337,101,C1,A2,C1,die Aktualität,aktuell,,current,the topicality,actuel,l'actualité,aktuell,current,actuel,die Aktualität,the topicality,l'actualité,,
338,101,C1,A2,C1,die Leere,leer,,empty,the emptiness,vide,le vide,leer,empty,vide,die Leere,the emptiness,le vide,,
339,101,C1,A2,C1,die Enge,eng,,"tight, narrow",the narrowness,"étroit, serré",l'étroitesse,eng,"tight, narrow","étroit, serré",die Enge,the narrowness,l'étroitesse,,
340,101,C1,A2,C1,die Härte,hart,,"hard, tough",the hardness,dur,la dureté,hart,"hard, tough",dur,die Härte,the hardness,la dureté,,
341,101,C1,A2,C1,die Häufigkeit,häufig,,frequent,the frequency,fréquent,la fréquence,häufig,frequent,fréquent,die Häufigkeit,the frequency,la fréquence,,
342,101,C1,A2,C1,die Seltenheit,selten,,rare,the rarity,rare,la rareté,selten,rare,rare,die Seltenheit,the rarity,la rareté,,
343,101,C1,A2,C1,die Ähnlichkeit,ähnlich,,similar,the similarity,similaire,la similitude,ähnlich,similar,similaire,die Ähnlichkeit,the similarity,la similitude,,
344,101,C1,A2,C1,die Süße,süß,,sweet,the sweetness,sucré,la douceur,süß,sweet,sucré,die Süße,the sweetness,la douceur,,
345,101,C1,A2,C1,die Schärfe,scharf,,spicy,the sharpness,épicé,la netteté,scharf,spicy,épicé,die Schärfe,the sharpness,la netteté,,
346,101,C1,A2,C1,die Säure,sauer,,sour,the acidity,aigre,l'acide,sauer,sour,aigre,die Säure,the acidity,l'acide,,
347,101,C1,B1,C1,die Sympathie,sympathisch,,sympathetic,the sympathy,sympathique,sympathie,sympathisch,sympathetic,sympathique,die Sympathie,the sympathy,sympathie,,
348,101,C1,B1,C1,die Genauigkeit,genau,,precise,the accuracy,précis,la précision,genau,precise,précis,die Genauigkeit,the accuracy,la précision,,
349,101,C1,B1,C1,der Zusatz,zusätzlich,,additional,the addition,supplémentaire,l'ajout,zusätzlich,additional,supplémentaire,der Zusatz,the addition,l'ajout,,
350,101,C1,B1,C1,das Weib,weiblich,,feminine,the woman,féminin,la femme,weiblich,feminine,féminin,das Weib,the woman,la femme,,
351,101,C1,B1,C1,die Gültigkeit,gültig,,valid,the validity,valide,la validité,gültig,valid,valide,die Gültigkeit,the validity,la validité,,
352,101,C1,B1,C1,die Ehrlichkeit,ehrlich,,honest,the honesty,honnête,l'honnêteté,ehrlich,honest,honnête,die Ehrlichkeit,the honesty,l'honnêteté,,
353,101,C1,B1,C1,die Pünktlichkeit,pünktlich,,punctual,the punctuality,ponctuel,la ponctualité,pünktlich,punctual,ponctuel,die Pünktlichkeit,the punctuality,la ponctualité,,
354,101,C1,B1,C1,die Neugier,neugierig,,"curious, eager",the curiosity,curieux,la curiosité,neugierig,"curious, eager",curieux,die Neugier,the curiosity,la curiosité,,
355,101,C1,B1,C1,die Heirat,verheiratet,,married,the marriage,marié,le mariage,verheiratet,married,marié,die Heirat,the marriage,le mariage,,
356,101,C1,B1,C1,die Zuständigkeit,zuständig,,responsible,the jurisdiction,responsable,la juridiction,zuständig,responsible,responsable,die Zuständigkeit,the jurisdiction,la juridiction,,
357,101,C1,B2,C1,die Treue,treu,,loyal,the loyalty,loyal,la loyauté,treu,loyal,loyal,die Treue,the loyalty,la loyauté,,
358,101,C1,B2,C1,die Dichte,dicht,,dense,the density,dense,la densité,dicht,dense,dense,die Dichte,the density,la densité,,
359,101,C1,B2,C1,die Ewigkeit,ewig,,eternal,the eternity,éternel,l'éternité,ewig,eternal,éternel,die Ewigkeit,the eternity,l'éternité,,
360,101,C1,B2,C1,die Voraussicht,voraussichtlich,,"expected, anticipated",the foresight,"prévu, anticipé",la prévoyance,voraussichtlich,"expected, anticipated","prévu, anticipé",die Voraussicht,the foresight,la prévoyance,,
361,101,C1,B2,C1,die Wache,wach,,awake,the guard,éveillé,le garde,wach,awake,éveillé,die Wache,the guard,le garde,,
362,101,C1,B2,C1,die Bekanntheit,bekannt,,known,the fame,connu,la célébrité,bekannt,known,connu,die Bekanntheit,the fame,la célébrité,,
363,101,C1,B2,C1,die Attraktivität,attraktiv,,attractive,the attractiveness,attrayant,l'attrait,attraktiv,attractive,attrayant,die Attraktivität,the attractiveness,l'attrait,,
364,101,C1,B2,C1,die Gegenseite,gegenseitig,,"mutual, reciprocal, opposite",the other side,"réciproque, mutuel",l'autre côté,gegenseitig,"mutual, reciprocal, opposite","réciproque, mutuel",die Gegenseite,the other side,l'autre côté,,
365,101,C1,B2,C1,die Verfügbarkeit,verfügbar,,"available, at hand",the availability,"disponible, accessible",la disponibilité,verfügbar,"available, at hand","disponible, accessible",die Verfügbarkeit,the availability,la disponibilité,,
366,101,C1,B2,C1,die Moral,moralisch,,moral,the morality,moral,la moralité,moralisch,moral,moral,die Moral,the morality,la moralité,,
367,101,C1,B2,C1,das Einverständnis,einverstanden,,agreed,the consent,"d'accord, en accord",le consentement,einverstanden,agreed,"d'accord, en accord",das Einverständnis,the consent,le consentement,,
368,101,C1,B2,C1,der Ehrgeiz,ehrgeizig,,ambitious,the ambition,ambitieux,l'ambition,ehrgeizig,ambitious,ambitieux,der Ehrgeiz,the ambition,l'ambition,,
369,101,C1,B2,C1,die Reife,reif,,"mature, ripe",the maturity,mûr,la maturité,reif,"mature, ripe",mûr,die Reife,the maturity,la maturité,,
370,101,C1,B2,C1,die Sorgfalt,sorgfältig,,"careful, cautious",the care,"prudent, vigilant",les soins,sorgfältig,"careful, cautious","prudent, vigilant",die Sorgfalt,the care,les soins,,
371,101,C1,B2,C1,die Vollständigkeit,vollständig,,"whole, entire, complete",the completeness,"entier, complet",la complétude,vollständig,"whole, entire, complete","entier, complet",die Vollständigkeit,the completeness,la complétude,,
372,101,C1,B2,C1,die Feuchtigkeit,feucht,,wet,the moisture,"humide, mouillé",l'humidité,feucht,wet,"humide, mouillé",die Feuchtigkeit,the moisture,l'humidité,,
373,101,C1,C1,B2,,,,,,,,südlich,south,"au sud, du sud",der Süd,the south,le sud,,
374,101,C1,C1,B2,,,,,,,,nördlich,north,"au nord, du nord",der Nord,the north,le nord,,
375,101,C1,C1,B2,,,,,,,,östlich,east,à l'est,der Ost,the East,l'Est,,
376,101,C1,C1,B2,,,,,,,,westlich,west,à l'ouest,der West,the West,l'Ouest,,
377,101,C1,C1,A2,,,,,,,,religiös,religious,religieux,die Religion,religion,religion,,
378,101,C1,C1,A2,,,,,,,,staatlich,state,"étatique, publique",der Staat,the State,l'État,,
379,101,C1,C1,A1,,,,,,,,theoretisch,theoretical,théorique,die Theorie,the theory,la théorie,,
380,101,C1,C1,A2,,,,,,,,einheitlich,uniform,uniforme,die Einheit,the unit,l'unité,,
381,101,C1,C1,B1,,,,,,,,gespannt,tense,tendu,die Spannung,the tension,la tension,,
382,101,C1,C1,A1,,,,,,,,zeitlich,temporal,temporel,die Zeit,the time,le temps,,
383,101,C1,C1,A1,,,,,,,,tödlich,deadly,mortel,der Tod,the death,la mort,,
384,101,C1,C1,A2,,,,,,,,zugänglich,accessible,accessible,der Zugang,access,accéder,,
385,101,C1,C1,B2,,,,,,,,schade,pitiful,dommage,die Schade,the damage,les dégâts,,
386,101,C1,C1,A1,,,,,,,,wert,"worth, worthy, dear","valable, cher",der Wert,the value,la valeur,,
387,101,C1,C1,A1,,,,,,,,eckig,angular,"carré, angulaire",die Ecke,the corner,le coin,,
388,101,C1,C1,A2,,,,,,,,geistig,"mental, spiritual","mental, intellectuel",der Geist,the spirit,l'esprit,,
389,101,C1,C1,A1,,,,,,,,teilweise,partial,partiel,der Teil,the part,la partie,,
390,101,C1,C1,A2,,,,,,,,verdächtig,suspicious,suspect,der Verdacht,the suspicion,le soupçon,,
391,101,C1,C1,B2,,,,,,,,verständlich,understandable,compréhensible,der Verstand,the mind,l'esprit,,
392,101,C1,C1,A2,,,,,,,,statistisch,statistical,statistique,die Statistik,the statistics,les statistiques,,
393,101,C1,C1,A2,,,,,,,,medizinisch,medical,médical,die Medizin,medicine,médecine,,
394,101,C1,C1,B1,,,,,,,,umfangreich,extensive,extensif,der Umfang,the scope,la portée,,
395,101,C1,C1,B2,,,,,,,,dramatisch,dramatic,dramatique,das Drama,the drama,le drame,,
396,101,C1,C1,A1,,,,,,,,friedlich,peaceful,pacifique,der Frieden,peace,paix,,
397,101,C1,C1,C1,,,,,,,,logisch,logical,logique,die Logik,the logic,la logique,,
398,101,C1,C1,A1,,,,,,,,ärztlich,medical,médical,der Arzt,the doctor,le médecin,,
399,101,C1,C1,B2,,,,,,,,effizient,efficient,"efficace, efficient",die Effizienz,efficiency,efficacité,,
400,101,C1,C1,A1,,,,,,,,amtlich,official,officiel,das Amt,the Office,le Bureau,,
401,101,C1,C1,A1,,,,,,,,gesundheitlich,"health, sanitary, hygienic",sanitaire,die Gesundheit,the health,la santé,,
402,101,C1,C1,C1,,,,,,,,glaubwürdig,credible,crédible,die Glaubwürdigkeit,credibility,crédibilité,,
403,101,C1,C1,B1,,,,,,,,handwerklich,artisanal,"artisanal, manuel",das Handwerk,the craft,l'artisanat,,
404,101,C1,C1,B1,,,,,,,,handwerklich,artisanal,"artisanal, manuel",der Handwerker,the craftsman,l'artisan,,
405,101,C1,C1,C1,,,,,,,,kaufmännisch,commercial,commercial,der Kaufmann,the merchant,le marchand,,
406,101,C1,C1,B1,,,,,,,,lückenlos,gapless,"complet, sans interruption",die Lücke,the gap,l'écart,,
407,101,C1,C1,B1,,,,,,,,mangelhaft,deficient,inadéquat,der Mangel,the shortage,la pénurie,,
408,101,C1,C1,A1,,,,,,,,problemlos,without any problem,sans problème,das Problem,the problem,le problème,,
409,101,C1,C1,B1,,,,,,,,rhythmisch,rhythmic,rythmé,der Rhythmus,the rhythm,le rythme,,
410,101,C1,C1,A2,,,,,,,,vereinbar,compatible,compatible,die Vereinbarung,the agreement,l'accord,,
411,101,C1,C1,B2,,,,,,,,gleichberechtigt,equal,égal,die Gleichberechtigung,equality,égalité,,
412,101,C1,C1,B1,,,,,,,,strafbar,punishable,punissable,die Strafe,the punishment,la punition,,
413,101,C1,C1,A1,,,,,,,,ausdrücklich,explicit,"explicite, exprès",der Ausdruck,the expression,l'expression,,
414,101,C1,C1,A2,,,,,,,,dauerhaft,"permanent, lasting","durable, permanent",die Dauer,the duration,la durée,,
415,101,C1,C1,B2,,,,,,,,hauptsächlich,"primary, main",principal,die Hauptsache,the main thing,l'essentiel,,
416,101,C1,C1,B1,,,,,,,,chemisch,chemical,chimique,die Chemie,chemistry,chimie,,
417,101,C1,C1,A1,,,,,,,,künstlerisch,artistic,artistique,der Künstler,the artist,l'artiste,,
418,101,C1,C1,A2,,,,,,,,mächtig,"powerful, mighty",puissant,die Macht,the power,le pouvoir,,
419,101,C1,C1,A1,,,,,,,,räumlich,spatial,spatial,der Raum,the space,l'espace,,
420,101,C1,C1,A1,,,,,,,,sprachlich,linguistic,linguistique,die Sprache,the language,la langue,,
421,101,C1,C1,A1,,,,,,,,gewaltig,enormous,énorme,die Gewalt,the violence,la violence,,
422,101,C1,C1,A2,,,,,,,,inhaltlich,"contextual, substantial",contenu,der Inhalt,the content,le contenu,,
423,101,C1,C1,B2,,,,,,,,innovativ,innovative,novateur,die Innovation,the innovation,l'innovation,,
424,101,C1,C1,A1,,,,,,,,gelegentlich,occasional,occasionnel,die Gelegenheit,the opportunity,l'opportunité,,
425,101,C1,C1,A2,,,,,,,,strategisch,strategical,stratégique,die Strategie,the strategy,la stratégie,,
426,101,C1,C1,B2,,,,,,,,zwangsläufig,inevitable,inévitable,der Zwang,the compulsion,la compulsion,,
427,101,C1,C1,A1,,,,,,,,vertraglich,compatible,compatible,der Vertrag,the contract,le contrat,,
428,101,C1,C1,A2,,,,,,,,fähig,"capable, able",capable,die Fähigkeit,the ability,la capacité,,
429,101,C1,C1,A2,,,,,,,,abenteuerlich,adventurous,aventureux,das Abenteuer,the adventure,l'aventure,,
430,101,C1,C1,B2,,,,,,,,allergisch,allergic,allergique,die Allergie,the allergy,l'allergie,,
431,101,C1,C1,C1,,,,,,,,ambitioniert,ambitious,ambitieux,die Ambition,the ambition,l'ambition,,
432,101,C1,C1,B1,,,,,,,,chaotisch,chaotic,chaotique,das Chaos,the chaos,le chaos,,
433,101,C1,C1,A1,,,,,,,,energisch,energetic,énergique,die Energie,the energy,l'énergie,,
434,101,C1,C1,A1,,,,,,,,fehlerhaft,faulty,défectueux,der Fehler,the error,l'erreur,,
435,101,C1,C1,A2,,,,,,,,fristlos,without notice,sans préavis,die Frist,the deadline,la date limite,,
436,101,C1,C1,A1,,,,,,,,förmlich,formal,"formel, officiel",die Form,the form,la forme,,
437,101,C1,C1,C1,,,,,,,,hygienisch,hygienic,hygiénique,die Hygiene,hygiene,hygiène,,
438,101,C1,C1,A1,,,,,,,,kindlich,childlike,enfantin,das Kind,the child,l'enfant,,
439,101,C1,C1,C1,,,,,,,,korrupt,corrupt,corrompu,die Korruption,corruption,corruption,,
440,101,C1,C1,B1,,,,,,,,magisch,magical,magique,die Magie,the magic,la magie,,
441,101,C1,C1,C1,,,,,,,,mittelständisch,medium-sized,de taille moyenne,der Mittelstand,the middle class,la classe moyenne,,
442,101,C1,C1,A2,,,,,,,,modisch,stylish,élégant,die Mode,fashion,mode,,
443,101,C1,C1,A2,,,,,,,,oberflächlich,superficial,superficiel,die Oberfläche,the surface,la surface,,
444,101,C1,C1,A1,,,,,,,,stürmisch,stormy,orageux,der Sturm,the storm,la tempête,,
445,101,C1,C1,A1,,,,,,,,tierisch,"animal, beastly",animal,das Tier,the animal,l'animal,,
446,101,C1,C1,A1,,,,,,,,traumhaft,dreamy,rêveur,der Traum,the dream,le rêve,,
447,101,C1,C1,C1,,,,,,,,zuversichtlich,confident,confiant,die Zuversicht,confidence,confiance,,
448,101,C1,C1,A1,,,,,,,,zügig,quickly,rapidement,der Zug,the train,le train,,
449,101,C1,C1,A2,,,,,,,,gestresst,stressed,stressé,der Stress,the stress,le stress,,
450,101,C1,C1,B1,,,,,,,,motiviert,motivated,motivé,die Motivation,the motivation,la motivation,,
451,101,C1,C1,B2,,,,,,,,lockig,curly,bouclé,die Locke,the lock,l'écluse,,
452,101,C1,C1,A2,,,,,,,,bargeldlos,cashless,sans espèces,das Bargeld,the cash,l'argent,,
453,101,C1,C1,B2,,,,,,,,präsent,present,présent,die Präsenz,the presence,la présence,,
454,101,C1,C1,A1,,,,,,,,wirkungsvoll,effective,efficace,die Wirkung,the effect,l'effet,,
455,101,C1,C1,C1,,,,,,,,waagerecht,horizontal,horizontal,die Waage,the scale,l'échelle,,
456,101,C1,C1,A2,,,,,,,,zweifellos,doubtless,indubitable,der Zweifel,the doubt,le doute,,
457,101,C1,C1,A2,,,,,,,,zweifelhaft,doubtful,douteux,der Zweifel,the doubt,le doute,,
458,101,C1,C1,A1,,,,,,,,nämlich,very same,à savoir,der Name,the name,le nom,,
459,101,C1,C1,B2,,,,,,,,überlegen,superior,supérieur,die Überlegung,the consideration,la considération,,
460,101,C1,C1,B1,,,,,,,,experimentell,experimental,expérimental,das Experiment,the experiment,l'expérience,,
461,101,C1,C1,C1,,,,,,,,übel,"nauseous, evil",mauvais,das Übel,the evil,le mal,,
462,101,C1,C1,C1,,,,,,,,übel,"nauseous, evil",mauvais,die Übelkeit,the nausea,la nausée,,
463,101,C1,C1,B2,,,,,,,,dynamisch,dynamic,dynamique,die Dynamik,the dynamics,la dynamique,,
464,101,B2,B2,A2,,,,,,,,begeistert,enthusiastic,enthousiaste,der Geist,the spirit,l'esprit,,
465,101,C1,C1,C1,,,,,,,,pädagogisch,educational,pédagogique,der Pädagoge,the educator,l'éducateur,,
466,101,C1,C1,A2,,,,,,,,restlich,remaining,restant,der Rest,the rest,le reste,,
467,101,C1,C1,A1,,,,,,,,kirchlich,ecclesiastical,ecclésiastique,die Kirche,the church,l'église,,
468,101,C1,C1,A1,,,,,,,,bürgerlich,civil,civil,der Bürger,the citizen,le citoyen,,
469,101,C1,C1,B1,,,,,,,,mühsam,tedious,fastidieux,die Mühe,the effort,l'effort,,
470,101,C1,C1,A1,,,,,,,,qualitativ,qualitativ,qualitatif,die Qualität,the quality,la qualité,,
471,101,C1,C1,B1,,,,,,,,landwirtschaftlich,agricultural,agricole,die Landwirtschaft,agriculture,agriculture,,
472,101,C1,C1,A1,,,,,,,,steuerlich,tax,impôt,die Steuer,the tax,l'impôt,,
473,101,C1,C1,C1,,,,,,,,nachträglich,retrospective,rétrospectif,der Nachtrag,the addendum,l'addendum,,
474,101,C1,C1,A1,,,,,,,,schulisch,scholar,scolaire,die Schule,the school,l'école,,
475,101,C1,C1,B1,,,,,,,,wurscht,irrelevant,égal,die Wurst,the sausage,la saucisse,,
476,101,C1,C1,B2,,,,,,,,süchtig,addictive,"accro, addict",die Sucht,the addiction,la dépendance,,
477,101,C1,C1,A2,,,,,,,,wettbewerbsfähig,competitive,compétitif,der Wettbewerb,the competition,la compétition,,
478,101,C1,C1,B2,,,,,,,,entspannt,relaxed,détendu,die Entspannung,relaxation,relaxation,,
479,101,C1,C1,C1,,,,,,,,kalorienarm,low-calorie,faible en calories,die Kalorie,the calorie,la calorie,,
480,101,C1,C1,C1,,,,,,,,kalorienreich,high in calories,riche en calories,die Kalorie,the calorie,la calorie,,
481,101,C1,C1,A1,,,,,,,,regnerisch,rainy,pluvieux,der Regen,the rain,la pluie,,
482,101,C1,C1,B2,,,,,,,,ekelhaft,disgusting,dégoûtant,der Ekel,disgust,dégoût,,
483,101,C1,C1,B2,,,,,,,,eklig,disgusting,dégoûtant,der Ekel,disgust,dégoût,,
484,101,C1,C1,A1,,,,,,,,gefühlvoll,emotional,émotionnel,das Gefühl,the feeling,le sentiment,,
485,101,C1,C1,A1,,,,,,,,kindisch,childish,puéril,das Kind,the child,l'enfant,,
486,101,C1,C1,B1,,,,,,,,launisch,moody,lunatique,die Laune,the mood,l'humeur,,
487,101,C1,C1,C1,,,,,,,,rebellisch,rebellious,rebelle,der Rebell,the rebel,le rebelle,,
488,101,C1,C1,B1,,,,,,,,rücksichtslos,reckless,téméraire,die Rücksicht,the consideration,la considération,,
489,101,C1,C1,B1,,,,,,,,rücksichtsvoll,considerate,prévenant,die Rücksicht,the consideration,la considération,,
490,101,C1,C1,C1,,,,,,,,spöttisch,mocking,railleur,der Spott,the mockery,la moquerie,,
491,101,C1,C1,B2,,,,,,,,angestellt,employed,employé,die Anstellung,the employment,l'emploi,,
492,101,C1,C1,A2,,,,,,,,wolkig,cloudy,nuageux,die Wolke,the cloud,le nuage,,
493,101,C1,C1,B1,,,,,,,,ahnungslos,unsuspecting,sans méfiance,die Ahnung,the feeling,le sentiment,,
494,101,C1,C1,A1,,,,,,,,vorteilhaft,advantageous,avantageux,der Vorteil,the advantage,l'avantage,,
495,101,C1,C1,B1,,,,,,,,widersprüchlich,contradictory,contradictoire,der Widerspruch,the contradiction,la contradiction,,
496,101,C1,C1,A2,,,,,,,,anspruchsvoll,demanding,exigeant,der Anspruch,the claim,la réclamation,,
497,101,C1,C1,B1,,,,,,,,absichtlich,deliberate,intentionnel,die Absicht,the intention,l'intention,,
498,101,C1,C1,B2,,,,,,,,südlich,south,"au sud, du sud",der Süd,the south,le sud,,
499,101,C1,C1,B2,,,,,,,,nördlich,north,"au nord, du nord",der Nord,the north,le nord,,
500,101,C1,C1,B2,,,,,,,,östlich,east,à l'est,der Ost,the East,l'Est,,
501,101,C1,C1,B2,,,,,,,,westlich,west,à l'ouest,der West,the West,l'Ouest,,
502,101,C1,C1,A2,,,,,,,,religiös,religious,religieux,die Religion,religion,religion,,
503,101,C1,C1,A2,,,,,,,,staatlich,state,"étatique, publique",der Staat,the State,l'État,,
504,101,C1,C1,A1,,,,,,,,theoretisch,theoretical,théorique,die Theorie,the theory,la théorie,,
505,101,C1,C1,A2,,,,,,,,einheitlich,uniform,uniforme,die Einheit,the unit,l'unité,,
506,101,C1,C1,B1,,,,,,,,gespannt,tense,tendu,die Spannung,the tension,la tension,,
507,101,C1,C1,A1,,,,,,,,zeitlich,temporal,temporel,die Zeit,the time,le temps,,
508,101,C1,C1,A1,,,,,,,,tödlich,deadly,mortel,der Tod,the death,la mort,,
509,101,C1,C1,A2,,,,,,,,zugänglich,accessible,accessible,der Zugang,access,accéder,,
510,101,C1,C1,B2,,,,,,,,schade,pitiful,dommage,die Schade,the damage,les dégâts,,
511,101,C1,C1,A1,,,,,,,,wert,"worth, worthy, dear","valable, cher",der Wert,the value,la valeur,,
512,101,C1,C1,A1,,,,,,,,eckig,angular,"carré, angulaire",die Ecke,the corner,le coin,,
513,101,C1,C1,A2,,,,,,,,geistig,"mental, spiritual","mental, intellectuel",der Geist,the spirit,l'esprit,,
514,101,C1,C1,A1,,,,,,,,teilweise,partial,partiel,der Teil,the part,la partie,,
515,101,C1,C1,A2,,,,,,,,verdächtig,suspicious,suspect,der Verdacht,the suspicion,le soupçon,,
516,101,C1,C1,B2,,,,,,,,verständlich,understandable,compréhensible,der Verstand,the mind,l'esprit,,
517,101,C1,C1,A2,,,,,,,,statistisch,statistical,statistique,die Statistik,the statistics,les statistiques,,
518,101,C1,C1,A2,,,,,,,,medizinisch,medical,médical,die Medizin,medicine,médecine,,
519,101,C1,C1,B1,,,,,,,,umfangreich,extensive,extensif,der Umfang,the scope,la portée,,
520,101,C1,C1,B2,,,,,,,,dramatisch,dramatic,dramatique,das Drama,the drama,le drame,,
521,101,C1,C1,A1,,,,,,,,friedlich,peaceful,pacifique,der Frieden,peace,paix,,
522,101,C1,C1,C1,,,,,,,,logisch,logical,logique,die Logik,the logic,la logique,,
523,101,C1,C1,A1,,,,,,,,ärztlich,medical,médical,der Arzt,the doctor,le médecin,,
524,101,C1,C1,B2,,,,,,,,effizient,efficient,"efficace, efficient",die Effizienz,efficiency,efficacité,,
525,101,C1,C1,A1,,,,,,,,amtlich,official,officiel,das Amt,the Office,le Bureau,,
526,101,C1,C1,A1,,,,,,,,gesundheitlich,"health, sanitary, hygienic",sanitaire,die Gesundheit,the health,la santé,,
527,101,C1,C1,C1,,,,,,,,glaubwürdig,credible,crédible,die Glaubwürdigkeit,credibility,crédibilité,,
528,101,C1,C1,B1,,,,,,,,handwerklich,artisanal,"artisanal, manuel",das Handwerk,the craft,l'artisanat,,
529,101,C1,C1,B1,,,,,,,,handwerklich,artisanal,"artisanal, manuel",der Handwerker,the craftsman,l'artisan,,
530,101,C1,C1,C1,,,,,,,,kaufmännisch,commercial,commercial,der Kaufmann,the merchant,le marchand,,
531,101,C1,C1,B1,,,,,,,,lückenlos,gapless,"complet, sans interruption",die Lücke,the gap,l'écart,,
532,101,C1,C1,B1,,,,,,,,mangelhaft,deficient,inadéquat,der Mangel,the shortage,la pénurie,,
533,101,C1,C1,A1,,,,,,,,problemlos,without any problem,sans problème,das Problem,the problem,le problème,,
534,101,C1,C1,B1,,,,,,,,rhythmisch,rhythmic,rythmé,der Rhythmus,the rhythm,le rythme,,
535,101,C1,C1,A2,,,,,,,,vereinbar,compatible,compatible,die Vereinbarung,the agreement,l'accord,,
536,101,C1,C1,B2,,,,,,,,gleichberechtigt,equal,égal,die Gleichberechtigung,equality,égalité,,
537,101,C1,C1,B1,,,,,,,,strafbar,punishable,punissable,die Strafe,the punishment,la punition,,
538,101,C1,C1,A1,,,,,,,,ausdrücklich,explicit,"explicite, exprès",der Ausdruck,the expression,l'expression,,
539,101,C1,C1,A2,,,,,,,,dauerhaft,"permanent, lasting","durable, permanent",die Dauer,the duration,la durée,,
540,101,C1,C1,B2,,,,,,,,hauptsächlich,"primary, main",principal,die Hauptsache,the main thing,l'essentiel,,
541,101,C1,C1,B1,,,,,,,,chemisch,chemical,chimique,die Chemie,chemistry,chimie,,
542,101,C1,C1,A1,,,,,,,,künstlerisch,artistic,artistique,der Künstler,the artist,l'artiste,,
543,101,C1,C1,A2,,,,,,,,mächtig,"powerful, mighty",puissant,die Macht,the power,le pouvoir,,
544,101,C1,C1,A1,,,,,,,,räumlich,spatial,spatial,der Raum,the space,l'espace,,
545,101,C1,C1,A1,,,,,,,,sprachlich,linguistic,linguistique,die Sprache,the language,la langue,,
546,101,C1,C1,A1,,,,,,,,gewaltig,enormous,énorme,die Gewalt,the violence,la violence,,
547,101,C1,C1,A2,,,,,,,,inhaltlich,"contextual, substantial",contenu,der Inhalt,the content,le contenu,,
548,101,C1,C1,B2,,,,,,,,innovativ,innovative,novateur,die Innovation,the innovation,l'innovation,,
549,101,C1,C1,A1,,,,,,,,gelegentlich,occasional,occasionnel,die Gelegenheit,the opportunity,l'opportunité,,
550,101,C1,C1,A2,,,,,,,,strategisch,strategical,stratégique,die Strategie,the strategy,la stratégie,,
551,101,C1,C1,B2,,,,,,,,zwangsläufig,inevitable,inévitable,der Zwang,the compulsion,la compulsion,,
552,101,C1,C1,A1,,,,,,,,vertraglich,compatible,compatible,der Vertrag,the contract,le contrat,,
553,101,C1,C1,A2,,,,,,,,fähig,"capable, able",capable,die Fähigkeit,the ability,la capacité,,
554,101,C1,C1,A2,,,,,,,,abenteuerlich,adventurous,aventureux,das Abenteuer,the adventure,l'aventure,,
555,101,C1,C1,B1,,,,,,,,absichtlich,deliberate,intentionnel,die Absicht,the intention,l'intention,,
556,101,C1,C1,B2,,,,,,,,allergisch,allergic,allergique,die Allergie,the allergy,l'allergie,,
557,101,C1,C1,C1,,,,,,,,ambitioniert,ambitious,ambitieux,die Ambition,the ambition,l'ambition,,
558,101,C1,C1,B1,,,,,,,,chaotisch,chaotic,chaotique,das Chaos,the chaos,le chaos,,
559,101,C1,C1,A1,,,,,,,,energisch,energetic,énergique,die Energie,the energy,l'énergie,,
560,101,C1,C1,A1,,,,,,,,fehlerhaft,faulty,défectueux,der Fehler,the error,l'erreur,,
561,101,C1,C1,A2,,,,,,,,fristlos,without notice,sans préavis,die Frist,the deadline,la date limite,,
562,101,C1,C1,A1,,,,,,,,förmlich,formal,"formel, officiel",die Form,the form,la forme,,
563,101,C1,C1,C1,,,,,,,,hygienisch,hygienic,hygiénique,die Hygiene,hygiene,hygiène,,
564,101,C1,C1,A1,,,,,,,,kindlich,childlike,enfantin,das Kind,the child,l'enfant,,
565,101,C1,C1,C1,,,,,,,,korrupt,corrupt,corrompu,die Korruption,corruption,corruption,,
566,101,C1,C1,B1,,,,,,,,magisch,magical,magique,die Magie,the magic,la magie,,
567,101,C1,C1,C1,,,,,,,,mittelständisch,medium-sized,de taille moyenne,der Mittelstand,the middle class,la classe moyenne,,
568,101,C1,C1,A2,,,,,,,,modisch,stylish,élégant,die Mode,fashion,mode,,
569,101,C1,C1,A2,,,,,,,,oberflächlich,superficial,superficiel,die Oberfläche,the surface,la surface,,
570,101,C1,C1,A1,,,,,,,,stürmisch,stormy,orageux,der Sturm,the storm,la tempête,,
571,101,C1,C1,A1,,,,,,,,tierisch,"animal, beastly",animal,das Tier,the animal,l'animal,,
572,101,C1,C1,A1,,,,,,,,traumhaft,dreamy,rêveur,der Traum,the dream,le rêve,,
573,101,C1,C1,C1,,,,,,,,zuversichtlich,confident,confiant,die Zuversicht,confidence,confiance,,
574,101,C1,C1,A1,,,,,,,,zügig,quickly,rapidement,der Zug,the train,le train,,
575,101,C1,C1,A2,,,,,,,,gestresst,stressed,stressé,der Stress,the stress,le stress,,
576,101,C1,C1,B1,,,,,,,,motiviert,motivated,motivé,die Motivation,the motivation,la motivation,,
577,101,C1,C1,B2,,,,,,,,lockig,curly,bouclé,die Locke,the lock,l'écluse,,
