Nr,exercise,question,answer,german,english,french,adjective,gender_english,gender_french,case_english,case_french,article,article_english,article_french
408,15,wegen des _____ Kindes,netten,wegen des netten Kindes,,,nett,Neuter,Neutre,Genitive,Génitif,Bestimmt Artikel (Schwache Deklination),Definite article (weak declension),Article défini (déclinaison faible)
409,15,wegen der _____ Eltern,netten,wegen der netten Eltern,,,nett,Plural,Pluriel,Genitive,Génitif,Bestimmt Artikel (Schwache Deklination),Definite article (weak declension),Article défini (déclinaison faible)
410,15,wegen einer _____ Mutter,netten,wegen einer netten Mutter,,,nett,Feminine,Féminin,Genitive,Génitif,Unbestimmt Artikel (Gemischte Deklination),Indefinite article (mixed declension),Article indéfini (déclinaison mixte)
411,15,wegen eines _____ Vaters,netten,wegen eines netten Vaters,,,nett,Masculine,Masculin,Genitive,Génitif,Unbestimmt Artikel (Gemischte Deklination),Indefinite article (mixed declension),Article indéfini (déclinaison mixte)
412,15,wegen eines _____ Kindes,netten,wegen eines netten Kindes,,,nett,Neuter,Neutre,Genitive,Génitif,Unbestimmt Artikel (Gemischte Deklination),Indefinite article (mixed declension),Article indéfini (déclinaison mixte)
413,16,Das ist das Buch der _____ Lehrerin.,klugen,Das ist das Buch der klugen Lehrerin.,This is the book of the wise teacher.,C'est le livre du sage maître.,klug,Feminine,Féminin,Genitive,Génitif,Bestimmt Artikel (Schwache Deklination),Definite article (weak declension),Article défini (déclinaison faible)
414,16,Das ist das Spielzeug der _____ Katze.,alten,Das ist das Spielzeug der alten Katze.,This is the old cat's toy.,C'est le vieux jouet du chat.,alt,Feminine,Féminin,Genitive,Génitif,Bestimmt Artikel (Schwache Deklination),Definite article (weak declension),Article défini (déclinaison faible)
415,16,Das ist das Gemälde der _____ Künstlerin.,schönen,Das ist das Gemälde der schönen Künstlerin.,This is the painting of the beautiful artist.,C'est le tableau du bel artiste.,schön,Feminine,Féminin,Genitive,Génitif,Bestimmt Artikel (Schwache Deklination),Definite article (weak declension),Article défini (déclinaison faible)
416,16,Der Erfolg der _____ Schülerin ist beeindruckend.,fleißigen,Der Erfolg der fleißigen Schülerin ist beeindruckend.,The success of this hard-working student is impressive.,La réussite de cet étudiant travailleur est impressionnante.,fleißig,Feminine,Féminin,Genitive,Génitif,Bestimmt Artikel (Schwache Deklination),Definite article (weak declension),Article défini (déclinaison faible)
417,16,Das Lob der _____ Nachbarin war herzlich.,freundlichen,Das Lob der freundlichen Nachbarin war herzlich.,The friendly neighbor's praise was heartfelt.,Les éloges du voisin amical étaient sincères.,freundlich,Feminine,Féminin,Genitive,Génitif,Bestimmt Artikel (Schwache Deklination),Definite article (weak declension),Article défini (déclinaison faible)
418,16,Das ist das Buch des _____ Lehrers.,klugen,Das ist das Buch des klugen Lehrers.,This is the book of the wise teacher.,C'est le livre du sage maître.,klug,Masculine,Masculin,Genitive,Génitif,Bestimmt Artikel (Schwache Deklination),Definite article (weak declension),Article défini (déclinaison faible)
419,16,Das ist das Haus des _____ Hundes.,alten,Das ist das Haus des alten Hundes.,This is the old dog's house.,C'est la vieille maison du chien.,alt,Masculine,Masculin,Genitive,Génitif,Bestimmt Artikel (Schwache Deklination),Definite article (weak declension),Article défini (déclinaison faible)
420,16,Das ist das Bild des _____ Künstlers.,schönen,Das ist das Bild des schönen Künstlers.,This is the picture of the beautiful artist.,Voici la photo de la belle artiste.,schön,Masculine,Masculin,Genitive,Génitif,Bestimmt Artikel (Schwache Deklination),Definite article (weak declension),Article défini (déclinaison faible)
421,16,Der Erfolg des _____ Studenten ist bewundernswert.,fleißigen,Der Erfolg des fleißigen Studenten ist bewundernswert.,The success of this hard-working student is admirable.,La réussite de cet étudiant travailleur est admirable.,fleißig,Masculine,Masculin,Genitive,Génitif,Bestimmt Artikel (Schwache Deklination),Definite article (weak declension),Article défini (déclinaison faible)
422,16,Das Lob des _____ Kellners war wohlverdient.,freundlichen,Das Lob des freundlichen Kellners war wohlverdient.,The friendly waiter's praise was well deserved.,Les éloges du sympathique serveur étaient bien mérités.,freundlich,Masculine,Masculin,Genitive,Génitif,Bestimmt Artikel (Schwache Deklination),Definite article (weak declension),Article défini (déclinaison faible)
423,16,Das ist das Buch des _____ Kindes.,klugen,Das ist das Buch des klugen Kindes.,This is the book of the clever child.,C'est le livre de l'enfant intelligent.,klug,Neuter,Neutre,Genitive,Génitif,Bestimmt Artikel (Schwache Deklination),Definite article (weak declension),Article défini (déclinaison faible)
424,16,Das ist das Spielzeug des _____ Buches.,alten,Das ist das Spielzeug des alten Buches.,This is the toy of the old book.,C'est le jouet du vieux livre.,alt,Neuter,Neutre,Genitive,Génitif,Bestimmt Artikel (Schwache Deklination),Definite article (weak declension),Article défini (déclinaison faible)
425,16,Das ist das Gemälde des _____ Bildes.,schönen,Das ist das Gemälde des schönen Bildes.,This is the painting of the beautiful picture.,C'est la peinture du beau tableau.,schön,Neuter,Neutre,Genitive,Génitif,Bestimmt Artikel (Schwache Deklination),Definite article (weak declension),Article défini (déclinaison faible)
426,16,Der Erfolg des _____ Mädchens ist bewundernswert.,fleißigen,Der Erfolg des fleißigen Mädchens ist bewundernswert.,The success of this hardworking girl is admirable.,Le succès de cette fille travailleuse est admirable.,fleißig,Neuter,Neutre,Genitive,Génitif,Bestimmt Artikel (Schwache Deklination),Definite article (weak declension),Article défini (déclinaison faible)
427,16,Das Lob des _____ Lächelns war herzlich.,freundlichen,Das Lob des freundlichen Lächelns war herzlich.,The praise of the friendly smile was heartfelt.,L’éloge du sourire amical était sincère.,freundlich,Neuter,Neutre,Genitive,Génitif,Bestimmt Artikel (Schwache Deklination),Definite article (weak declension),Article défini (déclinaison faible)
428,16,Das sind die Bücher der _____ Kinder.,klugen,Das sind die Bücher der klugen Kinder.,These are the books of clever children.,Ce sont les livres des enfants intelligents.,klug,Plural,Pluriel,Genitive,Génitif,Bestimmt Artikel (Schwache Deklination),Definite article (weak declension),Article défini (déclinaison faible)
429,16,Das sind die Spielsachen der _____ Katzen.,alten,Das sind die Spielsachen der alten Katzen.,These are the old cats' toys.,Ce sont les vieux jouets des chats.,alt,Plural,Pluriel,Genitive,Génitif,Bestimmt Artikel (Schwache Deklination),Definite article (weak declension),Article défini (déclinaison faible)
430,16,Das sind die Gemälde der _____ Künstler.,schönen,Das sind die Gemälde der schönen Künstler.,These are the paintings of beautiful artists.,Ce sont les peintures de beaux artistes.,schön,Plural,Pluriel,Genitive,Génitif,Bestimmt Artikel (Schwache Deklination),Definite article (weak declension),Article défini (déclinaison faible)
431,16,Der Erfolg der _____ Schüler ist beeindruckend.,fleißigen,Der Erfolg der fleißigen Schüler ist beeindruckend.,The success of the hard-working students is impressive.,Le succès des étudiants qui travaillent dur est impressionnant.,fleißig,Plural,Pluriel,Genitive,Génitif,Bestimmt Artikel (Schwache Deklination),Definite article (weak declension),Article défini (déclinaison faible)
432,16,Das Lob der _____ Nachbarn war herzlich.,freundlichen,Das Lob der freundlichen Nachbarn war herzlich.,The praise from the friendly neighbors was heartfelt.,Les éloges des sympathiques voisins étaient sincères.,freundlich,Plural,Pluriel,Genitive,Génitif,Bestimmt Artikel (Schwache Deklination),Definite article (weak declension),Article défini (déclinaison faible)
433,16,Das ist das Buch einer _____ Lehrerin.,klugen,Das ist das Buch einer klugen Lehrerin.,This is the book of a wise teacher.,C'est le livre d'un sage enseignant.,klug,Feminine,Féminin,Genitive,Génitif,Unbestimmt Artikel (Gemischte Deklination),Indefinite article (mixed declension),Article indéfini (déclinaison mixte)
434,16,Das ist das Spielzeug einer _____ Katze.,alten,Das ist das Spielzeug einer alten Katze.,This is an old cat's toy.,C'est un vieux jouet pour chat.,alt,Feminine,Féminin,Genitive,Génitif,Unbestimmt Artikel (Gemischte Deklination),Indefinite article (mixed declension),Article indéfini (déclinaison mixte)
435,16,Das ist das Gemälde einer _____ Künstlerin.,schönen,Das ist das Gemälde einer schönen Künstlerin.,This is the painting of a beautiful artist.,C'est le tableau d'un bel artiste.,schön,Feminine,Féminin,Genitive,Génitif,Unbestimmt Artikel (Gemischte Deklination),Indefinite article (mixed declension),Article indéfini (déclinaison mixte)
436,16,Der Erfolg einer _____ Schülerin ist bewundernswert.,fleißigen,Der Erfolg einer fleißigen Schülerin ist bewundernswert.,The success of a hard-working student is admirable.,La réussite d’un étudiant qui travaille dur est admirable.,fleißig,Feminine,Féminin,Genitive,Génitif,Unbestimmt Artikel (Gemischte Deklination),Indefinite article (mixed declension),Article indéfini (déclinaison mixte)
437,16,Das Lob einer _____ Nachbarin war herzlich.,freundlichen,Das Lob einer freundlichen Nachbarin war herzlich.,The praise from a friendly neighbor was heartfelt.,Les éloges d’un voisin amical étaient sincères.,freundlich,Feminine,Féminin,Genitive,Génitif,Unbestimmt Artikel (Gemischte Deklination),Indefinite article (mixed declension),Article indéfini (déclinaison mixte)
438,16,Das ist das Buch eines _____ Lehrers.,klugen,Das ist das Buch eines klugen Lehrers.,This is the book of a wise teacher.,C'est le livre d'un sage enseignant.,klug,Masculine,Masculin,Genitive,Génitif,Unbestimmt Artikel (Gemischte Deklination),Indefinite article (mixed declension),Article indéfini (déclinaison mixte)
439,16,Das ist das Spielzeug eines _____ Hundes.,alten,Das ist das Spielzeug eines alten Hundes.,This is an old dog's toy.,C'est un vieux jouet pour chien.,alt,Masculine,Masculin,Genitive,Génitif,Unbestimmt Artikel (Gemischte Deklination),Indefinite article (mixed declension),Article indéfini (déclinaison mixte)
440,16,Das ist das Gemälde eines _____ Künstlers.,schönen,Das ist das Gemälde eines schönen Künstlers.,This is the painting of a beautiful artist.,C'est le tableau d'un bel artiste.,schön,Masculine,Masculin,Genitive,Génitif,Unbestimmt Artikel (Gemischte Deklination),Indefinite article (mixed declension),Article indéfini (déclinaison mixte)
441,16,Der Erfolg eines _____ Studenten ist bemerkenswert.,fleißigen,Der Erfolg eines fleißigen Studenten ist bemerkenswert.,The success of a hardworking student is remarkable.,La réussite d’un étudiant travailleur est remarquable.,fleißig,Masculine,Masculin,Genitive,Génitif,Unbestimmt Artikel (Gemischte Deklination),Indefinite article (mixed declension),Article indéfini (déclinaison mixte)
442,16,Das Lob eines _____ Kellners war herzlich.,freundlichen,Das Lob eines freundlichen Kellners war herzlich.,The praise from a friendly waiter was heartfelt.,Les éloges d'un serveur sympathique étaient sincères.,freundlich,Masculine,Masculin,Genitive,Génitif,Unbestimmt Artikel (Gemischte Deklination),Indefinite article (mixed declension),Article indéfini (déclinaison mixte)
443,16,Das ist das Buch eines _____ Kindes.,klugen,Das ist das Buch eines klugen Kindes.,This is the book of a clever child.,C'est le livre d'un enfant intelligent.,klug,Neuter,Neutre,Genitive,Génitif,Unbestimmt Artikel (Gemischte Deklination),Indefinite article (mixed declension),Article indéfini (déclinaison mixte)
444,16,Das ist das Spielzeug eines _____ Buches.,alten,Das ist das Spielzeug eines alten Buches.,This is the toy of an old book.,C'est le jouet d'un vieux livre.,alt,Neuter,Neutre,Genitive,Génitif,Unbestimmt Artikel (Gemischte Deklination),Indefinite article (mixed declension),Article indéfini (déclinaison mixte)
445,16,Das ist das Gemälde eines _____ Bildes.,schönen,Das ist das Gemälde eines schönen Bildes.,This is the painting of a beautiful picture.,C'est la peinture d'un beau tableau.,schön,Neuter,Neutre,Genitive,Génitif,Unbestimmt Artikel (Gemischte Deklination),Indefinite article (mixed declension),Article indéfini (déclinaison mixte)
446,16,Der Erfolg eines _____ Mädchens ist bemerkenswert.,fleißigen,Der Erfolg eines fleißigen Mädchens ist bemerkenswert.,The success of a hardworking girl is remarkable.,Le succès d’une fille travailleuse est remarquable.,fleißig,Neuter,Neutre,Genitive,Génitif,Unbestimmt Artikel (Gemischte Deklination),Indefinite article (mixed declension),Article indéfini (déclinaison mixte)
447,16,Das Lob eines _____ Lächelns war herzlich.,freundlichen,Das Lob eines freundlichen Lächelns war herzlich.,The praise of a friendly smile was heartfelt.,L’éloge d’un sourire amical était sincère.,freundlich,Neuter,Neutre,Genitive,Génitif,Unbestimmt Artikel (Gemischte Deklination),Indefinite article (mixed declension),Article indéfini (déclinaison mixte)
448,17,für Ø _____ Mutter,nette,für nette Mutter,,,nett,Feminine,Féminin,Accusative,Accusatif,Nullartikel (Starke Deklination),Zero article (strong declension),Sans Article (déclinaison forte)
449,17,für Ø _____ Vater,netten,für netten Vater,,,nett,Masculine,Masculin,Accusative,Accusatif,Nullartikel (Starke Deklination),Zero article (strong declension),Sans Article (déclinaison forte)
450,17,für Ø _____ Kind,nettes,für nettes Kind,,,nett,Neuter,Neutre,Accusative,Accusatif,Nullartikel (Starke Deklination),Zero article (strong declension),Sans Article (déclinaison forte)
451,17,für Ø _____ Eltern,nette,für nette Eltern,,,nett,Plural,Pluriel,Accusative,Accusatif,Nullartikel (Starke Deklination),Zero article (strong declension),Sans Article (déclinaison forte)
452,17,mit Ø _____ Mutter,netter,mit netter Mutter,,,nett,Feminine,Féminin,Dative,Datif,Nullartikel (Starke Deklination),Zero article (strong declension),Sans Article (déclinaison forte)
453,17,mit Ø _____ Vater,nettem,mit nettem Vater,,,nett,Masculine,Masculin,Dative,Datif,Nullartikel (Starke Deklination),Zero article (strong declension),Sans Article (déclinaison forte)
454,17,mit Ø _____ Kind,nettem,mit nettem Kind,,,nett,Neuter,Neutre,Dative,Datif,Nullartikel (Starke Deklination),Zero article (strong declension),Sans Article (déclinaison forte)
455,17,mit Ø _____ Eltern,netten,mit netten Eltern,,,nett,Plural,Pluriel,Dative,Datif,Nullartikel (Starke Deklination),Zero article (strong declension),Sans Article (déclinaison forte)
456,17,wegen Ø _____ Mutter,netter,wegen netter Mutter,,,nett,Feminine,Féminin,Genitive,Génitif,Nullartikel (Starke Deklination),Zero article (strong declension),Sans Article (déclinaison forte)
457,17,wegen Ø _____ Vaters,netten,wegen netten Vaters,,,nett,Masculine,Masculin,Genitive,Génitif,Nullartikel (Starke Deklination),Zero article (strong declension),Sans Article (déclinaison forte)
458,17,wegen Ø _____ Kindes,netten,wegen netten Kindes,,,nett,Neuter,Neutre,Genitive,Génitif,Nullartikel (Starke Deklination),Zero article (strong declension),Sans Article (déclinaison forte)
459,17,wegen Ø _____ Eltern,netter,wegen netter Eltern,,,nett,Plural,Pluriel,Genitive,Génitif,Nullartikel (Starke Deklination),Zero article (strong declension),Sans Article (déclinaison forte)
460,17,Ø _____ Mutter,nette,nette Mutter,,,nett,Feminine,Féminin,Nominative,Nominatif,Nullartikel (Starke Deklination),Zero article (strong declension),Sans Article (déclinaison forte)
461,17,Ø _____ Vater,netter,netter Vater,,,nett,Masculine,Masculin,Nominative,Nominatif,Nullartikel (Starke Deklination),Zero article (strong declension),Sans Article (déclinaison forte)
462,17,Ø _____ Kind,nettes,nettes Kind,,,nett,Neuter,Neutre,Nominative,Nominatif,Nullartikel (Starke Deklination),Zero article (strong declension),Sans Article (déclinaison forte)
463,17,Ø _____ Eltern,nette,nette Eltern,,,nett,Plural,Pluriel,Nominative,Nominatif,Nullartikel (Starke Deklination),Zero article (strong declension),Sans Article (déclinaison forte)
464,18,Geschenk für _____ Schwester,liebe,Geschenk für liebe Schwester,Gift for dear sister,Cadeau pour ma chère sœur,lieb,Feminine,Féminin,Accusative,Accusatif,Nullartikel (Starke Deklination),Zero article (strong declension),Sans Article (déclinaison forte)
465,18,Artikel über _____ Schauspielerin,berühmte,Artikel über berühmte Schauspielerin,Article about famous actress,Article sur une actrice célèbre,berühmt,Feminine,Féminin,Accusative,Accusatif,Nullartikel (Starke Deklination),Zero article (strong declension),Sans Article (déclinaison forte)
466,18,Spaziergang durch _____ Straße,dunkle,Spaziergang durch dunkle Straße,Walk through dark street,Marcher dans une rue sombre,dunkel,Feminine,Féminin,Accusative,Accusatif,Nullartikel (Starke Deklination),Zero article (strong declension),Sans Article (déclinaison forte)
467,18,Geschenk für _____ Bruder,kleinen,Geschenk für kleinen Bruder,Gift for little brother,Cadeau pour petit frère,klein,Masculine,Masculin,Accusative,Accusatif,Nullartikel (Starke Deklination),Zero article (strong declension),Sans Article (déclinaison forte)
468,18,Kampagne gegen _____ Wolf,bösen,Kampagne gegen bösen Wolf,Campaign against evil wolf,Campagne contre le loup maléfique,böse,Masculine,Masculin,Accusative,Accusatif,Nullartikel (Starke Deklination),Zero article (strong declension),Sans Article (déclinaison forte)
469,18,Spaziergang durch _____ Park,alten,Spaziergang durch alten Park,Walk through old park,Promenade dans le vieux parc,alt,Masculine,Masculin,Accusative,Accusatif,Nullartikel (Starke Deklination),Zero article (strong declension),Sans Article (déclinaison forte)
470,18,Geschenk für _____ Kind,kleines,Geschenk für kleines Kind,Gift for little child,Cadeau pour petit enfant,klein,Neuter,Neutre,Accusative,Accusatif,Nullartikel (Starke Deklination),Zero article (strong declension),Sans Article (déclinaison forte)
471,18,Abenteuer durch _____ Meer,tiefes,Abenteuer durch tiefes Meer,Adventure through deep sea,Aventure en haute mer,tief,Neuter,Neutre,Accusative,Accusatif,Nullartikel (Starke Deklination),Zero article (strong declension),Sans Article (déclinaison forte)
472,18,Kampf gegen _____ Gesetz,neues,Kampf gegen neues Gesetz,Fight against new law,Lutte contre la nouvelle loi,neu,Neuter,Neutre,Accusative,Accusatif,Nullartikel (Starke Deklination),Zero article (strong declension),Sans Article (déclinaison forte)
473,18,Hilfe für _____ Kinder,arme,Hilfe für arme Kinder,Help for poor children,Aide aux enfants pauvres,arm,Plural,Pluriel,Accusative,Accusatif,Nullartikel (Starke Deklination),Zero article (strong declension),Sans Article (déclinaison forte)
474,18,Kampagne gegen _____ Nachrichten,falsche,Kampagne gegen falsche Nachrichten,Campaign against false news,Campagne contre les fausses nouvelles,falsch,Plural,Pluriel,Accusative,Accusatif,Nullartikel (Starke Deklination),Zero article (strong declension),Sans Article (déclinaison forte)
475,18,Spaziergang durch _____ Straßen,alte,Spaziergang durch alte Straßen,Walk through old streets,Promenade dans les vieilles rues,alt,Plural,Pluriel,Accusative,Accusatif,Nullartikel (Starke Deklination),Zero article (strong declension),Sans Article (déclinaison forte)
476,18,Geschenk von _____ Tante,netter,Geschenk von netter Tante,Gift from nice aunt,Cadeau d'une gentille tante,nett,Feminine,Féminin,Dative,Datif,Nullartikel (Starke Deklination),Zero article (strong declension),Sans Article (déclinaison forte)
477,18,Geschichte mit _____ Freundin,alter,Geschichte mit alter Freundin,Story with old friend,Histoire avec un vieil ami,alt,Feminine,Féminin,Dative,Datif,Nullartikel (Starke Deklination),Zero article (strong declension),Sans Article (déclinaison forte)
478,18,Reise nach _____ Stadt,kleiner,Reise nach kleiner Stadt,Trip to small town,Voyage dans une petite ville,klein,Feminine,Féminin,Dative,Datif,Nullartikel (Starke Deklination),Zero article (strong declension),Sans Article (déclinaison forte)
479,18,Gespräch mit _____ Lehrer,jungem,Gespräch mit jungem Lehrer,Conversation with young teacher,Conversation avec un jeune enseignant,jung,Masculine,Masculin,Dative,Datif,Nullartikel (Starke Deklination),Zero article (strong declension),Sans Article (déclinaison forte)
480,18,Brief von _____ Freund,altem,Brief von altem Freund,Letter from old friend,Lettre d'un vieil ami,alt,Masculine,Masculin,Dative,Datif,Nullartikel (Starke Deklination),Zero article (strong declension),Sans Article (déclinaison forte)
481,18,Reise nach _____ Ort,fremdem,Reise nach fremdem Ort,Trip to foreign place,Voyage à l'étranger,fremd,Masculine,Masculin,Dative,Datif,Nullartikel (Starke Deklination),Zero article (strong declension),Sans Article (déclinaison forte)
482,18,Reise nach _____ Land,fernem,Reise nach fernem Land,Trip to distant country,Voyage dans un pays lointain,fern,Neuter,Neutre,Dative,Datif,Nullartikel (Starke Deklination),Zero article (strong declension),Sans Article (déclinaison forte)
483,18,Gespräch mit _____ Kind,kleinem,Gespräch mit kleinem Kind,Conversation with little child,Conversation avec un petit enfant,klein,Neuter,Neutre,Dative,Datif,Nullartikel (Starke Deklination),Zero article (strong declension),Sans Article (déclinaison forte)
484,18,Brief von _____ Kind,süßem,Brief von süßem Kind,Letter from cute child,Lettre d'un enfant mignon,süß,Neuter,Neutre,Dative,Datif,Nullartikel (Starke Deklination),Zero article (strong declension),Sans Article (déclinaison forte)
485,18,Hilfe von _____ Freunden,guten,Hilfe von guten Freunden,Help from good friends,L'aide de bons amis,gut,Plural,Pluriel,Dative,Datif,Nullartikel (Starke Deklination),Zero article (strong declension),Sans Article (déclinaison forte)
486,18,Gespräch mit _____ Akademikern,alten,Gespräch mit alten Akademikern,Conversation with old academics,Conversation avec d'anciens universitaires,alt,Plural,Pluriel,Dative,Datif,Nullartikel (Starke Deklination),Zero article (strong declension),Sans Article (déclinaison forte)
487,18,Reise nach _____ Städten,großen,Reise nach großen Städten,Trip to big cities,Voyage dans les grandes villes,groß,Plural,Pluriel,Dative,Datif,Nullartikel (Starke Deklination),Zero article (strong declension),Sans Article (déclinaison forte)
488,18,Erinnerung während _____ Nacht,langer,Erinnerung während langer Nacht,Memory during long night,Souvenir pendant la longue nuit,lang,Feminine,Féminin,Genitive,Génitif,Nullartikel (Starke Deklination),Zero article (strong declension),Sans Article (déclinaison forte)
489,18,Schweigen trotz _____ Warnung,klarer,Schweigen trotz klarer Warnung,Silence despite clear warning,Silence malgré un avertissement clair,klar,Feminine,Féminin,Genitive,Génitif,Nullartikel (Starke Deklination),Zero article (strong declension),Sans Article (déclinaison forte)
490,18,Erfolg trotz _____ Konkurrenz,starker,Erfolg trotz starker Konkurrenz,Success despite strong competition,Succès malgré une forte concurrence,stark,Feminine,Féminin,Genitive,Génitif,Nullartikel (Starke Deklination),Zero article (strong declension),Sans Article (déclinaison forte)
491,18,Verlust wegen _____ Regens,starken,Verlust wegen starken Regens,Loss due to heavy rain,Pertes dues à de fortes pluies,stark,Masculine,Masculin,Genitive,Génitif,Nullartikel (Starke Deklination),Zero article (strong declension),Sans Article (déclinaison forte)
492,18,Probleme trotz _____ Wetters,schlechten,Probleme trotz schlechten Wetters,Problems due to bad weather,Problèmes dus au mauvais temps,schlecht,Masculine,Masculin,Genitive,Génitif,Nullartikel (Starke Deklination),Zero article (strong declension),Sans Article (déclinaison forte)
493,18,Erinnerung während _____ Krieges,langen,Erinnerung während langen Krieges,Memory during long war,Mémoire pendant une longue guerre,lang,Masculine,Masculin,Genitive,Génitif,Nullartikel (Starke Deklination),Zero article (strong declension),Sans Article (déclinaison forte)
494,18,Diskussion wegen _____ Themas,neuen,Diskussion wegen neuen Themas,Discussion because of new topic,Discussion en raison d'un nouveau sujet,neu,Neuter,Neutre,Genitive,Génitif,Nullartikel (Starke Deklination),Zero article (strong declension),Sans Article (déclinaison forte)
495,18,Unruhe trotz _____ Ergebnisses,schlechten,Unruhe trotz schlechten Ergebnisses,Unrest despite bad result,Des troubles malgré un mauvais résultat,schlecht,Neuter,Neutre,Genitive,Génitif,Nullartikel (Starke Deklination),Zero article (strong declension),Sans Article (déclinaison forte)
496,18,Erinnerung während _____ Gesprächs,langen,Erinnerung während langen Gesprächs,Memory during long conversation,Mémoire lors d'une longue conversation,lang,Neuter,Neutre,Genitive,Génitif,Nullartikel (Starke Deklination),Zero article (strong declension),Sans Article (déclinaison forte)
497,18,Krise wegen _____ Preise,hoher,Krise wegen hoher Preise,Crisis due to high prices,Crise due aux prix élevés,hoch,Plural,Pluriel,Genitive,Génitif,Nullartikel (Starke Deklination),Zero article (strong declension),Sans Article (déclinaison forte)
498,18,Streit trotz _____ Meinungen,ähnlicher,Streit trotz ähnlicher Meinungen,Dispute despite similar opinions,Litige malgré des opinions similaires,ähnlich,Plural,Pluriel,Genitive,Génitif,Nullartikel (Starke Deklination),Zero article (strong declension),Sans Article (déclinaison forte)
499,18,Ruhe während _____ Nächte,langer,Ruhe während langer Nächte,Calm during long nights,Calme pendant les longues nuits,lang,Plural,Pluriel,Genitive,Génitif,Nullartikel (Starke Deklination),Zero article (strong declension),Sans Article (déclinaison forte)
500,18,_____ Frau,Starke,Starke Frau,Strong woman,Femme forte,stark,Feminine,Féminin,Nominative,Nominatif,Nullartikel (Starke Deklination),Zero article (strong declension),Sans Article (déclinaison forte)
501,18,_____ Idee,Neue,Neue Idee,New idea,Nouvelle idée,neu,Feminine,Féminin,Nominative,Nominatif,Nullartikel (Starke Deklination),Zero article (strong declension),Sans Article (déclinaison forte)
502,18,_____ Landschaft,Schöne,Schöne Landschaft,Beautiful landscape,Beau paysage,schön,Feminine,Féminin,Nominative,Nominatif,Nullartikel (Starke Deklination),Zero article (strong declension),Sans Article (déclinaison forte)
503,18,_____ Held,Mutiger,Mutiger Held,Brave hero,héros courageux,mutig,Masculine,Masculin,Nominative,Nominatif,Nullartikel (Starke Deklination),Zero article (strong declension),Sans Article (déclinaison forte)
504,18,_____ Freund,Alter,Alter Freund,Old friend,Vieil ami,alt,Masculine,Masculin,Nominative,Nominatif,Nullartikel (Starke Deklination),Zero article (strong declension),Sans Article (déclinaison forte)
505,18,_____ Junge,Kleiner,Kleiner Junge,Little boy,Enfant,klein,Masculine,Masculin,Nominative,Nominatif,Nullartikel (Starke Deklination),Zero article (strong declension),Sans Article (déclinaison forte)
506,18,_____ Haus,Neues,Neues Haus,New house,Nouvelle maison,neu,Neuter,Neutre,Nominative,Nominatif,Nullartikel (Starke Deklination),Zero article (strong declension),Sans Article (déclinaison forte)
507,18,_____ Kind,Kleines,Kleines Kind,Small child,Petit enfant,klein,Neuter,Neutre,Nominative,Nominatif,Nullartikel (Starke Deklination),Zero article (strong declension),Sans Article (déclinaison forte)
508,18,_____ Bett,Altes,Altes Bett,Old bed,Vieux lit,alt,Neuter,Neutre,Nominative,Nominatif,Nullartikel (Starke Deklination),Zero article (strong declension),Sans Article (déclinaison forte)
509,18,_____ Talente,Junge,Junge Talente,Young talents,Jeunes talents,jung,Plural,Pluriel,Nominative,Nominatif,Nullartikel (Starke Deklination),Zero article (strong declension),Sans Article (déclinaison forte)
510,18,_____ Bücher,Alte,Alte Bücher,Old books,Vieux livres,alt,Plural,Pluriel,Nominative,Nominatif,Nullartikel (Starke Deklination),Zero article (strong declension),Sans Article (déclinaison forte)
511,18,_____ Städte,Schöne,Schöne Städte,Beautiful cities,De belles villes,schön,Plural,Pluriel,Nominative,Nominatif,Nullartikel (Starke Deklination),Zero article (strong declension),Sans Article (déclinaison forte)
512,19,für keine _____ Mutter,nette,für keine nette Mutter,,,nett,Feminine,Féminin,Accusative,Accusatif,Negationsartikel (Gemischte Deklination),Negative article (mixed declension),Article négatif (déclinaison mixte)
513,19,für keinen _____ Vater,netten,für keinen netten Vater,,,nett,Masculine,Masculin,Accusative,Accusatif,Negationsartikel (Gemischte Deklination),Negative article (mixed declension),Article négatif (déclinaison mixte)
514,19,für kein _____ Kind,nettes,für kein nettes Kind,,,nett,Neuter,Neutre,Accusative,Accusatif,Negationsartikel (Gemischte Deklination),Negative article (mixed declension),Article négatif (déclinaison mixte)
515,19,für keine _____ Eltern,netten,für keine netten Eltern,,,nett,Plural,Pluriel,Accusative,Accusatif,Negationsartikel (Gemischte Deklination),Negative article (mixed declension),Article négatif (déclinaison mixte)
516,19,mit keiner _____ Mutter,netten,mit keiner netten Mutter,,,nett,Feminine,Féminin,Dative,Datif,Negationsartikel (Gemischte Deklination),Negative article (mixed declension),Article négatif (déclinaison mixte)
517,19,mit keinem _____ Vater,netten,mit keinem netten Vater,,,nett,Masculine,Masculin,Dative,Datif,Negationsartikel (Gemischte Deklination),Negative article (mixed declension),Article négatif (déclinaison mixte)
518,19,mit keinem _____ Kind,netten,mit keinem netten Kind,,,nett,Neuter,Neutre,Dative,Datif,Negationsartikel (Gemischte Deklination),Negative article (mixed declension),Article négatif (déclinaison mixte)
519,19,mit keinen _____ Eltern,netten,mit keinen netten Eltern,,,nett,Plural,Pluriel,Dative,Datif,Negationsartikel (Gemischte Deklination),Negative article (mixed declension),Article négatif (déclinaison mixte)
