Nr,exercise,question,answer,german,english,french,person,case_english,case_french,gender_english,gender_french,,,
726,23,"Das Kind, _____ Sie ein Spielzeug geschenkt hat, ist glücklich.",dem,"Das Kind, dem Sie ein Spielzeug geschenkt hat, ist glücklich.",The child to whom you gave a toy is happy.,L'enfant à qui vous avez donné un jouet est heureux.,,Dative,Datif,Neuter,Neutre,,,
727,23,"Die Männer, _____ sie neue Anzüge gekauft haben, sehen elegant aus.",denen,"Die Männer, denen sie neue Anzüge gekauft haben, sehen elegant aus.",The men for whom they bought new suits look elegant.,Les hommes pour qui ils ont acheté de nouveaux costumes ont l'air élégants.,,Dative,Datif,Plural,Pluriel,,,
728,23,"Der Arzt, _____ ich meine Symptome erklärt habe, war freundlich.",dem,"Der Arzt, dem ich meine Symptome erklärt habe, war freundlich.",The doctor to whom I explained my symptoms was friendly.,Le médecin à qui j’ai expliqué mes symptômes était sympathique.,,Dative,Datif,Masculine,Masculin,,,
729,23,"Das Haus, _____ wir eine neue Tür eingesetzt haben, sieht modern aus.",dem,"Das Haus, dem wir eine neue Tür eingesetzt haben, sieht modern aus.",The house in which we installed a new door looks modern.,La maison dans laquelle nous avons installé une nouvelle porte a l'air moderne.,,Dative,Datif,Neuter,Neutre,,,
730,23,"Die Leute, _____ wir geholfen haben, sind dankbar.",denen,"Die Leute, denen wir geholfen haben, sind dankbar.",The people we helped are grateful.,Les personnes que nous avons aidées sont reconnaissantes.,,Dative,Datif,Plural,Pluriel,,,
731,23,"Der Mann, _____ ich einen Stift geliehen habe, hat ihn zurückgegeben.",dem,"Der Mann, dem ich einen Stift geliehen habe, hat ihn zurückgegeben.",The man to whom I lent a pen returned it.,L'homme à qui j'ai prêté un stylo me l'a rendu.,,Dative,Datif,Masculine,Masculin,,,
732,23,"Das Buch, _____ Autor berühmt ist, wird viel gelesen.",dessen,"Das Buch, dessen Autor berühmt ist, wird viel gelesen.","The book, whose author is famous, is widely read.","Le livre, dont l’auteur est célèbre, est largement lu.",,Genitive,Génitif,Neuter,Neutre,,,
733,23,"Die Männer, _____ Autos auf dem Parkplatz stehen, kommen bald.",deren,"Die Männer, deren Autos auf dem Parkplatz stehen, kommen bald.",The men whose cars are parked in the parking lot will be here soon.,Les hommes dont les voitures sont garées sur le parking seront bientôt là.,,Genitive,Génitif,Plural,Pluriel,,,
734,23,"Die Frau, _____ Tasche gestohlen wurde, hat die Polizei gerufen.",deren,"Die Frau, deren Tasche gestohlen wurde, hat die Polizei gerufen.",The woman whose bag was stolen called the police.,La femme dont le sac a été volé a appelé la police.,,Genitive,Génitif,Feminine,Féminin,,,
735,23,"Der Mann, _____ Arbeit wir bewundern, ist sehr klug.",dessen,"Der Mann, dessen Arbeit wir bewundern, ist sehr klug.",The man whose work we admire is very smart.,L’homme dont nous admirons le travail est très intelligent.,,Genitive,Génitif,Masculine,Masculin,,,
736,23,"Das Kind, _____ Spielzeug ich kaputt gemacht habe, weint jetzt.",dessen,"Das Kind, dessen Spielzeug ich kaputt gemacht habe, weint jetzt.",The child whose toy I broke is now crying.,L'enfant dont j'ai cassé le jouet pleure maintenant.,,Genitive,Génitif,Neuter,Neutre,,,
737,23,"Die Familie, _____ Haus renoviert wurde, ist zufrieden.",deren,"Die Familie, deren Haus renoviert wurde, ist zufrieden.",The family whose house was renovated is satisfied.,La famille dont la maison a été rénovée est satisfaite.,,Genitive,Génitif,Feminine,Féminin,,,
738,23,"Der Arzt, _____ Praxis geschlossen ist, arbeitet jetzt woanders.",dessen,"Der Arzt, dessen Praxis geschlossen ist, arbeitet jetzt woanders.",The doctor whose practice is closed is now working elsewhere.,Le médecin dont le cabinet est fermé travaille désormais ailleurs.,,Genitive,Génitif,Masculine,Masculin,,,
739,23,"Die Frau, _____ Mann ein berühmter Künstler ist, ist sehr freundlich.",deren,"Die Frau, deren Mann ein berühmter Künstler ist, ist sehr freundlich.","The woman, whose husband is a famous artist, is very friendly.","La femme, dont le mari est un artiste célèbre, est très sympathique.",,Genitive,Génitif,Feminine,Féminin,,,
740,23,"Die Kinder, _____ Eltern verreist sind, bleiben bei den Großeltern.",deren,"Die Kinder, deren Eltern verreist sind, bleiben bei den Großeltern.",The children whose parents are away stay with their grandparents.,Les enfants dont les parents sont absents restent chez leurs grands-parents.,,Genitive,Génitif,Plural,Pluriel,,,
741,23,"Der Junge, _____ Fahrrad gestohlen wurde, ist traurig.",dessen,"Der Junge, dessen Fahrrad gestohlen wurde, ist traurig.",The boy whose bike was stolen is sad.,Le garçon dont le vélo a été volé est triste.,,Genitive,Génitif,Masculine,Masculin,,,
742,23,"Das Buch, _____ Titel ich mich nicht erinnere, war spannend.",an dessen,"Das Buch, an dessen Titel ich mich nicht erinnere, war spannend.","The book, whose title I don't remember, was exciting.","Le livre, dont je ne me souviens plus du titre, était passionnant.",,Genitive,Génitif,Neuter,Neutre,,,
743,23,"Der Arzt, _____ in Berlin wohnt, ist bekannt.",der,"Der Arzt, der in Berlin wohnt, ist bekannt.","The doctor, who lives in Berlin, is known.","Le médecin, qui vit à Berlin, est connu.",,Nominative,Nominatif,Masculine,Masculin,,,
744,23,"Der Junge, _____ Fußball spielt, ist schnell.",der,"Der Junge, der Fußball spielt, ist schnell.",The boy who plays football is fast.,Le garçon qui joue au football est rapide.,,Nominative,Nominatif,Masculine,Masculin,,,
745,23,"Die Katze, _____ schläft, ist grau.",die,"Die Katze, die schläft, ist grau.",The sleeping cat is gray.,Le chat endormi est gris.,,Nominative,Nominatif,Feminine,Féminin,,,
746,23,"Die Studentin, _____ ein Buch liest, ist klug.",die,"Die Studentin, die ein Buch liest, ist klug.",The student who reads a book is smart.,L’étudiant qui lit un livre est intelligent.,,Nominative,Nominatif,Feminine,Féminin,,,
747,23,"Die Blume, _____ duftet, ist schön.",die,"Die Blume, die duftet, ist schön.",The flower that smells is beautiful.,La fleur qui sent est belle.,,Nominative,Nominatif,Feminine,Féminin,,,
748,23,"Das Auto, _____ schnell fährt, ist teuer.",das,"Das Auto, das schnell fährt, ist teuer.",The car that goes fast is expensive.,La voiture qui va vite coûte cher.,,Nominative,Nominatif,Neuter,Neutre,,,
749,23,"Das Buch, _____ du liest, ist spannend.",das,"Das Buch, das du liest, ist spannend.",The book you are reading is exciting.,Le livre que vous lisez est passionnant.,,Nominative,Nominatif,Neuter,Neutre,,,
750,23,"Die Leute, _____ hier wohnen, sind freundlich.",die,"Die Leute, die hier wohnen, sind freundlich.",The people who live here are friendly.,Les gens qui vivent ici sont sympathiques.,,Nominative,Nominatif,Plural,Pluriel,,,
751,23,"Die Bücher, _____ ich lese, sind interessant.",die,"Die Bücher, die ich lese, sind interessant.",The books I read are interesting.,Les livres que je lis sont intéressants.,,Nominative,Nominatif,Plural,Pluriel,,,
752,24,,alle,,everyone (collectively),tout le monde,,Nominative,,,,,,
753,24,,alle,,everyone (collectively),tout le monde,,Accusative,,,,,,
754,24,,allen,,everyone (collectively),tout le monde,,Dative,,,,,,
755,24,,aller,,everyone (collectively),tout le monde,,Genitive,,,,,,
756,24,,jeder,,"everyone, each (individually)",chacun,,Nominative,,,,,,
757,24,,jeden,,"everyone, each (individually)",chacun,,Accusative,,,,,,
758,24,,jedem,,"everyone, each (individually)",chacun,,Dative,,,,,,
759,24,,jedes,,"everyone, each (individually)",chacun,,Genitive,,,,,,
760,24,,einige,,"some, a few",certains,,Nominative,,,,,,
761,24,,einige,,"some, a few",certains,,Accusative,,,,,,
762,24,,einigen,,"some, a few",certains,,Dative,,,,,,
763,24,,einiger,,"some, a few",certains,,Genitive,,,,,,
764,24,,viele,,many,beaucoup,,Nominative,,,,,,
765,24,,viele,,many,beaucoup,,Accusative,,,,,,
766,24,,vielen,,many,beaucoup,,Dative,,,,,,
767,24,,vieler,,many,beaucoup,,Genitive,,,,,,
768,24,,andere,,others,d'autres,,Nominative,,,,,,
769,24,,andere,,others,d'autres,,Accusative,,,,,,
770,24,,anderen,,others,d'autres,,Dative,,,,,,
771,24,,anderer,,others,d'autres,,Genitive,,,,,,
772,24,,beide,,both,tous les deux,,Nominative,,,,,,
773,24,,beide,,both,tous les deux,,Accusative,,,,,,
774,24,,beiden,,both,tous les deux,,Dative,,,,,,
775,24,,beider,,both,tous les deux,,Genitive,,,,,,
776,24,,keiner,,"none, not a single one",aucun,,Nominative,,,,,,
777,24,,keinen,,"none, not a single one",aucun,,Accusative,,,,,,
778,24,,keinem,,"none, not a single one",aucun,,Dative,,,,,,
779,24,,keines,,"none, not a single one",aucun,,Genitive,,,,,,
780,25,_____ sind schon im Raum und warten auf den Beginn der Sitzung.,Alle/Jeder,Alle sind schon im Raum und warten auf den Beginn der Sitzung.,Everyone is already in the room and waiting for the meeting to begin.,Tout le monde est déjà dans la salle et attend le début de la réunion.,alle,Nominative,,,,,,
781,25,"_____ wollen verstehen, warum sich die Entscheidung so lange verzögert hat.",Alle/Jeder,"Alle wollen verstehen, warum sich die Entscheidung so lange verzögert hat.",Everyone wants to understand why the decision has been delayed so long.,Tout le monde veut comprendre pourquoi la décision a été si longtemps retardée.,alle,Nominative,,,,,,
782,25,"_____ waren überrascht, als das Ergebnis schließlich bekannt gegeben wurde.",Alle,"Alle waren überrascht, als das Ergebnis schließlich bekannt gegeben wurde.",Everyone was surprised when the result was finally announced.,Tout le monde a été surpris lorsque le résultat a finalement été annoncé.,alle,Nominative,,,,,,
783,25,"Der Lehrer hat _____ begrüßt, bevor der Unterricht begann.",alle,"Der Lehrer hat alle begrüßt, bevor der Unterricht begann.",The teacher greeted everyone before the lesson began.,Le professeur a salué tout le monde avant que le cours ne commence.,alle,Accusative,,,,,,
784,25,Ich habe mit _____ über das neue Projekt gesprochen.,allen,Ich habe mit allen über das neue Projekt gesprochen.,I spoke with everyone about the new project.,J’ai parlé du nouveau projet avec tout le monde.,alle,Dative,,,,,,
785,25,Trotz _____ Bemühungen ließ sich das Problem nicht sofort lösen.,aller,Trotz aller Bemühungen ließ sich das Problem nicht sofort lösen.,"Despite everyone’s efforts, the problem could not be solved immediately.","Malgré tous les efforts de chacun, le problème n’a pas pu être résolu immédiatement.",alle,Genitive,,,,,,
786,25,"_____ versteht irgendwann, wie wichtig Geduld beim Lernen einer Sprache ist.",Jeder/Alle,"Jeder versteht irgendwann, wie wichtig Geduld beim Lernen einer Sprache ist.",Each eventually understands how important patience is when learning a language.,Chacun finit par comprendre combien la patience est importante lorsqu’on apprend une langue.,jeder,Nominative,,,,,,
787,25,"_____ kann sich irren, selbst wenn er sehr erfahren ist.",Jeder,"Jeder kann sich irren, selbst wenn er sehr erfahren ist.","Everyone can make mistakes, even if they are very experienced.","Chacun peut se tromper, même s’il est très expérimenté.",jeder,Nominative,,,,,,
788,25,"_____ hat seine eigene Vorstellung davon, was Erfolg bedeutet.",Jeder,"Jeder hat seine eigene Vorstellung davon, was Erfolg bedeutet.",Everyone has their own idea of what success means.,Chacun a sa propre idée de ce que signifie le succès.,jeder,Nominative,,,,,,
789,25,Der Trainer hat _____ persönlich begrüßt.,jeden,Der Trainer hat jeden persönlich begrüßt.,The coach greeted everyone personally.,L’entraîneur a salué chacun personnellement.,jeder,Accusative,,,,,,
790,25,Der Professor hat _____ eine kurze Rückmeldung zu seiner Arbeit gegeben.,jedem,Der Professor hat jedem eine kurze Rückmeldung zu seiner Arbeit gegeben.,The professor gave everyone brief feedback on their work.,Le professeur a donné à chacun un court retour sur son travail.,jeder,Dative,,,,,,
791,25,Die Bedeutung _____ wird erst im Zusammenhang mit dem ganzen Text deutlich.,jedes,Die Bedeutung jedes wird erst im Zusammenhang mit dem ganzen Text deutlich.,The meaning of each becomes clear only in the context of the whole text.,La signification de chacun ne devient claire que dans le contexte de l’ensemble du texte.,jeder,Genitive,,,,,,
792,25,"_____ bleiben noch nach dem Vortrag, um Fragen zu stellen.",Einige,"Einige bleiben noch nach dem Vortrag, um Fragen zu stellen.",Some stay after the lecture to ask questions.,Certains restent après la conférence pour poser des questions.,einige,Nominative,,,,,,
793,25,"_____ glauben, dass sich die Situation bald verbessern wird.",Einige,"Einige glauben, dass sich die Situation bald verbessern wird.",Some believe that the situation will soon improve.,Certains pensent que la situation va bientôt s’améliorer.,einige,Nominative,,,,,,
794,25,_____ haben bereits Erfahrung mit dieser Methode.,Einige,Einige haben bereits Erfahrung mit dieser Methode.,Some already have experience with this method.,Certains ont déjà de l’expérience avec cette méthode.,einige,Nominative,,,,,,
795,25,"Es gab besonders engagierte Teilnehmer, und der Lehrer erwähnte _____ von ihnen.",einige,"Es gab besonders engagierte Teilnehmer, und der Lehrer erwähnte einige von ihnen.",There were particularly committed participants and the teacher mentioned some of them.,Il y avait des participants particulièrement engagés et l'enseignant en a mentionné certains.,einige,Accusative,,,,,,
796,25,Ich habe mit _____ über das Problem gesprochen.,einigen,Ich habe mit einigen über das Problem gesprochen.,I spoke with some about the problem.,J’ai parlé du problème avec certains.,einige,Dative,,,,,,
797,25,Die Meinung _____ wurde im Bericht ausdrücklich berücksichtigt.,einiger,Die Meinung einiger wurde im Bericht ausdrücklich berücksichtigt.,The opinion of some was explicitly taken into account in the report.,L’opinion de certains a été explicitement prise en compte dans le rapport.,einige,Genitive,,,,,,
798,25,"_____ glauben, dass technischer Fortschritt automatisch zu mehr Wohlstand führt.",Viele,"Viele glauben, dass technischer Fortschritt automatisch zu mehr Wohlstand führt.",Many believe that technological progress automatically leads to greater prosperity.,Beaucoup pensent que le progrès technologique mène automatiquement à davantage de prospérité.,viele,Nominative,,,,,,
799,25,"_____ unterschätzen, wie viel Zeit es braucht, eine Sprache wirklich gut zu beherrschen.",Viele,"Viele unterschätzen, wie viel Zeit es braucht, eine Sprache wirklich gut zu beherrschen.",Many underestimate how long it takes to truly master a language.,Beaucoup sous-estiment le temps qu’il faut pour vraiment maîtriser une langue.,viele,Nominative,,,,,,
800,25,"_____ waren überrascht, wie schnell sich die Situation verändert hat.",Viele,"Viele waren überrascht, wie schnell sich die Situation verändert hat.",Many were surprised at how quickly the situation changed.,Beaucoup ont été surpris de la rapidité avec laquelle la situation a changé.,viele,Nominative,,,,,,
801,25,Der Journalist hat _____ zu diesem Thema befragt.,viele,Der Journalist hat viele zu diesem Thema befragt.,The journalist interviewed many on this topic.,Le journaliste en a interrogé beaucoup à ce sujet.,viele,Accusative,,,,,,
802,25,Ich habe mit _____ nach der Konferenz noch gesprochen.,vielen,Ich habe mit vielen nach der Konferenz noch gesprochen.,I spoke with many after the conference.,J’ai encore parlé avec beaucoup après la conférence.,viele,Dative,,,,,,
803,25,Die Geduld _____ wurde durch die langen Verzögerungen auf die Probe gestellt.,vieler,Die Geduld vieler wurde durch die langen Verzögerungen auf die Probe gestellt.,The patience of many was put to the test by the long delays.,La patience de beaucoup a été mise à l’épreuve par les longs retards.,viele,Genitive,,,,,,
804,25,_____ sehen die Situation deutlich kritischer.,Andere,Andere sehen die Situation deutlich kritischer.,Others see the situation much more critically.,D’autres voient la situation de manière beaucoup plus critique.,andere,Nominative,,,,,,
805,25,"_____ haben sich entschieden, einen ganz anderen Weg einzuschlagen.",Andere,"Andere haben sich entschieden, einen ganz anderen Weg einzuschlagen.",Others have decided to take a completely different path.,D’autres ont décidé de suivre une voie complètement différente.,andere,Nominative,,,,,,
806,25,"_____ glauben, dass die Reform langfristig notwendig ist.",Andere,"Andere glauben, dass die Reform langfristig notwendig ist.",Others believe that the reform is necessary in the long term.,D’autres pensent que la réforme est nécessaire à long terme.,andere,Nominative,,,,,,
807,25,"Der Leiter hat _____ gebeten, ihre Meinung ebenfalls zu äußern.",andere,"Der Leiter hat andere gebeten, ihre Meinung ebenfalls zu äußern.",The leader asked others to express their opinions as well.,Le responsable a demandé à d’autres d’exprimer également leur opinion.,andere,Accusative,,,,,,
808,25,Ich habe mit _____ noch lange über das Thema diskutiert.,anderen,Ich habe mit anderen noch lange über das Thema diskutiert.,I discussed the topic with others for a long time.,J’ai discuté du sujet longtemps avec d’autres.,andere,Dative,,,,,,
809,25,Die Argumente _____ wurden im Bericht ebenfalls berücksichtigt.,anderer,Die Argumente anderer wurden im Bericht ebenfalls berücksichtigt.,The arguments of others were also taken into account in the report.,Les arguments d’autres personnes ont également été pris en compte dans le rapport.,andere,Genitive,,,,,,
810,25,"_____ sind sich einig, dass weitere Untersuchungen notwendig sind.",Beide,"Beide sind sich einig, dass weitere Untersuchungen notwendig sind.",Both agree that further investigations are necessary.,Tous les deux sont d’accord pour dire que des recherches supplémentaires sont nécessaires.,beide,Nominative,,,,,,
811,25,_____ haben während der Diskussion überzeugende Argumente vorgebracht.,Beide,Beide haben während der Diskussion überzeugende Argumente vorgebracht.,Both presented convincing arguments during the discussion.,Tous les deux ont avancé des arguments convaincants pendant la discussion.,beide,Nominative,,,,,,
812,25,_____ wollten die Entscheidung noch einmal überdenken.,Beide,Beide wollten die Entscheidung noch einmal überdenken.,Both wanted to reconsider the decision.,Tous les deux voulaient reconsidérer la décision.,beide,Nominative,,,,,,
813,25,Der Trainer hat _____ nach dem Spiel gelobt.,beide,Der Trainer hat beide nach dem Spiel gelobt.,The coach praised both after the game.,L’entraîneur a félicité les deux après le match.,beide,Accusative,,,,,,
814,25,Ich habe mit _____ über das Projekt gesprochen.,beiden,Ich habe mit beiden über das Projekt gesprochen.,I spoke with both about the project.,J’ai parlé du projet avec les deux.,beide,Dative,,,,,,
815,25,Die Zusammenarbeit _____ war entscheidend für den Erfolg des Unternehmens.,beider,Die Zusammenarbeit beider war entscheidend für den Erfolg des Unternehmens.,The cooperation of both was crucial for the company’s success.,La coopération des deux a été déterminante pour le succès de l’entreprise.,beide,Genitive,,,,,,
816,25,"_____ der Teilnehmer wusste im Voraus, wie schwierig die Aufgabe sein würde.",Keiner,"Keiner der Teilnehmer wusste im Voraus, wie schwierig die Aufgabe sein würde.",None of the participants knew in advance how difficult the task would be.,Aucun des participants ne savait à l’avance à quel point la tâche serait difficile.,keiner,Nominative,,,,,,
817,25,"_____ von uns hatte erwartet, dass sich die Situation so schnell ändern würde.",Keiner,"Keiner von uns hatte erwartet, dass sich die Situation so schnell ändern würde.",None of us had expected the situation to change so quickly.,Aucun d’entre nous ne s’attendait à ce que la situation change si vite.,keiner,Nominative,,,,,,
818,25,_____ der Studenten konnte die Frage sofort beantworten.,Keiner,Keiner der Studenten konnte die Frage sofort beantworten.,None of the students could answer the question immediately.,Aucun des étudiants n’a pu répondre immédiatement à la question.,keiner,Nominative,,,,,,
819,25,Der Trainer hat _____ der Spieler für das Ergebnis verantwortlich gemacht.,keinen,Der Trainer hat keinen der Spieler für das Ergebnis verantwortlich gemacht.,The coach blamed none of the players for the result.,L’entraîneur n’a tenu aucun des joueurs pour responsable du résultat.,keiner,Accusative,,,,,,
820,25,Ich habe mit _____ der Kollegen darüber gesprochen.,keinem,Ich habe mit keinem der Kollegen darüber gesprochen.,I spoke about it with none of the colleagues.,Je n’en ai parlé avec aucun des collègues.,keiner,Dative,,,,,,
821,25,Die Unterstützung _____ der beteiligten Länder war selbstverständlich.,keines,Die Unterstützung keines der beteiligten Länder war selbstverständlich.,The support of none of the countries involved was taken for granted.,Le soutien d’aucun des pays concernés n’allait de soi.,keiner,Genitive,,,,,,
822,26,"Die Reise, _____ wir geplant haben, ist teuer.",die,"Die Reise, die wir geplant haben, ist teuer.",The trip we have planned is expensive.,Le voyage que nous avons prévu est cher.,,Accusative,Accusatif,Feminine,Féminin,,,
823,26,"Die Wohnung, _____ wir gemietet haben, ist klein.",die,"Die Wohnung, die wir gemietet haben, ist klein.",The apartment we rented is small.,L'appartement que nous avons loué est petit.,,Accusative,Accusatif,Feminine,Féminin,,,
824,26,"Das Problem, _____ wir lösen müssen, ist schwierig.",das,"Das Problem, das wir lösen müssen, ist schwierig.",The problem we have to solve is difficult.,Le problème que nous devons résoudre est difficile.,,Accusative,Accusatif,Neuter,Neutre,,,
825,26,"Die Aufgabe, _____ er bekommen hat, ist einfach.",die,"Die Aufgabe, die er bekommen hat, ist einfach.",The task he has been given is simple.,La tâche qui lui a été confiée est simple.,,Accusative,Accusatif,Feminine,Féminin,,,
826,26,"Die Musik, _____ ich höre, ist entspannend.",die,"Die Musik, die ich höre, ist entspannend.",The music I listen to is relaxing.,La musique que j'écoute est relaxante.,,Accusative,Accusatif,Feminine,Féminin,,,
827,26,"Das Hotel, _____ wir gebucht haben, ist modern.",das,"Das Hotel, das wir gebucht haben, ist modern.",The hotel we booked is modern.,L'hôtel que nous avons réservé est moderne.,,Accusative,Accusatif,Neuter,Neutre,,,
828,26,"Die Sprache, _____ ich lerne, ist schwer.",die,"Die Sprache, die ich lerne, ist schwer.",The language I'm learning is difficult.,La langue que j'apprends est difficile.,,Accusative,Accusatif,Feminine,Féminin,,,
829,26,"Der Sport, _____ ich mache, ist gesund.",den,"Der Sport, den ich mache, ist gesund.",The sport I do is healthy.,Le sport que je pratique est sain.,,Accusative,Accusatif,Masculine,Masculin,,,
830,26,"Die Ferien, _____ wir hatten, waren toll.",die,"Die Ferien, die wir hatten, waren toll.",The holidays we had were great.,Les vacances que nous avons passées ont été formidables.,,Accusative,Accusatif,Plural,Pluriel,,,
831,26,"Der Urlaub, _____ sie macht, ist lang.",den,"Der Urlaub, den sie macht, ist lang.",The vacation she is taking is long.,Les vacances qu'elle prend sont longues.,,Accusative,Accusatif,Masculine,Masculin,,,
832,26,"Das Geschenk, _____ ich bekommen habe, ist schön.",das,"Das Geschenk, das ich bekommen habe, ist schön.",The gift I received is beautiful.,Le cadeau que j'ai reçu est magnifique.,,Accusative,Accusatif,Neuter,Neutre,,,
833,26,"Die Party, _____ wir gefeiert haben, war lustig.",die,"Die Party, die wir gefeiert haben, war lustig.",The party we had was fun.,La fête que nous avons eue était amusante.,,Accusative,Accusatif,Feminine,Féminin,,,
834,26,"Das ist das Buch, _____ ich gelesen habe.",das,"Das ist das Buch, das ich gelesen habe.",This is the book I read.,C'est le livre que j'ai lu.,,Accusative,Accusatif,Neuter,Neutre,,,
835,26,"Die Reise, _____ wir gebucht haben, war schön.",die,"Die Reise, die wir gebucht haben, war schön.",The trip we booked was nice.,Le voyage que nous avons réservé était agréable.,,Accusative,Accusatif,Feminine,Féminin,,,
836,26,"Der Film, _____ wir gesehen haben, war spannend.",den,"Der Film, den wir gesehen haben, war spannend.",The film we saw was exciting.,Le film que nous avons vu était passionnant.,,Accusative,Accusatif,Masculine,Masculin,,,
837,26,"Das Problem, _____ wir besprochen haben, ist gelöst.",das,"Das Problem, das wir besprochen haben, ist gelöst.",The problem we discussed has been solved.,Le problème dont nous avons discuté a été résolu.,,Accusative,Accusatif,Neuter,Neutre,,,
838,26,"Das ist der Mann, _____ ich geholfen habe.",dem,"Das ist der Mann, dem ich geholfen habe.",This is the man I helped.,C'est l'homme que j'ai aidé.,,Dative,Datif,Masculine,Masculin,,,
839,26,"Die Frau, _____ ich das Buch gegeben habe, ist nett.",der,"Die Frau, der ich das Buch gegeben habe, ist nett.",The woman I gave the book to is nice.,La femme à qui j'ai donné le livre est gentille.,,Dative,Datif,Feminine,Féminin,,,
840,26,"Das Kind, _____ wir gratuliert haben, hat sich gefreut.",dem,"Das Kind, dem wir gratuliert haben, hat sich gefreut.",The child we congratulated was happy.,L'enfant que nous avons félicité était heureux.,,Dative,Datif,Neuter,Neutre,,,
841,26,"Die Kollegin, _____ ich die Nachricht geschickt habe, arbeitet im Büro.",der,"Die Kollegin, der ich die Nachricht geschickt habe, arbeitet im Büro.",The colleague to whom I sent the message works in the office.,Le collègue à qui j'ai envoyé le message travaille au bureau.,,Dative,Datif,Feminine,Féminin,,,
842,26,"Der Lehrer, _____ wir zuhören, ist erfahren.",dem,"Der Lehrer, dem wir zuhören, ist erfahren.",The teacher we are listening to is experienced.,L’enseignant que nous écoutons est expérimenté.,,Dative,Datif,Masculine,Masculin,,,
843,26,"Die Familie, _____ wir einen Besuch gemacht haben, geht es gut.",bei der,"Die Familie, bei der wir einen Besuch gemacht haben, geht es gut.",The family we visited is doing well.,La famille que nous avons visitée se porte bien.,,Dative,Datif,Feminine,Féminin,,,
844,26,"Der Stuhl, _____ du sitzt, ist bequem.",auf dem/worauf,"Der Stuhl, auf dem du sitzt, ist bequem.",The chair you are sitting on is comfortable.,La chaise sur laquelle vous êtes assis est confortable.,,Dative,Datif,Masculine,Masculin,,,
845,26,"Das Fenster, _____ es zieht, ist undicht.",aus dem/woraus,"Das Fenster, aus dem es zieht, ist undicht.",The window from which the draft comes is leaking.,La fenêtre d'où vient le courant d'air fuit.,,Dative,Datif,Neuter,Neutre,,,
846,26,"Der Baum, _____ viele Vögel nisten, ist alt.",in dem/worin,"Der Baum, in dem viele Vögel nisten, ist alt.",The tree in which many birds nest is old.,L'arbre dans lequel nichent de nombreux oiseaux est vieux.,,Dative,Datif,Masculine,Masculin,,,
847,26,"Der Chef, _____ ich die Idee vorgestellt habe,  hat sie gemocht.",dem,"Der Chef, dem ich die Idee vorgestellt habe, hat sie gemocht.",The boss I presented the idea to liked it.,Le patron à qui j'ai présenté l'idée l'a appréciée.,,Dative,Datif,Masculine,Masculin,,,
848,26,"Das ist das Haus, _____ Dach rot ist.",dessen,"Das ist das Haus, dessen Dach rot ist.",This is the house with the red roof.,C'est la maison au toit rouge.,,Genitive,Génitif,Neuter,Neutre,,,
849,26,"Die Firma, _____ Produkte bekannt sind, ist erfolgreich.",deren,"Die Firma, deren Produkte bekannt sind, ist erfolgreich.",The company whose products are well-known is successful.,L'entreprise dont les produits sont connus connaît le succès.,,Genitive,Génitif,Feminine,Féminin,,,
850,26,"Der Mann, _____ Auto kaputt ist, ist traurig.",dessen,"Der Mann, dessen Auto kaputt ist, ist traurig.",The man whose car is broken is sad.,L'homme dont la voiture est en panne est triste.,,Genitive,Génitif,Masculine,Masculin,,,
851,26,"Die Frau, _____ Kinder spielen, ist glücklich.",deren,"Die Frau, deren Kinder spielen, ist glücklich.",The woman whose children are playing is happy.,La femme dont les enfants jouent est heureuse.,,Genitive,Génitif,Feminine,Féminin,,,
852,26,"Das Buch, _____ Inhalt spannend ist, gefällt mir.",dessen,"Das Buch, dessen Inhalt spannend ist, gefällt mir.","I like the book, the content of which is exciting.",J'aime le livre dont le contenu est passionnant.,,Genitive,Génitif,Neuter,Neutre,,,
853,26,"Der Tisch, _____ Beine wackeln, ist instabil.",dessen,"Der Tisch, dessen Beine wackeln, ist instabil.","The table, whose legs wobble, is unstable.","La table, dont les pieds vacillent, est instable.",,Genitive,Génitif,Masculine,Masculin,,,
854,26,"Die Tür, _____ Farbe blau ist, gefällt mir.",deren,"Die Tür, deren Farbe blau ist, gefällt mir.","I like the door, which is blue.",J'aime la porte qui est bleue.,,Genitive,Génitif,Feminine,Féminin,,,
855,26,"Das Fenster, _____ Scheibe sauber ist, ist neu.",dessen,"Das Fenster, dessen Scheibe sauber ist, ist neu.",The window whose pane is clean is new.,La fenêtre dont la vitre est propre est neuve.,,Genitive,Génitif,Neuter,Neutre,,,
856,26,"Der Computer, _____ Software aktuell ist, funktioniert gut.",dessen,"Der Computer, dessen Software aktuell ist, funktioniert gut.","The computer, whose software is up to date, works well.","L'ordinateur, dont le logiciel est à jour, fonctionne bien.",,Genitive,Génitif,Masculine,Masculin,,,
857,26,"Die Reise, _____ Ziel Italien ist, ist teuer.",deren,"Die Reise, deren Ziel Italien ist, ist teuer.","The trip, which ends in Italy, is expensive.","Le voyage, qui se termine en Italie, coûte cher.",,Genitive,Génitif,Feminine,Féminin,,,
858,26,"Das ist das Fahrrad, _____ schnell fährt.",das,"Das ist das Fahrrad, das schnell fährt.",This is the bike that goes fast.,C'est le vélo qui va vite.,,Nominative,Nominatif,Neuter,Neutre,,,
